,Data,Hora,P1.1.1 V (V),P1.1.2 V (V),P1.1.3 V (V),P1.1.4 V (V),P1.1.5 V (V),P1.1.6 V (V),P1.1.7 V (V),P1.1.9 V (V),P1.1.10 V (V),P1.1.11 V (V),P1.1.12 V (V),P1.1.13 V (V),P1.1.14 V (V),P1.1.15 V (V),P1.1.16 V (V),P1.2.1 V (V),P1.2.2 V (V),P1.2.3 V (V),P1.2.4 V (V),P1.2.5 V (V),P1.2.6 V (V),P1.2.7 V (V),P1.2.8 V (V),P1.2.9 V (V),P1.2.10 V (V),P1.2.11 V (V),P1.2.12 V (V),P1.2.13 V (V),P1.2.14 V (V),P1.2.15 V (V),P1.2.16 V (V),P1.3.1 V (V),P1.3.2 V (V),P1.3.3 V (V),P1.3.4 V (V),P1.3.5 V (V),P1.3.6 V (V),P1.3.7 V (V),P1.3.8 V (V),P1.3.9 V (V),P1.3.10 V (V),P1.3.11 V (V),P1.3.12 V (V),P1.3.13 V (V),P1.3.14 V (V),P1.3.15 V (V),P1.3.16 V (V)
0,2021-02-20,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-02-20,06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-02-20,06:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-02-20,06:45:00,0.0,0.0,0.0,0.0,0.0,66.31666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,0.0,0.0,68.46052631578948,0.0,67.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.74479166666667,0.0,67.8452380952381,0.0,0.0,0.0,0.0,0.0
4,2021-02-20,07:00:00,55.625,63.75,52.875,63.25,60.625,69.5859375,62.0,62.75,59.9375,70.875,62.75,63.625,54.125,52.625,60.3125,59.9375,62.25,57.125,69.109375,69.8,66.40625,70.53571428571429,50.5,70.26666666666667,67.925,62.625,57.375,66.0,61.125,47.125,63.6875,52.0,66.375,58.75,63.375,49.125,56.625,52.875,61.4375,69.95833333333333,59.875,70.65384615384616,64.0,55.0,62.25,62.125,60.875
5,2021-02-20,07:15:00,61.125,63.625,56.5,64.5,63.6875,63.1875,61.083333333333336,62.9375,64.125,64.5,64.58333333333333,64.4375,62.333333333333336,61.875,61.3125,65.375,60.208333333333336,58.75,58.25,61.458333333333336,59.958333333333336,60.375,53.083333333333336,63.541666666666664,66.33333333333333,62.0,62.208333333333336,63.0,62.916666666666664,61.5,64.1875,57.125,65.0,61.8125,63.75,60.625,64.84375,55.5,64.5625,55.958333333333336,63.125,60.65625,66.41666666666667,58.21875,61.541666666666664,64.54166666666667,61.083333333333336
6,2021-02-20,07:30:00,60.96875,62.541666666666664,58.875,63.833333333333336,61.333333333333336,64.70833333333333,65.8125,65.0625,63.1875,63.40625,66.04166666666667,63.40625,63.5,58.8125,61.166666666666664,63.5,60.333333333333336,54.375,59.875,63.875,61.28125,64.5,56.5,58.375,63.0,64.5,65.625,64.875,66.54166666666667,66.5,61.8125,61.958333333333336,64.375,58.5,64.4375,60.6875,65.0,62.666666666666664,65.20833333333333,63.6875,63.458333333333336,64.125,64.33333333333333,61.333333333333336,63.4375,64.5625,60.875
7,2021-02-20,07:45:00,64.0625,67.20833333333333,67.0,68.70833333333333,68.0625,67.5,66.5625,69.04166666666667,67.625,67.375,68.71875,66.0,65.375,67.875,65.83333333333333,66.70833333333333,65.75,66.25,68.125,68.0625,66.375,67.75,63.958333333333336,68.0,68.0,67.0,67.375,68.54166666666667,69.5,70.4375,67.125,64.16666666666667,68.3125,65.79166666666667,66.5625,66.58333333333333,68.6875,65.04166666666667,68.91666666666667,63.625,66.96875,66.5,68.3125,66.875,67.95833333333333,66.91666666666667,66.125
8,2021-02-20,08:00:00,68.54166666666667,69.95833333333333,68.25,68.875,68.625,68.46875,68.1875,69.625,69.70833333333333,65.25,68.5,69.125,69.625,67.54166666666667,68.25,67.25,68.16666666666667,69.53125,70.25,69.09375,68.79166666666667,71.1875,67.54166666666667,68.9375,70.08333333333333,69.625,69.66666666666667,69.25,69.95833333333333,70.45833333333333,70.25,67.29166666666667,70.0,68.875,67.9375,68.8125,69.125,67.33333333333333,70.125,67.58333333333333,70.1875,69.5,69.09375,68.25,68.70833333333333,69.8125,69.20833333333333
9,2021-02-20,08:15:00,71.1875,70.54166666666667,71.25,72.16666666666667,72.5625,70.8125,70.25,72.625,70.625,70.0625,71.375,71.16666666666667,70.5,71.29166666666667,70.08333333333333,71.875,69.41666666666667,69.3125,70.79166666666667,70.83333333333333,69.75,71.4375,70.75,71.375,72.41666666666667,70.45833333333333,70.70833333333333,71.0625,72.70833333333333,73.91666666666667,70.1875,70.41666666666667,71.33333333333333,70.3125,71.03125,71.33333333333333,70.5,70.625,72.0,69.20833333333333,70.75,69.95833333333333,71.75,69.90625,71.54166666666667,72.875,70.75
10,2021-02-20,08:30:00,69.20833333333333,70.0625,0.0,71.08333333333333,69.45833333333333,68.90625,70.20833333333333,69.78125,70.70833333333333,70.3125,70.75,70.20833333333333,69.6875,68.375,70.5,68.9375,69.29166666666667,69.5,71.03125,70.1875,70.0625,70.25,68.9375,69.91666666666667,69.625,70.20833333333333,70.125,69.375,72.5625,72.20833333333333,68.29166666666667,68.20833333333333,70.25,70.0,68.875,70.0625,70.95833333333333,70.1875,70.375,69.625,70.16666666666667,70.0,70.58333333333333,69.4375,72.125,73.0,70.625
11,2021-02-20,08:45:00,69.53125,70.5,70.84375,70.9375,69.875,68.6875,68.54166666666667,71.125,69.75,69.5,70.1875,69.83333333333333,69.83333333333333,70.16666666666667,69.375,68.9375,70.125,71.6875,71.3125,70.6875,69.33333333333333,69.9375,70.83333333333333,69.54166666666667,71.8125,70.20833333333333,71.6875,70.875,72.15625,72.5625,70.20833333333333,69.75,70.41666666666667,68.79166666666667,69.83333333333333,70.79166666666667,70.41666666666667,69.25,70.20833333333333,68.25,70.40625,70.0625,69.875,69.58333333333333,71.5,71.25,71.625
12,2021-02-20,09:00:00,70.125,73.5,71.375,71.5625,72.6875,72.1875,70.83333333333333,71.03125,70.375,70.75,71.04166666666667,70.16666666666667,70.59375,71.4375,70.75,69.875,70.45833333333333,70.91666666666667,70.6875,71.45833333333333,71.125,70.75,70.125,71.4375,70.83333333333333,70.79166666666667,70.5625,72.0,72.25,73.875,71.5,69.78125,71.58333333333333,70.58333333333333,70.66666666666667,70.0,71.125,70.625,71.0,69.53125,71.5625,70.375,70.625,70.16666666666667,71.875,72.1875,71.625
13,2021-02-20,09:15:00,69.4375,69.1875,70.58333333333333,70.45833333333333,69.21875,69.54166666666667,68.5,69.3125,69.79166666666667,69.75,70.125,68.0,69.45833333333333,70.125,70.16666666666667,69.8125,68.54166666666667,69.04166666666667,69.71875,68.8125,69.75,70.79166666666667,69.66666666666667,68.625,69.83333333333333,69.5,70.0,69.4375,70.0,71.375,70.0,70.375,70.33333333333333,69.70833333333333,69.78125,71.0,69.3125,67.875,69.79166666666667,69.25,70.33333333333333,69.58333333333333,70.125,69.20833333333333,71.125,69.25,70.25
14,2021-02-20,09:30:00,69.90625,69.9375,70.0,70.45833333333333,70.625,69.70833333333333,68.41666666666667,69.54166666666667,69.9375,69.04166666666667,69.625,70.75,70.16666666666667,69.70833333333333,70.125,68.9375,69.8125,69.125,71.0,71.46875,70.45833333333333,70.75,69.8125,70.25,70.25,68.79166666666667,70.0625,70.5,70.0,71.46875,70.41666666666667,70.58333333333333,69.625,69.25,70.6875,70.29166666666667,69.625,68.875,70.91666666666667,70.0625,69.90625,70.5,70.45833333333333,70.0,70.5,70.625,70.5625
15,2021-02-20,09:45:00,69.66666666666667,70.95833333333333,70.54166666666667,71.375,70.4375,70.34375,70.875,71.1875,70.8125,70.375,70.79166666666667,71.0625,70.5625,69.95833333333333,70.45833333333333,70.375,70.54166666666667,69.5,71.125,70.58333333333333,71.70833333333333,70.8125,71.3125,70.58333333333333,70.5625,69.625,70.875,70.4375,70.9375,73.0,70.75,70.5,71.79166666666667,70.6875,70.125,70.5,69.75,70.21875,71.5,70.29166666666667,70.16666666666667,70.08333333333333,71.0625,70.625,71.0,70.91666666666667,71.125
16,2021-02-20,10:00:00,68.75,69.95833333333333,68.875,69.625,69.25,70.375,69.375,69.58333333333333,69.375,69.625,69.95833333333333,70.40625,69.5,69.79166666666667,69.875,69.875,69.125,70.8125,69.95833333333333,70.125,69.875,69.875,70.125,70.375,70.0,68.75,69.625,69.29166666666667,70.8125,71.0625,69.5,69.0,70.33333333333333,70.0625,69.125,70.16666666666667,69.75,68.875,70.70833333333333,70.45833333333333,69.5625,70.16666666666667,71.21875,69.54166666666667,70.25,70.5,70.08333333333333
17,2021-02-20,10:15:00,69.54166666666667,69.79166666666667,70.5,70.875,70.3125,71.04166666666667,70.9375,71.0,70.03125,70.375,71.0,70.0625,69.96875,70.25,69.41666666666667,70.125,69.625,70.08333333333333,70.45833333333333,69.0,70.4375,71.08333333333333,70.9375,69.9375,70.20833333333333,70.5,70.1875,69.58333333333333,71.1875,72.46875,71.125,69.5,70.75,70.5,70.0,71.375,69.91666666666667,70.625,71.09375,69.4375,69.08333333333333,69.95833333333333,70.9375,69.5,71.0,70.79166666666667,70.33333333333333
18,2021-02-20,10:30:00,69.40625,69.375,69.4375,70.4375,69.58333333333333,70.375,70.25,70.16666666666667,69.9375,70.375,70.15625,69.5,69.20833333333333,69.79166666666667,69.6875,69.41666666666667,69.58333333333333,70.0,70.5,70.46875,70.4375,70.53125,69.625,69.91666666666667,69.65625,69.25,69.0,69.6875,71.125,73.0,70.29166666666667,68.6875,70.0,69.625,70.125,70.33333333333333,70.08333333333333,70.0,71.1875,69.91666666666667,68.625,69.5,70.5625,70.08333333333333,70.29166666666667,70.66666666666667,70.29166666666667
