,Data,Hora,OP4.1.1 V (V),OP4.1.2 V (V),OP4.1.3 V (V),OP4.1.4 V (V),OP4.1.5 V (V),OP4.1.6 V (V),OP4.1.7 V (V),OP4.1.8 V (V),OP4.1.9 V (V),OP4.1.10 V (V),OP4.1.11 V (V),OP4.1.12 V (V),OP4.1.13 V (V),OP4.1.14 V (V),OP4.1.15 V (V),OP4.1.16 V (V),OP4.1.17 V (V),OP4.1.18 V (V),OP4.1.19 V (V),OP4.1.21 V (V),OP4.1.22 V (V),OP4.2.1 V (V),OP4.2.2 V (V),OP4.2.3 V (V),OP4.2.4 V (V),OP4.2.5 V (V),OP4.2.6 V (V),OP4.2.7 V (V),OP4.2.8 V (V),OP4.2.9 V (V),OP4.2.10 V (V),OP4.2.11 V (V),OP4.2.12 V (V),OP4.2.13 V (V),OP4.2.14 V (V),OP4.2.15 V (V),OP4.2.16 V (V),OP4.2.17 V (V),OP4.2.18 V (V),OP4.2.19 V (V),OP4.2.20 V (V),OP4.2.21 V (V),OP4.2.22 V (V),OP4.3.1 V (V),OP4.3.2 V (V),OP4.3.4 V (V),OP4.3.5 V (V),OP4.3.6 V (V),OP4.3.7 V (V),OP4.3.8 V (V),OP4.3.9 V (V),OP4.3.10 V (V),OP4.3.11 V (V),OP4.3.12 V (V),OP4.3.13 V (V),OP4.3.14 V (V),OP4.3.15 V (V),OP4.3.16 V (V),OP4.3.17 V (V),OP4.3.18 V (V),OP4.3.19 V (V),OP4.3.20 V (V),OP4.3.21 V (V),OP4.3.22 V (V),OP4.4.1 V (V),OP4.4.2 V (V),OP4.4.3 V (V),OP4.4.4 V (V),OP4.4.5 V (V),OP4.4.6 V (V),OP4.4.7 V (V),OP4.4.8 V (V),OP4.4.9 V (V),OP4.4.10 V (V),OP4.4.11 V (V),OP4.4.12 V (V),OP4.4.13 V (V),OP4.4.14 V (V),OP4.4.15 V (V),OP4.4.16 V (V),OP4.4.17 V (V),OP4.4.18 V (V),OP4.4.19 V (V),OP4.4.20 V (V),OP4.5.1 V (V),OP4.5.2 V (V),OP4.5.3 V (V),OP4.5.4 V (V),OP4.5.5 V (V),OP4.5.7 V (V),OP4.5.8 V (V),OP4.5.9 V (V),OP4.5.10 V (V),OP4.5.11 V (V),OP4.5.12 V (V),OP4.5.13 V (V),OP4.5.15 V (V),OP4.5.16 V (V),OP4.5.17 V (V),OP4.5.18 V (V),OP4.5.19 V (V),OP4.5.20 V (V),OP4.5.21 V (V),OP4.5.22 V (V),OP4.6.1 V (V),OP4.6.2 V (V),OP4.6.3 V (V),OP4.6.4 V (V),OP4.6.5 V (V),OP4.6.7 V (V),OP4.6.8 V (V),OP4.6.9 V (V),OP4.6.10 V (V),OP4.6.11 V (V),OP4.6.12 V (V),OP4.6.13 V (V),OP4.6.14 V (V),OP4.6.15 V (V),OP4.6.16 V (V),OP4.6.17 V (V),OP4.6.18 V (V),OP4.6.19 V (V),OP4.6.20 V (V),OP4.6.21 V (V),OP4.6.22 V (V),OP4.7.1 V (V),OP4.7.2 V (V),OP4.7.3 V (V),OP4.7.4 V (V),OP4.7.5 V (V),OP4.7.6 V (V),OP4.7.7 V (V),OP4.7.8 V (V),OP4.7.9 V (V),OP4.7.10 V (V),OP4.7.11 V (V),OP4.7.12 V (V),OP4.7.14 V (V),OP4.7.15 V (V),OP4.7.16 V (V),OP4.7.17 V (V),OP4.7.18 V (V),OP4.7.20 V (V),OP4.7.21 V (V),OP4.7.22 V (V),OP4.8.1 V (V),OP4.8.2 V (V),OP4.8.3 V (V),OP4.8.4 V (V),OP4.8.5 V (V),OP4.8.6 V (V),OP4.8.7 V (V),OP4.8.8 V (V),OP4.8.9 V (V),OP4.8.10 V (V),OP4.8.11 V (V),OP4.8.12 V (V),OP4.8.13 V (V),OP4.8.14 V (V),OP4.8.15 V (V),OP4.8.16 V (V),OP4.8.17 V (V),OP4.8.18 V (V),OP4.8.19 V (V),OP4.8.20 V (V),OP4.8.21 V (V),OP4.8.22 V (V),OP4.9.2 V (V),OP4.9.3 V (V),OP4.9.4 V (V),OP4.9.5 V (V),OP4.9.6 V (V),OP4.9.7 V (V),OP4.9.8 V (V),OP4.9.9 V (V),OP4.9.10 V (V),OP4.9.11 V (V),OP4.9.12 V (V),OP4.9.13 V (V),OP4.9.14 V (V),OP4.9.15 V (V),OP4.9.16 V (V),OP4.9.17 V (V),OP4.9.18 V (V),OP4.9.19 V (V),OP4.9.20 V (V),OP4.9.21 V (V),OP4.9.22 V (V)
0,2021-02-28,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-02-28,06:15:00,37.875,40.541666666666664,37.71875,39.375,37.833333333333336,39.708333333333336,39.0625,37.083333333333336,35.083333333333336,34.8125,35.166666666666664,35.375,32.625,33.4375,28.083333333333332,37.1875,37.1875,39.583333333333336,39.1875,39.5,38.8125,25.166666666666668,28.6875,33.875,34.125,33.125,36.375,37.208333333333336,37.5,35.541666666666664,36.708333333333336,39.916666666666664,40.666666666666664,39.875,34.291666666666664,36.916666666666664,39.28125,37.25,40.791666666666664,38.0,39.333333333333336,41.291666666666664,39.75,40.041666666666664,39.333333333333336,38.0,36.125,37.75,37.958333333333336,36.625,34.0625,35.125,37.125,36.25,38.75,34.833333333333336,36.916666666666664,35.916666666666664,37.0625,35.0,32.875,33.416666666666664,38.583333333333336,37.0625,34.291666666666664,36.333333333333336,39.0,35.75,38.375,37.958333333333336,39.416666666666664,40.875,40.916666666666664,41.041666666666664,40.0,40.5,42.208333333333336,40.9375,43.9375,37.875,44.583333333333336,43.041666666666664,39.083333333333336,43.708333333333336,33.583333333333336,37.625,36.90625,38.25,35.5,37.875,38.25,37.5,38.583333333333336,37.125,37.916666666666664,36.666666666666664,37.625,37.541666666666664,37.8125,36.125,34.0,30.4375,36.875,37.25,35.541666666666664,34.5625,34.583333333333336,29.25,35.625,36.333333333333336,35.6875,36.25,34.958333333333336,36.416666666666664,36.6875,35.75,37.1875,37.291666666666664,36.583333333333336,38.708333333333336,37.333333333333336,36.125,39.416666666666664,38.3125,36.125,34.958333333333336,34.958333333333336,33.541666666666664,35.791666666666664,35.5,35.916666666666664,36.0,35.375,34.3125,36.458333333333336,36.5625,38.125,37.125,37.5,37.375,37.375,36.9375,39.041666666666664,37.833333333333336,37.75,36.09375,36.03125,36.708333333333336,35.5,37.25,37.291666666666664,37.666666666666664,36.125,34.708333333333336,37.166666666666664,36.25,36.958333333333336,37.458333333333336,37.1875,36.625,34.59375,36.25,35.3125,36.5625,35.1875,37.5625,35.666666666666664,43.1875,41.875,43.5,40.25,43.958333333333336,42.791666666666664,36.708333333333336,36.625,35.25,29.166666666666668,29.125,27.958333333333332,28.916666666666668,32.375,30.041666666666668,32.0,36.541666666666664,37.708333333333336,38.1875,36.458333333333336,34.75
2,2021-02-28,06:30:00,39.5,41.041666666666664,40.583333333333336,39.458333333333336,39.791666666666664,37.958333333333336,37.0,35.416666666666664,34.541666666666664,33.125,31.6875,32.625,30.083333333333332,30.208333333333332,28.25,37.375,37.041666666666664,37.5,38.708333333333336,39.875,40.291666666666664,30.5,32.291666666666664,35.458333333333336,36.25,34.875,37.208333333333336,36.625,36.791666666666664,36.458333333333336,37.166666666666664,38.166666666666664,38.09375,38.416666666666664,36.9375,37.25,36.875,37.625,38.625,37.125,38.083333333333336,38.5,38.75,41.833333333333336,38.875,41.5625,37.625,38.458333333333336,37.5,36.625,35.0,33.375,36.5625,35.833333333333336,35.916666666666664,30.8125,35.5,37.0625,36.791666666666664,37.5625,32.0625,34.875,38.5,37.583333333333336,30.875,34.75,36.75,36.0625,37.833333333333336,39.1875,39.833333333333336,39.875,39.875,41.375,39.458333333333336,40.8125,42.708333333333336,41.833333333333336,43.8125,43.875,43.833333333333336,43.375,42.875,42.541666666666664,35.4375,36.375,36.708333333333336,37.0625,36.166666666666664,37.0625,36.833333333333336,37.041666666666664,36.833333333333336,37.0,37.791666666666664,36.6875,36.833333333333336,36.833333333333336,37.0,35.208333333333336,37.166666666666664,36.375,35.375,36.15625,39.0625,40.875,38.791666666666664,38.166666666666664,38.5,37.25,35.125,36.9375,35.458333333333336,35.875,0.0,36.5,36.458333333333336,33.9375,35.625,35.8125,35.6875,35.291666666666664,35.791666666666664,36.583333333333336,37.416666666666664,34.791666666666664,35.0,34.875,34.958333333333336,35.166666666666664,35.125,36.5,35.8125,37.09375,37.25,36.6875,37.625,37.958333333333336,37.6875,37.5625,37.833333333333336,37.5625,38.5625,37.25,37.84375,36.416666666666664,37.0,36.625,36.90625,36.75,37.208333333333336,36.5625,36.0625,35.8125,37.0,36.916666666666664,37.375,36.8125,36.25,36.5625,35.5625,36.3125,36.125,36.5,36.375,37.25,35.59375,46.166666666666664,46.541666666666664,44.833333333333336,47.5625,44.0625,44.208333333333336,37.375,36.333333333333336,35.708333333333336,26.0625,24.1875,26.333333333333332,27.8125,30.75,26.75,33.5,37.416666666666664,35.0625,37.333333333333336,35.875,34.333333333333336
3,2021-02-28,06:45:00,37.875,39.5625,37.625,41.875,45.125,37.5,36.125,35.666666666666664,34.916666666666664,34.25,33.0,32.3125,33.083333333333336,35.4375,33.25,36.0,37.4375,35.25,37.25,37.875,40.041666666666664,27.75,32.5,36.0,40.0,33.875,41.0625,37.5,36.875,35.791666666666664,37.041666666666664,36.5,35.6875,36.708333333333336,37.4375,35.375,38.166666666666664,37.083333333333336,38.5,37.208333333333336,38.5625,36.791666666666664,36.8125,41.708333333333336,37.416666666666664,36.5,37.5,37.791666666666664,38.375,36.59375,36.458333333333336,33.708333333333336,37.3125,36.53125,37.125,32.458333333333336,36.875,37.208333333333336,37.75,37.0625,34.083333333333336,34.958333333333336,37.708333333333336,36.875,35.916666666666664,36.625,39.416666666666664,39.375,39.5,40.416666666666664,41.375,40.5,39.96875,40.9375,39.541666666666664,40.625,41.458333333333336,39.625,42.125,42.791666666666664,42.3125,41.166666666666664,42.416666666666664,42.1875,35.0,36.34375,37.1875,37.21875,35.8125,37.25,37.4375,37.25,36.791666666666664,37.4375,37.4375,36.541666666666664,36.75,37.0,37.5,34.875,37.125,36.916666666666664,36.125,36.9375,35.6875,37.3125,34.791666666666664,36.1875,35.40625,35.125,35.75,36.666666666666664,35.75,36.125,36.25,37.208333333333336,36.75,36.083333333333336,37.625,38.166666666666664,37.416666666666664,37.9375,36.90625,36.958333333333336,38.0,36.208333333333336,36.291666666666664,36.0625,36.291666666666664,36.3125,36.75,36.5,36.083333333333336,37.25,37.333333333333336,36.875,37.4375,37.5,37.208333333333336,36.875,36.75,36.8125,37.0625,36.75,36.75,36.5625,36.958333333333336,36.5625,37.0,36.625,37.1875,36.5625,36.5,35.666666666666664,37.5,37.03125,37.541666666666664,36.958333333333336,36.8125,36.333333333333336,35.4375,36.4375,36.6875,36.125,36.8125,37.333333333333336,36.041666666666664,39.833333333333336,40.75,40.125,39.875,40.25,39.375,36.75,36.5,36.0625,32.25,28.875,31.666666666666668,34.0,35.333333333333336,33.1875,35.75,37.875,37.3125,38.083333333333336,37.4375,36.416666666666664
4,2021-02-28,07:00:00,57.625,57.3125,52.25,60.125,51.0,39.5,36.0625,34.75,30.166666666666668,26.3125,24.6875,27.125,23.041666666666668,24.791666666666668,21.125,29.25,29.5,30.875,34.875,37.3125,42.3125,33.291666666666664,41.0,53.3125,55.3125,53.541666666666664,56.625,53.583333333333336,45.875,41.0,47.0,31.333333333333332,28.375,0.0,24.6875,27.0,26.666666666666668,27.375,30.125,27.1875,27.5,27.3125,27.875,85.0,50.125,52.041666666666664,50.1875,34.25,35.458333333333336,28.25,30.0,30.166666666666668,28.416666666666668,28.4375,32.541666666666664,29.875,27.208333333333332,29.916666666666668,33.791666666666664,31.125,28.5625,29.375,30.1875,35.0,32.625,35.041666666666664,35.4375,36.458333333333336,37.666666666666664,38.625,40.208333333333336,39.75,40.583333333333336,41.25,39.5,40.875,42.0,42.71875,44.46875,44.625,44.5,43.9375,42.625,43.041666666666664,35.583333333333336,36.666666666666664,37.125,37.083333333333336,36.208333333333336,36.833333333333336,37.1875,37.0625,36.791666666666664,36.75,37.541666666666664,36.625,37.0,37.5,37.458333333333336,35.75,37.25,36.875,35.625,35.875,53.583333333333336,46.875,40.416666666666664,39.9375,38.375,36.625,36.416666666666664,36.625,35.458333333333336,35.25,35.71875,35.5,35.083333333333336,33.25,32.916666666666664,34.916666666666664,33.8125,32.5,34.25,35.166666666666664,34.5625,34.9375,36.166666666666664,35.583333333333336,34.8125,34.875,34.75,35.5,35.4375,36.9375,37.166666666666664,36.875,37.53125,38.041666666666664,37.833333333333336,37.583333333333336,37.625,37.875,38.125,38.125,37.833333333333336,36.25,36.75,36.583333333333336,37.3125,36.833333333333336,37.5,36.625,36.125,36.125,37.583333333333336,37.041666666666664,37.5625,37.208333333333336,37.0,36.791666666666664,35.1875,36.4375,36.375,36.125,36.75,37.3125,35.833333333333336,47.625,44.875,48.25,45.5,45.3125,47.083333333333336,36.666666666666664,36.03125,34.8125,24.208333333333332,22.375,25.125,28.25,30.75,27.916666666666668,33.25,36.375,34.541666666666664,36.8125,34.416666666666664,32.125
5,2021-02-28,07:15:00,52.96875,60.375,54.041666666666664,57.25,57.9375,58.458333333333336,45.8125,28.583333333333332,23.541666666666668,22.4375,22.125,21.625,19.09375,19.791666666666668,21.75,25.78125,30.0,28.8125,29.25,52.75,59.8125,24.458333333333332,47.0,63.0625,64.91666666666667,54.125,61.3125,63.75,57.333333333333336,57.916666666666664,31.333333333333332,26.125,23.90625,27.083333333333332,20.0,21.25,20.625,21.25,24.78125,21.25,21.875,22.125,21.208333333333332,77.45833333333333,83.95833333333333,60.8125,65.5,69.6875,26.833333333333332,25.166666666666668,22.375,21.0,25.3125,28.5,25.958333333333332,21.4375,22.1875,27.75,26.75,23.0,21.541666666666668,21.833333333333332,27.833333333333332,24.5,33.833333333333336,35.21875,37.625,38.166666666666664,38.25,39.875,40.458333333333336,40.583333333333336,40.875,41.75,39.208333333333336,40.833333333333336,42.375,40.75,42.666666666666664,43.583333333333336,42.25,43.375,43.8125,43.875,34.708333333333336,36.3125,36.375,37.0,36.09375,37.0,36.8125,37.125,36.6875,36.875,37.5,37.0,37.333333333333336,37.5625,37.75,35.708333333333336,37.625,37.0625,35.75,35.958333333333336,49.583333333333336,41.5625,37.333333333333336,37.125,37.541666666666664,35.25,35.3125,35.958333333333336,35.583333333333336,35.375,37.1875,34.958333333333336,35.0,32.5,34.0,34.0,33.916666666666664,34.041666666666664,36.8125,39.1875,38.125,34.875,35.65625,36.041666666666664,35.958333333333336,36.125,36.083333333333336,36.0,36.0,37.5,37.375,37.0,37.4375,37.5,37.416666666666664,37.0,37.375,36.791666666666664,37.25,36.75,37.0,36.291666666666664,36.875,36.6875,36.9375,36.958333333333336,37.583333333333336,37.03125,36.75,36.0,37.5,37.0,37.6875,37.6875,37.0,36.75,35.25,36.625,36.625,36.25,36.583333333333336,37.416666666666664,35.75,45.708333333333336,46.708333333333336,47.625,45.46875,47.166666666666664,44.875,37.1875,35.333333333333336,35.53125,28.25,22.5625,27.0,30.333333333333332,30.75,28.75,33.208333333333336,36.3125,34.25,37.208333333333336,35.75,33.03125
6,2021-02-28,07:30:00,56.25,56.8125,54.59375,58.625,61.75,56.625,45.25,21.0,19.666666666666668,19.75,18.416666666666668,16.3125,14.875,17.4375,13.8125,18.6875,17.375,23.333333333333332,27.375,79.0625,83.95833333333333,21.5,62.0,61.875,66.20833333333333,59.458333333333336,61.875,63.78125,59.208333333333336,64.25,66.875,19.4375,18.5,17.708333333333332,19.666666666666668,19.625,16.1875,18.125,18.125,16.5625,15.208333333333334,18.458333333333332,17.958333333333332,85.0,85.0,76.09375,73.8125,71.58333333333333,23.875,22.375,23.25,17.875,22.916666666666668,21.625,20.25,17.1875,24.75,18.6875,21.291666666666668,19.666666666666668,20.78125,18.875,21.083333333333332,20.6875,39.75,39.375,38.125,0.0,38.5,38.583333333333336,39.375,40.125,40.0,40.9375,38.25,40.5,41.3125,40.25,42.5,42.6875,41.958333333333336,41.541666666666664,42.541666666666664,41.875,34.5,36.375,36.375,37.166666666666664,36.375,37.0,36.5,36.84375,37.125,37.0,37.75,36.833333333333336,37.041666666666664,38.0625,37.5,35.5,37.25,36.75,35.75,35.916666666666664,44.291666666666664,40.1875,36.75,34.833333333333336,34.458333333333336,34.5625,32.708333333333336,34.5625,36.125,43.65625,42.958333333333336,39.625,39.541666666666664,35.25,35.375,33.875,34.625,34.083333333333336,34.84375,35.75,34.583333333333336,33.75,34.1875,33.8125,36.25,36.0625,37.1875,37.75,36.916666666666664,37.166666666666664,37.291666666666664,36.25,37.3125,37.125,37.03125,36.833333333333336,36.625,37.416666666666664,37.9375,38.208333333333336,38.125,34.833333333333336,35.625,35.541666666666664,35.625,36.375,37.0,36.0625,34.8125,35.125,37.0,37.166666666666664,37.708333333333336,37.59375,37.1875,36.6875,36.5625,38.375,36.5,39.5,37.875,36.875,35.125,45.541666666666664,45.625,47.0,45.9375,46.583333333333336,46.71875,36.208333333333336,35.6875,35.041666666666664,25.708333333333332,22.333333333333332,26.416666666666668,29.75,32.375,28.166666666666668,33.375,36.0,0.0,36.708333333333336,35.333333333333336,33.125
7,2021-02-28,07:45:00,47.5625,48.25,49.75,49.625,46.333333333333336,49.125,45.0,30.833333333333332,28.25,24.875,17.625,18.875,17.333333333333332,16.041666666666668,17.8125,26.833333333333332,20.5625,24.0,39.875,58.1875,62.90625,26.5625,50.90625,52.916666666666664,53.9375,62.25,55.25,52.625,58.0625,51.0,56.375,35.34375,25.041666666666668,26.333333333333332,22.875,22.9375,23.5625,22.333333333333332,23.791666666666668,24.65625,22.583333333333332,23.833333333333332,22.375,76.79166666666667,73.375,59.875,85.0,34.125,31.041666666666668,25.833333333333332,24.0,22.875,27.75,23.958333333333332,24.0,21.875,26.583333333333332,25.90625,26.166666666666668,27.5,21.625,25.1875,30.5,28.90625,37.78125,36.583333333333336,35.9375,36.0,35.916666666666664,37.416666666666664,38.541666666666664,38.25,39.09375,39.833333333333336,37.833333333333336,40.875,43.166666666666664,42.125,44.75,44.375,44.125,46.6875,45.0,44.416666666666664,35.0625,35.53125,37.25,37.1875,36.541666666666664,36.8125,37.541666666666664,38.25,37.1875,37.25,38.166666666666664,37.3125,37.875,37.5625,37.625,35.375,36.708333333333336,35.708333333333336,34.166666666666664,34.0,43.96875,41.166666666666664,37.75,36.708333333333336,36.375,34.375,34.6875,36.166666666666664,40.166666666666664,51.541666666666664,44.625,39.208333333333336,35.708333333333336,31.875,32.4375,32.208333333333336,33.083333333333336,30.833333333333332,33.75,33.958333333333336,34.4375,33.9375,32.75,32.875,34.375,35.5,41.3125,42.8125,39.416666666666664,36.416666666666664,36.333333333333336,34.75,36.5,36.5,36.4375,36.3125,36.75,36.958333333333336,38.666666666666664,37.5625,39.71875,23.4375,24.875,32.208333333333336,23.8125,27.708333333333332,27.166666666666668,28.833333333333332,27.625,27.25,26.125,39.791666666666664,43.916666666666664,53.666666666666664,38.791666666666664,41.375,49.25,40.625,59.75,63.375,32.6875,25.375,32.15625,50.0,48.375,49.375,49.78125,51.583333333333336,47.25,34.0,35.1875,33.5,23.0,21.9375,23.666666666666668,26.958333333333332,29.0,25.291666666666668,31.5625,35.833333333333336,31.875,36.5625,34.708333333333336,31.791666666666668
8,2021-02-28,08:00:00,42.208333333333336,42.541666666666664,43.25,41.333333333333336,42.3125,40.583333333333336,39.5,45.125,38.416666666666664,28.6875,24.21875,27.333333333333332,24.4375,25.666666666666668,22.916666666666668,34.5,34.875,38.041666666666664,39.166666666666664,44.9375,46.875,23.125,36.4375,43.75,49.25,40.708333333333336,41.041666666666664,39.1875,41.166666666666664,46.75,41.375,41.875,36.25,35.833333333333336,31.75,32.5625,30.25,34.0,35.375,31.166666666666668,33.25,37.0625,37.28125,66.41666666666667,65.0,55.0,45.53125,36.541666666666664,35.25,33.75,32.791666666666664,28.0,33.125,31.5,31.666666666666668,29.416666666666668,31.5,35.75,35.125,33.916666666666664,33.625,31.875,35.625,33.8125,33.0625,34.625,37.0,35.958333333333336,38.166666666666664,39.0,40.125,40.416666666666664,41.0,42.083333333333336,39.916666666666664,41.4375,43.458333333333336,42.59375,44.9375,44.625,43.666666666666664,44.708333333333336,44.291666666666664,44.25,34.791666666666664,35.75,36.875,37.625,36.541666666666664,36.916666666666664,37.0,37.375,37.3125,37.5,38.166666666666664,37.875,37.708333333333336,38.083333333333336,38.791666666666664,36.625,38.28125,36.84375,35.083333333333336,35.833333333333336,39.5625,37.666666666666664,0.0,37.416666666666664,36.375,35.625,36.875,38.1875,40.8125,47.9375,38.708333333333336,36.166666666666664,33.666666666666664,33.3125,34.1875,34.21875,34.75,35.125,35.375,36.625,36.625,27.625,24.3125,32.375,33.875,36.8125,44.625,42.4375,38.1875,35.1875,33.541666666666664,33.375,36.875,35.4375,41.375,37.3125,37.6875,43.666666666666664,43.75,41.375,45.75,36.25,37.28125,37.5,37.5,37.25,37.8125,37.125,36.625,36.375,37.958333333333336,37.333333333333336,37.541666666666664,37.666666666666664,37.25,37.541666666666664,35.6875,37.0625,37.25,36.375,36.958333333333336,37.34375,37.125,49.625,49.8125,55.208333333333336,53.375,50.25,53.208333333333336,31.6875,35.75,34.25,18.75,20.4375,24.125,24.583333333333332,29.75,20.65625,29.75,35.3125,32.75,35.041666666666664,31.3125,30.4375
9,2021-02-28,08:15:00,47.041666666666664,44.15625,44.25,45.3125,45.875,48.375,44.8125,44.875,44.1875,31.166666666666668,22.625,17.71875,15.4375,15.0,15.125,32.333333333333336,29.9375,31.791666666666668,43.75,54.25,56.46875,11.625,29.90625,43.375,45.333333333333336,38.958333333333336,40.1875,43.375,42.666666666666664,38.5,46.5,44.5,25.5,18.625,27.6875,35.0,40.875,40.958333333333336,34.583333333333336,44.1875,42.208333333333336,43.375,45.6875,85.0,79.75,81.375,42.1875,33.416666666666664,30.916666666666668,29.0,26.5625,24.25,27.625,26.1875,25.75,22.25,25.9375,25.53125,27.416666666666668,24.583333333333332,24.916666666666668,24.375,26.333333333333332,25.791666666666668,37.5625,37.541666666666664,40.0625,37.6875,39.125,40.5,41.75,40.8125,40.5625,41.5,39.125,40.541666666666664,42.0,42.375,43.375,43.25,43.416666666666664,42.75,44.333333333333336,45.125,33.25,28.21875,33.458333333333336,33.375,34.625,34.333333333333336,34.541666666666664,35.25,35.375,40.125,50.5,40.875,43.25,40.291666666666664,41.125,46.0,42.1875,36.875,28.875,29.8125,38.125,36.041666666666664,33.0,32.208333333333336,32.666666666666664,38.5,43.5,42.208333333333336,52.75,42.041666666666664,37.0,35.75,32.6875,32.4375,33.666666666666664,36.25,36.291666666666664,36.583333333333336,39.625,37.0,39.708333333333336,21.25,17.5,14.5,23.125,44.59375,46.125,45.0625,44.958333333333336,21.208333333333332,27.708333333333332,29.8125,36.0,45.34375,44.9375,48.1875,40.875,41.5625,42.083333333333336,45.583333333333336,44.90625,38.625,37.625,38.375,37.6875,38.0625,38.125,37.21875,37.375,36.541666666666664,37.916666666666664,37.4375,37.5,37.8125,36.75,37.166666666666664,35.9375,37.541666666666664,37.333333333333336,37.333333333333336,37.916666666666664,37.791666666666664,38.875,83.3125,75.9375,82.875,72.90625,81.625,74.5,22.541666666666668,20.416666666666668,20.166666666666668,14.0625,10.541666666666666,13.125,14.25,20.083333333333332,14.25,19.78125,22.541666666666668,20.541666666666668,22.208333333333332,26.0,20.416666666666668
