,Data,Hora,P3.1.1 P (W),P3.1.2 P (W),P3.1.3 P (W),P3.1.4 P (W),P3.1.5 P (W),P3.1.6 P (W),P3.1.7 P (W),P3.1.8 P (W),P3.1.9 P (W),P3.1.10 P (W),P3.1.11 P (W),P3.1.12 P (W),P3.1.13 P (W),P3.1.14 P (W),P3.1.15 P (W),P3.1.16 P (W),P3.2.2 P (W),P3.2.3 P (W),P3.2.4 P (W),P3.2.5 P (W),P3.2.6 P (W),P3.2.7 P (W),P3.2.8 P (W),P3.2.9 P (W),P3.2.10 P (W),P3.2.11 P (W),P3.2.12 P (W),P3.2.13 P (W),P3.2.14 P (W),P3.2.15 P (W),P3.2.16 P (W),P3.3.1 P (W),P3.3.3 P (W),P3.3.4 P (W),P3.3.5 P (W),P3.3.6 P (W),P3.3.7 P (W),P3.3.8 P (W),P3.3.9 P (W),P3.3.11 P (W),P3.3.12 P (W),P3.3.13 P (W),P3.3.14 P (W),P3.3.15 P (W),P3.3.16 P (W),P3.4.1 P (W),P3.4.2 P (W),P3.4.3 P (W),P3.4.4 P (W),P3.4.5 P (W),P3.4.6 P (W),P3.4.7 P (W),P3.4.8 P (W),P3.4.10 P (W),P3.4.11 P (W),P3.4.12 P (W),P3.4.13 P (W),P3.4.14 P (W),P3.4.16 P (W),P3.5.1 P (W),P3.5.2 P (W),P3.5.3 P (W),P3.5.4 P (W),P3.5.5 P (W),P3.5.6 P (W),P3.5.8 P (W),P3.5.9 P (W),P3.5.10 P (W),P3.5.11 P (W),P3.5.12 P (W),P3.5.13 P (W),P3.5.14 P (W),P3.5.15 P (W),P3.5.16 P (W),P3.6.1 P (W),P3.6.2 P (W),P3.6.3 P (W),P3.6.4 P (W),P3.6.5 P (W),P3.6.6 P (W),P3.6.7 P (W),P3.6.8 P (W),P3.6.9 P (W),P3.6.10 P (W),P3.6.12 P (W),P3.6.13 P (W),P3.6.14 P (W),P3.6.15 P (W),P3.6.16 P (W),P3.7.1 P (W),P3.7.2 P (W),P3.7.3 P (W),P3.7.4 P (W),P3.7.5 P (W),P3.7.6 P (W),P3.7.7 P (W),P3.7.8 P (W),P3.7.9 P (W),P3.7.10 P (W),P3.7.11 P (W),P3.7.12 P (W),P3.7.13 P (W),P3.7.14 P (W),P3.7.15 P (W),P3.7.16 P (W),P3.8.1 P (W),P3.8.2 P (W),P3.8.3 P (W),P3.8.4 P (W),P3.8.5 P (W),P3.8.6 P (W),P3.8.7 P (W),P3.8.8 P (W),P3.8.9 P (W),P3.8.10 P (W),P3.8.11 P (W),P3.8.12 P (W),P3.8.13 P (W),P3.8.14 P (W),P3.8.15 P (W),P3.8.16 P (W)
0,2021-04-14,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-14,06:15:00,8.15975,14.24025,11.869033333333334,14.479433333333333,16.6211,12.106,15.750575000000001,11.791775000000001,16.826066666666666,20.75425,20.32695,14.9167,14.2672,19.191399999999998,12.798966666666667,11.233333333333334,15.208599999999999,19.0797,13.1133,8.64725,27.6117,17.520833333333332,17.232533333333333,16.080233333333336,18.851033333333334,19.7987,13.384,12.711966666666667,12.549733333333334,10.710166666666666,12.534,12.590100000000001,7.008866666666667,18.30975,19.85625,18.912233333333333,14.627066666666666,16.475266666666666,17.3961,24.864833333333333,18.70703333333333,15.125,19.5586,10.009,10.2599,20.3203,17.092466666666667,20.057533333333335,19.1834,10.757833333333332,15.338299999999998,13.6625,14.3211,12.94825,22.679875,14.484900000000001,23.41016666666667,16.324233333333336,14.8469,16.0746,28.475,11.06015,20.150533333333332,20.410666666666668,15.913000000000002,12.596366666666668,11.931233333333333,16.42186666666667,14.269033333333333,20.4284,14.5068,23.289450000000002,17.982533333333333,17.285933333333332,20.603099999999998,14.973166666666666,19.026600000000002,16.185933333333335,16.768,15.963033333333334,15.502699999999999,9.545300000000001,12.7443,15.668733333333334,19.833199999999998,25.736525,17.63865,21.673825,19.31445,18.973966666666666,19.308974999999997,21.272133333333333,18.919325,16.9023,23.4592,18.22345,14.550000000000002,9.977350000000001,12.056766666666666,14.694266666666666,19.341133333333335,17.422825,17.747366666666665,19.6099,17.395833333333332,12.158333333333331,11.907533333333333,10.776333333333334,10.156266666666667,10.935966666666667,11.0904,15.363533333333331,11.230466666666667,9.231266666666667,14.55573333333333,14.288833333333335,7.814566666666667,11.8474,16.4,10.8297,11.045833333333334
2,2021-04-14,06:30:00,20.6016,23.52886666666667,20.58046666666667,39.0375,39.87213333333333,28.4131,41.88865,43.83515,40.069266666666664,40.42966666666667,51.7879,43.13853333333333,32.168,54.09255,24.690633333333334,24.614066666666663,26.1185,40.86795,38.82086666666667,54.6953,42.67006666666666,47.933975000000004,43.24556666666666,43.653933333333335,42.171866666666666,46.703633333333336,39.25546666666667,43.6352,37.5672,21.578400000000002,27.54375,24.494533333333333,40.684375,42.6703,48.28515,46.7159,35.97385,43.82373333333334,43.3922,50.492549999999994,50.219725,43.41513333333333,43.786699999999996,23.29843333333333,22.88595,41.102599999999995,47.967975,33.84296666666667,46.010149999999996,39.0713,29.1461,25.210900000000002,27.229166666666668,26.9625,51.5004,50.060375,51.91303333333334,44.53723333333334,45.13005,44.991666666666674,46.39610000000001,47.39193333333333,45.0607,49.2422,42.00286666666667,25.250266666666665,25.70103333333333,29.9807,42.5797,45.41015,45.867000000000004,44.14025,45.777899999999995,44.0542,46.59010000000001,47.6359,40.05936666666667,53.13435,51.5504,48.758866666666655,26.58515,22.16143333333333,25.904933333333332,30.427066666666665,48.724199999999996,56.897933333333334,42.539825,53.6732,48.73883333333333,50.1582,54.4824,53.271100000000004,47.4125,43.393750000000004,59.947399999999995,30.0185,28.091433333333338,22.502566666666667,24.89845,40.1664,46.91015,48.309599999999996,42.198433333333334,44.37473333333333,38.6297,22.73905,28.267966666666666,26.0766,23.46666666666667,23.743233333333333,26.15,28.5957,23.923166666666663,24.703933333333335,28.423166666666663,24.694499999999998,20.470299999999998,23.50975,28.268,25.13803333333333,24.93046666666667
3,2021-04-14,06:45:00,31.984133333333332,39.8841,42.77473333333333,75.35974999999999,74.01875,55.238033333333334,86.5531,77.17345,81.60115,82.31873333333334,89.77266666666667,98.2414,77.85783333333332,86.19063333333332,52.10753333333334,44.115633333333335,42.651599999999995,79.10573333333333,99.6227,86.5617,83.3551,99.1719,83.84193333333333,96.5594,86.29973333333334,82.92293333333333,83.163,80.31356666666666,79.8557,53.24255,49.59116666666666,39.4422,71.68906666666668,82.79063333333333,70.87185,84.3875,63.050533333333334,75.0508,86.32369999999999,85.793,87.33285000000001,66.69009999999999,82.04415,49.60726666666667,44.475500000000004,82.0956,93.76716666666668,67.27033333333334,83.89946666666667,90.3496,48.74295,41.75546666666667,46.589333333333336,47.13306666666666,81.694325,89.86525,88.0461,89.06850000000001,74.96329999999999,83.83906666666667,96.05075,90.35624999999999,85.85156666666667,82.95443333333333,79.36146666666667,48.6961,46.20963333333333,49.17446666666666,78.32526666666666,83.25704999999999,90.03125,82.32815,84.89999999999999,87.83776666666667,82.56356666666667,85.95263333333334,83.09113333333333,90.08203333333334,82.69946666666667,93.17943333333334,46.86146666666667,43.426575,45.50665,49.90833333333333,86.10753333333332,95.4422,76.94583333333334,90.9633,98.34530000000001,80.381625,87.4836,89.003525,83.07786666666665,92.7875,100.3711,53.057566666666666,51.20993333333333,39.81875,37.55546666666667,82.45986666666666,77.48803333333335,92.6648,68.80653333333333,81.54166666666667,62.15676666666667,53.759899999999995,61.07345,50.58879999999999,49.79243333333333,52.29793333333333,58.521100000000004,52.2533,47.550533333333334,48.421099999999996,53.64243333333334,48.32919999999999,34.6875,46.4245,55.5078,46.890633333333334,58.00935
4,2021-04-14,07:00:00,34.5625,44.24606666666667,52.7203,94.18046666666667,114.3789,99.84025,87.04063333333333,101.0711,96.41035,99.6715,102.9724,123.04790000000001,98.675,98.83203333333334,65.3875,79.38439999999999,46.63413333333333,92.07735,109.01929999999999,117.2031,107.44923333333332,100.70665,97.00286666666666,100.85195,83.41976666666666,104.60340000000001,104.25366666666667,110.13566666666667,88.24725000000001,62.44506666666667,74.99414999999999,46.81746666666667,94.5,102.13085000000001,120.63256666666666,89.43646666666666,86.15705,109.71353333333333,96.82423333333334,105.30993333333333,106.60079999999999,93.2039,113.60470000000001,71.1285,51.46823333333333,107.88439999999999,123.34805,117.43205,105.0474,127.6055,64.22556666666667,52.27006666666667,105.3815,87.08555,127.9992,101.31643333333334,106.95235,105.96873333333333,117.74455,112.26795,135.4078,101.339275,103.33696666666667,94.96746666666667,115.65705000000001,109.8211,94.24713333333334,94.75505,117.24373333333334,138.0129,96.55177499999999,111.50993333333334,79.95275000000001,109.00806666666666,92.76383333333332,98.16525,104.16175,124.5031,105.52996666666667,101.44816666666668,112.62369999999999,83.40075,97.06796666666666,108.11276666666667,113.74373333333334,108.00545,100.91980000000001,100.70450000000001,100.73535,113.97855000000001,112.2043,138.2031,119.72840000000001,92.48203333333333,113.35783333333335,97.34086666666667,74.48204999999999,44.6516,47.355199999999996,90.06169999999999,89.3084,94.77866666666667,108.60366666666668,105.47086666666667,101.29480000000001,72.5195,88.9578,71.03125,58.77996666666667,68.91853333333334,70.9133,67.56795,67.3737,70.0849,88.25309999999999,74.11123333333335,67.8914,67.4422,73.2875,63.718766666666674,67.05963333333334
5,2021-04-14,07:15:00,33.462266666666665,38.8957,59.91536666666667,143.5414,142.4927,141.56223333333332,149.78333333333333,138.33555,148.34179999999998,145.3966333333333,155.8875,148.7052,140.42345,150.51445,92.2276,89.56096666666667,45.2867,125.186525,146.0836,143.636125,127.9193,157.74435,158.9328,148.0844,155.84893333333335,113.11325,152.16326666666666,152.85783333333333,131.7418,81.6047,86.33595,43.330466666666666,140.78076666666666,150.9052,148.2630333333333,132.61743333333334,127.92006666666667,149.64036666666667,111.9535,151.03776666666667,154.11873333333332,147.61303333333333,146.1328,87.83856666666667,84.54025,142.57145,154.076175,152.45860000000002,147.25315,153.05103333333332,111.825575,47.68646666666667,126.64063333333331,163.22265,147.61055,153.23853333333332,155.17419999999998,125.50806666666666,151.08540000000002,157.73723333333334,160.3198,150.20780000000002,159.525,146.893,165.64255,124.61666666666667,151.54745,155.3367,153.38356666666667,142.49193333333332,129.46096666666668,148.8953,156.84403333333333,130.0078,148.697475,144.0026,150.7914,155.77056666666667,155.9958333333333,158.48566666666667,137.7875,148.2078,123.83126666666668,158.15496666666667,150.4172,168.1633,156.9838333333333,173.15053333333333,166.15779999999998,160.34145,166.9262,165.4289,145.316,121.91746666666666,167.5547,161.86746666666667,155.35649999999998,40.25546666666667,40.01403333333334,144.22656666666666,124.29765,132.21563333333333,152.44033333333334,148.6957,123.7047,99.33096666666665,100.05469999999998,100.78410000000001,102.33803333333333,92.6754,85.9875,100.01823333333334,108.6258,82.62656666666666,89.99426666666666,104.75779999999999,74.21196666666667,103.47370000000001,105.5047,101.49556666666666,84.706
6,2021-04-14,07:30:00,40.93515,45.164100000000005,168.5383,170.089625,195.5922,188.782425,149.87603333333334,195.66485,178.09816666666666,109.61250000000001,185.95106666666666,167.45680000000002,150.0547,202.8516,78.41720000000001,111.5172,49.5801,199.61090000000002,194.04190000000003,199.5953,202.45005,172.9708333333333,165.2203,169.10366666666667,161.59166666666667,200.8594,142.39246666666668,158.69636666666668,147.15733333333333,88.13959999999999,119.02575,50.69583333333333,154.0541,153.8828,170.67695,170.0198,135.19636666666668,202.6101666666667,149.96720000000002,181.22345,152.57263333333333,185.23570000000004,154.4893,87.9875,0.0,147.25053333333332,163.6336,162.82916666666668,162.157625,131.02925,207.8164,55.41716666666667,182.44920000000002,204.2461,138.3504,154.01326666666668,138.06755,158.8252666666667,171.23360000000002,159.30156666666667,164.0224,155.36616666666666,195.70703333333336,181.68413333333334,171.49689999999998,152.20603333333335,206.48675,133.23165,175.92369999999997,166.6698,202.94144999999997,159.79583333333332,192.1161666666667,159.8021,184.2176,155.10676666666666,187.4922,132.70665,156.804675,161.68723333333332,179.3528666666667,200.11599999999999,162.20756666666668,160.9391,129.32895,165.28386666666668,204.2535,166.61563333333334,205.3641,175.38320000000002,185.84452499999998,182.69999999999996,155.55833333333334,154.71826666666666,166.9401,165.82500000000002,162.0539,45.9039,46.574466666666666,180.9229,178.946875,150.7388,149.99376666666666,186.57603333333336,128.8367333333333,157.0883,122.69216666666667,148.25355,145.9156,113.0455,141.36406666666667,102.143,113.47003333333333,113.6349,142.4023,134.7435,140.9164,118.39686666666667,136.38696666666667,115.15963333333333,113.12993333333333
7,2021-04-14,07:45:00,40.93593333333334,57.9004,112.96276666666665,152.0672,145.67603333333332,204.69295,142.1258,77.0016,152.81953333333334,212.97654999999997,193.21405,57.9797,141.166,171.03383333333332,99.3227,98.37086666666669,51.45756666666667,155.8164,105.34065000000001,216.1406,102.41953333333333,0.0,205.9582,157.20886666666667,186.65469999999996,134.00543333333334,196.64999999999998,108.8448,173.16353333333333,0.0,90.13045000000001,54.95000000000001,143.14765,108.75935000000001,154.51835,140.25995,124.344,136.14145,178.99609999999998,174.87109999999998,181.0875,112.54845,189.2966,88.16536666666667,86.3307,146.1659,198.6917,155.81250000000003,199.0457,146.43593333333334,138.8379,61.2125,160.50546666666665,185.0121,197.4969,144.8260333333333,179.1891,100.1211,140.10963333333333,180.3271,203.88773333333333,125.78696666666667,119.63669999999999,162.0362,126.18123333333331,147.17655,173.6553,142.1229,114.468175,187.85963333333333,160.1927,161.65234999999998,110.27396666666668,192.5918,171.61955,160.1693,120.1289,185.59376666666665,148.68905,139.87185,188.2526,153.23595,187.9073,162.87763333333334,131.8125,231.96693333333334,126.219,143.7961,133.5547,121.3969,197.96875,144.84869999999998,134.46876666666665,162.56465,173.39170000000001,181.4395,143.85936666666666,54.681000000000004,67.666425,180.18259999999998,176.26015,126.72473333333335,141.1414,147.12969999999999,117.52916666666665,162.54686666666666,123.66199999999999,135.655,134.9086,120.71616666666667,105.71923333333332,120.78150000000001,100.882,131.34503333333333,130.3492,124.76769999999999,130.7435,106.71560000000001,118.62606666666666,122.64375,112.1974
8,2021-04-14,08:00:00,112.93596666666667,150.7617,184.96900000000002,245.06483333333335,209.08710000000002,269.0625,194.35,234.412,189.5862,228.96353333333332,265.30275,256.76486666666665,254.9832,167.28515000000002,127.47056666666667,146.25664999999998,151.64090000000002,191.1755333333333,64.2875,249.15183333333334,241.68285,196.8898333333333,252.83256666666668,253.6698,259.87149999999997,197.4612,252.32240000000002,247.86995,251.2453,138.1336,189.88176666666664,101.27109999999999,244.68475,195.36406666666667,264.8281,256.3461,137.20624999999998,254.54426666666666,187.25,194.2888,192.02969999999996,198.1572666666667,240.80286666666666,165.72396666666666,190.1125,264.58099999999996,209.65963333333335,264.53245,251.23787500000003,264.0312,205.6070333333333,258.2078333333333,164.9008,269.53596666666664,246.1882666666667,262.1625,209.6901333333333,198.13539999999998,201.1138,264.3755333333333,212.09663333333333,257.52774999999997,266.06034999999997,261.9039,198.07213333333334,191.51143333333334,263.95855,245.68383333333335,263.61095,270.0,195.31719999999999,263.88436666666666,260.52553333333327,269.255275,195.31016666666667,269.0898333333334,269.5336,264.99556666666666,195.80753333333337,265.6237,267.9992333333334,210.46855,202.26066666666668,272.05625,195.48620000000003,255.5685,196.32786666666667,199.99846666666667,167.74415,198.7523666666667,271.069,268.7125,251.9789,265.85155,279.28319999999997,273.16325,164.50625,179.30313333333334,192.22385,249.78776666666667,190.9547,189.10156666666663,191.29793333333336,194.9958333333333,210.53046666666668,208.72293333333334,190.63475,200.36299999999997,154.5677,204.27396666666667,155.50726666666665,202.56365,153.24216666666666,200.82136666666668,207.03016666666667,157.04113333333333,193.21563333333333,163.809975,158.74583333333334,210.16459999999998,164.6393
9,2021-04-14,08:15:00,219.73306666666667,269.8297,283.16276666666664,290.89685000000003,291.94059999999996,280.6268333333333,283.1096333333333,275.7586,265.21055,288.8661333333334,292.01486666666665,269.0297,273.59295,0.0,251.4898333333333,230.11826666666664,249.02345000000003,286.97813333333335,280.67736666666667,285.7281,287.0591,284.04645,272.9482,281.6198,288.4698,274.0523333333333,283.1593666666667,287.53099999999995,264.22606666666667,239.7969,243.05573333333336,258.3349,267.5416666666667,284.94506666666666,295.9948,263.56196666666665,238.27733333333333,283.2640666666667,281.5586,290.36915,287.6578,286.05783333333335,295.3219,253.21460000000002,217.18125,292.9344,290.0768333333333,300.19686666666666,294.1313,289.4516,294.6081,284.208225,290.8414,0.0,275.6758,289.8716,293.01146666666665,297.44065,254.8742,290.19973333333337,312.73985000000005,260.53865,309.65,291.658,275.6094,293.914275,305.1281,284.79065,286.4515666666667,265.8516,287.34395000000006,292.9797,298.25739999999996,307.2273333333333,294.3627666666667,301.1332,293.94534999999996,294.55465000000004,286.3161333333333,298.1246,281.0391,287.3594,285.2521,307.2950666666666,288.9807333333333,289.34569999999997,286.07033333333334,296.06404999999995,298.55286666666666,285.7945333333334,305.83090000000004,303.782425,290.35863333333333,292.325775,298.9594,304.1346666666667,300.3888,274.2188,265.7411333333333,258.79476666666665,278.465825,263.6911666666667,286.6112,266.3617,235.0969,234.4531,246.92343333333335,237.96196666666665,227.7734,226.44065,231.65286666666665,235.92136666666667,230.80676666666668,214.85676666666666,221.82735000000002,235.68853333333334,223.3805,234.40053333333333,243.8117,242.5781,239.41303333333335
