,Data,Hora,P4.1.1 V (V),P4.1.2 V (V),P4.1.3 V (V),P4.1.4 V (V),P4.1.5 V (V),P4.1.6 V (V),P4.1.7 V (V),P4.1.8 V (V),P4.1.9 V (V),P4.1.10 V (V),P4.1.11 V (V),P4.1.12 V (V),P4.1.13 V (V),P4.1.14 V (V),P4.1.15 V (V),P4.1.16 V (V),P4.1.17 V (V),P4.1.18 V (V),P4.1.19 V (V),P4.1.20 V (V),P4.1.21 V (V),P4.1.22 V (V),P4.2.1 V (V),P4.2.2 V (V),P4.2.3 V (V),P4.2.4 V (V),P4.2.5 V (V),P4.2.6 V (V),P4.2.7 V (V),P4.2.8 V (V),P4.2.9 V (V),P4.2.10 V (V),P4.2.11 V (V),P4.2.12 V (V),P4.2.13 V (V),P4.2.14 V (V),P4.2.15 V (V),P4.2.16 V (V),P4.2.17 V (V),P4.2.18 V (V),P4.2.19 V (V),P4.2.20 V (V),P4.2.21 V (V),P4.2.22 V (V),P4.3.1 V (V),P4.3.2 V (V),P4.3.3 V (V),P4.3.4 V (V),P4.3.5 V (V),P4.3.6 V (V),P4.3.8 V (V),P4.3.9 V (V),P4.3.10 V (V),P4.3.11 V (V),P4.3.12 V (V),P4.3.13 V (V),P4.3.14 V (V),P4.3.15 V (V),P4.3.16 V (V),P4.3.17 V (V),P4.3.18 V (V),P4.3.19 V (V),P4.3.20 V (V),P4.3.21 V (V),P4.3.22 V (V),P4.4.1 V (V),P4.4.2 V (V),P4.4.3 V (V),P4.4.4 V (V),P4.4.5 V (V),P4.4.6 V (V),P4.4.7 V (V),P4.4.8 V (V),P4.4.9 V (V),P4.4.10 V (V),P4.4.11 V (V),P4.4.12 V (V),P4.4.13 V (V),P4.4.14 V (V),P4.4.15 V (V),P4.4.16 V (V),P4.4.17 V (V),P4.4.18 V (V),P4.4.19 V (V),P4.4.20 V (V),P4.5.1 V (V),P4.5.2 V (V),P4.5.3 V (V),P4.5.4 V (V),P4.5.5 V (V),P4.5.6 V (V),P4.5.7 V (V),P4.5.8 V (V),P4.5.10 V (V),P4.5.11 V (V),P4.5.12 V (V),P4.5.13 V (V),P4.5.14 V (V),P4.5.15 V (V),P4.5.16 V (V),P4.5.18 V (V),P4.5.19 V (V),P4.5.20 V (V),P4.5.21 V (V),P4.5.22 V (V),P4.6.1 V (V),P4.6.2 V (V),P4.6.3 V (V),P4.6.4 V (V),P4.6.5 V (V),P4.6.6 V (V),P4.6.7 V (V),P4.6.8 V (V),P4.6.9 V (V),P4.6.10 V (V),P4.6.11 V (V),P4.6.12 V (V),P4.6.13 V (V),P4.6.14 V (V),P4.6.15 V (V),P4.6.16 V (V),P4.6.17 V (V),P4.6.18 V (V),P4.6.19 V (V),P4.6.20 V (V),P4.6.21 V (V),P4.6.22 V (V),P4.7.1 V (V),P4.7.2 V (V),P4.7.3 V (V),P4.7.4 V (V),P4.7.5 V (V),P4.7.6 V (V),P4.7.7 V (V),P4.7.8 V (V),P4.7.9 V (V),P4.7.10 V (V),P4.7.11 V (V),P4.7.12 V (V),P4.7.13 V (V),P4.7.14 V (V),P4.7.15 V (V),P4.7.16 V (V),P4.7.17 V (V),P4.7.18 V (V),P4.7.19 V (V),P4.7.20 V (V),P4.7.21 V (V),P4.7.22 V (V),P4.8.1 V (V),P4.8.2 V (V),P4.8.3 V (V),P4.8.4 V (V),P4.8.5 V (V),P4.8.6 V (V),P4.8.7 V (V),P4.8.8 V (V),P4.8.9 V (V),P4.8.10 V (V),P4.8.11 V (V),P4.8.12 V (V),P4.8.13 V (V),P4.8.14 V (V),P4.8.15 V (V),P4.8.16 V (V),P4.8.17 V (V),P4.8.18 V (V),P4.8.19 V (V),P4.8.20 V (V),P4.8.21 V (V),P4.8.22 V (V),P4.9.1 V (V),P4.9.2 V (V),P4.9.3 V (V),P4.9.4 V (V),P4.9.5 V (V),P4.9.6 V (V),P4.9.7 V (V),P4.9.8 V (V),P4.9.9 V (V),P4.9.10 V (V),P4.9.11 V (V),P4.9.12 V (V),P4.9.13 V (V),P4.9.14 V (V),P4.9.15 V (V),P4.9.16 V (V),P4.9.17 V (V),P4.9.18 V (V),P4.9.19 V (V),P4.9.20 V (V),P4.9.21 V (V),P4.9.22 V (V)
0,2021-08-04,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-08-04,06:15:00,61.75,52.041666666666664,52.75,67.41666666666667,61.375,63.0,62.3125,63.0,47.125,58.25,60.4375,56.75,55.291666666666664,53.416666666666664,0.0,59.5625,66.25,61.375,62.8125,59.125,59.125,61.708333333333336,60.208333333333336,52.5625,62.666666666666664,57.291666666666664,65.58333333333333,57.125,62.9375,65.125,59.666666666666664,52.875,60.8125,63.8125,60.833333333333336,47.5,66.5,60.0,64.28125,62.791666666666664,62.083333333333336,64.125,62.583333333333336,57.6875,61.916666666666664,61.6875,58.166666666666664,0.0,58.6875,63.0,60.708333333333336,55.6875,55.875,71.5,61.9375,64.375,60.208333333333336,64.58333333333333,65.125,64.0625,67.3125,62.3125,41.708333333333336,62.291666666666664,51.416666666666664,63.166666666666664,56.083333333333336,58.708333333333336,46.375,54.4375,63.083333333333336,57.59375,62.3125,64.4375,60.458333333333336,65.25,61.791666666666664,61.6875,59.958333333333336,64.4375,53.625,65.33333333333333,60.791666666666664,52.1875,61.375,59.4375,56.916666666666664,60.9375,46.125,55.041666666666664,59.5,65.33333333333333,62.75,57.3125,61.75,64.8125,54.583333333333336,60.458333333333336,62.25,63.041666666666664,64.83333333333333,52.375,42.6875,58.666666666666664,47.21875,61.416666666666664,65.3125,62.958333333333336,38.0,57.6875,62.666666666666664,64.0,61.458333333333336,50.75,67.04166666666667,62.583333333333336,62.75,66.4375,50.625,65.16666666666667,63.791666666666664,64.375,62.125,62.541666666666664,65.125,67.70833333333333,56.958333333333336,61.166666666666664,58.166666666666664,52.875,61.5,59.71875,57.125,59.875,63.25,53.416666666666664,58.708333333333336,60.875,55.75,65.04166666666667,64.58333333333333,62.9375,66.5,50.5625,59.4375,44.4375,61.75,63.84375,64.375,64.54166666666667,62.125,0.0,65.125,51.666666666666664,63.333333333333336,61.75,64.375,61.958333333333336,59.625,62.875,65.66666666666667,64.58333333333333,61.833333333333336,61.625,63.625,65.6875,63.708333333333336,62.5,64.45833333333333,54.625,61.375,61.4375,62.0,60.708333333333336,61.458333333333336,57.125,63.25,59.416666666666664,68.15625,60.541666666666664,62.75,43.083333333333336,56.0625,58.625,46.375,64.625,57.541666666666664,57.916666666666664,62.708333333333336,65.125,67.08333333333333,62.625,65.29166666666667
2,2021-08-04,06:30:00,70.125,63.625,66.75,65.41666666666667,67.16666666666667,67.5625,62.8125,64.29166666666667,66.0,66.375,67.125,65.79166666666667,65.83333333333333,63.9375,46.3125,67.0,67.375,70.41666666666667,72.25,72.4375,71.1875,67.125,70.5,71.04166666666667,69.04166666666667,66.875,66.70833333333333,67.4375,65.3125,67.625,65.5,64.33333333333333,67.375,64.75,64.875,62.5,65.04166666666667,63.583333333333336,63.6875,65.70833333333333,67.125,66.375,64.29166666666667,62.75,67.91666666666667,65.08333333333333,63.166666666666664,66.5,59.0,65.6875,65.1875,61.5,63.5,65.4375,67.58333333333333,66.625,65.91666666666667,65.1875,67.0,67.0,67.5,64.4375,42.5,66.0,63.75,66.375,63.4375,65.04166666666667,54.25,59.75,65.8125,63.3125,65.83333333333333,64.5625,67.25,64.625,67.375,65.9375,65.95833333333333,65.75,65.5,67.0625,66.3125,61.125,63.5625,66.5,66.5625,64.75,64.34375,64.75,61.8125,63.833333333333336,65.58333333333333,66.29166666666667,68.3125,60.75,64.625,61.5625,63.25,66.375,66.875,61.416666666666664,63.75,62.59375,63.9375,65.54166666666667,63.25,66.25,56.96875,62.666666666666664,65.4375,65.75,65.5625,62.6875,66.5,65.95833333333333,64.70833333333333,65.375,65.3125,63.1875,64.41666666666667,67.5625,65.96875,64.3125,64.79166666666667,66.125,64.375,63.916666666666664,63.875,63.40625,67.0625,65.125,64.45833333333333,64.4375,65.5,59.791666666666664,64.375,63.708333333333336,65.58333333333333,65.79166666666667,64.29166666666667,65.5625,65.66666666666667,66.79166666666667,64.41666666666667,62.75,65.625,64.6875,65.95833333333333,67.875,65.875,64.66666666666667,64.16666666666667,62.125,68.0625,65.8125,65.29166666666667,66.66666666666667,64.25,62.791666666666664,67.6875,66.625,65.125,65.625,66.04166666666667,65.70833333333333,65.5,66.5,66.54166666666667,64.625,64.29166666666667,65.58333333333333,63.791666666666664,65.75,63.25,65.95833333333333,65.66666666666667,62.791666666666664,66.375,64.9375,68.0,46.375,65.375,68.0,64.0,63.416666666666664,63.375,62.416666666666664,66.1875,64.125,65.6875,63.875,67.83333333333333
3,2021-08-04,06:45:00,70.16666666666667,71.03125,72.6875,70.875,71.75,71.95833333333333,72.375,74.95833333333333,74.25,72.125,68.625,68.875,67.25,65.625,61.958333333333336,73.29166666666667,74.8125,79.08333333333333,76.625,79.91666666666667,80.16666666666667,79.9375,77.3125,79.25,76.875,74.375,71.45833333333333,70.29166666666667,69.625,70.66666666666667,69.0625,65.25,68.625,69.0,67.33333333333333,63.625,68.08333333333333,64.0,67.5625,67.0,67.75,67.125,67.5,66.91666666666667,68.79166666666667,67.375,64.29166666666667,68.625,67.16666666666667,68.54166666666667,70.20833333333333,67.58333333333333,65.1875,67.625,69.3125,68.40625,63.75,66.65625,69.375,68.75,68.9375,65.91666666666667,42.541666666666664,67.29166666666667,65.20833333333333,69.5,66.0625,67.75,62.875,64.25,65.20833333333333,67.33333333333333,68.125,64.875,66.375,67.6875,68.375,68.0625,65.79166666666667,67.5,61.3125,67.40625,66.29166666666667,65.1875,66.41666666666667,67.5625,65.70833333333333,66.875,66.0,67.75,62.4375,67.45833333333333,66.75,65.875,66.5,66.8125,66.95833333333333,65.04166666666667,65.0625,66.125,67.79166666666667,63.75,63.9375,64.0625,65.0625,68.25,65.79166666666667,68.6875,67.375,65.9375,67.33333333333333,66.0625,66.625,66.125,68.6875,67.20833333333333,64.875,67.70833333333333,64.875,65.625,64.375,68.0,67.25,66.84375,66.625,67.4375,64.21875,63.4375,67.375,66.0625,67.40625,66.91666666666667,65.90625,66.9375,69.20833333333333,63.958333333333336,67.08333333333333,67.4375,67.75,66.33333333333333,67.0,66.3125,67.1875,65.6875,63.0625,64.0625,66.90625,64.95833333333333,66.95833333333333,67.70833333333333,67.75,65.45833333333333,66.3125,64.625,65.1875,66.0,65.5,67.33333333333333,67.6875,64.625,68.45833333333333,68.0,66.5,68.9375,70.04166666666667,67.375,66.5,69.125,64.95833333333333,64.54166666666667,66.83333333333333,65.5,65.375,67.125,66.83333333333333,68.25,64.95833333333333,66.09375,67.95833333333333,65.875,69.0,65.375,66.8125,70.75,62.333333333333336,66.0,66.25,64.29166666666667,61.666666666666664,65.75,64.0625,66.5,67.625
4,2021-08-04,07:00:00,71.41666666666667,72.125,73.58333333333333,72.8125,72.3125,73.25,72.95833333333333,75.375,78.3125,77.375,75.375,75.8125,72.58333333333333,74.5625,67.29166666666667,75.91666666666667,79.375,78.58333333333333,75.3125,75.375,75.125,75.4375,80.25,79.0,80.66666666666667,67.70833333333333,79.29166666666667,79.0,73.5,72.41666666666667,67.125,69.16666666666667,73.29166666666667,73.79166666666667,68.5625,70.5625,78.5,72.83333333333333,71.0,74.45833333333333,71.83333333333333,72.75,69.95833333333333,65.33333333333333,70.375,72.0,68.04166666666667,66.5,68.70833333333333,68.5625,70.625,68.70833333333333,65.3125,68.75,67.375,70.16666666666667,66.78125,67.5,69.5625,69.45833333333333,69.625,69.95833333333333,45.5,68.58333333333333,0.0,68.91666666666667,68.83333333333333,63.875,63.1875,66.83333333333333,67.875,67.33333333333333,66.375,68.5,66.6875,69.625,67.41666666666667,69.08333333333333,70.75,67.25,65.4375,69.1875,66.66666666666667,65.875,68.0,68.53125,66.66666666666667,67.8125,66.79166666666667,68.9375,67.41666666666667,67.75,68.16666666666667,67.3125,67.29166666666667,66.875,66.91666666666667,66.0,64.8125,67.16666666666667,67.58333333333333,66.04166666666667,64.0625,67.875,66.0,68.125,65.125,69.54166666666667,66.125,68.25,69.8125,68.3125,67.375,63.625,68.375,67.625,69.75,67.625,65.5,66.5625,65.16666666666667,0.0,68.0,67.875,69.58333333333333,68.0,67.125,65.1875,66.54166666666667,68.04166666666667,67.8125,65.78125,64.75,67.8125,69.83333333333333,67.25,68.45833333333333,67.125,68.08333333333333,69.08333333333333,68.0,67.53125,69.125,64.3125,69.4375,66.25,67.25,67.20833333333333,68.66666666666667,69.04166666666667,67.0625,67.0,66.5,66.5,65.91666666666667,68.5,67.6875,69.33333333333333,66.79166666666667,69.0,68.75,68.20833333333333,67.04166666666667,68.75,69.90625,68.33333333333333,67.5,68.83333333333333,67.5,66.875,67.08333333333333,63.75,66.0,68.125,67.70833333333333,68.45833333333333,67.33333333333333,68.25,67.375,68.29166666666667,69.125,66.75,66.25,67.33333333333333,63.9375,65.75,65.125,63.375,64.58333333333333,68.375,66.58333333333333,66.33333333333333,68.16666666666667
5,2021-08-04,07:15:00,73.5,72.5625,73.25,72.625,72.83333333333333,73.08333333333333,72.0,76.4375,72.9375,77.83333333333333,81.0625,78.5625,72.25,72.5625,69.4375,80.125,81.5625,76.04166666666667,74.45833333333333,74.20833333333333,74.08333333333333,73.66666666666667,76.75,77.5625,80.95833333333333,73.20833333333333,75.0625,75.25,74.33333333333333,74.91666666666667,74.5,73.70833333333333,74.1875,72.875,73.0,74.125,75.04166666666667,74.125,73.66666666666667,75.66666666666667,73.0625,77.54166666666667,75.0,72.9375,78.95833333333333,80.75,78.0,77.4375,80.0,79.6875,78.09375,75.4375,78.45833333333333,77.25,78.83333333333333,74.9375,70.8125,68.875,70.45833333333333,71.125,71.5,70.83333333333333,48.1875,69.25,68.96875,70.0,69.66666666666667,67.9375,68.375,67.66666666666667,68.08333333333333,68.04166666666667,69.75,68.375,70.125,70.70833333333333,70.0,70.58333333333333,67.25,70.4375,69.25,69.66666666666667,67.79166666666667,68.875,67.75,69.25,69.54166666666667,71.1875,69.0,69.625,67.125,69.25,70.0,68.875,69.29166666666667,67.71875,68.875,69.125,67.0625,67.5625,69.625,67.6875,67.9375,67.20833333333333,68.46875,70.125,69.16666666666667,71.125,67.875,67.79166666666667,69.875,72.79166666666667,72.71875,68.5,71.75,71.20833333333333,69.66666666666667,69.5,68.79166666666667,70.90625,69.0,71.3125,70.25,70.08333333333333,69.70833333333333,68.625,68.125,68.58333333333333,68.75,67.66666666666667,69.79166666666667,67.70833333333333,68.79166666666667,68.25,71.125,69.125,67.08333333333333,68.375,69.625,67.875,69.625,68.375,69.58333333333333,67.5,70.45833333333333,66.66666666666667,68.875,70.08333333333333,69.8125,70.6875,68.875,71.25,69.875,68.0,68.95833333333333,70.25,69.41666666666667,70.875,69.66666666666667,70.125,68.8125,70.83333333333333,70.91666666666667,70.1875,71.25,70.25,69.40625,69.6875,69.45833333333333,67.95833333333333,68.375,68.04166666666667,69.0,65.875,68.625,67.375,69.125,68.125,70.0,69.3125,70.08333333333333,66.875,67.5625,68.8125,66.41666666666667,69.0,67.8125,67.9375,66.125,67.9375,65.08333333333333,67.75,68.70833333333333
6,2021-08-04,07:30:00,71.70833333333333,72.40625,72.5,72.16666666666667,71.9375,72.125,71.75,75.5,71.625,72.4375,80.66666666666667,78.5,77.15625,76.9375,73.33333333333333,73.5,73.66666666666667,71.91666666666667,73.33333333333333,73.0625,71.5,72.25,74.75,77.125,82.20833333333333,76.25,74.8125,74.1875,73.6875,74.41666666666667,73.75,73.58333333333333,73.125,72.8125,73.29166666666667,74.25,75.375,74.5,74.125,72.875,73.8125,79.58333333333333,79.29166666666667,77.6875,81.20833333333333,81.5,75.58333333333333,73.95833333333333,79.3125,79.16666666666667,78.79166666666667,79.16666666666667,76.875,75.4375,81.75,74.5,71.875,70.95833333333333,72.15625,72.0625,72.70833333333333,72.25,49.03125,70.20833333333333,69.5,70.25,67.54166666666667,69.625,67.16666666666667,68.3125,68.875,69.45833333333333,70.58333333333333,69.66666666666667,69.125,72.125,72.9375,71.79166666666667,71.125,71.125,68.75,70.375,73.0,70.66666666666667,69.70833333333333,73.25,69.91666666666667,72.0625,71.1875,72.0,68.91666666666667,70.83333333333333,72.20833333333333,70.125,69.5,69.0625,69.58333333333333,68.875,69.4375,70.08333333333333,70.54166666666667,68.5,69.45833333333333,70.83333333333333,71.25,70.25,70.91666666666667,71.91666666666667,69.25,78.625,81.625,81.70833333333333,81.91666666666667,78.0625,68.375,71.625,72.625,69.20833333333333,69.25,71.5,68.41666666666667,71.375,71.03125,70.375,70.875,69.75,70.125,66.875,69.375,68.04166666666667,69.78125,67.8125,71.0,69.66666666666667,71.5,68.91666666666667,71.5,69.25,70.375,69.91666666666667,69.08333333333333,70.0,70.3125,69.33333333333333,71.5,68.34375,69.25,69.45833333333333,71.45833333333333,71.20833333333333,70.16666666666667,69.29166666666667,70.625,74.625,72.54166666666667,70.6875,75.66666666666667,71.58333333333333,70.4375,69.875,71.66666666666667,71.41666666666667,71.41666666666667,71.54166666666667,72.5,69.875,69.5625,70.0625,70.375,70.6875,69.29166666666667,72.8125,73.0,68.91666666666667,67.875,70.08333333333333,68.875,69.375,70.625,72.25,72.04166666666667,68.09375,70.0,71.58333333333333,68.70833333333333,69.0,68.5,65.125,68.0,70.33333333333333,68.0,67.375,69.875
7,2021-08-04,07:45:00,71.6875,71.125,72.08333333333333,71.33333333333333,71.125,72.5,71.83333333333333,74.95833333333333,72.25,72.0,76.8125,82.25,80.5,78.29166666666667,71.66666666666667,71.875,71.375,71.04166666666667,72.125,71.16666666666667,71.08333333333333,71.08333333333333,74.95833333333333,75.70833333333333,79.91666666666667,79.95833333333333,82.83333333333333,73.41666666666667,72.83333333333333,74.3125,73.75,73.5,72.375,72.66666666666667,71.75,73.83333333333333,74.75,73.5,73.25,72.25,73.1875,73.08333333333333,82.08333333333333,79.95833333333333,77.875,75.75,76.79166666666667,76.70833333333333,78.83333333333333,79.0625,79.1875,66.70833333333333,79.6875,74.45833333333333,76.375,74.3125,67.375,68.41666666666667,70.1875,70.41666666666667,71.5,70.08333333333333,46.125,68.79166666666667,67.0,68.1875,64.04166666666667,66.20833333333333,67.84375,68.08333333333333,69.125,67.8125,66.58333333333333,68.75,69.04166666666667,70.66666666666667,69.54166666666667,70.29166666666667,69.91666666666667,69.20833333333333,68.5,69.0,67.83333333333333,66.5625,68.1875,70.40625,67.375,68.875,68.33333333333333,69.0,67.5,68.45833333333333,68.75,66.54166666666667,69.5625,67.75,67.95833333333333,68.375,65.375,66.95833333333333,69.54166666666667,65.54166666666667,66.58333333333333,68.125,64.95833333333333,70.3125,68.125,69.5625,73.875,78.29166666666667,84.0625,0.0,80.625,77.25,75.875,70.0,68.59375,68.33333333333333,67.375,68.20833333333333,67.16666666666667,70.125,68.16666666666667,68.375,68.0625,68.875,67.96875,67.08333333333333,67.04166666666667,66.875,68.5625,66.96875,67.83333333333333,67.625,69.0,66.58333333333333,67.25,67.75,67.4375,68.1875,69.79166666666667,68.96875,71.04166666666667,71.625,74.04166666666667,71.125,71.75,73.125,75.0,78.83333333333333,76.375,76.70833333333333,76.45833333333333,76.1875,72.0,76.5,79.3125,80.0,79.625,77.375,78.0625,76.625,76.70833333333333,77.25,74.83333333333333,75.75,75.75,72.58333333333333,74.0,75.29166666666667,70.70833333333333,75.20833333333333,69.8125,68.75,67.0625,67.0625,68.6875,70.08333333333333,68.54166666666667,69.375,69.75,67.25,67.41666666666667,69.95833333333333,64.875,64.5,67.875,67.1875,66.6875,66.83333333333333,65.0,66.5,68.375
8,2021-08-04,08:00:00,69.25,69.625,71.0625,70.5,71.75,71.0,71.8125,73.4375,71.08333333333333,71.54166666666667,71.5625,71.625,81.29166666666667,80.375,0.0,71.125,70.45833333333333,71.16666666666667,70.875,70.95833333333333,70.125,70.15625,75.20833333333333,76.5,75.0625,80.70833333333333,81.375,73.45833333333333,73.0625,73.66666666666667,73.79166666666667,72.5,71.5625,71.79166666666667,72.29166666666667,73.625,74.4375,73.375,72.95833333333333,72.20833333333333,73.375,73.25,75.9375,78.5,71.6875,76.5,75.875,74.79166666666667,79.875,79.5,79.875,78.375,78.0,70.75,78.46875,76.41666666666667,73.0,72.375,70.28125,70.5,70.66666666666667,70.625,47.875,67.45833333333333,63.875,68.625,67.25,68.25,68.75,67.125,67.125,67.33333333333333,70.70833333333333,67.875,67.0,70.4375,70.3125,70.58333333333333,68.75,68.33333333333333,67.9375,70.1875,68.0,66.625,67.125,69.5,69.83333333333333,71.625,72.9375,70.5,74.625,75.8125,76.70833333333333,75.375,68.8125,69.66666666666667,68.41666666666667,66.8125,66.625,67.1875,70.5,65.8125,66.91666666666667,68.08333333333333,68.875,69.33333333333333,68.375,69.54166666666667,80.875,84.125,84.3125,82.58333333333333,76.4375,74.09375,72.25,70.0,70.875,69.1875,67.25,65.54166666666667,67.66666666666667,68.25,71.0,71.0625,69.4375,69.5,68.5,67.1875,65.625,66.25,68.875,65.125,69.0,68.75,73.25,71.25,74.54166666666667,75.70833333333333,71.4375,74.75,77.9375,76.875,77.25,82.5,79.0625,76.03125,79.25,83.04166666666667,81.0,76.45833333333333,73.3125,73.375,73.33333333333333,72.875,72.45833333333333,73.33333333333333,73.33333333333333,74.33333333333333,72.41666666666667,74.25,74.03125,75.79166666666667,75.625,75.33333333333333,76.58333333333333,74.08333333333333,73.04166666666667,77.5625,76.33333333333333,76.5,73.29166666666667,79.5,83.1875,83.33333333333333,81.875,80.28125,84.04166666666667,82.45833333333333,69.54166666666667,69.83333333333333,68.95833333333333,66.75,68.04166666666667,70.16666666666667,65.45833333333333,65.91666666666667,65.875,66.125,65.95833333333333,66.95833333333333,66.5,66.58333333333333,66.58333333333333
9,2021-08-04,08:15:00,69.375,69.5,70.625,69.54166666666667,69.83333333333333,70.41666666666667,70.25,72.875,70.25,70.91666666666667,70.45833333333333,71.4375,80.625,77.375,77.53125,70.375,70.33333333333333,69.5,70.625,70.41666666666667,70.375,70.5,75.375,73.3125,76.54166666666667,79.70833333333333,81.375,72.625,72.25,73.33333333333333,72.75,72.125,70.91666666666667,72.0,71.29166666666667,73.20833333333333,74.375,72.3125,72.9375,71.91666666666667,72.5,72.375,0.0,72.16666666666667,71.20833333333333,72.29166666666667,72.75,72.91666666666667,71.75,78.75,78.8125,73.45833333333333,75.28125,73.03125,67.33333333333333,78.4375,74.83333333333333,78.25,73.5,72.20833333333333,71.5,71.5,47.958333333333336,69.41666666666667,65.95833333333333,69.25,68.83333333333333,68.41666666666667,67.54166666666667,66.75,68.25,63.0,68.125,69.04166666666667,68.875,70.5,70.41666666666667,71.1875,70.625,69.79166666666667,68.33333333333333,70.75,67.66666666666667,68.625,68.625,70.25,72.5625,81.8125,84.625,82.0,82.16666666666667,81.91666666666667,82.95833333333333,83.8125,82.875,76.5625,70.16666666666667,68.5,68.45833333333333,69.95833333333333,69.95833333333333,69.04166666666667,66.20833333333333,69.375,67.875,69.75,66.9375,73.75,83.75,83.75,78.375,73.79166666666667,71.6875,68.79166666666667,69.29166666666667,70.1875,68.875,69.625,67.41666666666667,67.75,65.125,69.40625,69.6875,70.0625,75.45833333333333,79.5,82.125,75.3125,67.25,72.125,78.1875,78.125,79.08333333333333,77.58333333333333,78.53125,80.25,74.4375,74.5,74.0,74.3125,73.625,72.91666666666667,73.41666666666667,73.5,74.6875,73.0625,73.25,73.75,73.625,72.66666666666667,73.125,72.66666666666667,73.33333333333333,72.41666666666667,71.79166666666667,73.5625,72.83333333333333,73.70833333333333,72.375,73.41666666666667,73.125,73.875,74.1875,73.75,75.04166666666667,72.83333333333333,72.4375,72.125,72.25,74.54166666666667,72.875,82.54166666666667,83.54166666666667,83.58333333333333,82.0625,82.04166666666667,82.08333333333333,82.83333333333333,68.9375,70.08333333333333,70.9375,67.25,68.4375,70.25,66.04166666666667,68.04166666666667,68.0,66.375,65.9375,66.6875,67.375,71.25,68.125
