,Data,Hora,P3.1.1 P (W),P3.1.2 P (W),P3.1.3 P (W),P3.1.4 P (W),P3.1.5 P (W),P3.1.6 P (W),P3.1.7 P (W),P3.1.8 P (W),P3.1.9 P (W),P3.1.10 P (W),P3.1.11 P (W),P3.1.12 P (W),P3.1.13 P (W),P3.1.14 P (W),P3.1.15 P (W),P3.1.16 P (W),P3.2.1 P (W),P3.2.2 P (W),P3.2.3 P (W),P3.2.4 P (W),P3.2.5 P (W),P3.2.6 P (W),P3.2.7 P (W),P3.2.8 P (W),P3.2.9 P (W),P3.2.10 P (W),P3.2.11 P (W),P3.2.12 P (W),P3.2.13 P (W),P3.2.14 P (W),P3.2.15 P (W),P3.2.16 P (W),P3.3.1 P (W),P3.3.3 P (W),P3.3.4 P (W),P3.3.5 P (W),P3.3.6 P (W),P3.3.7 P (W),P3.3.8 P (W),P3.3.9 P (W),P3.3.11 P (W),P3.3.12 P (W),P3.3.13 P (W),P3.3.14 P (W),P3.3.15 P (W),P3.3.16 P (W),P3.4.1 P (W),P3.4.2 P (W),P3.4.3 P (W),P3.4.4 P (W),P3.4.5 P (W),P3.4.6 P (W),P3.4.7 P (W),P3.4.8 P (W),P3.4.9 P (W),P3.4.10 P (W),P3.4.11 P (W),P3.4.12 P (W),P3.4.13 P (W),P3.4.14 P (W),P3.4.16 P (W),P3.5.1 P (W),P3.5.2 P (W),P3.5.3 P (W),P3.5.4 P (W),P3.5.5 P (W),P3.5.6 P (W),P3.5.8 P (W),P3.5.9 P (W),P3.5.10 P (W),P3.5.11 P (W),P3.5.12 P (W),P3.5.13 P (W),P3.5.14 P (W),P3.5.15 P (W),P3.5.16 P (W),P3.6.1 P (W),P3.6.2 P (W),P3.6.3 P (W),P3.6.4 P (W),P3.6.5 P (W),P3.6.6 P (W),P3.6.7 P (W),P3.6.8 P (W),P3.6.9 P (W),P3.6.10 P (W),P3.6.11 P (W),P3.6.12 P (W),P3.6.13 P (W),P3.6.14 P (W),P3.6.15 P (W),P3.6.16 P (W),P3.7.1 P (W),P3.7.2 P (W),P3.7.3 P (W),P3.7.4 P (W),P3.7.5 P (W),P3.7.6 P (W),P3.7.7 P (W),P3.7.8 P (W),P3.7.9 P (W),P3.7.10 P (W),P3.7.11 P (W),P3.7.12 P (W),P3.7.13 P (W),P3.7.14 P (W),P3.7.15 P (W),P3.7.16 P (W),P3.8.1 P (W),P3.8.2 P (W),P3.8.3 P (W),P3.8.4 P (W),P3.8.5 P (W),P3.8.6 P (W),P3.8.7 P (W),P3.8.8 P (W),P3.8.9 P (W),P3.8.10 P (W),P3.8.11 P (W),P3.8.12 P (W),P3.8.13 P (W),P3.8.14 P (W),P3.8.15 P (W),P3.8.16 P (W)
0,2021-07-04,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-07-04,06:15:00,1.43125,8.8516,6.4547,6.7496,2.1338666666666666,1.5,4.229966666666667,2.64995,6.0875,5.9391,6.17225,6.20895,0.0,11.57225,0.4492,4.1813,3.42655,0.0,6.9308499999999995,3.127375,0.5317375,1.792975,5.918139999999999,7.4219,5.769550000000001,8.3703,9.1016,0.10491428571428572,0.4226545454545455,4.0312,3.5063,1.8867,5.91405,2.55235,5.9547,6.567699999999999,3.7891,2.62345,8.16485,5.5547,9.30895,6.6141,6.4460999999999995,7.014866666666667,5.332,4.4344,2.9899500000000003,2.243275,11.271899999999999,1.5180399999999998,5.11405,8.7828,6.93675,0.9141,8.7828,2.624025,9.880099999999999,6.8664,0.0,1.4294749999999998,0.0,6.2383,8.946100000000001,4.3500499999999995,8.01875,6.1867,7.259399999999999,4.816,0.6267,10.09065,5.1086,5.861750000000001,1.3969,5.495699999999999,3.1504000000000003,1.6752555555555557,6.31955,3.6296999999999997,2.2172,5.5461,1.6100428571428569,2.0385875,7.18715,2.325,7.282,4.45665,1.6063,4.00625,9.7656,1.2552,7.4062,2.199988888888889,4.7865,3.2559625,9.431249999999999,3.5374999999999996,0.2707,9.135549999999999,3.5509666666666666,6.1055,5.82345,6.375,6.28515,4.8281,0.5877875,7.22815,2.7134,3.83362,2.7863333333333333,6.4633,4.9031,3.7734,4.417949999999999,7.34765,7.01095,5.25195,2.2406,8.9547,4.6781,2.9496499999999997,1.1460181818181818,5.0626875,5.20585,3.1562
2,2021-07-04,06:30:00,7.4078,12.654166666666667,9.863850000000001,13.064599999999999,10.013300000000001,12.278133333333335,12.139600000000002,7.1371,9.8508,11.236200000000002,13.0953,10.775033333333333,10.5094,16.984,12.37815,10.214849999999998,11.5078,15.558250000000001,12.767199999999999,12.248850000000001,10.1758,11.703133333333334,13.829133333333333,12.232566666666665,10.4315,13.474233333333332,14.0547,8.501775,9.0607,8.7763,8.1763,12.6375,11.6004,8.95505,13.233833333333335,15.462900000000001,8.190825,9.623433333333333,12.606500000000002,9.3797,16.42373333333333,12.578133333333334,11.122250000000001,14.404433333333332,10.029433333333333,9.654966666666667,12.6573,12.715633333333335,16.1185,11.51715,8.658333333333333,12.5297,11.67775,11.05625,11.5008,11.581000000000001,15.369266666666666,9.7461,15.998625,11.2216,7.2375,13.45275,15.284666666666666,10.044550000000001,14.365366666666667,10.899466666666667,12.6289,10.016633333333333,9.618324999999999,14.791666666666666,8.889866666666666,12.691933333333333,7.964566666666667,10.877600000000001,13.189333333333332,10.0391,11.34455,8.60155,10.1043,10.474466666666666,0.0,10.4262,12.6948,6.851566666666667,11.93555,13.763033333333334,5.178633333333333,9.54885,15.73885,7.728149999999999,13.237675,13.7557,12.31055,13.755099999999999,15.7617,8.060899999999998,9.281766666666668,14.995066666666666,14.635166666666668,10.958599999999999,9.884,11.285375,10.366399999999999,13.4016,9.286466666666668,11.5172,13.947275,11.874425,13.013,9.0789,11.107833333333332,8.0341,10.245033333333334,11.087499999999999,13.550766666666666,10.234133333333332,9.115866666666667,14.158025,11.781,8.514833333333334,13.63555,15.727866666666666,10.73245,8.69765
3,2021-07-04,06:45:00,11.66875,20.490399999999998,14.7094,25.1625,15.311733333333331,15.6004,15.798466666666664,11.803899999999999,9.8438,16.226566666666667,19.77345,10.99805,18.699199999999998,21.49866666666667,15.675799999999999,15.439333333333332,16.74246666666667,21.4539,16.23593333333333,16.0505,11.21485,12.579699999999999,17.999966666666666,18.55003333333333,13.1651,19.93085,15.2625,10.7156,16.8422,15.4044,10.30195,0.0,18.0703,10.78945,20.02855,17.092466666666667,14.078133333333334,13.220333333333334,18.622666666666667,15.782824999999999,16.230449999999998,16.570125,15.9487,16.2719,11.80235,10.77655,17.992166666666666,15.599200000000002,20.4801,17.47695,13.338033333333334,18.059633333333334,17.30625,16.712266666666668,19.260433333333335,16.714066666666668,16.9375,12.716133333333334,23.235166666666668,17.378666666666668,12.886466666666665,17.611966666666667,17.208599999999997,12.498449999999998,14.8867,15.368766666666666,13.3574,15.200766666666667,12.05545,21.427599999999998,10.09765,17.782033333333334,10.343766666666665,11.87575,18.244266666666665,14.190850000000001,16.16385,13.966699999999998,14.459366666666668,15.5448,14.8086,12.963249999999999,17.6909,12.941775,17.409333333333333,18.724233333333334,12.504199999999999,15.785666666666666,22.043233333333333,11.066933333333333,16.6672,17.35605,18.978099999999998,20.144266666666667,20.084133333333334,10.96565,12.383066666666666,20.539333333333335,19.02293333333333,14.249600000000001,12.628133333333333,17.940633333333334,16.027700000000003,18.711966666666665,12.172933333333333,14.6651,18.373166666666666,16.813766666666666,18.39506666666667,12.555466666666666,14.847399999999999,13.579699999999999,15.248966666666666,13.220033333333333,18.2703,14.770299999999999,11.57305,20.164033333333332,17.85685,14.15625,12.9965,21.0362,13.3547,13.06485
4,2021-07-04,07:00:00,0.0,28.1531,27.371066666666668,31.190366666666666,28.36276666666667,32.434799999999996,30.751566666666665,21.3703,25.456075,20.4223,29.33123333333333,23.3625,30.543733333333336,30.00363333333333,30.52213333333333,28.834366666666664,26.817733333333337,27.3059,30.797933333333333,30.873433333333335,26.191933333333335,32.45355,27.3496,28.6844,28.1901,32.0682,33.028666666666666,25.949424999999998,21.5039,26.2945,25.4505,38.675,22.10155,19.9125,31.375533333333333,32.71146666666667,31.39885,22.58595,25.768349999999998,29.751266666666666,29.246633333333335,25.82225,30.848433333333332,32.077575,26.338833333333337,25.36095,23.6141,27.990633333333335,26.8918,20.6641,19.9047,23.125,20.7812,21.931649999999998,32.30625,29.2685,31.8125,27.251066666666663,35.677350000000004,28.265133333333335,20.60235,32.4281,27.435933333333328,19.740650000000002,31.030466666666666,28.741933333333332,31.441933333333328,21.6969,27.605733333333333,33.15416666666667,20.751150000000003,31.73593333333333,25.3152,27.922250000000002,29.201066666666666,28.734400000000004,29.118233333333336,28.399200000000004,28.476566666666667,30.68336666666666,27.102325,27.346449999999997,32.89816666666667,24.48933333333333,28.9297,23.8,23.039450000000002,29.668500000000005,36.4172,28.190366666666666,27.1617,27.8406,33.0495,25.3055,30.283599999999996,26.5182,25.849500000000003,27.693350000000002,28.530500000000004,25.6445,25.886525000000002,22.5516,28.1664,30.804666666666666,25.2456,32.10886666666667,25.684,33.7102,30.7526,19.3973,16.7844,20.74495,29.1465,28.6307,29.62653333333333,26.9974,25.6877,28.441399999999998,30.151566666666668,19.978099999999998,31.447633333333332,30.957833333333337,25.564333333333334,29.11505
5,2021-07-04,07:15:00,36.7953,46.93125,41.06956666666667,45.0,40.63173333333333,41.7797,41.91223333333333,37.055733333333336,44.21693333333334,46.2371,43.58205,40.7625,41.1914,45.693266666666666,41.4,43.43306666666667,44.35886666666667,44.90936666666666,47.802600000000005,43.602599999999995,40.90026666666667,42.0078,47.873850000000004,44.212266666666665,40.3242,44.63333333333333,48.85286666666667,35.311350000000004,42.581649999999996,40.16929999999999,38.76016666666666,46.1266,44.7555,38.19663333333333,46.881299999999996,44.1328,40.516400000000004,34.6172,44.0302,44.8426,44.371900000000004,45.3408,41.2125,46.54923333333334,38.510549999999995,43.102066666666666,45.574733333333334,40.876149999999996,49.56835,43.4578,41.0922,44.675775,43.8341,42.586733333333335,48.1531,45.7448,48.16383333333332,42.92603333333333,49.314600000000006,43.83073333333334,37.8604,44.69743333333334,46.426950000000005,40.3625,47.31835,41.650000000000006,45.29376666666667,40.59116666666667,42.7245,49.559666666666665,44.5352,46.67385,39.897400000000005,42.8682,44.66875,44.7029,43.528633333333325,38.472300000000004,42.0098,43.3922,43.065133333333335,48.275,42.417966666666665,40.35546666666667,45.900400000000005,45.86773333333333,42.56433333333333,41.51486666666667,53.01875,39.0745,48.793775000000004,48.806650000000005,43.811733333333336,44.805275,48.074600000000004,41.331649999999996,40.2504,49.41093333333333,45.937475000000006,43.872274999999995,40.57655,40.09865,45.60886666666667,48.156000000000006,39.854933333333335,44.22655,43.10626666666667,39.95836666666666,43.8646,42.81456666666667,40.28436666666666,41.340625,41.64645,42.94216666666667,46.865633333333335,41.41915,41.0379,48.55295,47.33045,39.6073,45.676950000000005,50.1438,43.8667,43.8047
6,2021-07-04,07:30:00,29.0344,38.20977499999999,17.9781,27.62075,27.39556666666667,33.81613333333333,35.071099999999994,29.26563333333333,30.226950000000002,34.2082,21.84965,31.452524999999998,33.225775,50.5688,32.639825,29.01795,35.814099999999996,29.38906666666667,32.28945,30.526566666666668,31.467966666666666,31.337233333333334,36.457425,31.053433333333334,31.514075000000002,32.423966666666665,33.550999999999995,28.4969,26.866933333333332,40.13595,26.087233333333334,33.22186666666666,32.03435,29.619533333333333,40.888075,29.96835,23.26325,33.75275,30.714600000000004,29.741666666666664,39.1863,42.92575,41.9512,31.6026,30.0518,26.374466666666667,37.474225,30.09556666666667,32.7797,34.73595,37.29533333333333,30.323466666666672,32.919925000000006,19.815649999999998,34.84793333333334,17.5461,42.1422,29.31055,40.43853333333333,30.431766666666665,35.617200000000004,37.318999999999996,40.85103333333333,31.4916,43.899249999999995,36.5797,30.354166666666668,30.599466666666668,29.788833333333333,38.405699999999996,31.383399999999998,31.915633333333332,11.6227,32.481300000000005,46.375,28.2443,28.391666666666666,32.5785,28.2281,39.37966666666667,36.69415,33.71066666666667,37.005199999999995,27.167466666666666,30.58165,36.815650000000005,27.956233333333333,33.58555,40.832449999999994,25.733566666666665,33.5237,34.52735,34.27225,32.06016666666667,35.650975,26.249966666666666,28.9816,45.845699999999994,37.87446666666667,30.579433333333338,35.307300000000005,34.62225,31.8414,34.5129,27.607266666666664,34.68165,41.244,28.0013,30.602099999999997,27.84323333333333,25.1125,30.24376666666667,28.534666666666666,47.175,37.14375,34.70705,30.124799999999997,38.9703,39.84725,27.623166666666666,32.738275,46.0695,28.961433333333336,26.67656666666667
7,2021-07-04,07:45:00,40.79923333333333,70.4437,30.398200000000003,51.6216,44.8029,47.821866666666665,48.6909,50.4643,44.89375,28.4219,56.649233333333335,36.8555,44.025800000000004,38.65623333333333,34.75465,40.326175,47.42783333333333,52.33906666666667,50.44243333333333,49.648199999999996,40.876599999999996,46.76616666666666,51.86483333333334,55.85665,54.6871,56.846366666666675,52.83306666666667,24.2453,41.6652,35.86173333333333,31.74335,32.23595,48.6469,48.73413333333334,54.97346666666667,50.31135,52.86095,39.524225,49.115633333333335,47.6414,36.91405,41.996700000000004,41.225025,48.9781,50.598166666666664,46.9379,28.4625,56.4027,51.98956666666667,47.240100000000005,42.6086,42.382000000000005,51.67163333333334,28.3078,59.25730000000001,41.90625,41.06016666666667,47.22030000000001,49.431250000000006,40.04535,40.160925,47.521899999999995,48.78595,39.69925,47.982625,51.82263333333333,48.63906666666666,54.77815,40.9289,44.832049999999995,47.50730000000001,54.0258,47.541666666666664,41.68566666666667,37.162,39.0961,36.8531,45.0453,54.59255,40.1,43.192175,49.00209999999999,43.1836,46.1927,43.1922,47.612300000000005,50.83153333333333,41.142966666666666,43.47683333333333,48.74065,53.39193333333333,54.78489999999999,50.033975,53.2021,51.66356666666667,36.85195,41.65,42.24686666666667,72.2672,46.966133333333325,49.17185,45.4371,43.2705,39.2873,44.74556666666666,51.59086666666667,49.10235,43.39243333333334,43.93595,37.77615,42.5211,49.43646666666667,38.642199999999995,35.033366666666666,41.35235,44.825766666666674,48.75546666666667,35.9659,48.964333333333336,35.95505,40.425,36.00256666666667,44.24013333333334,36.84375
8,2021-07-04,08:00:00,74.1,76.6974,77.34613333333334,78.07815,68.8168,76.49066666666667,77.59483333333334,80.9047,74.73646666666667,80.07285,80.0047,80.36226666666666,77.97423333333333,73.30703333333334,74.07442499999999,74.7539,72.25206666666666,78.48635,78.50545,75.68803333333334,76.03715,79.06433333333332,82.42523333333334,82.83670000000001,76.71016666666667,73.70315,84.3482,74.94375,75.98595,70.28162499999999,68.47916666666667,79.54273333333333,74.30567500000001,71.25,77.75653333333334,82.3328,71.78176666666667,62.99216666666666,85.1906,76.52396666666667,82.64489999999999,74.96873333333333,69.11760000000001,80.372675,75.15936666666666,63.288266666666665,79.670525,76.93256666666667,83.42133333333334,78.93594999999999,80.2737,81.3512,79.76639999999999,75.442775,82.20705000000001,74.08477500000001,81.8742,81.1422,85.17293333333333,79.809,70.438,86.90836666666667,77.31425,76.12293333333334,79.3875,69.59793333333333,79.28905,71.16199999999999,71.1131,79.168175,70.70366666666666,79.06956666666666,71.7784,70.866225,80.73847500000001,77.44323333333334,75.880875,72.3823,73.51666666666667,72.8422,80.8586,78.30355,83.7219,74.08359999999999,73.97033333333333,74.5344,70.3781,77.20913333333333,80.83986666666665,72.65416666666667,84.6,78.24686666666668,80.5922,82.55,79.13803333333334,69.91525,76.30416666666666,85.57535,85.16303333333333,73.8323,79.53985,72.4422,78.1922,77.45286666666665,69.06796666666666,77.3068,76.8505,64.0117,81.61043333333333,71.68067500000001,65.21445,69.31954999999999,78.39663333333333,71.6584,76.07189999999999,70.31093333333334,72.9094,81.11779999999999,73.1417,75.50274999999999,73.1029,71.74533333333333,65.575,71.87266666666666
9,2021-07-04,08:15:00,89.53073333333334,97.8526,81.15745,86.1742,114.4,108.40466666666667,109.57083333333333,77.46249999999999,85.48830000000001,125.34179999999999,100.93256666666666,84.52265,99.4438,105.58985000000001,94.59649999999999,105.349,108.35206666666666,103.088875,104.38589999999999,110.8297,91.3922,99.27140000000001,122.60505,87.60390000000001,105.36096666666667,94.6164,113.23306666666667,97.20685,102.2393,96.39255,93.53595,86.69763333333333,108.21796666666667,98.9051,108.231,93.4742,93.7844,89.52916666666665,81.4734,76.3633,84.8898,104.81693333333332,87.27655,89.5641,106.08203333333334,91.30430000000001,106.59689999999999,103.16055,112.12346666666667,98.21855000000001,101.74873333333335,127.99334999999999,110.53673333333334,103.9815,90.55363333333334,116.3672,114.28096666666666,113.4,114.17289999999998,105.73356666666666,77.4844,119.1719,100.17385,106.22813333333333,95.774,104.32113333333332,107.21253333333334,81.37425,103.75026666666668,112.7328,110.8406,103.2414,103.10363333333333,104.6492,122.14259999999999,88.49923333333334,98.9648,97.32029999999999,105.65806666666667,94.470125,122.03635,102.48643333333332,100.40332500000001,103.1344,114.6406,128.11520000000002,99.86926666666666,105.86456666666668,97.64636666666667,118.00545,107.05676666666666,102.07343333333334,90.11875,100.392975,114.2672,103.29346666666667,104.2396,116.80573333333332,98.3289,99.675,91.77629999999999,101.50393333333334,109.58153333333333,104.644,104.89923333333333,85.54065,99.19065,84.161325,97.71209999999999,95.8961,95.972675,103.5794,100.0552,103.69843333333334,101.9789,101.46043333333334,98.13244999999999,109.0789,104.5125,89.1414,105.16456666666666,105.13355,102.1078,95.4242
