,Data,Hora,P3.1.1 P (W),P3.1.2 P (W),P3.1.3 P (W),P3.1.4 P (W),P3.1.5 P (W),P3.1.6 P (W),P3.1.7 P (W),P3.1.8 P (W),P3.1.9 P (W),P3.1.10 P (W),P3.1.11 P (W),P3.1.12 P (W),P3.1.13 P (W),P3.1.14 P (W),P3.1.15 P (W),P3.1.16 P (W),P3.2.1 P (W),P3.2.2 P (W),P3.2.3 P (W),P3.2.4 P (W),P3.2.5 P (W),P3.2.6 P (W),P3.2.7 P (W),P3.2.8 P (W),P3.2.9 P (W),P3.2.10 P (W),P3.2.11 P (W),P3.2.12 P (W),P3.2.13 P (W),P3.2.14 P (W),P3.2.15 P (W),P3.2.16 P (W),P3.3.1 P (W),P3.3.2 P (W),P3.3.3 P (W),P3.3.4 P (W),P3.3.5 P (W),P3.3.6 P (W),P3.3.7 P (W),P3.3.8 P (W),P3.3.9 P (W),P3.3.10 P (W),P3.3.11 P (W),P3.3.12 P (W),P3.3.13 P (W),P3.3.14 P (W),P3.3.15 P (W),P3.3.16 P (W),P3.4.1 P (W),P3.4.2 P (W),P3.4.3 P (W),P3.4.4 P (W),P3.4.5 P (W),P3.4.6 P (W),P3.4.7 P (W),P3.4.8 P (W),P3.4.9 P (W),P3.4.10 P (W),P3.4.11 P (W),P3.4.12 P (W),P3.4.13 P (W),P3.4.14 P (W),P3.4.15 P (W),P3.4.16 P (W),P3.5.1 P (W),P3.5.2 P (W),P3.5.3 P (W),P3.5.4 P (W),P3.5.5 P (W),P3.5.6 P (W),P3.5.7 P (W),P3.5.8 P (W),P3.5.9 P (W),P3.5.10 P (W),P3.5.11 P (W),P3.5.12 P (W),P3.5.13 P (W),P3.5.14 P (W),P3.5.15 P (W),P3.5.16 P (W),P3.6.1 P (W),P3.6.2 P (W),P3.6.3 P (W),P3.6.4 P (W),P3.6.5 P (W),P3.6.6 P (W),P3.6.7 P (W),P3.6.8 P (W),P3.6.9 P (W),P3.6.10 P (W),P3.6.11 P (W),P3.6.12 P (W),P3.6.13 P (W),P3.6.14 P (W),P3.6.15 P (W),P3.6.16 P (W),P3.7.1 P (W),P3.7.2 P (W),P3.7.3 P (W),P3.7.4 P (W),P3.7.5 P (W),P3.7.6 P (W),P3.7.7 P (W),P3.7.8 P (W),P3.7.9 P (W),P3.7.10 P (W),P3.7.11 P (W),P3.7.12 P (W),P3.7.13 P (W),P3.7.14 P (W),P3.7.15 P (W),P3.7.16 P (W),P3.8.1 P (W),P3.8.2 P (W),P3.8.3 P (W),P3.8.4 P (W),P3.8.5 P (W),P3.8.6 P (W),P3.8.7 P (W),P3.8.8 P (W),P3.8.9 P (W),P3.8.10 P (W),P3.8.11 P (W),P3.8.12 P (W),P3.8.13 P (W),P3.8.14 P (W),P3.8.15 P (W),P3.8.16 P (W)
0,2021-06-20,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-06-20,06:15:00,0.0,0.0,0.0,0.0,0.0,0.4101625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07677272727272727,0.0,6.103477777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1418,0.0,0.0,2.6336000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02562,0.0,0.0,0.0,0.0,0.0,9.10578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7845857142857142,0.0,0.0,0.0
2,2021-06-20,06:30:00,1.0828,6.9328,0.0,5.625,2.0742,0.9006631578947368,1.3898,1.268,0.0,5.6016,6.6805,0.0,5.8008,6.8906,4.5344,2.675,4.2023,7.4062,6.2875,2.7422,0.030817241379310342,2.64415,6.800240909090911,6.45,0.0,6.4813,6.3219,0.44344,1.9949166666666667,2.1656,1.8242,4.7719,4.6969,0.0,1.5438,8.0781,3.739177777777778,2.3297,3.51485,5.9883,5.3523,3.5688,6.5375,7.3828,5.5875,4.843,4.1344,4.1078,1.9270736842105265,1.2429999999999999,8.9203,2.2278652173913045,2.2969,5.6133,4.7344,4.9969,5.5078,4.5094,7.9844,3.8203,11.6719,1.3473000000000002,7.7695,0.0,0.0,9.2555,2.3109,8.3438,3.0625,4.6781,4.5844,4.3313,2.1895666666666664,8.5938,2.825,0.0,0.4047,2.9062,4.045333333333333,0.2258,4.93825,0.3953,1.7,4.1852,0.6612,2.0094000000000003,4.7836,0.0,4.4383,6.2289,0.5875,3.075,8.7312,0.0,8.9203,2.656873684210526,2.6859,2.6672,7.2422,0.425,0.0,9.657171428571429,2.998657142857143,6.4,0.0,0.0,2.9438,6.3219,0.0,6.8531,2.7469,3.8121333333333336,1.1878666666666668,0.0,4.0234,2.5031,0.0,4.2453,6.3375,2.5219,1.8656,9.1609,3.8844,0.7625,0.8161578947368421,5.156266666666666,4.5844,2.2219
3,2021-06-20,06:45:00,5.924200000000001,12.896366666666665,5.362233333333333,9.15935,10.811733333333331,11.860666666666667,7.6945500000000004,10.113275,6.9497333333333335,10.066433333333334,14.895833333333334,10.0953,10.868766666666668,13.709366666666668,10.5956,9.079699999999999,8.29535,11.657399999999999,14.14535,11.0156,17.9375,8.68945,12.9448,12.896866666666668,6.7852,12.5508,7.4219,12.483833333333331,11.16015,6.59535,6.53285,10.93985,11.2008,4.2013,7.041933333333333,13.653133333333335,17.5922,9.9203,11.608333333333334,9.708866666666667,11.103133333333334,9.441433333333334,19.320700000000002,14.167166666666668,9.673966666666667,13.222133333333332,8.83905,9.367149999999999,18.2521,13.883866666666668,16.746866666666666,13.720066666666666,10.39805,11.597666666666667,10.474766666666666,9.960933333333331,11.416133333333335,8.829966666666666,17.606299999999997,5.4961,20.1133,11.726866666666666,15.881266666666667,9.568233333333334,13.074766666666667,18.109,19.3711,17.69065,9.409133333333333,13.657566666666668,10.360133333333332,9.4723,9.9599,13.8391,8.1849,14.320333333333332,8.059366666666667,9.6625,17.8125,8.660400000000001,18.55,11.26875,10.492466666666667,6.660550000000001,12.2656,20.0742,9.0344,5.630466666666667,8.311733333333333,9.923449999999999,6.790633333333333,9.08825,17.857033333333334,6.510149999999999,13.0,18.384366666666665,14.71425,11.29335,9.98985,11.1787,9.088566666666667,16.4276,11.648966666666666,9.84375,6.386725,8.1633,11.186233333333334,12.172666666666666,9.726066666666668,11.262,14.130466666666669,10.2406,8.44455,4.7484,10.177333333333333,6.3219,7.6494,7.2227,8.0469,7.0707,6.74765,13.724199999999998,15.159400000000002,6.986466666666666,9.575800000000001,13.0531,8.3246,9.333599999999999
4,2021-06-20,07:00:00,18.1,22.6185,17.1041,19.8414,20.8677,21.61096666666667,19.930475,17.138033333333333,19.2336,18.506266666666665,20.8984,19.63985,0.0,22.47265,21.485933333333335,18.801066666666667,22.4219,21.9823,24.94713333333333,20.51325,12.525,22.6668,25.56815,23.152900000000002,19.112466666666666,22.284399999999998,19.7435,18.56226666666667,16.573050000000002,18.750425,15.842733333333333,19.6807,19.5422,12.613275,12.991,22.0813,24.423933333333334,17.168499999999998,16.322933333333335,23.112266666666667,20.873433333333335,17.884366666666665,24.81976666666667,22.401566666666668,19.578366666666668,24.3638,20.640866666666668,16.761466666666667,20.42965,20.996333333333332,25.4164,18.64455,15.2336,21.9432,21.0375,20.2224,23.0742,19.296366666666668,25.819266666666664,22.4801,27.074599999999997,22.13675,29.256475000000002,17.354200000000002,22.582266666666666,24.183333333333337,19.204933333333333,23.892166666666668,16.83073333333333,20.3973,20.738533333333333,18.745566666666665,18.937766666666665,25.4531,15.0602,22.354666666666663,16.894925,18.201066666666666,22.064066666666665,16.49246666666667,16.3125,16.756766666666667,17.082833333333337,21.008866666666666,20.422933333333336,21.5724,20.051833333333335,15.299999999999999,17.1562,22.90053333333334,15.76875,16.442966666666667,24.004166666666666,13.899825,23.702749999999998,24.201566666666665,21.5223,23.895566666666667,22.5914,16.1629,17.73646666666667,27.01846666666667,21.176833333333335,17.2164,18.648433333333333,17.5457,18.7965,22.448700000000002,17.467966666666666,20.243266666666667,21.35625,20.2756,18.39295,16.873224999999998,20.343233333333334,18.64816666666667,17.689333333333334,18.06055,18.055999999999997,18.234375,17.58073333333333,22.0445,19.5289,16.0672,22.781233333333333,24.385400000000004,19.182000000000002,18.712500000000002
5,2021-06-20,07:15:00,26.607066666666668,36.41093333333333,31.346099999999996,35.23126666666666,29.355449999999998,34.90626666666667,32.54243333333333,27.55075,31.54686666666667,30.2375,31.195066666666662,29.098,41.85,34.358174999999996,33.7219,30.567933333333333,31.020699999999998,37.551199999999994,34.7534,33.93983333333333,27.06995,34.547133333333335,35.4414,34.842733333333335,31.7664,31.44375,32.0459,29.53226666666667,28.37265,32.08593333333334,25.054166666666664,28.422649999999997,32.74335,25.976566666666667,24.5426,35.71055,36.32213333333333,26.6146,23.6938,31.936966666666667,33.3336,30.6521,37.378400000000006,33.08856666666667,30.25275,36.30886666666667,31.526300000000003,27.92343333333333,34.20315,35.9349,40.568,33.563266666666664,32.61445,35.2461,33.678325,30.17526666666667,35.016400000000004,31.330466666666666,35.11300000000001,32.01303333333333,37.132,32.2323,40.27735,30.271500000000003,32.8857,35.325266666666664,28.991633333333336,34.989599999999996,31.6427,29.653150000000004,33.3013,35.681200000000004,32.62733333333333,34.8901,29.59583333333333,32.2035,28.7363,28.7875,31.404966666666667,32.186350000000004,30.063266666666664,31.92735,31.78165,32.99025,29.075400000000002,34.5586,34.10596666666667,25.653133333333333,31.7793,33.387499999999996,29.225033333333332,31.316933333333335,37.83395,24.750799999999998,41.8797,37.2099,32.0823,30.372700000000002,32.83723333333333,26.799500000000005,29.1582,41.0508,36.89216666666667,33.84243333333333,29.963033333333332,31.90705,31.688074999999998,36.9914,31.104699999999998,34.5307,34.9168,24.7969,31.1957,31.59166666666667,29.3539,32.30236666666667,31.343233333333334,32.18306666666667,32.4414,32.38905,30.2266,37.77263333333333,32.284349999999996,28.464333333333332,31.471899999999998,35.315866666666665,30.9375,28.2367
6,2021-06-20,07:30:00,40.1534,50.200766666666674,48.83123333333333,52.66643333333334,47.5826,51.7914,50.010400000000004,41.4594,47.673966666666665,46.403099999999995,47.988299999999995,49.2026,48.3039,51.396366666666665,46.05783333333334,45.2602,44.8776,48.082033333333335,56.80363333333333,41.9227,45.497275,51.135933333333334,51.6797,50.00366666666667,48.578133333333334,47.872899999999994,49.988566666666664,41.60155,52.14766666666667,46.17863333333333,42.59193333333334,47.524499999999996,48.79375,41.76755,42.4082,53.18165,52.58256666666667,45.90936666666667,38.568349999999995,49.92943333333333,45.07265,45.97393333333333,48.06525,54.17809999999999,46.468466666666664,52.24166666666667,45.32385,39.5918,49.46955,51.0219,60.02106666666666,51.61096666666666,47.3688,49.66445,49.9646,49.615633333333335,51.756499999999996,50.6719,52.461999999999996,49.30315,56.30833333333334,52.2922,58.46445000000001,44.58306666666667,49.5586,55.1388,50.27695,50.6594,51.5426,48.9401,51.71563333333334,48.69376666666667,46.1781,56.214033333333326,50.94216666666667,48.548399999999994,46.29690000000001,51.875,47.614850000000004,51.5505,45.79845,46.257799999999996,48.25133333333333,48.412533333333336,49.850766666666665,53.05963333333333,49.66196666666667,46.324600000000004,49.897400000000005,51.6935,45.106533333333324,47.63983333333334,54.691399999999994,42.099000000000004,52.679166666666674,54.717166666666664,49.2902,47.1957,49.90913333333333,44.46693333333334,48.50783333333334,54.58906666666667,53.39506666666667,47.375,42.18125,45.8836,50.87893333333333,47.45585,45.3711,49.328133333333334,48.8341,43.065625000000004,49.969033333333336,44.04415,45.72526666666667,42.03165,44.56536666666667,46.0703,45.8227,44.78386666666666,43.16055,52.5094,47.0805,38.1172,47.44766666666667,52.6781,45.744,39.87265
7,2021-06-20,07:45:00,57.47225,70.90756666666665,77.4676,96.45155,87.63126666666666,111.71486666666668,76.46016666666667,80.03557500000001,67.5703,79.4745,87.04376666666667,87.43594999999999,111.62424999999999,85.74260000000001,67.22449999999999,76.10730000000001,63.891400000000004,64.78434999999999,96.2703,85.06954999999999,75.26565,85.89816666666667,97.51093333333334,88.9151,85.47149999999999,80.05785,74.21289999999999,85.67503333333333,73.8754,79.7745,65.2758,78.7422,62.154300000000006,58.033775,73.7297,84.4685,98.74805,73.02993333333333,68.16795,81.2873,0.0,87.22786666666667,83.7867,73.78256666666667,77.9625,78.9115,69.84453333333333,56.11536666666667,76.63380000000001,76.3457,87.40366666666667,83.76876666666668,103.39885000000001,79.05573333333332,78.25076666666668,71.584,78.14636666666667,75.7422,107.60195,77.07393333333333,103.83153333333333,97.29476666666666,80.618,96.07496666666667,88.0344,82.7922,90.4594,79.59375,71.712,71.707,74.50659999999999,77.2857,67.08776666666667,78.9482,85.01353333333333,76.15662499999999,98.85263333333334,79.0555,84.81330000000001,86.7435,80.14426666666667,82.48256666666667,89.96013333333333,81.6815,77.2823,84.87526666666666,70.1383,69.48830000000001,76.06094999999999,79.47526666666667,94.07136666666666,87.0953,87.39636666666667,65.80933333333333,81.0659,70.8094,72.28723333333333,95.46379999999999,89.27763333333333,99.06666666666668,87.1109,94.893,80.4995,75.801975,65.12916666666666,63.19376666666667,71.75195,72.75274999999999,71.68283333333333,83.38593333333334,81.77159999999999,70.74143333333333,89.9375,69.55,67.09960000000001,67.11846666666666,73.48945,72.08803333333334,73.1172,68.3172,75.61303333333335,75.83803333333333,69.25547499999999,68.152375,82.75313333333334,72.32006666666668,67.0172,69.49843333333332
8,2021-06-20,08:00:00,78.6508,87.3258,109.0627,159.181,175.52105,128.89946666666665,112.0555,148.59455,141.59845,167.17815000000002,111.709,119.9935,144.70676666666668,136.208175,91.28359999999999,124.05155,92.83593333333334,88.23555,122.1674,110.28593333333333,156.06953333333334,116.85730000000001,136.28435000000002,107.2896,90.62735,151.81876666666668,124.83513333333333,102.28853333333332,104.99805,129.35886666666667,85.05963333333334,109.42305,88.66743333333334,81.65286666666667,96.3938,106.08590000000001,113.43440000000001,109.59949999999999,81.375,188.64946666666665,110.53463333333333,136.5094,120.21875,110.4698,109.63673333333332,162.55183333333335,85.39805,95.8073,167.1974,108.21173333333333,104.31055,97.6922,127.76015000000001,117.7943,113.52813333333334,90.1176,157.93593333333334,108.13239999999999,176.96066666666664,149.81770000000003,119.51013333333333,104.3984,104.9719,106.28723333333333,107.76303333333333,118.98436666666667,106.95390000000002,143.8445,156.35833333333332,178.4145,127.48043333333334,100.4203,122.01769999999999,123.04533333333332,110.9887,109.10966666666666,160.9289,103.50155000000001,117.2078,122.6215,135.7258,105.4612,148.751175,146.25523333333334,114.34923333333332,152.02706666666668,115.82526666666666,143.6531,140.8547,126.54375,95.74414999999999,151.4534,114.58879999999999,105.28399999999999,100.49535,181.25510000000003,159.7461,150.297275,123.8594,144.60286666666667,139.54033333333334,143.14919999999998,154.33123333333333,104.46533333333333,86.30080000000001,86.8177,136.793175,107.61043333333333,112.37889999999999,109.86093333333334,114.7018,124.13023333333335,121.02285,104.601375,110.29166666666667,102.3891,94.55886666666667,94.94454999999999,98.66055000000001,128.98256666666668,121.58905000000001,100.16015,94.5453,86.46915000000001,91.58566666666667,112.34376666666667,92.35676666666666,124.1646
9,2021-06-20,08:15:00,57.890649999999994,61.77056666666667,213.3346333333333,226.07420000000002,223.47343333333333,198.97809999999996,227.49495000000002,222.1016,225.64893333333336,226.26135,229.14610000000002,215.97496666666666,223.6125,229.2875,130.2437666666667,139.5823,63.22606666666667,63.80519999999999,210.082,219.90236666666667,222.20126666666667,214.41513333333333,239.3146,224.6148333333333,224.9216,220.24804999999998,229.90855,223.79843333333335,223.0375,214.23125,126.51013333333333,130.85913333333335,56.8435,49.75106666666667,212.81719999999999,233.13043333333334,231.9143,217.35103333333333,188.763075,218.88555000000002,213.3961,211.04426666666666,226.77890000000002,225.94725,217.65806666666666,218.16795000000002,130.03906666666668,125.36926666666669,220.06353333333334,241.17836666666668,242.0758,219.44036666666668,238.99020000000002,239.47029999999998,243.31173333333334,240.0586,239.6184,228.6331,238.07656666666665,204.57614999999998,242.34766666666667,236.47035,248.06146666666666,226.73306666666667,246.1406,244.65833333333333,230.45833333333334,239.70236666666665,223.3838333333333,255.8719,221.21903333333333,215.09435000000002,228.78555,235.8219,232.0648,240.37695,226.5828,200.47056666666666,236.60856666666666,238.4422,233.98239999999998,232.86563333333334,223.8133,230.84166666666667,216.8965,237.1633,231.97815,222.31716666666668,241.1591,238.8057666666667,234.882225,237.65625,257.07579999999996,217.47916666666666,244.23692500000004,241.70676666666668,229.26170000000002,226.1594,241.02473333333333,235.74113333333335,230.4927,239.61069999999998,242.83333333333334,241.80939999999998,56.549499999999995,54.465666666666664,219.18383333333335,226.7156,222.143,223.93283333333332,216.74962499999998,188.00623333333337,177.90936666666667,185.475,185.2809,172.00183333333334,180.46949999999998,173.43595,192.8055,175.38046666666665,176.88205,175.06406666666666,175.503325,171.308775,181.0521,175.9348,187.9195,172.28463333333332
