,Data,Hora,OP3.1.1 V (V),OP3.1.2 V (V),OP3.1.3 V (V),OP3.1.4 V (V),OP3.1.5 V (V),OP3.1.6 V (V),OP3.1.7 V (V),OP3.1.8 V (V),OP3.1.9 V (V),OP3.1.10 V (V),OP3.1.11 V (V),OP3.1.12 V (V),OP3.1.13 V (V),OP3.1.14 V (V),OP3.1.15 V (V),OP3.1.16 V (V),OP3.2.1 V (V),OP3.2.2 V (V),OP3.2.3 V (V),OP3.2.4 V (V),OP3.2.5 V (V),OP3.2.6 V (V),OP3.2.7 V (V),OP3.2.8 V (V),OP3.2.9 V (V),OP3.2.10 V (V),OP3.2.11 V (V),OP3.2.12 V (V),OP3.2.14 V (V),OP3.2.15 V (V),OP3.2.16 V (V),OP3.3.1 V (V),OP3.3.2 V (V),OP3.3.3 V (V),OP3.3.4 V (V),OP3.3.5 V (V),OP3.3.6 V (V),OP3.3.7 V (V),OP3.3.8 V (V),OP3.3.9 V (V),OP3.3.10 V (V),OP3.3.11 V (V),OP3.3.12 V (V),OP3.3.13 V (V),OP3.3.14 V (V),OP3.3.15 V (V),OP3.3.16 V (V),OP3.4.1 V (V),OP3.4.2 V (V),OP3.4.3 V (V),OP3.4.4 V (V),OP3.4.5 V (V),OP3.4.6 V (V),OP3.4.7 V (V),OP3.4.8 V (V),OP3.4.9 V (V),OP3.4.10 V (V),OP3.4.11 V (V),OP3.4.12 V (V),OP3.4.13 V (V),OP3.4.14 V (V),OP3.4.15 V (V),OP3.4.16 V (V),OP3.5.1 V (V),OP3.5.2 V (V),OP3.5.3 V (V),OP3.5.4 V (V),OP3.5.5 V (V),OP3.5.6 V (V),OP3.5.7 V (V),OP3.5.8 V (V),OP3.5.9 V (V),OP3.5.10 V (V),OP3.5.11 V (V),OP3.5.12 V (V),OP3.5.13 V (V),OP3.5.14 V (V),OP3.5.15 V (V),OP3.5.16 V (V),OP3.6.1 V (V),OP3.6.2 V (V),OP3.6.3 V (V),OP3.6.4 V (V),OP3.6.5 V (V),OP3.6.6 V (V),OP3.6.7 V (V),OP3.6.8 V (V),OP3.6.9 V (V),OP3.6.10 V (V),OP3.6.11 V (V),OP3.6.12 V (V),OP3.6.13 V (V),OP3.6.14 V (V),OP3.6.15 V (V),OP3.6.16 V (V),OP3.7.1 V (V),OP3.7.2 V (V),OP3.7.4 V (V),OP3.7.5 V (V),OP3.7.6 V (V),OP3.7.7 V (V),OP3.7.8 V (V),OP3.7.9 V (V),OP3.7.10 V (V),OP3.7.11 V (V),OP3.7.12 V (V),OP3.7.13 V (V),OP3.7.14 V (V),OP3.7.15 V (V),OP3.7.16 V (V),OP3.8.1 V (V),OP3.8.2 V (V),OP3.8.3 V (V),OP3.8.4 V (V),OP3.8.5 V (V),OP3.8.6 V (V),OP3.8.7 V (V),OP3.8.8 V (V),OP3.8.9 V (V),OP3.8.10 V (V),OP3.8.11 V (V),OP3.8.12 V (V),OP3.8.14 V (V),OP3.8.15 V (V),OP3.8.16 V (V)
0,2021-04-22,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-22,06:15:00,35.84375,30.083333333333332,41.333333333333336,48.041666666666664,48.5,41.875,50.8125,59.583333333333336,62.083333333333336,60.40625,59.28125,56.125,42.583333333333336,42.416666666666664,35.125,35.041666666666664,32.0,33.25,45.875,41.125,56.25,56.9375,63.25,58.5,56.125,55.791666666666664,50.791666666666664,60.708333333333336,43.75,30.5,30.708333333333332,33.5625,31.0,45.416666666666664,42.75,57.375,64.125,50.78125,56.84375,58.583333333333336,56.916666666666664,51.9375,57.78125,41.625,40.625,36.125,34.166666666666664,61.625,57.041666666666664,40.708333333333336,45.6875,42.291666666666664,34.875,27.125,35.0,36.0,31.5625,45.208333333333336,48.9375,58.375,60.791666666666664,62.375,63.4375,56.958333333333336,54.0,54.1875,56.041666666666664,37.25,41.541666666666664,32.25,30.78125,28.458333333333332,30.416666666666668,40.5625,41.875,59.375,56.208333333333336,53.5625,60.875,59.6875,60.875,49.4375,50.083333333333336,43.125,44.541666666666664,31.96875,30.65625,29.666666666666668,29.75,45.208333333333336,46.5625,59.041666666666664,54.791666666666664,57.0,54.291666666666664,60.625,63.125,61.1875,45.625,44.375,32.833333333333336,34.25,29.125,26.625,40.625,39.5,53.875,52.15625,55.5,44.4375,48.0,53.083333333333336,48.791666666666664,49.25,46.708333333333336,46.583333333333336,45.3125,47.958333333333336,45.041666666666664,47.28125,47.1875,47.875,46.375,45.666666666666664,45.458333333333336
2,2021-04-22,06:30:00,21.541666666666668,21.40625,26.59375,37.75,70.125,30.208333333333332,40.0,67.65625,67.125,63.0625,69.20833333333333,66.70833333333333,58.083333333333336,55.0,22.5,24.541666666666668,22.541666666666668,20.09375,51.03125,44.0,61.5,62.625,62.1875,58.25,56.5,56.041666666666664,55.583333333333336,60.375,49.0,18.625,20.4375,20.6875,21.15625,50.958333333333336,43.541666666666664,61.0,65.6875,51.5,57.166666666666664,57.583333333333336,53.875,56.5,57.125,55.9375,49.0,21.25,21.333333333333332,61.09375,64.66666666666667,28.8125,61.75,40.8125,22.5,19.375,22.3125,24.166666666666668,23.3125,62.916666666666664,63.125,63.25,61.8125,64.375,64.45833333333333,54.4375,55.6875,57.0,53.5625,55.125,56.0625,19.59375,19.0,20.1875,20.375,53.625,60.625,57.625,54.25,53.5625,60.09375,53.5,58.125,57.78125,56.0,54.583333333333336,57.0625,19.8125,19.625,20.25,19.625,56.125,57.208333333333336,56.4375,55.041666666666664,53.75,55.125,59.833333333333336,61.8125,61.5,61.75,64.5,21.5625,23.125,18.0,19.416666666666668,41.708333333333336,43.125,55.375,53.833333333333336,53.4375,43.208333333333336,47.6875,57.083333333333336,48.25,44.28125,44.5625,47.375,45.75,44.125,47.4375,45.833333333333336,44.75,44.708333333333336,45.75,45.625,46.041666666666664
3,2021-04-22,06:45:00,15.25,13.875,19.125,64.54166666666667,65.16666666666667,22.5,65.16666666666667,64.875,63.8125,61.916666666666664,66.375,63.875,60.9375,62.0,19.416666666666668,17.5,14.791666666666666,13.75,58.8125,55.666666666666664,58.375,59.208333333333336,59.5,55.833333333333336,55.791666666666664,54.375,54.6875,58.875,52.708333333333336,20.5,18.03125,14.4375,14.5,58.625,57.666666666666664,59.791666666666664,61.5625,50.96875,56.708333333333336,56.625,0.0,55.65625,57.291666666666664,58.208333333333336,55.583333333333336,16.708333333333332,15.708333333333334,60.5,63.75,45.041666666666664,61.8125,64.1875,17.625,14.666666666666666,18.25,16.375,17.333333333333332,63.541666666666664,64.0625,62.5,61.25,63.25,62.875,56.0,57.0,58.0,55.541666666666664,56.8125,57.625,16.25,16.5,16.875,17.0625,54.875,61.0,58.125,55.333333333333336,55.708333333333336,60.5,55.458333333333336,58.625,58.875,56.875,56.458333333333336,58.1875,17.0,16.208333333333332,16.4375,16.125,57.416666666666664,58.458333333333336,58.125,55.875,56.5625,55.8125,59.416666666666664,60.958333333333336,60.3125,61.25,63.59375,18.416666666666668,18.125,14.791666666666666,14.291666666666666,53.833333333333336,55.041666666666664,55.875,55.3125,54.5,44.166666666666664,44.916666666666664,55.833333333333336,48.40625,45.375,43.375,46.666666666666664,44.541666666666664,45.25,47.708333333333336,47.4375,45.583333333333336,45.958333333333336,46.0,46.1875,48.125
4,2021-04-22,07:00:00,12.25,9.875,15.041666666666666,60.75,62.5,42.25,61.125,61.875,59.583333333333336,60.75,62.21875,59.1875,57.4375,59.0,33.875,28.083333333333332,10.416666666666666,10.166666666666666,56.5,54.625,57.1875,57.375,57.75,55.25,55.125,54.416666666666664,54.291666666666664,57.125,52.291666666666664,29.875,31.5,11.0,10.875,56.3125,56.0625,57.75,59.5,49.375,55.75,56.041666666666664,55.15625,55.0625,56.3125,56.53125,54.291666666666664,28.875,31.875,57.5,62.0,57.25,60.3125,61.166666666666664,13.625,10.5,17.375,23.583333333333332,38.625,58.6875,58.90625,58.3125,57.0625,58.583333333333336,62.0,54.125,56.0625,57.291666666666664,52.166666666666664,55.208333333333336,56.125,22.958333333333332,35.166666666666664,20.375,18.541666666666668,53.041666666666664,57.833333333333336,57.125,54.4375,54.625,52.5,56.4375,55.3125,57.791666666666664,56.833333333333336,54.8125,58.375,19.541666666666668,22.25,13.625,16.0,57.708333333333336,58.541666666666664,56.333333333333336,53.4375,55.0625,56.625,59.708333333333336,60.958333333333336,59.9375,60.833333333333336,62.8125,15.6875,16.5,11.958333333333334,11.333333333333334,55.875,56.125,56.833333333333336,56.833333333333336,55.5625,45.958333333333336,46.291666666666664,52.875,48.9375,46.0,44.5,47.875,46.0,45.791666666666664,47.791666666666664,46.4375,45.375,46.75,46.0625,45.791666666666664,47.291666666666664
5,2021-04-22,07:15:00,9.3125,8.875,23.791666666666668,58.0,59.25,57.958333333333336,58.125,59.333333333333336,58.0625,57.958333333333336,59.9375,58.0,56.0,56.4375,32.375,31.78125,8.625,8.6875,56.083333333333336,54.916666666666664,57.083333333333336,57.25,57.333333333333336,55.625,55.9375,55.291666666666664,54.75,57.1875,53.3125,30.1875,31.5,9.0,9.25,56.0625,56.291666666666664,57.833333333333336,58.4375,49.416666666666664,56.25,56.458333333333336,55.625,55.75,56.75,56.5,54.541666666666664,30.708333333333332,31.583333333333332,48.8125,52.166666666666664,51.958333333333336,50.75,51.84375,21.208333333333332,7.875,51.666666666666664,51.125,51.5,51.291666666666664,51.166666666666664,50.416666666666664,51.375,51.208333333333336,51.0,46.916666666666664,47.09375,47.78125,46.375,47.0,47.041666666666664,46.375,46.1875,48.125,45.3125,46.0,49.125,47.791666666666664,46.25,46.541666666666664,49.0,45.8125,48.0625,48.166666666666664,47.15625,46.583333333333336,47.333333333333336,47.1875,46.03125,47.916666666666664,45.75,47.666666666666664,48.25,47.75,46.458333333333336,46.5,47.3125,53.875,55.0625,53.9375,54.8125,57.333333333333336,51.09375,54.958333333333336,8.5,8.583333333333334,51.0,51.541666666666664,52.125,51.1875,50.791666666666664,41.75,47.125,52.375,48.75,46.0,45.166666666666664,48.5,46.9375,46.458333333333336,47.458333333333336,46.0625,45.125,46.208333333333336,45.708333333333336,46.375,47.541666666666664
6,2021-04-22,07:30:00,7.84375,7.583333333333333,55.03125,56.416666666666664,57.083333333333336,56.458333333333336,56.458333333333336,57.375,56.25,56.166666666666664,57.96875,56.416666666666664,54.166666666666664,54.8125,30.833333333333332,30.25,7.708333333333333,8.083333333333334,56.208333333333336,55.40625,57.1875,57.28125,57.458333333333336,56.0,56.21875,55.625,55.083333333333336,57.15625,53.625,29.90625,30.84375,7.9375,8.375,56.375,56.291666666666664,58.0,58.625,49.083333333333336,56.84375,56.833333333333336,56.375,55.958333333333336,57.041666666666664,56.4375,54.875,30.25,31.041666666666668,48.041666666666664,49.90625,49.875,49.5625,50.708333333333336,49.65625,7.3125,49.75,49.5625,49.666666666666664,49.9375,49.875,49.375,49.333333333333336,50.0625,49.6875,46.916666666666664,47.0625,47.5625,46.625,46.875,47.083333333333336,46.375,46.0,47.666666666666664,45.666666666666664,46.0,48.65625,47.583333333333336,46.375,46.625,48.6875,46.083333333333336,48.0,47.84375,46.625,46.5,47.25,47.25,46.0625,47.75,46.416666666666664,47.0625,47.625,47.5,46.4375,46.416666666666664,47.125,54.083333333333336,54.375,54.0625,54.5,55.833333333333336,55.375,55.8125,7.625,7.541666666666667,50.3125,50.75,51.541666666666664,51.625,51.1875,41.958333333333336,47.291666666666664,51.166666666666664,48.625,46.208333333333336,45.916666666666664,48.3125,47.375,46.3125,47.125,46.375,45.916666666666664,46.083333333333336,46.0625,46.5625,47.375
7,2021-04-22,07:45:00,6.8125,6.5,55.666666666666664,56.375,56.875,56.708333333333336,56.8125,57.3125,56.5,56.625,57.75,56.1875,54.46875,55.166666666666664,0.0,30.1875,6.833333333333333,7.0,56.125,55.625,57.333333333333336,57.3125,57.666666666666664,56.5,56.5625,56.1875,55.34375,57.166666666666664,54.125,29.875,30.6875,6.958333333333333,7.208333333333333,56.375,56.583333333333336,58.03125,58.375,49.125,57.375,57.125,56.75,56.25,57.125,56.625,55.375,30.291666666666668,30.75,46.25,48.333333333333336,48.083333333333336,48.5,48.875,47.958333333333336,27.1875,48.166666666666664,49.375,48.791666666666664,49.208333333333336,48.75,47.9375,47.96875,49.708333333333336,48.291666666666664,46.875,47.125,47.5,46.65625,46.875,46.875,46.625,46.208333333333336,47.6875,46.291666666666664,46.291666666666664,48.375,47.25,46.375,46.75,48.5625,46.208333333333336,47.625,47.5,46.875,46.625,46.9375,47.375,46.375,47.875,47.083333333333336,47.25,47.4375,47.25,46.71875,46.6875,47.125,54.291666666666664,54.375,54.166666666666664,54.625,55.708333333333336,56.03125,55.875,6.875,6.666666666666667,50.666666666666664,51.166666666666664,51.666666666666664,51.6875,51.166666666666664,42.208333333333336,47.416666666666664,50.25,48.125,46.291666666666664,46.09375,47.833333333333336,47.1875,46.333333333333336,46.791666666666664,46.25,46.041666666666664,46.0,46.166666666666664,46.5625,47.333333333333336
8,2021-04-22,08:00:00,7.9375,14.916666666666666,55.0,55.8125,55.875,56.125,56.5,56.75,56.0,56.125,57.208333333333336,56.208333333333336,54.8125,55.458333333333336,30.3125,30.125,6.75,14.1875,55.75,55.458333333333336,55.875,55.90625,55.791666666666664,55.375,56.041666666666664,55.708333333333336,54.9375,56.25,54.0,29.875,32.083333333333336,12.75,14.3125,54.4375,55.5,57.875,57.0625,47.4375,55.416666666666664,56.09375,55.65625,55.75,56.208333333333336,55.96875,54.96875,30.0,30.5,45.75,47.5,47.25,47.09375,47.583333333333336,47.3125,47.5,47.208333333333336,47.03125,47.3125,47.125,47.0625,46.333333333333336,46.791666666666664,47.375,46.791666666666664,46.9375,47.125,47.34375,46.75,47.09375,46.791666666666664,46.78125,46.5625,47.583333333333336,46.583333333333336,46.5625,48.208333333333336,46.875,46.625,46.8125,48.25,46.3125,47.458333333333336,47.25,46.78125,46.75,46.791666666666664,47.375,46.666666666666664,48.0,47.375,47.34375,47.333333333333336,47.09375,46.8125,46.958333333333336,47.0625,52.875,53.125,53.333333333333336,53.375,54.5,54.375,55.0,13.083333333333334,16.875,49.625,49.75,50.8125,51.0,50.416666666666664,41.375,47.333333333333336,49.5,47.5,46.5,46.125,47.291666666666664,47.0,46.208333333333336,46.583333333333336,46.4375,46.25,46.125,46.625,46.833333333333336,47.25
9,2021-04-22,08:15:00,19.666666666666668,35.0,51.5,52.3125,52.166666666666664,52.9375,54.0,53.0,52.75,53.333333333333336,54.0,53.833333333333336,52.458333333333336,52.583333333333336,32.96875,29.5,31.0,33.875,50.0625,51.666666666666664,51.166666666666664,50.833333333333336,51.083333333333336,51.458333333333336,52.541666666666664,53.625,51.791666666666664,51.916666666666664,50.875,34.583333333333336,39.75,33.375,31.0,50.40625,51.291666666666664,53.375,52.21875,43.75,50.75,50.75,51.375,51.59375,52.1875,52.0,50.3125,35.166666666666664,36.6875,46.15625,47.541666666666664,47.208333333333336,47.125,47.541666666666664,47.291666666666664,47.5,47.25,47.166666666666664,47.3125,47.208333333333336,47.208333333333336,46.25,46.8125,47.416666666666664,46.75,47.0,47.125,47.166666666666664,46.8125,47.041666666666664,46.875,46.875,46.75,47.5,46.875,46.708333333333336,48.041666666666664,46.833333333333336,46.59375,47.0,48.0,46.4375,47.458333333333336,47.1875,46.833333333333336,46.5625,46.71875,47.40625,46.666666666666664,47.90625,47.375,47.25,47.25,47.041666666666664,46.875,46.8125,47.125,50.0,50.375,50.541666666666664,50.916666666666664,51.458333333333336,51.25,51.708333333333336,35.90625,36.25,47.59375,48.125,48.6875,48.375,47.541666666666664,39.1875,47.208333333333336,49.041666666666664,47.375,46.625,46.416666666666664,47.208333333333336,47.125,46.541666666666664,46.416666666666664,46.625,46.5,46.125,46.625,47.041666666666664,47.125
