,Data,Hora,P3.1.1 V (V),P3.1.2 V (V),P3.1.3 V (V),P3.1.4 V (V),P3.1.5 V (V),P3.1.6 V (V),P3.1.7 V (V),P3.1.8 V (V),P3.1.9 V (V),P3.1.10 V (V),P3.1.11 V (V),P3.1.12 V (V),P3.1.13 V (V),P3.1.14 V (V),P3.1.15 V (V),P3.1.16 V (V),P3.2.1 V (V),P3.2.2 V (V),P3.2.3 V (V),P3.2.4 V (V),P3.2.5 V (V),P3.2.6 V (V),P3.2.7 V (V),P3.2.8 V (V),P3.2.9 V (V),P3.2.10 V (V),P3.2.11 V (V),P3.2.12 V (V),P3.2.13 V (V),P3.2.14 V (V),P3.2.15 V (V),P3.2.16 V (V),P3.3.1 V (V),P3.3.2 V (V),P3.3.3 V (V),P3.3.4 V (V),P3.3.5 V (V),P3.3.6 V (V),P3.3.7 V (V),P3.3.8 V (V),P3.3.9 V (V),P3.3.10 V (V),P3.3.11 V (V),P3.3.12 V (V),P3.3.13 V (V),P3.3.14 V (V),P3.3.15 V (V),P3.3.16 V (V),P3.4.1 V (V),P3.4.2 V (V),P3.4.3 V (V),P3.4.4 V (V),P3.4.5 V (V),P3.4.6 V (V),P3.4.7 V (V),P3.4.8 V (V),P3.4.9 V (V),P3.4.10 V (V),P3.4.11 V (V),P3.4.12 V (V),P3.4.13 V (V),P3.4.14 V (V),P3.4.15 V (V),P3.4.16 V (V),P3.5.1 V (V),P3.5.2 V (V),P3.5.3 V (V),P3.5.4 V (V),P3.5.6 V (V),P3.5.7 V (V),P3.5.8 V (V),P3.5.9 V (V),P3.5.11 V (V),P3.5.12 V (V),P3.5.13 V (V),P3.5.14 V (V),P3.5.15 V (V),P3.5.16 V (V),P3.6.1 V (V),P3.6.3 V (V),P3.6.4 V (V),P3.6.5 V (V),P3.6.6 V (V),P3.6.7 V (V),P3.6.8 V (V),P3.6.9 V (V),P3.6.10 V (V),P3.6.11 V (V),P3.6.12 V (V),P3.6.13 V (V),P3.6.14 V (V),P3.6.15 V (V),P3.6.16 V (V),P3.7.1 V (V),P3.7.2 V (V),P3.7.3 V (V),P3.7.4 V (V),P3.7.5 V (V),P3.7.6 V (V),P3.7.7 V (V),P3.7.8 V (V),P3.7.9 V (V),P3.7.10 V (V),P3.7.11 V (V),P3.7.12 V (V),P3.7.13 V (V),P3.7.14 V (V),P3.7.15 V (V),P3.7.16 V (V),P3.8.1 V (V),P3.8.2 V (V),P3.8.3 V (V),P3.8.4 V (V),P3.8.5 V (V),P3.8.6 V (V),P3.8.7 V (V),P3.8.8 V (V),P3.8.9 V (V),P3.8.10 V (V),P3.8.11 V (V),P3.8.12 V (V),P3.8.13 V (V),P3.8.14 V (V),P3.8.15 V (V),P3.8.16 V (V)
0,2021-04-03,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-03,06:15:00,68.4375,71.78125,68.79166666666667,68.16666666666667,69.375,69.45833333333333,68.58333333333333,67.71875,65.16666666666667,66.375,66.625,68.125,63.5625,68.20833333333333,67.75,68.66666666666667,71.33333333333333,71.625,68.34375,68.04166666666667,68.54166666666667,66.45833333333333,68.375,69.375,67.875,68.16666666666667,67.625,67.125,65.875,69.08333333333333,66.9375,69.04166666666667,70.25,69.0,67.95833333333333,70.0,71.125,69.04166666666667,70.8125,69.1875,67.79166666666667,67.70833333333333,66.875,67.6875,67.66666666666667,67.25,67.20833333333333,67.65625,67.875,68.375,69.5,68.04166666666667,68.125,68.625,68.875,69.375,69.41666666666667,68.53125,69.6875,67.75,69.16666666666667,67.75,70.625,66.04166666666667,66.66666666666667,68.33333333333333,68.71875,67.875,66.9375,67.66666666666667,68.625,68.375,64.3125,67.25,68.45833333333333,64.3125,69.03125,65.625,67.83333333333333,66.5625,68.83333333333333,68.5,68.8125,67.6875,66.875,68.58333333333333,69.75,66.3125,68.16666666666667,68.70833333333333,67.04166666666667,69.04166666666667,70.0625,68.0,67.83333333333333,67.29166666666667,67.6875,66.65625,67.25,68.16666666666667,69.45833333333333,71.3125,69.66666666666667,67.5,68.58333333333333,65.75,68.75,68.54166666666667,55.84375,68.125,67.25,66.25,68.16666666666667,68.41666666666667,66.1875,67.25,66.125,65.875,67.125,64.95833333333333,65.29166666666667,66.125,69.75,68.25,67.25
2,2021-04-03,06:30:00,74.45833333333333,75.0,71.875,70.625,70.20833333333333,73.75,71.04166666666667,71.75,69.375,70.625,70.20833333333333,68.08333333333333,68.66666666666667,70.625,69.58333333333333,70.83333333333333,75.125,77.3125,70.875,71.625,68.6875,71.16666666666667,70.95833333333333,70.5625,69.8125,70.5,69.16666666666667,68.54166666666667,69.66666666666667,70.33333333333333,71.5,71.70833333333333,72.41666666666667,74.41666666666667,69.66666666666667,71.6875,70.34375,70.5625,70.25,70.21875,69.625,70.4375,68.875,70.33333333333333,69.70833333333333,69.66666666666667,71.875,71.66666666666667,69.16666666666667,71.04166666666667,73.25,70.79166666666667,69.66666666666667,72.375,72.79166666666667,71.54166666666667,70.75,68.0625,71.16666666666667,69.70833333333333,70.04166666666667,72.25,70.1875,69.875,69.5,70.58333333333333,69.5,70.29166666666667,70.875,69.625,69.79166666666667,71.125,70.25,72.0,68.83333333333333,68.15625,68.3125,69.375,68.79166666666667,70.875,70.16666666666667,70.65625,68.95833333333333,70.375,69.34375,70.5,70.79166666666667,68.125,70.0,70.0625,68.75,70.79166666666667,70.91666666666667,70.0,71.54166666666667,70.54166666666667,69.70833333333333,68.95833333333333,69.28125,70.625,69.66666666666667,74.54166666666667,73.29166666666667,69.66666666666667,70.875,69.33333333333333,71.4375,70.16666666666667,57.875,70.16666666666667,68.0,68.66666666666667,70.875,69.25,68.79166666666667,69.54166666666667,68.3125,68.83333333333333,69.29166666666667,68.5,68.625,69.70833333333333,70.91666666666667,70.25,69.79166666666667
3,2021-04-03,06:45:00,72.5625,75.08333333333333,72.79166666666667,70.45833333333333,70.41666666666667,72.29166666666667,70.6875,69.5,68.5625,69.45833333333333,69.20833333333333,70.21875,68.16666666666667,69.125,70.91666666666667,70.33333333333333,74.625,74.41666666666667,70.4375,70.8125,68.45833333333333,71.54166666666667,70.125,70.8125,68.875,70.70833333333333,68.5,69.29166666666667,68.45833333333333,68.54166666666667,71.0,72.04166666666667,73.83333333333333,73.91666666666667,68.41666666666667,70.75,69.875,70.41666666666667,70.21875,69.625,70.125,69.83333333333333,68.75,70.08333333333333,69.45833333333333,70.16666666666667,70.3125,71.41666666666667,71.5,70.375,71.16666666666667,68.875,69.41666666666667,72.29166666666667,73.09375,68.3125,70.875,69.16666666666667,69.08333333333333,68.625,70.70833333333333,70.125,70.54166666666667,69.25,69.375,69.83333333333333,69.125,69.875,69.0,68.6875,69.75,70.3125,68.70833333333333,70.04166666666667,67.125,68.25,70.125,70.25,69.04166666666667,69.125,68.125,67.5625,69.29166666666667,69.20833333333333,69.625,70.25,69.04166666666667,68.875,69.0625,68.70833333333333,68.91666666666667,69.65625,70.41666666666667,69.125,68.79166666666667,69.875,69.58333333333333,67.91666666666667,68.0625,70.04166666666667,69.20833333333333,73.75,72.20833333333333,70.5,70.33333333333333,69.33333333333333,69.9375,69.29166666666667,57.291666666666664,69.125,68.875,68.04166666666667,67.75,68.25,68.90625,68.91666666666667,68.4375,68.0,68.5,69.33333333333333,67.6875,68.16666666666667,69.25,68.625,69.91666666666667
4,2021-04-03,07:00:00,73.75,77.625,77.25,71.41666666666667,70.91666666666667,73.125,71.875,72.625,69.5,71.0,69.375,71.75,69.875,72.0625,71.75,69.1875,73.3125,73.41666666666667,71.41666666666667,71.25,71.15625,71.45833333333333,71.5,73.75,69.79166666666667,71.875,71.875,70.91666666666667,69.8125,68.95833333333333,71.0,70.95833333333333,71.95833333333333,73.33333333333333,71.33333333333333,71.4375,70.95833333333333,70.95833333333333,70.70833333333333,72.91666666666667,70.79166666666667,70.54166666666667,71.33333333333333,71.45833333333333,70.9375,71.0,71.875,72.08333333333333,69.8125,71.625,72.9375,70.75,68.66666666666667,77.33333333333333,78.625,71.125,70.875,70.5,70.75,70.5,70.9375,72.125,71.75,70.125,71.16666666666667,70.5,69.54166666666667,70.45833333333333,69.875,70.125,71.0,71.20833333333333,70.0,72.0,68.625,69.45833333333333,70.70833333333333,70.125,70.5625,70.41666666666667,70.375,69.66666666666667,69.0,71.125,69.45833333333333,70.45833333333333,70.5625,69.3125,70.91666666666667,70.9375,68.84375,69.6875,70.09375,71.04166666666667,71.08333333333333,70.25,70.70833333333333,71.5,71.20833333333333,70.125,72.25,72.5,71.25,71.04166666666667,71.375,68.75,71.9375,70.83333333333333,59.0,69.91666666666667,71.5,68.66666666666667,69.5,70.25,71.3125,69.83333333333333,69.125,67.25,68.79166666666667,69.04166666666667,69.29166666666667,68.45833333333333,69.83333333333333,70.125,70.1875
5,2021-04-03,07:15:00,74.29166666666667,82.25,80.0625,74.0625,73.1875,72.5625,72.5,73.5625,72.45833333333333,74.20833333333333,73.125,72.95833333333333,71.75,73.0,72.83333333333333,71.875,73.375,73.45833333333333,74.0,72.79166666666667,72.125,73.33333333333333,73.125,74.04166666666667,72.25,72.375,73.29166666666667,72.25,72.66666666666667,71.25,72.75,73.625,73.5,0.0,73.0,73.0,73.125,73.0,72.625,72.21875,72.04166666666667,72.04166666666667,72.625,72.95833333333333,72.875,72.45833333333333,72.375,73.25,72.91666666666667,72.84375,72.91666666666667,72.25,71.54166666666667,73.5625,80.75,73.375,72.5,72.625,72.29166666666667,71.6875,72.0,72.70833333333333,72.33333333333333,70.4375,72.41666666666667,71.33333333333333,72.0,72.20833333333333,72.625,71.125,71.75,72.25,71.375,72.09375,71.0,71.41666666666667,71.79166666666667,71.75,72.33333333333333,71.79166666666667,70.91666666666667,72.08333333333333,71.875,71.66666666666667,71.9375,72.25,72.25,71.75,71.875,72.54166666666667,72.0,73.16666666666667,74.375,72.45833333333333,72.58333333333333,73.0,72.75,71.3125,71.54166666666667,72.04166666666667,72.83333333333333,72.1875,72.125,72.58333333333333,72.66666666666667,72.70833333333333,73.125,72.08333333333333,60.125,71.58333333333333,72.0,71.0,71.29166666666667,71.75,71.54166666666667,71.45833333333333,70.0625,70.875,71.125,71.875,71.04166666666667,71.0625,71.25,71.375,71.33333333333333
6,2021-04-03,07:30:00,72.79166666666667,81.25,71.95833333333333,72.25,69.625,72.4375,72.75,72.09375,70.41666666666667,72.91666666666667,71.625,70.66666666666667,72.33333333333333,71.25,73.0625,72.0625,72.5,73.25,70.91666666666667,71.5,71.58333333333333,70.8125,72.375,73.4375,72.41666666666667,72.625,72.15625,72.03125,71.375,70.66666666666667,72.4375,71.125,71.8125,73.25,72.41666666666667,72.0,72.45833333333333,72.0,71.625,72.04166666666667,70.5,72.375,71.6875,72.875,73.0625,72.75,72.16666666666667,72.04166666666667,72.5625,72.25,71.75,72.375,71.625,74.375,82.375,71.71875,71.70833333333333,70.875,72.29166666666667,72.08333333333333,70.66666666666667,72.375,73.5,72.125,71.95833333333333,71.08333333333333,72.25,71.25,71.08333333333333,70.375,70.66666666666667,71.20833333333333,70.41666666666667,71.5,70.66666666666667,71.5625,72.125,70.66666666666667,69.83333333333333,70.75,70.5,69.8125,70.6875,72.0,71.75,70.75,71.83333333333333,72.04166666666667,71.625,70.0,71.90625,71.41666666666667,71.08333333333333,72.375,71.70833333333333,68.8125,71.29166666666667,70.95833333333333,71.45833333333333,72.0,71.6875,71.04166666666667,71.375,71.16666666666667,71.6875,70.95833333333333,72.5,72.41666666666667,59.25,71.04166666666667,71.29166666666667,70.3125,71.3125,70.25,71.75,71.5,70.91666666666667,70.9375,71.08333333333333,71.45833333333333,72.25,71.58333333333333,71.34375,70.95833333333333,71.54166666666667
7,2021-04-03,07:45:00,71.91666666666667,76.04166666666667,70.625,70.875,71.125,70.25,71.125,70.5,70.79166666666667,71.3125,71.66666666666667,70.83333333333333,70.875,71.3125,71.41666666666667,70.3125,70.875,70.875,71.4375,71.79166666666667,71.16666666666667,70.41666666666667,70.0,71.625,71.3125,71.33333333333333,70.75,71.25,71.33333333333333,71.41666666666667,72.125,71.41666666666667,71.125,71.70833333333333,70.3125,71.29166666666667,72.3125,70.0,70.83333333333333,70.45833333333333,71.4375,71.58333333333333,71.9375,71.375,72.0,71.70833333333333,71.125,71.4375,71.20833333333333,70.70833333333333,70.4375,71.0625,71.34375,71.625,81.16666666666667,71.0625,70.625,72.0,71.5,70.91666666666667,70.1875,71.58333333333333,71.0,70.20833333333333,71.125,70.875,71.29166666666667,70.91666666666667,70.625,70.58333333333333,71.0,70.08333333333333,70.83333333333333,71.125,70.04166666666667,71.5,71.16666666666667,70.58333333333333,70.9375,70.875,69.95833333333333,70.25,69.125,70.45833333333333,70.875,70.875,71.25,71.33333333333333,70.33333333333333,71.0,71.5,71.40625,71.53125,71.1875,70.75,71.125,71.66666666666667,70.1875,70.875,70.66666666666667,71.16666666666667,70.1875,69.8125,70.5625,71.20833333333333,70.79166666666667,70.5625,71.5,58.625,71.0,72.16666666666667,71.04166666666667,71.54166666666667,70.25,70.71875,70.875,71.125,69.25,70.4375,70.45833333333333,70.0,70.91666666666667,70.9375,71.25,71.45833333333333
8,2021-04-03,08:00:00,70.29166666666667,69.79166666666667,70.25,70.125,70.4375,69.5,69.58333333333333,70.6875,69.6875,70.375,71.0,70.75,70.0625,71.16666666666667,70.58333333333333,70.4375,70.34375,69.79166666666667,70.04166666666667,70.45833333333333,70.625,69.6875,69.875,70.41666666666667,70.95833333333333,70.91666666666667,71.54166666666667,70.375,70.79166666666667,70.875,71.25,70.04166666666667,69.95833333333333,69.5,69.75,70.75,70.95833333333333,69.66666666666667,69.5,70.25,70.6875,71.4375,71.79166666666667,70.8125,71.5,72.5,71.16666666666667,70.9375,71.125,69.5,70.125,70.16666666666667,69.75,70.45833333333333,71.16666666666667,69.90625,70.16666666666667,70.625,70.75,70.3125,69.375,71.04166666666667,71.0,69.54166666666667,70.75,69.875,69.66666666666667,70.58333333333333,70.29166666666667,69.75,70.5625,68.91666666666667,70.29166666666667,69.54166666666667,68.90625,70.33333333333333,70.79166666666667,70.5,68.91666666666667,69.5,69.625,69.75,69.875,69.83333333333333,69.75,69.75,69.875,70.54166666666667,69.79166666666667,70.08333333333333,70.54166666666667,71.1875,70.0625,70.5625,69.875,69.40625,70.625,69.95833333333333,70.91666666666667,70.58333333333333,70.5,69.46875,69.375,69.5,70.66666666666667,69.75,69.875,69.79166666666667,57.46875,70.375,71.0,70.45833333333333,70.84375,70.58333333333333,70.6875,69.875,70.33333333333333,69.45833333333333,69.75,70.20833333333333,69.29166666666667,70.125,70.33333333333333,70.375,70.125
9,2021-04-03,08:15:00,70.45833333333333,69.875,69.41666666666667,69.83333333333333,69.16666666666667,69.0,69.0625,69.91666666666667,70.29166666666667,69.75,71.0,70.5,70.0,70.70833333333333,71.0625,69.9375,69.5,69.5625,69.5,69.96875,69.5,69.0,69.5,69.95833333333333,69.625,70.83333333333333,70.16666666666667,70.5625,69.8125,70.66666666666667,70.875,70.125,69.125,68.5625,69.3125,70.625,70.16666666666667,69.20833333333333,69.75,69.91666666666667,70.375,70.75,71.625,70.08333333333333,70.5,71.9375,71.0625,71.0625,70.25,70.46875,70.5625,70.04166666666667,70.41666666666667,70.33333333333333,70.125,69.5625,70.25,70.33333333333333,70.8125,70.9375,70.125,70.5,71.04166666666667,69.6875,69.875,70.16666666666667,69.6875,69.95833333333333,70.0,69.5625,69.79166666666667,69.125,69.91666666666667,69.91666666666667,69.0,70.45833333333333,70.625,69.25,69.5625,69.625,69.625,70.0625,69.8125,69.625,69.1875,70.25,69.625,70.04166666666667,69.95833333333333,69.6875,70.29166666666667,70.375,70.5,70.70833333333333,69.375,70.0,70.29166666666667,70.125,69.875,70.25,70.25,69.16666666666667,69.0,68.75,70.33333333333333,70.375,69.45833333333333,69.04166666666667,57.041666666666664,70.25,71.20833333333333,70.25,70.6875,69.70833333333333,70.625,70.04166666666667,69.58333333333333,69.25,69.25,69.875,69.125,69.875,70.25,70.33333333333333,70.54166666666667
