,Data,Hora,OP1.1.1 I (A),OP1.1.2 I (A),OP1.1.3 I (A),OP1.1.4 I (A),OP1.1.5 I (A),OP1.1.6 I (A),OP1.1.7 I (A),OP1.1.8 I (A),OP1.1.9 I (A),OP1.1.10 I (A),OP1.1.11 I (A),OP1.1.12 I (A),OP1.1.13 I (A),OP1.1.14 I (A),OP1.1.15 I (A),OP1.1.16 I (A),OP1.2.1 I (A),OP1.2.2 I (A),OP1.2.3 I (A),OP1.2.4 I (A),OP1.2.5 I (A),OP1.2.6 I (A),OP1.2.7 I (A),OP1.2.8 I (A),OP1.2.9 I (A),OP1.2.10 I (A),OP1.2.11 I (A),OP1.2.12 I (A),OP1.2.13 I (A),OP1.2.14 I (A),OP1.2.15 I (A),OP1.2.16 I (A),OP1.3.1 I (A),OP1.3.2 I (A),OP1.3.3 I (A),OP1.3.4 I (A),OP1.3.5 I (A),OP1.3.6 I (A),OP1.3.7 I (A),OP1.3.8 I (A),OP1.3.9 I (A),OP1.3.10 I (A),OP1.3.11 I (A),OP1.3.12 I (A),OP1.3.13 I (A),OP1.3.14 I (A),OP1.3.15 I (A),OP1.3.16 I (A)
0,2021-02-24,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-02-24,06:15:00,0.33440000000000003,0.4771,0.3,0.4875,0.31875,0.4625000000000001,0.35836666666666667,0.23909999999999998,0.28750000000000003,0.2542,0.2547,0.2812,0.2708333333333333,0.201575,0.1625,0.2188,0.23546666666666663,0.24375,0.19375,0.16876666666666665,0.19375,0.1688,0.225,0.08753333333333334,0.22296666666666667,0.3438,0.25005,0.23336666666666664,0.2344,0.25,0.125,0.25206666666666666,0.1547,0.40315,0.19065,0.3187666666666667,0.19586666666666666,0.38439999999999996,0.24375,0.2844,0.17504999999999998,0.4625,0.23753333333333335,0.3520999999999999,0.206275,0.2562,0.25626666666666664,0.225025
2,2021-02-24,06:30:00,0.80005,1.1937666666666666,1.2208666666666668,1.150025,1.2333666666666667,1.0374999999999999,1.1062666666666667,1.0563,0.6187666666666667,0.4791666666666667,0.5031,0.54375,0.557825,0.4625,0.36875,0.495325,0.4333333333333333,0.49793333333333334,0.3292,0.44684999999999997,0.46565,0.3625,0.4771,0.3062666666666667,0.275,0.5229333333333334,0.30206666666666665,0.5375,0.36245,0.27344999999999997,0.14793333333333333,0.41565,1.0906500000000001,1.1292,0.9645666666666667,0.90005,1.17815,1.125025,0.9520666666666667,0.9895999999999999,1.018775,1.2083333333333333,0.6969000000000001,1.3021,1.25,0.3438,0.3375333333333333,1.0771
3,2021-02-24,06:45:00,1.57345,1.6219000000000001,1.6688,1.8145999999999998,1.72815,1.5875,1.6219000000000001,1.5666666666666667,0.925,0.8375,0.8687666666666667,0.8063000000000001,0.94065,0.8062500000000001,0.77035,0.8344,0.8375250000000001,0.8833333333333333,0.6770999999999999,0.7896000000000001,0.77815,0.8375,0.7063,0.6583333333333333,0.8375,0.9344000000000001,0.65315,0.7646000000000001,0.8531250000000001,0.30833333333333335,0.19166666666666665,0.8479000000000001,1.4292,1.5125,1.5979333333333334,1.6021,1.6500333333333332,1.88755,1.7188,1.7396,1.7771000000000001,1.7333666666666667,1.5062666666666666,1.9042000000000001,1.7141,0.582825,0.3792,1.6187666666666667
4,2021-02-24,07:00:00,2.2218999999999998,2.2797,2.2016,2.3,2.0844,2.1458666666666666,2.275025,2.1094,1.3458666666666665,1.2542,1.2969,1.30315,1.3666666666666665,1.25,1.24065,1.3719000000000001,1.3375000000000001,1.3375,1.04065,1.2344,1.2297,1.225,1.2828249999999999,1.1458333333333333,1.2229333333333334,1.2469000000000001,1.4188,1.2125333333333332,1.36565,0.84375,0.22713333333333333,1.2604333333333333,2.1563,2.18285,2.1896,2.1906499999999998,2.191666666666667,2.4375,2.25005,2.15,2.20005,2.3167,2.2479333333333336,2.4500333333333333,2.335433333333333,1.4813,0.44793333333333335,1.9813
5,2021-02-24,07:15:00,2.7453250000000002,2.84065,2.829166666666667,2.9422,2.9500000000000006,2.7333666666666665,2.891666666666667,2.81875,2.022933333333333,1.7937666666666667,1.6,1.8229,1.8979666666666668,1.7291666666666667,1.7688,1.9188,1.8916666666666668,1.9062666666666666,1.6250333333333333,1.6166666666666665,1.7938,1.76095,1.8250000000000002,1.50625,1.9208666666666667,1.9078,1.7291999999999998,1.8312499999999998,1.6625,1.7438,0.23963333333333334,1.8479,2.7062999999999997,2.945866666666667,2.868775,2.823425,2.8187666666666664,2.9,2.908366666666667,2.85785,2.8015749999999997,2.84065,2.7938,2.9562999999999997,2.9104333333333336,2.6854,1.1344,2.7344
6,2021-02-24,07:30:00,3.35625,3.3667,3.4667,3.5542,3.533366666666667,3.460433333333333,3.33125,3.40315,2.5,2.2938,2.256266666666667,2.4547,2.52815,2.3094,2.3792,2.45005,2.3906,2.4333333333333336,2.1167,2.1750000000000003,2.19375,2.4208333333333334,2.2,2.1219,2.4250333333333334,2.43125,2.3719,2.4271,2.2687666666666666,2.38125,0.32189999999999996,2.4594,3.20935,3.51255,3.3969,3.5167,3.4125,3.4812666666666665,3.493766666666667,3.5146,3.4875000000000003,3.4047,3.3937500000000003,3.64685,3.5458666666666665,3.4958666666666667,2.350025,3.15
7,2021-02-24,07:45:00,3.7583333333333333,3.968725,3.9063,4.1312999999999995,3.8563,4.014600000000001,3.9281499999999996,3.99375,3.0854,2.9937500000000004,2.9125,3.075,3.065625,2.970866666666667,2.8125,3.1063,2.8000000000000003,3.1219,2.7458666666666667,2.797966666666667,2.7604666666666664,2.9083666666666663,2.875,2.6416999999999997,2.9708666666666663,3.051575,2.8437666666666668,3.0167,2.9469000000000003,2.75,1.1313,2.96565,3.7271,4.004166666666666,3.92815,3.98125,3.8541666666666665,4.1062666666666665,4.06875,3.96875,3.8375,3.99375,4.0625,4.01565,4.056266666666667,4.0770333333333335,3.827066666666667,3.7479333333333336
8,2021-02-24,08:00:00,4.2905999999999995,4.62185,4.3750333333333336,4.6875,4.489566666666666,4.6125,4.496875,4.4313,3.4188,3.575,3.40315,3.462533333333333,3.6437999999999997,3.4917000000000002,3.412525,3.4312333333333336,3.4291666666666667,3.4,3.3562666666666665,3.3500333333333336,3.3828499999999995,3.5021,3.3781499999999998,3.375,3.5219,3.59065,3.445866666666667,3.49065,3.5812666666666666,3.4813,1.9771,3.5917,4.275024999999999,4.5969,4.475,4.60625,4.422899999999999,4.8812,4.62815,4.425,4.448449999999999,4.6020666666666665,4.445833333333333,4.5917,4.2812,4.5,4.5031,4.306266666666667
9,2021-02-24,08:15:00,4.827100000000001,5.05,4.806233333333333,5.1156,5.133366666666666,4.9687,5.07505,5.060433333333333,4.18595,4.081275,3.937533333333333,4.1469,4.200033333333333,4.035433333333334,4.074966666666667,3.9396,4.012499999999999,3.9667,3.8542,3.9875333333333334,4.0271,4.1594,3.9250333333333334,3.8708666666666667,3.8875,4.108366666666667,4.06565,3.9833666666666665,4.0969,3.9354333333333336,3.225025,4.2125,4.912533333333333,5.045866666666666,5.025,4.8979333333333335,5.01875,5.1141,5.0031,4.9625,4.9719,5.120833333333334,5.070833333333334,5.12815,4.9609499999999995,4.979166666666667,5.0031,4.9094
10,2021-02-24,08:30:00,5.3422,5.481275,5.368766666666666,5.607825,5.508366666666667,5.5292,5.5125,5.483366666666666,4.7905999999999995,4.775,4.437525,4.675,4.785433333333334,4.579166666666667,4.5,4.56875,4.5969,4.606275,4.51875,4.3187,4.6188,4.587533333333333,4.509399999999999,4.2781,4.53125,4.75315,4.53435,4.5625,4.6125,4.47345,4.262499999999999,4.525,5.354133333333333,5.60935,5.490625,5.425,5.4375,5.7375,5.4354000000000005,5.5417,5.445325,5.487466666666667,5.5,5.64375,5.4344,5.464566666666667,5.5417,5.345833333333334
11,2021-02-24,08:45:00,5.82815,6.0,5.867175,6.074999999999999,5.939600000000001,5.954166666666667,5.931233333333334,5.9031,5.192175,5.26875,5.14375,5.0917,5.2312666666666665,5.058333333333334,4.95155,5.0,5.008366666666666,5.1531,4.8354,4.85935,4.77505,5.009399999999999,5.0031,4.767175,5.01875,5.2562750000000005,4.9999666666666664,5.0229333333333335,5.0312,4.9813,5.01565,5.25315,0.0,5.941666666666666,5.8917,5.864566666666666,5.770833333333333,6.091666666666666,5.941666666666666,5.991700000000001,5.8979333333333335,6.025,5.887499999999999,6.03435,5.9125,5.9609499999999995,5.7375,5.8203499999999995
12,2021-02-24,09:00:00,6.1687666666666665,6.33905,6.324999999999999,6.479699999999999,6.375,6.34375,6.410433333333334,6.25,5.7156,5.54375,5.583366666666667,5.5645999999999995,5.634399999999999,5.45005,5.4219,5.483366666666666,5.49375,5.39065,5.316666666666667,5.3374999999999995,5.379166666666667,5.397966666666666,5.431233333333334,5.3500000000000005,5.4041999999999994,5.7094000000000005,5.5,5.5859000000000005,5.491666666666667,5.456266666666667,5.3953,5.509399999999999,6.193766666666666,6.36255,6.231249999999999,6.3406,6.2542,6.493733333333334,6.2969,6.4031,6.381266666666666,6.375,6.375,6.4771,6.2229,6.4771,6.3797,6.3000333333333325
13,2021-02-24,09:15:00,6.597933333333334,6.829166666666666,6.626575,6.7562,6.696899999999999,6.808333333333334,6.729166666666667,6.633333333333333,6.18435,5.945833333333333,5.949999999999999,6.012466666666666,6.0437666666666665,5.84685,5.9047,6.031275000000001,6.0354,6.0469,5.760433333333334,5.7875,5.841666666666666,6.0687,5.957825,5.75,5.9395999999999995,6.1766000000000005,6.0031,6.0625,5.968766666666667,5.843766666666667,5.9875,5.962533333333333,6.5594,6.79685,6.683333333333334,6.8167,6.593766666666667,6.8375,6.6968499999999995,6.699999999999999,6.6604,6.728149999999999,6.747933333333333,6.86255,6.634375,6.7875000000000005,6.8625,6.625
14,2021-02-24,09:30:00,6.904166666666666,7.1125,6.978149999999999,7.18905,7.035433333333333,7.204166666666667,7.1,6.983333333333333,6.633366666666667,6.4104,6.327133333333333,6.471875000000001,6.42505,6.3281,6.3625,6.3469,6.32815,6.403124999999999,6.204725,6.170833333333333,6.2729,6.317175,6.4219,6.1874666666666664,6.41875,6.5875,6.390649999999999,6.45625,6.3625,6.341666666666666,6.175,6.422900000000001,6.8375,7.1146,7.0667,7.1687666666666665,6.8906,7.160433333333333,7.0625,7.109349999999999,6.9531,7.0313,6.99685,7.185925,7.045833333333333,7.1604,7.0729,6.916666666666667
15,2021-02-24,09:45:00,7.2375,7.46565,7.339075,7.5625,7.2063,7.4896,7.449999999999999,7.353149999999999,6.991666666666667,6.891666666666666,6.7749999999999995,7.00315,6.86245,6.73745,6.762499999999999,6.7396,6.731233333333333,6.8530999999999995,6.683333333333334,6.658333333333334,6.658366666666667,6.73755,6.702100000000001,6.5854,6.852133333333334,6.8719,6.86875,6.791666666666667,6.803125,6.745833333333334,6.595866666666666,6.8218749999999995,7.25,7.429166666666666,7.416633333333333,7.4406,7.276574999999999,7.489566666666666,7.28435,7.504166666666666,7.298425,7.358333333333333,7.372933333333333,7.627100000000001,7.381266666666666,7.568766666666666,7.4516,7.281266666666667
