,Data,Hora,OP3.1.1 V (V),OP3.1.2 V (V),OP3.1.3 V (V),OP3.1.4 V (V),OP3.1.5 V (V),OP3.1.6 V (V),OP3.1.7 V (V),OP3.1.8 V (V),OP3.1.9 V (V),OP3.1.10 V (V),OP3.1.11 V (V),OP3.1.12 V (V),OP3.1.13 V (V),OP3.1.14 V (V),OP3.1.15 V (V),OP3.1.16 V (V),OP3.2.1 V (V),OP3.2.2 V (V),OP3.2.3 V (V),OP3.2.4 V (V),OP3.2.5 V (V),OP3.2.6 V (V),OP3.2.7 V (V),OP3.2.8 V (V),OP3.2.9 V (V),OP3.2.10 V (V),OP3.2.11 V (V),OP3.2.12 V (V),OP3.2.14 V (V),OP3.2.15 V (V),OP3.2.16 V (V),OP3.3.1 V (V),OP3.3.2 V (V),OP3.3.3 V (V),OP3.3.4 V (V),OP3.3.5 V (V),OP3.3.6 V (V),OP3.3.7 V (V),OP3.3.8 V (V),OP3.3.9 V (V),OP3.3.10 V (V),OP3.3.11 V (V),OP3.3.12 V (V),OP3.3.13 V (V),OP3.3.14 V (V),OP3.3.15 V (V),OP3.3.16 V (V),OP3.4.1 V (V),OP3.4.2 V (V),OP3.4.3 V (V),OP3.4.4 V (V),OP3.4.5 V (V),OP3.4.6 V (V),OP3.4.7 V (V),OP3.4.8 V (V),OP3.4.9 V (V),OP3.4.10 V (V),OP3.4.11 V (V),OP3.4.12 V (V),OP3.4.13 V (V),OP3.4.14 V (V),OP3.4.15 V (V),OP3.4.16 V (V),OP3.5.1 V (V),OP3.5.2 V (V),OP3.5.3 V (V),OP3.5.4 V (V),OP3.5.5 V (V),OP3.5.6 V (V),OP3.5.7 V (V),OP3.5.8 V (V),OP3.5.9 V (V),OP3.5.10 V (V),OP3.5.11 V (V),OP3.5.12 V (V),OP3.5.13 V (V),OP3.5.14 V (V),OP3.5.15 V (V),OP3.5.16 V (V),OP3.6.1 V (V),OP3.6.2 V (V),OP3.6.3 V (V),OP3.6.4 V (V),OP3.6.6 V (V),OP3.6.7 V (V),OP3.6.8 V (V),OP3.6.9 V (V),OP3.6.10 V (V),OP3.6.11 V (V),OP3.6.12 V (V),OP3.6.13 V (V),OP3.6.14 V (V),OP3.6.15 V (V),OP3.6.16 V (V),OP3.7.1 V (V),OP3.7.2 V (V),OP3.7.4 V (V),OP3.7.5 V (V),OP3.7.6 V (V),OP3.7.7 V (V),OP3.7.8 V (V),OP3.7.9 V (V),OP3.7.10 V (V),OP3.7.11 V (V),OP3.7.12 V (V),OP3.7.13 V (V),OP3.7.14 V (V),OP3.7.15 V (V),OP3.7.16 V (V),OP3.8.1 V (V),OP3.8.3 V (V),OP3.8.4 V (V),OP3.8.5 V (V),OP3.8.6 V (V),OP3.8.7 V (V),OP3.8.8 V (V),OP3.8.9 V (V),OP3.8.10 V (V),OP3.8.11 V (V),OP3.8.12 V (V),OP3.8.14 V (V),OP3.8.15 V (V),OP3.8.16 V (V)
0,2021-04-30,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-30,06:15:00,43.958333333333336,36.0,49.083333333333336,50.5625,61.666666666666664,50.041666666666664,57.791666666666664,49.375,47.416666666666664,47.666666666666664,49.25,48.8125,46.6875,46.875,40.458333333333336,42.0,43.208333333333336,37.9375,49.9375,52.875,50.75,61.833333333333336,33.541666666666664,44.125,43.208333333333336,47.375,46.708333333333336,46.0625,41.125,42.625,49.25,41.333333333333336,43.208333333333336,48.25,54.8125,50.0625,52.125,46.125,51.291666666666664,49.0,49.583333333333336,48.291666666666664,47.458333333333336,45.875,56.666666666666664,42.583333333333336,37.625,46.875,48.0,48.541666666666664,34.0,47.875,48.0,42.0,57.958333333333336,46.583333333333336,49.458333333333336,48.5,48.125,46.541666666666664,35.791666666666664,48.583333333333336,55.041666666666664,46.708333333333336,48.0,46.791666666666664,47.208333333333336,47.5,47.625,46.333333333333336,45.5,38.208333333333336,45.333333333333336,46.583333333333336,48.333333333333336,47.0,48.541666666666664,47.1875,47.0,47.083333333333336,48.75,47.875,52.875,47.75,45.9375,44.916666666666664,46.625,48.583333333333336,45.3125,49.25,48.0,47.75,47.166666666666664,48.666666666666664,48.9375,48.4375,50.0,48.9375,49.8125,43.875,47.666666666666664,42.208333333333336,41.3125,45.25,47.625,46.916666666666664,46.59375,46.166666666666664,39.5,48.0,46.208333333333336,57.28125,47.666666666666664,48.0,46.166666666666664,47.833333333333336,45.458333333333336,47.666666666666664,47.125,46.0,47.875,47.875,48.5
2,2021-04-30,06:30:00,39.6875,40.0,47.3125,49.75,50.166666666666664,48.625,49.9375,50.96875,48.833333333333336,48.75,49.375,48.5625,47.625,47.208333333333336,40.041666666666664,41.166666666666664,40.291666666666664,38.96875,49.75,49.416666666666664,49.833333333333336,50.666666666666664,50.708333333333336,49.291666666666664,47.4375,47.9375,47.5625,48.46875,46.75,40.666666666666664,41.916666666666664,39.416666666666664,40.208333333333336,50.25,50.125,50.333333333333336,51.5,43.208333333333336,50.5,48.9375,48.416666666666664,47.916666666666664,49.375,48.0,47.25,41.5625,41.125,45.583333333333336,48.291666666666664,48.666666666666664,48.333333333333336,48.875,46.625,42.083333333333336,44.041666666666664,44.833333333333336,43.5625,48.333333333333336,48.75,47.75,48.625,48.5,48.166666666666664,47.875,47.333333333333336,48.25,47.583333333333336,47.708333333333336,47.375,43.875,44.375,45.333333333333336,44.5,47.333333333333336,48.583333333333336,47.958333333333336,47.291666666666664,47.375,48.375,47.375,47.0,48.46875,47.75,47.4375,44.4375,44.125,45.5625,43.5625,47.625,47.833333333333336,47.333333333333336,47.125,47.041666666666664,48.3125,50.25,50.5,49.708333333333336,50.041666666666664,50.125,46.916666666666664,46.833333333333336,37.541666666666664,39.9375,46.9375,47.625,48.6875,48.125,47.8125,39.541666666666664,47.083333333333336,46.875,46.791666666666664,47.166666666666664,47.375,46.625,47.0625,46.25,46.75,46.708333333333336,46.0,46.958333333333336,47.0,47.0
3,2021-04-30,06:45:00,29.0,34.166666666666664,45.541666666666664,50.791666666666664,51.041666666666664,48.416666666666664,52.0625,52.4375,49.791666666666664,49.625,52.25,50.666666666666664,48.0625,49.291666666666664,38.125,38.083333333333336,31.708333333333332,33.625,50.5,50.75,52.8125,51.333333333333336,51.9375,49.875,50.3125,49.916666666666664,49.0,49.833333333333336,47.6875,37.9375,39.125,32.958333333333336,34.541666666666664,50.833333333333336,51.791666666666664,52.3125,53.083333333333336,43.4375,52.15625,50.0,50.333333333333336,49.1875,51.208333333333336,50.5,48.541666666666664,39.625,39.3125,45.9375,50.5625,46.208333333333336,49.583333333333336,51.25,43.875,36.208333333333336,42.0,42.791666666666664,43.3125,48.791666666666664,48.875,48.291666666666664,49.666666666666664,50.458333333333336,49.916666666666664,48.583333333333336,48.25,49.25,48.5,48.708333333333336,48.5,40.625,41.666666666666664,42.916666666666664,43.416666666666664,48.4375,49.708333333333336,0.0,47.75,50.75,49.0625,48.0,48.916666666666664,48.6875,48.0,48.291666666666664,42.4375,40.916666666666664,42.166666666666664,42.875,49.1875,49.458333333333336,48.4375,48.708333333333336,48.291666666666664,49.625,51.875,52.416666666666664,50.791666666666664,52.041666666666664,52.65625,45.333333333333336,45.916666666666664,35.0,32.0625,49.3125,48.666666666666664,48.3125,50.0625,48.125,39.333333333333336,47.291666666666664,46.916666666666664,46.375,46.875,47.416666666666664,46.958333333333336,46.75,46.625,46.583333333333336,46.416666666666664,46.291666666666664,46.458333333333336,47.0,47.041666666666664
4,2021-04-30,07:00:00,34.875,34.166666666666664,48.8125,50.6875,50.75,51.125,50.3125,51.083333333333336,49.75,49.708333333333336,50.5,49.75,48.791666666666664,48.75,39.375,39.5,35.416666666666664,36.0,50.6875,50.4375,50.75,50.583333333333336,51.625,49.291666666666664,49.125,49.5,48.9375,49.625,48.0,39.333333333333336,40.75,36.166666666666664,36.125,50.5625,51.083333333333336,51.9375,51.833333333333336,42.8125,51.4375,49.75,50.0,49.791666666666664,50.3125,49.5625,48.958333333333336,39.708333333333336,40.291666666666664,44.583333333333336,48.458333333333336,48.833333333333336,48.125,48.333333333333336,47.333333333333336,41.0,46.0,45.9375,45.0,49.5,48.041666666666664,47.625,48.416666666666664,48.5,48.041666666666664,47.3125,47.75,47.875,47.5,47.75,47.125,45.125,45.25,45.75,42.958333333333336,47.958333333333336,48.083333333333336,47.25,47.5,47.71875,47.625,47.083333333333336,47.625,47.875,47.25,47.458333333333336,45.5,44.958333333333336,45.5,44.0,46.958333333333336,47.708333333333336,47.375,47.6875,47.791666666666664,47.916666666666664,50.708333333333336,50.791666666666664,49.791666666666664,50.875,50.875,48.583333333333336,47.333333333333336,35.375,35.5,47.791666666666664,48.25,49.041666666666664,48.875,48.625,39.375,47.208333333333336,46.833333333333336,46.916666666666664,46.916666666666664,47.083333333333336,46.375,47.166666666666664,46.791666666666664,46.9375,47.1875,46.458333333333336,46.25,46.416666666666664,47.333333333333336
5,2021-04-30,07:15:00,31.25,33.5,43.708333333333336,51.9375,50.458333333333336,49.875,50.0,49.166666666666664,49.6875,50.5,48.875,48.625,47.958333333333336,48.0,42.375,40.625,33.25,42.0,50.833333333333336,49.541666666666664,48.875,49.5,49.666666666666664,49.291666666666664,49.416666666666664,49.25,47.5625,49.708333333333336,47.458333333333336,41.208333333333336,40.4375,34.541666666666664,41.3125,49.5,51.125,50.96875,51.916666666666664,42.375,50.5,49.458333333333336,50.0,48.916666666666664,49.9375,48.0625,48.9375,39.75,42.75,46.25,48.958333333333336,49.75,48.708333333333336,49.375,41.416666666666664,41.166666666666664,42.0625,46.5,45.416666666666664,47.791666666666664,49.5,49.6875,49.0625,48.25,47.375,47.625,47.4375,48.5,48.166666666666664,48.666666666666664,49.083333333333336,46.125,45.458333333333336,45.083333333333336,45.791666666666664,47.5,47.958333333333336,48.75,47.4375,47.0,47.8125,46.791666666666664,47.958333333333336,48.416666666666664,48.333333333333336,48.125,41.958333333333336,45.666666666666664,43.958333333333336,39.875,48.625,48.666666666666664,48.75,47.291666666666664,47.833333333333336,48.8125,51.5,50.5,51.208333333333336,51.0,50.333333333333336,34.375,44.833333333333336,36.083333333333336,34.5,48.416666666666664,50.0,49.166666666666664,48.708333333333336,47.583333333333336,39.166666666666664,47.333333333333336,47.25,47.0,46.833333333333336,46.916666666666664,47.083333333333336,47.0,46.6875,46.833333333333336,46.75,46.333333333333336,47.125,47.125,47.083333333333336
6,2021-04-30,07:30:00,22.583333333333332,22.791666666666668,52.291666666666664,53.75,52.6875,53.125,52.75,55.375,53.333333333333336,52.1875,52.75,52.25,50.9375,52.375,37.75,34.125,31.666666666666668,23.333333333333332,53.1875,52.833333333333336,51.708333333333336,52.708333333333336,54.75,52.041666666666664,51.208333333333336,51.583333333333336,51.125,54.708333333333336,51.791666666666664,37.458333333333336,36.083333333333336,20.041666666666668,26.166666666666668,52.25,52.375,55.0625,56.6875,45.541666666666664,53.5625,53.9375,53.583333333333336,52.291666666666664,53.416666666666664,54.5625,51.0,35.5,35.5,45.78125,49.333333333333336,49.5625,48.8125,49.333333333333336,48.208333333333336,20.041666666666668,47.958333333333336,47.5,47.5625,48.833333333333336,49.375,48.333333333333336,49.125,49.375,48.875,47.208333333333336,47.3125,47.833333333333336,46.708333333333336,47.25,46.916666666666664,46.0,46.125,47.041666666666664,46.0625,46.75,48.541666666666664,47.666666666666664,46.708333333333336,46.75,48.416666666666664,46.458333333333336,47.833333333333336,47.5625,47.0625,47.3125,46.833333333333336,45.75,47.0,46.208333333333336,47.333333333333336,47.875,47.5625,46.875,46.958333333333336,47.4375,52.583333333333336,52.291666666666664,52.083333333333336,52.3125,53.041666666666664,52.25,52.09375,20.541666666666668,24.0,49.375,49.416666666666664,49.833333333333336,49.333333333333336,49.5625,39.833333333333336,47.583333333333336,47.5,46.6875,46.541666666666664,47.5,46.8125,46.791666666666664,46.833333333333336,46.666666666666664,46.291666666666664,46.166666666666664,46.75,46.916666666666664,47.541666666666664
7,2021-04-30,07:45:00,19.0,19.9375,53.583333333333336,54.5,54.583333333333336,54.5625,54.291666666666664,54.78125,54.041666666666664,53.875,55.375,54.583333333333336,52.583333333333336,52.875,33.5625,34.583333333333336,17.96875,18.5,54.5,53.5,54.833333333333336,55.208333333333336,55.5,53.833333333333336,52.875,53.375,52.125,55.625,52.8125,34.125,33.916666666666664,18.208333333333332,18.708333333333332,54.291666666666664,53.75,55.791666666666664,55.666666666666664,46.916666666666664,55.3125,54.666666666666664,54.25,53.75,54.625,54.333333333333336,54.0,35.083333333333336,34.416666666666664,44.875,48.75,49.0625,48.375,48.958333333333336,48.125,28.125,47.9375,47.583333333333336,48.291666666666664,48.208333333333336,48.5625,48.083333333333336,47.5625,48.833333333333336,48.166666666666664,47.041666666666664,46.958333333333336,47.416666666666664,46.8125,46.958333333333336,46.833333333333336,46.291666666666664,46.125,47.458333333333336,46.25,46.5,48.458333333333336,47.166666666666664,46.541666666666664,46.5625,48.4375,46.25,47.666666666666664,47.458333333333336,46.875,47.0,46.958333333333336,46.083333333333336,47.5,46.708333333333336,47.25,47.5,47.416666666666664,46.75,46.666666666666664,47.333333333333336,52.791666666666664,53.083333333333336,53.333333333333336,53.583333333333336,54.458333333333336,53.958333333333336,53.6875,17.333333333333332,17.375,49.625,49.875,50.5,50.208333333333336,49.583333333333336,40.75,47.416666666666664,47.75,46.541666666666664,46.208333333333336,47.416666666666664,46.75,46.625,46.875,46.791666666666664,46.458333333333336,46.25,46.5,47.041666666666664,47.375
8,2021-04-30,08:00:00,15.208333333333334,13.666666666666666,54.375,55.25,55.125,55.541666666666664,55.333333333333336,55.458333333333336,55.25,55.0625,55.65625,55.4375,53.791666666666664,54.1875,32.5625,32.25,15.0625,12.5,54.75,54.541666666666664,56.041666666666664,55.0,55.625,54.75,55.041666666666664,54.8125,54.0625,56.5625,52.9375,32.208333333333336,32.875,12.916666666666666,16.375,54.6875,55.4375,56.666666666666664,56.9375,47.125,55.583333333333336,55.5,55.5625,54.4375,55.666666666666664,55.708333333333336,54.708333333333336,32.75,33.458333333333336,44.375,47.5,47.416666666666664,47.125,47.75,47.291666666666664,47.208333333333336,47.375,46.916666666666664,47.25,47.041666666666664,47.5,46.75,47.041666666666664,47.5625,47.083333333333336,47.0,47.0,47.375,46.75,47.0,47.0,46.583333333333336,46.5,47.5,46.625,46.541666666666664,48.375,47.208333333333336,46.666666666666664,46.875,48.333333333333336,46.3125,47.583333333333336,47.5,46.875,46.958333333333336,47.291666666666664,46.5,47.6875,47.166666666666664,47.3125,47.541666666666664,47.25,46.875,46.75,47.3125,53.708333333333336,53.833333333333336,53.625,53.6875,55.125,54.125,54.958333333333336,14.958333333333334,12.0,50.166666666666664,50.5,50.625,50.875,50.041666666666664,40.958333333333336,47.291666666666664,47.5,46.5,46.375,47.1875,46.625,46.458333333333336,46.666666666666664,46.666666666666664,46.458333333333336,46.083333333333336,46.625,47.041666666666664,47.1875
9,2021-04-30,08:15:00,15.5625,19.416666666666668,53.3125,53.625,54.583333333333336,54.291666666666664,54.375,54.4375,53.666666666666664,54.0,54.416666666666664,53.625,53.125,52.75,33.25,32.75,20.416666666666668,19.916666666666668,53.291666666666664,53.416666666666664,53.875,54.125,54.0,52.5,53.5,52.75,52.708333333333336,54.541666666666664,51.875,32.916666666666664,35.5,23.083333333333332,22.125,52.875,53.708333333333336,55.041666666666664,55.166666666666664,45.708333333333336,53.6875,53.75,52.875,53.333333333333336,54.083333333333336,53.75,52.9375,32.5,33.541666666666664,44.416666666666664,47.458333333333336,47.208333333333336,47.0,47.75,47.375,47.041666666666664,47.0,47.041666666666664,47.083333333333336,46.958333333333336,47.458333333333336,46.65625,47.125,47.458333333333336,46.958333333333336,47.0,46.916666666666664,47.333333333333336,46.833333333333336,46.916666666666664,46.8125,46.5625,46.458333333333336,47.3125,46.541666666666664,46.625,48.041666666666664,47.03125,46.625,46.9375,48.166666666666664,46.291666666666664,47.416666666666664,47.25,46.875,47.0,46.916666666666664,46.5625,47.625,47.125,47.25,47.416666666666664,47.083333333333336,46.833333333333336,46.666666666666664,47.25,52.208333333333336,52.25,51.791666666666664,52.458333333333336,53.458333333333336,53.458333333333336,53.5,23.291666666666668,22.041666666666668,49.0,49.75,49.541666666666664,49.5625,48.625,40.458333333333336,47.291666666666664,47.291666666666664,46.5625,46.375,46.90625,46.8125,46.5,46.625,46.625,46.458333333333336,46.208333333333336,46.708333333333336,46.875,47.125
