,Data,Hora,OP4.1.1 V (V),OP4.1.2 V (V),OP4.1.3 V (V),OP4.1.4 V (V),OP4.1.5 V (V),OP4.1.6 V (V),OP4.1.7 V (V),OP4.1.8 V (V),OP4.1.9 V (V),OP4.1.10 V (V),OP4.1.11 V (V),OP4.1.12 V (V),OP4.1.13 V (V),OP4.1.14 V (V),OP4.1.15 V (V),OP4.1.16 V (V),OP4.1.17 V (V),OP4.1.18 V (V),OP4.1.19 V (V),OP4.1.20 V (V),OP4.1.21 V (V),OP4.1.22 V (V),OP4.2.1 V (V),OP4.2.2 V (V),OP4.2.3 V (V),OP4.2.4 V (V),OP4.2.5 V (V),OP4.2.6 V (V),OP4.2.7 V (V),OP4.2.8 V (V),OP4.2.9 V (V),OP4.2.10 V (V),OP4.2.11 V (V),OP4.2.12 V (V),OP4.2.13 V (V),OP4.2.14 V (V),OP4.2.15 V (V),OP4.2.16 V (V),OP4.2.17 V (V),OP4.2.18 V (V),OP4.2.19 V (V),OP4.2.20 V (V),OP4.2.21 V (V),OP4.2.22 V (V),OP4.3.1 V (V),OP4.3.2 V (V),OP4.3.3 V (V),OP4.3.4 V (V),OP4.3.5 V (V),OP4.3.6 V (V),OP4.3.7 V (V),OP4.3.8 V (V),OP4.3.9 V (V),OP4.3.10 V (V),OP4.3.11 V (V),OP4.3.12 V (V),OP4.3.13 V (V),OP4.3.14 V (V),OP4.3.15 V (V),OP4.3.16 V (V),OP4.3.17 V (V),OP4.3.18 V (V),OP4.3.20 V (V),OP4.3.21 V (V),OP4.3.22 V (V),OP4.4.1 V (V),OP4.4.2 V (V),OP4.4.3 V (V),OP4.4.4 V (V),OP4.4.5 V (V),OP4.4.6 V (V),OP4.4.7 V (V),OP4.4.8 V (V),OP4.4.9 V (V),OP4.4.10 V (V),OP4.4.11 V (V),OP4.4.12 V (V),OP4.4.13 V (V),OP4.4.14 V (V),OP4.4.15 V (V),OP4.4.16 V (V),OP4.4.17 V (V),OP4.4.18 V (V),OP4.4.19 V (V),OP4.4.20 V (V),OP4.5.1 V (V),OP4.5.2 V (V),OP4.5.3 V (V),OP4.5.4 V (V),OP4.5.5 V (V),OP4.5.6 V (V),OP4.5.7 V (V),OP4.5.8 V (V),OP4.5.9 V (V),OP4.5.10 V (V),OP4.5.11 V (V),OP4.5.12 V (V),OP4.5.13 V (V),OP4.5.14 V (V),OP4.5.15 V (V),OP4.5.16 V (V),OP4.5.17 V (V),OP4.5.19 V (V),OP4.5.20 V (V),OP4.5.21 V (V),OP4.5.22 V (V),OP4.6.1 V (V),OP4.6.2 V (V),OP4.6.3 V (V),OP4.6.4 V (V),OP4.6.5 V (V),OP4.6.6 V (V),OP4.6.7 V (V),OP4.6.8 V (V),OP4.6.9 V (V),OP4.6.10 V (V),OP4.6.11 V (V),OP4.6.12 V (V),OP4.6.13 V (V),OP4.6.14 V (V),OP4.6.15 V (V),OP4.6.16 V (V),OP4.6.17 V (V),OP4.6.18 V (V),OP4.6.19 V (V),OP4.6.20 V (V),OP4.6.21 V (V),OP4.6.22 V (V),OP4.7.1 V (V),OP4.7.2 V (V),OP4.7.3 V (V),OP4.7.4 V (V),OP4.7.5 V (V),OP4.7.6 V (V),OP4.7.7 V (V),OP4.7.8 V (V),OP4.7.9 V (V),OP4.7.10 V (V),OP4.7.11 V (V),OP4.7.12 V (V),OP4.7.13 V (V),OP4.7.14 V (V),OP4.7.15 V (V),OP4.7.16 V (V),OP4.7.17 V (V),OP4.7.18 V (V),OP4.7.19 V (V),OP4.7.20 V (V),OP4.7.21 V (V),OP4.7.22 V (V),OP4.8.1 V (V),OP4.8.3 V (V),OP4.8.4 V (V),OP4.8.5 V (V),OP4.8.6 V (V),OP4.8.7 V (V),OP4.8.8 V (V),OP4.8.9 V (V),OP4.8.10 V (V),OP4.8.11 V (V),OP4.8.12 V (V),OP4.8.13 V (V),OP4.8.14 V (V),OP4.8.15 V (V),OP4.8.16 V (V),OP4.8.17 V (V),OP4.8.18 V (V),OP4.8.19 V (V),OP4.8.20 V (V),OP4.8.21 V (V),OP4.8.22 V (V),OP4.9.1 V (V),OP4.9.2 V (V),OP4.9.3 V (V),OP4.9.4 V (V),OP4.9.5 V (V),OP4.9.6 V (V),OP4.9.7 V (V),OP4.9.8 V (V),OP4.9.9 V (V),OP4.9.10 V (V),OP4.9.11 V (V),OP4.9.12 V (V),OP4.9.13 V (V),OP4.9.14 V (V),OP4.9.15 V (V),OP4.9.16 V (V),OP4.9.17 V (V),OP4.9.18 V (V),OP4.9.19 V (V),OP4.9.20 V (V),OP4.9.21 V (V),OP4.9.22 V (V)
0,2021-05-15,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-05-15,06:15:00,0.0,42.0,85.0,0.0,53.9375,32.375,41.5,28.875,1.2083333333333333,0.0,0.0,41.875,46.75,31.75,31.0,83.25,0.0,1.2638888888888888,27.375,85.0,35.625,0.0,17.6875,33.25,19.875,35.125,25.75,30.75,40.125,38.375,43.125,0.0,38.25,32.44444444444444,75.75,56.9375,35.416666666666664,0.0,85.0,31.8125,40.75,43.0,85.0,11.442307692307692,70.0,0.0,25.125,0.0,40.375,35.5,42.0,50.0625,85.0,0.0,2.7463235294117645,23.75,0.0,61.1875,35.708333333333336,38.875,40.5,0.0,0.0,32.875,0.0,37.65909090909091,24.75,0.0,0.0,0.0,0.0,73.125,31.0,0.0,35.75,0.0,14.760416666666666,55.625,0.0,0.0,61.125,80.0,80.0,80.0,0.0,38.875,0.0,0.0,0.0,0.0,64.3125,45.0,20.6328125,0.0,0.0,0.0,53.083333333333336,0.0,26.5,54.67857142857143,29.625,0.0,0.0,0.0,0.0,0.0,43.625,85.0,12.0,0.0,0.0,0.0,0.0,0.0,73.5,20.875,36.5,0.0,7.794354838709677,0.0,26.875,44.625,47.25,0.0,46.125,0.0,54.8125,60.0625,0.0,30.875,0.0,0.0,29.125,0.0,45.75,0.0,37.625,50.0,78.375,66.53125,32.125,0.0,33.75,0.0,38.5,8.62109375,50.583333333333336,0.0,46.625,46.125,55.1875,34.375,44.5,24.5,34.375,32.375,33.25,31.125,39.75,71.0,84.125,36.75,44.125,43.0,0.0,85.0,21.471153846153847,41.833333333333336,35.625,24.96153846153846,3.0443548387096775,49.6875,0.0,54.0,74.0,37.625,48.875,0.0,8.027777777777779,39.375,27.0,0.0,0.0,35.083333333333336,22.875,32.625,26.5,0.0,59.375,43.80681818181818,40.354166666666664,46.75,29.125
2,2021-05-15,06:30:00,34.208333333333336,34.916666666666664,36.75,34.291666666666664,36.6875,35.1875,35.9375,34.916666666666664,29.166666666666668,34.625,36.75,31.6875,31.25,33.375,18.666666666666668,47.833333333333336,42.291666666666664,43.0625,45.0,41.75,42.625,38.25,25.1875,29.25,31.041666666666668,31.8125,32.5,34.375,38.9375,35.958333333333336,38.75,40.0625,39.625,42.583333333333336,38.5625,31.3125,34.9375,42.1875,43.3125,43.083333333333336,41.6875,43.291666666666664,40.791666666666664,41.1875,43.1875,40.125,35.791666666666664,40.041666666666664,37.4375,38.5,36.291666666666664,38.625,37.333333333333336,33.875,37.583333333333336,36.25,37.78125,36.041666666666664,34.5625,34.125,34.708333333333336,33.333333333333336,34.0,37.083333333333336,36.875,30.5,32.75,41.8125,30.291666666666668,42.833333333333336,38.666666666666664,41.21875,35.0,37.1875,40.5,43.458333333333336,43.8125,39.625,46.5,44.90625,39.4375,46.5,44.625,42.708333333333336,46.75,34.166666666666664,33.958333333333336,37.90625,40.333333333333336,35.5,39.541666666666664,38.875,36.8125,37.0,38.46875,42.125,38.5,37.208333333333336,38.875,35.75,38.375,37.8125,40.583333333333336,32.6875,38.0,36.6875,33.8125,31.708333333333332,29.4375,21.9375,32.1875,36.291666666666664,33.791666666666664,34.5,33.125,33.5,35.166666666666664,37.041666666666664,38.5,35.375,40.25,42.375,42.375,40.03125,42.4375,44.208333333333336,38.875,43.833333333333336,34.416666666666664,35.75,35.375,34.0625,36.208333333333336,38.8125,37.083333333333336,37.125,34.625,39.041666666666664,39.541666666666664,37.125,36.5625,40.166666666666664,40.0,39.0,36.75,38.6875,33.3125,40.666666666666664,37.875,38.625,36.25,36.25,38.916666666666664,36.3125,38.166666666666664,39.0,38.5,37.75,36.416666666666664,37.4375,40.0,37.5,36.125,38.3125,33.375,33.3125,38.5,36.25,35.833333333333336,36.916666666666664,36.791666666666664,46.875,45.875,46.416666666666664,47.25,43.708333333333336,45.208333333333336,48.041666666666664,38.916666666666664,34.4375,38.5,23.90625,23.416666666666668,25.375,31.333333333333332,33.541666666666664,27.1875,32.96875,38.4375,39.833333333333336,37.1875,40.875,30.25
3,2021-05-15,06:45:00,37.291666666666664,37.041666666666664,38.125,38.8125,34.916666666666664,38.25,36.65625,35.958333333333336,35.166666666666664,35.78125,35.3125,34.791666666666664,33.0625,33.333333333333336,25.583333333333332,39.5625,39.041666666666664,39.25,40.083333333333336,39.958333333333336,39.666666666666664,41.458333333333336,24.416666666666668,29.208333333333332,35.0,34.0,35.75,37.75,38.6875,37.666666666666664,37.25,37.0,38.59375,39.375,39.5625,38.208333333333336,36.75,39.1875,39.25,39.083333333333336,38.4375,39.041666666666664,38.375,39.541666666666664,38.875,39.625,37.333333333333336,39.041666666666664,37.9375,39.0,37.8125,37.25,35.625,33.833333333333336,38.125,37.291666666666664,36.791666666666664,34.0,36.916666666666664,37.40625,37.25,36.1875,34.75,36.25,36.28125,32.708333333333336,35.4375,39.208333333333336,38.25,39.375,38.375,40.958333333333336,38.3125,40.958333333333336,40.083333333333336,40.6875,41.375,41.25,43.0,43.25,43.666666666666664,43.875,42.708333333333336,43.875,43.0625,36.833333333333336,36.1875,36.875,37.03125,35.34375,38.375,38.0625,37.875,37.666666666666664,37.75,38.8125,37.625,37.5,35.8125,37.083333333333336,37.40625,37.375,36.416666666666664,36.4375,36.5625,37.0625,36.875,35.75,35.03125,29.875,34.875,36.4375,35.4375,35.9375,36.708333333333336,36.46875,37.125,36.791666666666664,37.15625,36.083333333333336,37.75,37.916666666666664,39.4375,39.875,39.666666666666664,39.1875,40.625,40.4375,35.208333333333336,35.5625,35.25,36.0625,35.5625,37.125,36.375,36.125,36.25,36.875,37.083333333333336,37.0,37.75,38.208333333333336,38.166666666666664,38.75,37.625,37.0,38.041666666666664,37.5625,38.75,37.8125,37.5,37.125,36.625,36.125,37.1875,36.416666666666664,36.125,37.083333333333336,37.5,36.375,37.791666666666664,37.375,36.3125,36.916666666666664,34.708333333333336,37.458333333333336,36.041666666666664,36.59375,36.0,36.791666666666664,36.291666666666664,43.416666666666664,44.375,43.166666666666664,44.125,39.708333333333336,45.25,42.583333333333336,36.75,36.75,36.0625,26.625,25.666666666666668,27.791666666666668,30.125,35.9375,32.0625,32.791666666666664,36.375,38.125,38.958333333333336,38.25,35.666666666666664
4,2021-05-15,07:00:00,34.5,35.708333333333336,34.4375,35.875,35.375,36.958333333333336,36.9375,35.0,34.125,33.25,34.041666666666664,29.8125,28.625,28.6875,28.625,41.625,42.416666666666664,43.416666666666664,42.9375,42.34375,44.916666666666664,45.125,23.958333333333332,26.625,32.25,32.375,34.375,36.916666666666664,37.0625,37.166666666666664,38.5,37.75,38.75,38.958333333333336,38.8125,37.5625,38.208333333333336,38.458333333333336,38.625,37.8125,37.833333333333336,38.416666666666664,39.541666666666664,37.8125,41.083333333333336,42.291666666666664,39.375,40.875,39.5,38.25,40.0,39.5,37.25,33.583333333333336,37.416666666666664,36.541666666666664,34.625,33.0,35.0,35.125,35.5,32.916666666666664,33.041666666666664,33.625,34.125,34.625,35.25,38.125,37.3125,38.791666666666664,39.333333333333336,40.625,38.25,40.75,40.96875,38.708333333333336,40.333333333333336,40.5,41.958333333333336,43.5,43.708333333333336,43.666666666666664,42.416666666666664,43.0,43.25,35.8125,35.9375,36.8125,36.875,35.1875,37.666666666666664,37.625,37.5625,36.75,36.583333333333336,37.625,37.333333333333336,36.416666666666664,34.541666666666664,37.375,37.125,36.083333333333336,37.8125,36.4375,34.8125,36.5,35.708333333333336,34.25,34.75,33.34375,33.75,35.916666666666664,35.65625,35.5,36.25,36.5,36.375,34.1875,36.3125,37.75,36.125,37.916666666666664,37.4375,38.5,38.458333333333336,39.583333333333336,40.75,40.625,34.708333333333336,34.59375,33.791666666666664,35.375,35.083333333333336,35.65625,35.125,35.416666666666664,37.25,37.166666666666664,36.583333333333336,36.25,37.125,37.5625,37.791666666666664,38.53125,37.166666666666664,37.333333333333336,37.9375,38.333333333333336,38.8125,39.25,36.0,35.916666666666664,36.958333333333336,36.125,36.458333333333336,36.541666666666664,36.458333333333336,36.083333333333336,37.0,35.5,37.458333333333336,36.708333333333336,35.583333333333336,35.6875,35.5625,37.125,36.625,36.75,37.333333333333336,36.708333333333336,36.666666666666664,45.458333333333336,47.041666666666664,46.125,47.375,43.875,44.458333333333336,45.833333333333336,35.375,35.1875,35.375,25.083333333333332,23.125,26.75,29.6875,32.5,28.25,30.9375,34.875,35.5,36.8125,35.0625,33.9375
5,2021-05-15,07:15:00,16.9375,27.208333333333332,24.1875,33.041666666666664,34.875,34.21875,34.375,34.75,35.125,34.78125,34.541666666666664,34.708333333333336,30.791666666666668,25.583333333333332,19.09375,53.5,52.0,46.041666666666664,46.0,50.541666666666664,48.375,52.375,17.791666666666668,17.708333333333332,16.25,20.25,25.416666666666668,30.5,31.0,33.333333333333336,39.75,44.125,42.458333333333336,49.0,45.083333333333336,44.21875,43.5625,43.333333333333336,46.1875,44.125,44.666666666666664,46.75,43.625,46.333333333333336,41.625,43.5625,41.75,41.1875,41.875,43.1875,44.083333333333336,42.6875,40.5,44.4375,42.583333333333336,41.625,39.59375,37.9375,38.208333333333336,34.0,28.166666666666668,26.75,18.625,24.5,18.0,32.4375,36.166666666666664,38.25,37.9375,38.791666666666664,38.5,40.375,38.5,39.916666666666664,40.6875,38.833333333333336,39.958333333333336,40.125,41.291666666666664,42.875,43.916666666666664,43.75,43.125,43.541666666666664,43.5,35.375,36.03125,35.6875,36.5,34.875,37.375,37.583333333333336,36.5625,36.5,36.791666666666664,37.5,37.5625,36.625,35.9375,37.28125,37.375,35.791666666666664,37.71875,37.875,35.75,37.375,35.25,34.125,33.416666666666664,33.6875,33.833333333333336,34.583333333333336,32.625,34.0,35.208333333333336,35.625,35.375,34.958333333333336,36.75,37.041666666666664,36.041666666666664,39.6875,39.083333333333336,38.958333333333336,39.541666666666664,40.3125,41.75,43.6875,33.791666666666664,34.208333333333336,34.0,35.0625,35.333333333333336,35.0,35.6875,35.208333333333336,0.0,36.8125,37.125,37.291666666666664,37.15625,37.875,37.291666666666664,37.375,37.291666666666664,36.9375,38.75,37.625,38.458333333333336,38.8125,35.25,34.75,35.75,35.083333333333336,35.083333333333336,35.5,35.5,35.5,36.916666666666664,35.458333333333336,36.833333333333336,36.0625,34.25,36.125,34.583333333333336,36.40625,37.34375,38.0,39.666666666666664,38.875,48.0,64.75,65.0,68.625,61.375,59.8125,70.875,63.541666666666664,26.5,27.166666666666668,27.75,17.375,17.791666666666668,17.25,24.041666666666668,23.75,22.3125,25.9375,26.0,27.625,36.208333333333336,31.25,23.25
6,2021-05-15,07:30:00,30.375,24.708333333333332,32.833333333333336,31.833333333333332,36.0,36.583333333333336,37.125,36.166666666666664,35.541666666666664,36.375,35.458333333333336,35.0625,34.6875,29.833333333333332,28.5,43.666666666666664,42.6875,42.916666666666664,49.4375,42.625,42.0,53.125,18.5625,17.458333333333332,25.458333333333332,20.25,28.958333333333332,30.25,31.5,31.791666666666668,39.0625,45.25,43.333333333333336,42.3125,44.75,42.083333333333336,42.291666666666664,41.75,44.916666666666664,45.25,43.208333333333336,46.1875,43.0,43.041666666666664,42.75,46.791666666666664,45.0,42.75,44.53125,43.78125,36.208333333333336,39.90625,39.166666666666664,39.416666666666664,42.5625,43.3125,37.6875,36.583333333333336,38.166666666666664,35.875,37.375,25.916666666666668,29.416666666666668,29.3125,23.25,32.28125,34.833333333333336,37.40625,37.5,39.625,38.75,40.291666666666664,39.083333333333336,40.1875,41.125,39.125,40.8125,40.708333333333336,41.791666666666664,44.28125,44.416666666666664,44.375,44.1875,44.375,44.625,35.75,36.1875,36.583333333333336,36.9375,34.9375,38.0625,37.53125,37.75,37.375,37.208333333333336,38.166666666666664,38.0,37.041666666666664,36.125,38.125,37.1875,35.75,37.25,37.333333333333336,35.3125,36.208333333333336,35.25,36.833333333333336,34.291666666666664,35.8125,34.125,32.25,35.541666666666664,34.21875,35.9375,35.625,33.75,35.96875,36.0625,37.958333333333336,37.6875,38.166666666666664,38.1875,40.25,39.208333333333336,39.3125,42.375,44.291666666666664,33.875,33.5625,34.083333333333336,34.625,35.25,35.4375,35.208333333333336,36.0,37.416666666666664,37.375,37.041666666666664,37.625,37.625,38.375,37.8125,38.416666666666664,38.041666666666664,37.958333333333336,40.3125,38.916666666666664,38.625,38.65625,34.84375,34.791666666666664,36.0,35.208333333333336,35.208333333333336,35.208333333333336,36.166666666666664,34.291666666666664,36.875,35.375,35.75,34.958333333333336,34.75,35.0625,34.666666666666664,37.3125,37.1875,39.125,40.125,38.1875,54.375,51.875,50.458333333333336,51.375,58.333333333333336,57.083333333333336,57.208333333333336,52.4375,32.8125,28.208333333333332,32.583333333333336,24.375,20.083333333333332,21.75,23.6875,25.541666666666668,23.416666666666668,28.75,29.875,29.75,31.875,30.416666666666668,28.958333333333332
7,2021-05-15,07:45:00,26.96875,22.375,31.0,23.125,19.625,27.375,25.90625,33.583333333333336,36.75,39.541666666666664,40.666666666666664,42.5,40.3125,38.0,33.1875,58.5625,47.416666666666664,47.0,50.791666666666664,50.208333333333336,45.125,43.666666666666664,15.34375,13.6875,13.833333333333334,16.666666666666668,14.625,22.583333333333332,24.0625,33.875,32.625,46.875,41.5,48.5,44.333333333333336,45.75,40.3125,42.958333333333336,50.5625,45.9375,44.875,46.708333333333336,47.75,46.708333333333336,43.708333333333336,42.3125,39.041666666666664,35.0,47.208333333333336,42.416666666666664,40.291666666666664,41.6875,44.166666666666664,41.333333333333336,43.9375,35.916666666666664,38.0,38.65625,38.875,39.125,33.0625,26.083333333333332,20.708333333333332,25.53125,18.958333333333332,33.0,35.375,38.375,38.125,38.3125,39.166666666666664,40.21875,38.1875,39.0,40.6875,38.708333333333336,39.8125,39.6875,41.25,44.1875,44.1875,44.0,43.833333333333336,45.666666666666664,45.625,36.875,36.625,37.125,36.875,35.333333333333336,37.875,37.1875,37.25,36.666666666666664,36.5,38.083333333333336,37.791666666666664,37.0,36.0,37.625,37.15625,33.9375,37.625,37.583333333333336,35.458333333333336,37.0625,38.75,36.25,33.708333333333336,32.90625,31.75,32.916666666666664,31.875,33.5,34.083333333333336,34.5,35.09375,35.125,35.666666666666664,37.25,36.375,39.916666666666664,40.125,41.125,41.0,42.0,43.666666666666664,43.166666666666664,30.1875,29.375,29.15625,33.125,33.6875,33.583333333333336,29.291666666666668,33.4375,36.166666666666664,33.125,36.541666666666664,37.291666666666664,34.958333333333336,33.083333333333336,38.75,38.5625,42.916666666666664,45.75,56.75,66.95833333333333,56.9375,39.625,30.833333333333332,33.291666666666664,32.708333333333336,33.333333333333336,35.333333333333336,33.875,33.75,31.5625,35.0,36.541666666666664,34.875,36.125,33.416666666666664,34.4375,33.375,34.875,37.3125,41.15625,75.29166666666667,39.833333333333336,46.833333333333336,67.66666666666667,54.291666666666664,50.25,52.958333333333336,58.25,54.6875,61.791666666666664,27.041666666666668,23.791666666666668,25.75,17.9375,21.5,21.458333333333332,23.90625,18.875,24.291666666666668,24.333333333333332,28.458333333333332,25.041666666666668,37.3125,27.84375,28.708333333333332
8,2021-05-15,08:00:00,18.958333333333332,12.791666666666666,17.833333333333332,21.0,17.041666666666668,21.3125,32.958333333333336,40.375,40.28125,40.875,38.4375,38.791666666666664,37.708333333333336,40.458333333333336,38.208333333333336,45.6875,51.833333333333336,51.041666666666664,50.916666666666664,49.5,46.5,46.333333333333336,14.125,0.0,13.416666666666666,18.5625,18.0,19.333333333333332,23.4375,29.125,30.5625,43.75,49.041666666666664,49.5625,45.25,46.5,46.0,47.333333333333336,53.125,48.25,48.25,47.8125,48.416666666666664,48.9375,46.458333333333336,41.6875,37.916666666666664,43.041666666666664,44.125,48.8125,44.625,41.0625,42.375,40.25,27.583333333333332,41.125,48.125,41.791666666666664,38.625,38.666666666666664,40.458333333333336,40.4375,17.458333333333332,13.1875,13.791666666666666,32.875,35.125,38.875,37.416666666666664,38.833333333333336,38.916666666666664,39.875,38.4375,39.333333333333336,40.208333333333336,38.083333333333336,39.833333333333336,40.5,41.6875,0.0,44.0625,43.9375,45.3125,45.65625,46.75,36.6875,37.25,37.166666666666664,37.3125,35.5,37.25,37.166666666666664,36.5625,36.5,36.5,37.5625,37.666666666666664,36.75,36.083333333333336,37.208333333333336,37.0,34.8125,38.0625,37.75,35.1875,37.625,68.0,40.875,36.916666666666664,34.125,31.416666666666668,33.166666666666664,33.541666666666664,31.958333333333332,33.291666666666664,32.916666666666664,34.8125,33.28125,33.75,35.25,33.083333333333336,35.041666666666664,35.458333333333336,35.0,35.75,37.125,36.166666666666664,38.541666666666664,23.21875,24.5,17.125,25.458333333333332,19.25,24.125,25.0625,22.0,27.25,27.916666666666668,25.75,24.416666666666668,34.541666666666664,23.625,50.791666666666664,67.4375,56.875,56.166666666666664,70.25,62.5,59.9375,65.83333333333333,36.375,36.833333333333336,37.5,38.25,39.0625,38.0,40.8125,41.083333333333336,38.25,41.875,43.0,37.75,35.666666666666664,36.375,35.833333333333336,37.5,37.583333333333336,36.25,37.625,26.416666666666668,36.875,62.5,69.66666666666667,71.6875,66.5,68.79166666666667,73.0625,68.3125,22.458333333333332,27.625,25.3125,20.0625,19.541666666666668,18.333333333333332,15.8125,20.291666666666668,18.5625,21.25,25.4375,19.875,25.416666666666668,19.3125,22.541666666666668
9,2021-05-15,08:15:00,32.6875,33.375,35.166666666666664,36.0,0.0,36.708333333333336,36.6875,36.5,37.375,36.6875,36.125,35.625,35.708333333333336,35.291666666666664,33.8125,41.208333333333336,40.0,39.416666666666664,40.5,38.5,39.833333333333336,38.791666666666664,20.541666666666668,20.8125,26.5,28.03125,29.75,32.75,34.65625,36.125,38.333333333333336,38.6875,40.291666666666664,41.916666666666664,40.875,40.916666666666664,38.75,40.875,42.25,42.5,40.0,40.875,40.6875,43.75,39.875,40.416666666666664,40.333333333333336,39.375,40.4375,39.5,38.666666666666664,38.958333333333336,36.875,34.875,37.708333333333336,37.458333333333336,36.375,34.583333333333336,36.625,36.083333333333336,35.083333333333336,35.625,34.375,35.03125,30.333333333333332,32.75,36.125,37.583333333333336,37.833333333333336,37.625,39.416666666666664,40.583333333333336,38.96875,39.416666666666664,40.625,39.1875,40.333333333333336,41.375,41.75,43.833333333333336,46.083333333333336,45.0,46.125,45.375,45.9375,38.5625,39.375,38.0,38.458333333333336,36.9375,38.166666666666664,37.875,37.4375,37.208333333333336,36.25,37.666666666666664,37.458333333333336,37.625,35.5625,37.25,37.333333333333336,34.916666666666664,36.416666666666664,36.46875,34.4375,35.791666666666664,36.125,34.625,33.0,31.708333333333332,31.6875,31.791666666666668,30.4375,32.166666666666664,33.125,34.208333333333336,34.25,35.5625,37.9375,38.583333333333336,37.75,41.625,41.875,40.125,41.958333333333336,43.291666666666664,44.666666666666664,45.458333333333336,35.1875,35.4375,33.90625,36.1875,36.5,36.6875,36.875,37.666666666666664,38.916666666666664,38.25,38.041666666666664,38.291666666666664,38.5,38.4375,37.583333333333336,37.875,37.333333333333336,37.375,37.75,37.166666666666664,38.3125,37.0,37.375,36.625,37.375,37.0625,37.5,37.125,37.5625,36.333333333333336,38.125,37.25,38.375,37.291666666666664,35.25,36.5625,35.958333333333336,37.333333333333336,36.75,36.125,36.458333333333336,35.958333333333336,36.3125,43.041666666666664,46.083333333333336,43.375,45.875,45.625,44.25,44.0,31.75,35.9375,36.333333333333336,26.6875,23.791666666666668,28.375,30.3125,31.666666666666668,26.84375,29.875,37.8125,37.65625,40.958333333333336,39.25,37.3125
