,Data,Hora,P4.1.1 V (V),P4.1.2 V (V),P4.1.3 V (V),P4.1.5 V (V),P4.1.6 V (V),P4.1.7 V (V),P4.1.8 V (V),P4.1.9 V (V),P4.1.10 V (V),P4.1.11 V (V),P4.1.12 V (V),P4.1.13 V (V),P4.1.14 V (V),P4.1.15 V (V),P4.1.16 V (V),P4.1.17 V (V),P4.1.18 V (V),P4.1.19 V (V),P4.1.20 V (V),P4.1.21 V (V),P4.1.22 V (V),P4.2.1 V (V),P4.2.2 V (V),P4.2.3 V (V),P4.2.4 V (V),P4.2.5 V (V),P4.2.6 V (V),P4.2.7 V (V),P4.2.8 V (V),P4.2.9 V (V),P4.2.10 V (V),P4.2.11 V (V),P4.2.12 V (V),P4.2.13 V (V),P4.2.14 V (V),P4.2.15 V (V),P4.2.16 V (V),P4.2.17 V (V),P4.2.18 V (V),P4.2.19 V (V),P4.2.20 V (V),P4.2.21 V (V),P4.2.22 V (V),P4.3.1 V (V),P4.3.2 V (V),P4.3.3 V (V),P4.3.4 V (V),P4.3.5 V (V),P4.3.6 V (V),P4.3.8 V (V),P4.3.9 V (V),P4.3.10 V (V),P4.3.11 V (V),P4.3.12 V (V),P4.3.14 V (V),P4.3.15 V (V),P4.3.17 V (V),P4.3.18 V (V),P4.3.19 V (V),P4.3.20 V (V),P4.3.21 V (V),P4.3.22 V (V),P4.4.1 V (V),P4.4.3 V (V),P4.4.4 V (V),P4.4.5 V (V),P4.4.6 V (V),P4.4.7 V (V),P4.4.8 V (V),P4.4.9 V (V),P4.4.10 V (V),P4.4.11 V (V),P4.4.12 V (V),P4.4.13 V (V),P4.4.14 V (V),P4.4.15 V (V),P4.4.16 V (V),P4.4.17 V (V),P4.4.18 V (V),P4.4.19 V (V),P4.5.1 V (V),P4.5.2 V (V),P4.5.3 V (V),P4.5.4 V (V),P4.5.5 V (V),P4.5.6 V (V),P4.5.7 V (V),P4.5.8 V (V),P4.5.10 V (V),P4.5.11 V (V),P4.5.12 V (V),P4.5.13 V (V),P4.5.14 V (V),P4.5.15 V (V),P4.5.16 V (V),P4.5.19 V (V),P4.5.20 V (V),P4.5.21 V (V),P4.5.22 V (V),P4.6.1 V (V),P4.6.2 V (V),P4.6.3 V (V),P4.6.4 V (V),P4.6.5 V (V),P4.6.6 V (V),P4.6.7 V (V),P4.6.8 V (V),P4.6.9 V (V),P4.6.10 V (V),P4.6.11 V (V),P4.6.12 V (V),P4.6.13 V (V),P4.6.14 V (V),P4.6.15 V (V),P4.6.16 V (V),P4.6.17 V (V),P4.6.18 V (V),P4.6.19 V (V),P4.6.20 V (V),P4.6.21 V (V),P4.6.22 V (V),P4.7.1 V (V),P4.7.2 V (V),P4.7.3 V (V),P4.7.4 V (V),P4.7.5 V (V),P4.7.6 V (V),P4.7.7 V (V),P4.7.8 V (V),P4.7.9 V (V),P4.7.10 V (V),P4.7.11 V (V),P4.7.12 V (V),P4.7.13 V (V),P4.7.14 V (V),P4.7.15 V (V),P4.7.16 V (V),P4.7.17 V (V),P4.7.18 V (V),P4.7.19 V (V),P4.7.20 V (V),P4.7.21 V (V),P4.7.22 V (V),P4.8.1 V (V),P4.8.2 V (V),P4.8.3 V (V),P4.8.4 V (V),P4.8.5 V (V),P4.8.6 V (V),P4.8.7 V (V),P4.8.8 V (V),P4.8.9 V (V),P4.8.10 V (V),P4.8.11 V (V),P4.8.12 V (V),P4.8.13 V (V),P4.8.14 V (V),P4.8.15 V (V),P4.8.16 V (V),P4.8.17 V (V),P4.8.18 V (V),P4.8.19 V (V),P4.8.20 V (V),P4.8.21 V (V),P4.8.22 V (V),P4.9.1 V (V),P4.9.2 V (V),P4.9.3 V (V),P4.9.4 V (V),P4.9.5 V (V),P4.9.6 V (V),P4.9.7 V (V),P4.9.8 V (V),P4.9.9 V (V),P4.9.10 V (V),P4.9.11 V (V),P4.9.12 V (V),P4.9.13 V (V),P4.9.14 V (V),P4.9.15 V (V),P4.9.16 V (V),P4.9.17 V (V),P4.9.18 V (V),P4.9.19 V (V),P4.9.20 V (V),P4.9.21 V (V),P4.9.22 V (V)
0,2021-04-26,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-26,06:15:00,54.8125,55.041666666666664,56.5,59.166666666666664,60.25,55.791666666666664,61.375,57.75,60.083333333333336,58.53125,58.75,56.125,56.375,47.583333333333336,60.25,60.375,63.0,65.875,62.25,61.416666666666664,58.25,61.791666666666664,64.375,69.4375,60.5,58.0,55.458333333333336,58.0,62.291666666666664,59.75,60.041666666666664,65.75,61.8125,60.125,56.5,69.5625,58.458333333333336,58.333333333333336,61.875,63.0,62.9375,61.3125,60.1875,61.75,47.75,56.5,55.041666666666664,54.1875,62.875,65.79166666666667,51.875,59.3125,67.91666666666667,64.875,59.375,62.0625,63.916666666666664,64.0625,65.0,63.0,64.375,52.458333333333336,66.82142857142857,56.25,56.25,57.875,62.125,60.0,66.0,64.5625,66.9375,65.20833333333333,70.875,65.25,64.625,64.125,64.875,65.08333333333333,61.375,54.75,64.95833333333333,54.0,59.75,49.8125,59.75,62.65625,65.78125,69.52083333333333,56.416666666666664,64.25,65.20833333333333,54.1875,58.1875,64.125,59.1875,55.375,27.3125,58.833333333333336,56.583333333333336,67.21875,65.41666666666667,63.083333333333336,46.791666666666664,57.708333333333336,52.0,65.8125,58.6875,51.0,65.375,58.833333333333336,60.208333333333336,63.25,47.125,62.5,57.791666666666664,60.583333333333336,63.0625,61.25,64.41666666666667,69.6875,65.29166666666667,56.541666666666664,56.0625,58.5,58.666666666666664,56.208333333333336,60.5,68.3125,63.625,54.6875,64.83333333333333,55.4375,64.90625,64.5,62.0625,60.875,62.5,56.666666666666664,64.54166666666667,61.375,62.6875,65.375,64.08333333333333,59.4375,62.333333333333336,62.8125,59.875,60.791666666666664,61.0,65.0,62.916666666666664,59.25,62.291666666666664,56.708333333333336,62.5625,60.791666666666664,64.1875,63.791666666666664,67.75,63.166666666666664,65.0625,63.625,65.29166666666667,64.20833333333333,64.0625,65.91666666666667,61.875,59.0625,64.16666666666667,54.3125,62.8125,62.833333333333336,65.79166666666667,64.9375,62.0625,50.9375,58.625,59.625,60.208333333333336,58.583333333333336,66.9375,58.0,62.375,64.25,66.25,63.1875,64.0625
2,2021-04-26,06:30:00,66.625,65.0625,63.916666666666664,64.1875,64.45833333333333,64.95833333333333,67.625,64.125,67.8125,64.75,66.3125,64.04166666666667,65.25,59.0,70.1875,73.20833333333333,72.59375,69.6875,68.96875,70.79166666666667,69.03125,70.95833333333333,67.29166666666667,67.75,65.125,68.9375,65.16666666666667,66.54166666666667,68.875,66.625,69.9375,68.875,67.41666666666667,68.91666666666667,69.25,65.45833333333333,66.91666666666667,62.5,64.6875,65.5,65.66666666666667,63.791666666666664,64.5,68.25,68.41666666666667,63.25,65.29166666666667,65.08333333333333,64.4375,63.833333333333336,65.59375,67.66666666666667,67.29166666666667,66.125,66.5,66.75,68.45833333333333,67.375,67.66666666666667,66.125,65.25,64.75,64.58333333333333,64.65625,63.40625,64.83333333333333,65.0625,63.75,67.79166666666667,66.5,65.625,65.9375,69.0,68.83333333333333,68.0,67.15625,64.4375,67.33333333333333,66.20833333333333,57.0,66.875,63.541666666666664,65.75,67.375,66.4375,66.25,66.6875,67.54166666666667,63.5,66.9375,65.40625,62.916666666666664,63.041666666666664,65.58333333333333,66.04166666666667,63.333333333333336,63.541666666666664,64.58333333333333,62.25,66.04166666666667,64.5625,66.1875,63.25,66.8125,66.29166666666667,67.125,66.0,63.25,68.5,65.83333333333333,65.75,64.9375,61.4375,65.20833333333333,63.375,66.41666666666667,65.0,66.6875,65.625,63.3125,66.04166666666667,66.375,63.125,65.75,66.16666666666667,65.0,66.625,65.83333333333333,67.20833333333333,62.541666666666664,66.33333333333333,64.70833333333333,66.45833333333333,67.25,66.95833333333333,66.75,66.58333333333333,62.458333333333336,63.333333333333336,64.625,66.66666666666667,63.9375,67.95833333333333,65.1875,64.20833333333333,66.6875,67.5,62.5625,64.875,65.58333333333333,65.875,66.375,65.29166666666667,65.625,68.0,68.0625,67.54166666666667,65.58333333333333,67.91666666666667,66.4375,67.75,67.08333333333333,64.6875,66.375,64.20833333333333,67.54166666666667,65.75,65.33333333333333,65.0625,64.1875,65.5,65.75,68.625,66.3125,67.5625,60.666666666666664,62.208333333333336,69.1875,62.833333333333336,62.25,67.125,63.208333333333336,64.16666666666667,64.83333333333333,65.04166666666667,62.875,66.45833333333333
3,2021-04-26,06:45:00,71.5625,68.25,69.25,69.83333333333333,69.125,69.75,71.84375,68.70833333333333,72.6875,69.5,68.91666666666667,66.58333333333333,67.9375,62.125,74.83333333333333,77.6875,73.29166666666667,72.6875,73.08333333333333,72.125,71.25,69.375,75.0,75.25,74.125,73.33333333333333,72.125,71.20833333333333,72.08333333333333,71.0,72.625,73.1875,71.95833333333333,72.875,72.25,71.33333333333333,72.25,69.91666666666667,68.3125,68.1875,68.875,67.08333333333333,68.1875,73.83333333333333,73.9375,72.6875,72.79166666666667,72.58333333333333,71.6875,70.375,72.875,68.0,67.875,68.625,69.0,68.625,68.875,70.53125,70.16666666666667,69.8125,67.29166666666667,65.75,69.75,68.25,65.25,66.625,66.16666666666667,66.08333333333333,68.3125,68.20833333333333,67.91666666666667,68.5,68.4375,70.625,69.125,68.625,66.6875,69.0,67.0,66.0,68.41666666666667,66.5,68.625,68.20833333333333,68.08333333333333,68.375,68.625,68.5625,67.3125,67.375,66.5625,66.21875,65.625,65.625,66.41666666666667,64.0,66.125,67.4375,65.75,67.625,67.16666666666667,66.125,68.0,70.5,68.45833333333333,68.125,66.54166666666667,66.66666666666667,67.34375,68.125,68.33333333333333,68.04166666666667,61.875,69.125,67.0625,66.83333333333333,67.75,67.3125,68.5625,66.96875,65.70833333333333,67.625,66.9375,65.4375,65.66666666666667,66.8125,65.95833333333333,66.58333333333333,68.6875,65.75,67.375,66.45833333333333,66.25,68.54166666666667,68.375,67.04166666666667,68.125,66.25,68.33333333333333,65.625,67.0625,68.8125,68.25,68.8125,67.3125,66.625,66.75,69.625,67.16666666666667,67.04166666666667,66.125,68.8125,67.125,66.3125,67.875,66.375,68.5,68.25,68.5625,68.4375,69.0,66.83333333333333,66.83333333333333,69.5,63.75,67.54166666666667,67.375,68.79166666666667,66.83333333333333,67.0,66.125,64.875,65.70833333333333,67.9375,69.04166666666667,61.5625,68.0,69.66666666666667,65.66666666666667,67.83333333333333,64.79166666666667,65.875,64.625,65.0,67.95833333333333,66.08333333333333,65.91666666666667
4,2021-04-26,07:00:00,73.70833333333333,69.66666666666667,70.875,70.6875,70.875,70.1875,72.625,70.375,72.29166666666667,74.25,75.0,71.625,70.5625,67.83333333333333,74.33333333333333,73.79166666666667,72.125,73.0,72.4375,72.0,71.625,0.0,75.75,75.5,76.6875,78.5,72.75,71.16666666666667,70.79166666666667,71.25,71.125,74.25,70.58333333333333,70.6875,71.5,70.875,73.45833333333333,74.08333333333333,74.83333333333333,73.54166666666667,77.0,72.04166666666667,73.5625,76.625,75.5,74.66666666666667,74.3125,72.83333333333333,74.91666666666667,73.95833333333333,75.66666666666667,75.1875,71.6875,70.91666666666667,70.375,70.41666666666667,70.75,71.33333333333333,70.95833333333333,71.9375,70.375,68.625,0.0,67.1875,68.0625,67.5,68.46875,0.0,71.25,70.0,68.8125,70.5,70.125,71.75,70.25,70.625,70.375,69.5625,70.25,68.125,69.5,68.04166666666667,69.0625,69.125,70.375,68.03125,69.875,69.54166666666667,69.5,69.625,67.95833333333333,68.1875,67.3125,68.33333333333333,68.5625,67.33333333333333,67.75,68.0,68.91666666666667,68.53125,69.0,69.84375,67.5,69.79166666666667,67.91666666666667,70.25,69.0,67.875,69.33333333333333,70.625,70.20833333333333,69.29166666666667,68.25,69.875,68.1875,68.66666666666667,69.45833333333333,67.25,69.3125,68.875,68.6875,67.83333333333333,66.95833333333333,68.16666666666667,68.95833333333333,68.29166666666667,68.79166666666667,67.54166666666667,70.25,68.8125,69.16666666666667,67.0625,68.70833333333333,69.58333333333333,68.83333333333333,69.625,70.375,68.45833333333333,69.16666666666667,68.375,67.4375,68.1875,70.04166666666667,69.625,69.5625,70.04166666666667,69.125,67.75,68.79166666666667,69.04166666666667,67.6875,69.0,68.33333333333333,70.0,67.625,68.6875,71.0,69.5,70.9375,68.5625,69.79166666666667,68.125,69.5,69.375,68.58333333333333,71.6875,72.375,72.33333333333333,69.25,69.08333333333333,68.0,67.875,69.66666666666667,69.875,71.0625,68.66666666666667,67.5,70.75,67.625,67.375,67.59375,66.375,68.29166666666667,68.96875,68.45833333333333,67.9375,68.375
5,2021-04-26,07:15:00,76.21875,70.54166666666667,71.5,71.75,70.125,70.4375,74.375,69.75,71.125,74.45833333333333,76.4375,77.375,74.375,71.25,72.3125,72.125,70.875,71.75,72.125,71.59375,69.875,74.70833333333333,73.91666666666667,74.625,75.375,78.8125,79.0,71.5,71.3125,71.8125,71.54166666666667,73.29166666666667,70.58333333333333,69.9375,71.9375,72.20833333333333,72.08333333333333,71.08333333333333,71.6875,71.875,72.125,71.875,71.375,76.29166666666667,75.29166666666667,75.5625,73.08333333333333,73.125,75.0625,74.91666666666667,75.5,76.58333333333333,75.54166666666667,73.125,64.66666666666667,77.0,74.625,73.375,72.8125,72.54166666666667,68.83333333333333,69.04166666666667,69.33333333333333,67.91666666666667,68.75,68.125,69.375,67.9375,71.25,68.75,69.78125,71.875,70.125,71.41666666666667,70.54166666666667,71.0,69.6875,71.29166666666667,69.375,68.6875,70.9375,68.5,70.0,68.33333333333333,70.33333333333333,69.33333333333333,69.20833333333333,70.0,69.70833333333333,69.71875,69.5,70.375,68.625,67.28125,68.5625,67.5,68.70833333333333,69.54166666666667,69.58333333333333,70.25,70.5,70.5,68.58333333333333,70.8125,70.29166666666667,70.16666666666667,70.95833333333333,68.75,69.54166666666667,70.625,69.75,68.75,67.21875,69.20833333333333,67.66666666666667,68.875,67.6875,69.125,71.5,69.0,69.375,68.375,68.9375,67.16666666666667,69.58333333333333,69.41666666666667,67.5625,68.875,70.375,68.83333333333333,68.375,69.04166666666667,70.0625,69.75,69.5,69.58333333333333,68.41666666666667,68.66666666666667,69.54166666666667,68.75,67.5,69.5625,70.09375,70.08333333333333,68.95833333333333,69.41666666666667,69.125,66.75,68.375,69.25,68.83333333333333,69.25,68.3125,70.125,70.25,69.0,70.33333333333333,71.0,71.20833333333333,70.4375,68.95833333333333,69.25,69.54166666666667,70.95833333333333,69.29166666666667,77.54166666666667,78.3125,78.3125,74.875,72.41666666666667,72.0,67.58333333333333,70.625,71.20833333333333,71.5,66.04166666666667,69.875,71.125,69.875,66.91666666666667,68.45833333333333,68.625,68.0,69.8125,68.5,67.1875,69.16666666666667
6,2021-04-26,07:30:00,78.4375,70.34375,71.0625,71.125,71.04166666666667,71.1875,75.625,70.875,71.04166666666667,71.54166666666667,73.33333333333333,78.625,76.625,74.08333333333333,72.875,72.4375,71.6875,72.46875,73.0,71.5625,71.375,73.375,74.5,73.91666666666667,76.33333333333333,79.54166666666667,79.41666666666667,78.95833333333333,71.5625,72.5,72.0,72.9375,71.29166666666667,71.25,72.16666666666667,72.5,72.20833333333333,73.20833333333333,72.75,71.875,71.45833333333333,70.95833333333333,70.6875,74.4375,77.0625,79.25,76.75,73.75,76.3125,76.0,76.5,75.83333333333333,75.45833333333333,72.91666666666667,77.91666666666667,80.65625,74.875,73.16666666666667,72.5,72.0,69.375,68.8125,68.9375,69.41666666666667,67.58333333333333,69.0,69.875,68.875,70.6875,69.5,70.33333333333333,72.79166666666667,71.625,70.4375,70.625,70.70833333333333,70.375,71.95833333333333,70.29166666666667,70.0,69.91666666666667,69.5,69.875,0.0,70.79166666666667,69.375,70.5,70.375,68.875,69.3125,69.95833333333333,68.70833333333333,68.04166666666667,67.0,68.83333333333333,67.125,67.9375,68.04166666666667,69.70833333333333,69.1875,70.16666666666667,70.20833333333333,69.29166666666667,73.16666666666667,71.75,69.75,70.4375,68.75,68.25,71.70833333333333,71.125,69.875,0.0,69.125,68.95833333333333,70.04166666666667,68.875,68.41666666666667,70.0625,69.0,68.1875,67.95833333333333,68.5625,68.5,68.9375,67.125,68.91666666666667,69.45833333333333,71.41666666666667,69.58333333333333,69.33333333333333,69.375,70.4375,70.4375,68.75,68.9375,70.375,68.54166666666667,69.5625,67.91666666666667,69.75,69.95833333333333,73.375,72.5,71.25,69.91666666666667,69.4375,69.75,69.8125,69.5,70.0625,69.75,68.58333333333333,69.41666666666667,70.33333333333333,69.04166666666667,70.5625,69.125,71.0625,69.75,70.29166666666667,69.45833333333333,68.4375,72.04166666666667,70.5,77.75,77.25,80.04166666666667,79.41666666666667,77.125,76.0625,72.25,70.125,71.875,71.40625,67.5,68.20833333333333,70.25,67.125,69.0,68.6875,67.625,68.25,68.25,69.0,68.33333333333333,68.83333333333333
7,2021-04-26,07:45:00,78.0,74.375,79.08333333333333,72.25,70.875,71.21875,75.25,71.45833333333333,71.9375,71.5,71.45833333333333,77.79166666666667,80.3125,79.375,72.21875,71.125,70.625,72.0625,72.16666666666667,71.875,70.83333333333333,75.70833333333333,74.4375,73.41666666666667,76.875,75.25,78.66666666666667,80.58333333333333,73.125,72.29166666666667,72.0,72.91666666666667,71.125,71.33333333333333,73.20833333333333,73.29166666666667,72.58333333333333,72.70833333333333,72.0,72.625,72.25,71.54166666666667,72.21875,77.20833333333333,79.79166666666667,76.375,72.20833333333333,72.0,77.5625,77.0625,77.66666666666667,78.8125,80.4375,72.5,79.16666666666667,78.91666666666667,74.79166666666667,73.875,73.8125,72.25,68.6875,68.875,69.33333333333333,67.875,67.83333333333333,67.0625,69.08333333333333,68.5,70.875,70.90625,70.08333333333333,71.20833333333333,70.75,71.78125,71.6875,70.66666666666667,70.125,71.33333333333333,71.75,69.25,70.90625,69.95833333333333,70.8125,69.625,71.1875,69.25,70.84375,71.25,70.25,70.375,68.8125,69.0,69.625,68.59375,68.625,66.79166666666667,68.625,69.5,70.125,70.29166666666667,73.0,81.0,79.8125,80.25,74.125,72.70833333333333,70.375,67.9375,70.04166666666667,71.91666666666667,71.04166666666667,70.375,69.58333333333333,71.375,70.25,71.41666666666667,68.6875,69.20833333333333,69.5625,69.0,69.03125,67.625,68.83333333333333,68.1875,70.33333333333333,69.125,69.875,69.5625,71.33333333333333,68.79166666666667,69.45833333333333,69.5625,70.58333333333333,69.29166666666667,69.8125,72.25,71.25,70.20833333333333,74.91666666666667,78.25,81.5625,79.33333333333333,80.875,76.83333333333333,76.25,75.0625,75.5,72.41666666666667,71.28125,73.0,71.875,75.66666666666667,76.5,78.0,72.875,74.5625,78.08333333333333,76.95833333333333,78.125,76.0,74.45833333333333,72.25,73.16666666666667,75.08333333333333,72.375,80.125,79.875,80.29166666666667,79.91666666666667,81.125,78.16666666666667,74.45833333333333,71.375,71.08333333333333,71.58333333333333,68.29166666666667,69.125,72.20833333333333,68.625,69.08333333333333,67.5625,68.70833333333333,69.375,69.5,68.875,69.375,69.0
8,2021-04-26,08:00:00,70.8125,77.6875,72.91666666666667,70.625,70.625,70.25,74.04166666666667,70.79166666666667,71.15625,70.70833333333333,70.375,71.04166666666667,75.5,80.5,70.29166666666667,71.125,71.20833333333333,71.3125,71.125,70.3125,70.125,73.125,73.375,73.375,72.45833333333333,76.66666666666667,79.16666666666667,80.1875,72.70833333333333,71.70833333333333,70.83333333333333,72.9375,71.625,71.125,72.875,73.125,73.125,72.54166666666667,71.125,72.54166666666667,70.91666666666667,71.0,71.4375,75.83333333333333,72.25,72.875,72.1875,70.58333333333333,73.75,76.0,77.125,80.25,72.33333333333333,72.0,78.125,80.4375,78.875,77.66666666666667,76.625,74.5,70.1875,70.625,69.45833333333333,68.5,69.08333333333333,69.04166666666667,69.5625,68.79166666666667,70.95833333333333,71.625,69.1875,72.25,72.25,72.83333333333333,72.08333333333333,71.16666666666667,70.875,71.1875,70.375,70.0,73.75,74.70833333333333,76.0625,76.83333333333333,76.5,72.9375,70.3125,71.66666666666667,70.54166666666667,70.4375,69.16666666666667,69.875,69.5,67.83333333333333,69.0,68.91666666666667,68.70833333333333,69.75,71.1875,71.625,80.41666666666667,80.375,80.5,80.20833333333333,76.70833333333333,77.125,74.625,68.91666666666667,70.5,72.125,71.75,69.84375,68.875,71.95833333333333,69.25,70.04166666666667,69.125,70.95833333333333,69.6875,69.95833333333333,69.0625,69.75,67.9375,68.625,70.25,67.6875,70.66666666666667,70.3125,73.70833333333333,73.875,81.0,73.125,74.83333333333333,74.875,76.5,77.1875,78.70833333333333,74.54166666666667,75.83333333333333,75.25,74.54166666666667,73.8125,76.1875,72.3125,72.0,72.25,72.16666666666667,72.875,71.91666666666667,73.1875,72.95833333333333,73.375,72.5625,73.375,73.04166666666667,74.45833333333333,75.29166666666667,73.41666666666667,75.25,72.375,72.58333333333333,73.125,71.75,79.125,74.95833333333333,74.34375,76.08333333333333,74.41666666666667,72.125,75.9375,73.45833333333333,74.0625,72.125,72.08333333333333,72.0625,70.0625,69.04166666666667,71.875,69.375,67.75,68.6875,69.0,68.375,69.41666666666667,69.625,70.70833333333333,70.58333333333333
9,2021-04-26,08:15:00,70.625,70.375,70.6875,70.91666666666667,69.84375,70.25,73.5,69.0,70.1875,70.0,70.91666666666667,69.83333333333333,70.0,79.25,69.83333333333333,69.33333333333333,69.6875,69.875,69.25,69.66666666666667,68.8125,73.375,73.79166666666667,69.95833333333333,74.70833333333333,77.75,78.91666666666667,80.20833333333333,72.3125,71.25,70.95833333333333,72.41666666666667,71.25,70.33333333333333,72.59375,73.375,72.125,72.66666666666667,71.125,72.33333333333333,71.04166666666667,70.4375,71.125,71.625,72.16666666666667,72.625,71.875,70.8125,71.66666666666667,78.20833333333333,80.375,74.875,72.41666666666667,71.3125,77.3125,77.4375,81.0,79.5625,77.33333333333333,77.46875,72.34375,71.0625,69.25,69.375,67.5,68.25,68.75,68.83333333333333,70.9375,69.75,70.25,72.20833333333333,72.4375,73.1875,71.0,71.0625,71.0,72.5,73.25,77.4375,80.83333333333333,79.75,78.5,81.0,78.66666666666667,78.4375,78.46875,78.25,73.66666666666667,73.4375,73.0625,71.6875,72.8125,71.5,70.0625,68.9375,69.125,70.5,70.79166666666667,76.1875,81.08333333333333,80.53125,78.125,75.25,73.08333333333333,70.1875,69.95833333333333,70.54166666666667,69.08333333333333,71.8125,71.0,69.5,70.58333333333333,71.375,68.95833333333333,71.0,72.0,70.625,70.6875,69.70833333333333,71.125,72.0,70.54166666666667,69.625,77.58333333333333,76.0625,74.1875,78.79166666666667,76.95833333333333,71.6875,73.125,72.20833333333333,72.70833333333333,71.375,72.41666666666667,72.125,71.3125,71.83333333333333,73.16666666666667,71.25,71.75,70.625,72.0,71.53125,70.33333333333333,70.16666666666667,70.625,70.29166666666667,70.91666666666667,71.16666666666667,72.29166666666667,73.29166666666667,72.125,72.96875,72.375,73.29166666666667,73.91666666666667,72.29166666666667,73.875,70.9375,70.91666666666667,70.83333333333333,71.375,76.3125,70.625,73.83333333333333,71.79166666666667,73.45833333333333,72.75,73.91666666666667,74.0625,74.29166666666667,71.45833333333333,71.83333333333333,71.6875,70.20833333333333,71.375,71.875,68.25,67.95833333333333,68.75,68.91666666666667,67.625,70.375,78.75,76.54166666666667,75.54166666666667
