,Data,Hora,P3.1.1 V (V),P3.1.2 V (V),P3.1.3 V (V),P3.1.4 V (V),P3.1.5 V (V),P3.1.6 V (V),P3.1.7 V (V),P3.1.8 V (V),P3.1.9 V (V),P3.1.10 V (V),P3.1.11 V (V),P3.1.12 V (V),P3.1.13 V (V),P3.1.14 V (V),P3.1.15 V (V),P3.1.16 V (V),P3.2.1 V (V),P3.2.2 V (V),P3.2.3 V (V),P3.2.4 V (V),P3.2.5 V (V),P3.2.6 V (V),P3.2.7 V (V),P3.2.8 V (V),P3.2.9 V (V),P3.2.10 V (V),P3.2.11 V (V),P3.2.12 V (V),P3.2.13 V (V),P3.2.14 V (V),P3.2.15 V (V),P3.2.16 V (V),P3.3.1 V (V),P3.3.2 V (V),P3.3.3 V (V),P3.3.4 V (V),P3.3.5 V (V),P3.3.6 V (V),P3.3.7 V (V),P3.3.8 V (V),P3.3.9 V (V),P3.3.10 V (V),P3.3.11 V (V),P3.3.12 V (V),P3.3.13 V (V),P3.3.14 V (V),P3.3.15 V (V),P3.3.16 V (V),P3.4.1 V (V),P3.4.2 V (V),P3.4.3 V (V),P3.4.4 V (V),P3.4.5 V (V),P3.4.6 V (V),P3.4.7 V (V),P3.4.9 V (V),P3.4.10 V (V),P3.4.11 V (V),P3.4.12 V (V),P3.4.13 V (V),P3.4.14 V (V),P3.4.15 V (V),P3.4.16 V (V),P3.5.1 V (V),P3.5.2 V (V),P3.5.3 V (V),P3.5.4 V (V),P3.5.6 V (V),P3.5.7 V (V),P3.5.8 V (V),P3.5.9 V (V),P3.5.11 V (V),P3.5.12 V (V),P3.5.13 V (V),P3.5.14 V (V),P3.5.15 V (V),P3.5.16 V (V),P3.6.1 V (V),P3.6.3 V (V),P3.6.4 V (V),P3.6.5 V (V),P3.6.6 V (V),P3.6.7 V (V),P3.6.8 V (V),P3.6.9 V (V),P3.6.10 V (V),P3.6.11 V (V),P3.6.12 V (V),P3.6.13 V (V),P3.6.14 V (V),P3.6.15 V (V),P3.7.1 V (V),P3.7.2 V (V),P3.7.3 V (V),P3.7.4 V (V),P3.7.5 V (V),P3.7.6 V (V),P3.7.7 V (V),P3.7.8 V (V),P3.7.9 V (V),P3.7.10 V (V),P3.7.11 V (V),P3.7.12 V (V),P3.7.13 V (V),P3.7.14 V (V),P3.7.15 V (V),P3.7.16 V (V),P3.8.1 V (V),P3.8.2 V (V),P3.8.3 V (V),P3.8.4 V (V),P3.8.5 V (V),P3.8.6 V (V),P3.8.7 V (V),P3.8.8 V (V),P3.8.9 V (V),P3.8.10 V (V),P3.8.11 V (V),P3.8.12 V (V),P3.8.13 V (V),P3.8.14 V (V),P3.8.15 V (V),P3.8.16 V (V)
0,2021-03-18,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-03-18,06:15:00,65.6875,68.33333333333333,66.58333333333333,70.28125,66.0625,66.875,69.8125,70.5625,68.375,69.66666666666667,70.875,68.125,69.25,68.8125,65.08333333333333,62.125,65.1875,69.91666666666667,71.125,71.125,70.91666666666667,68.9375,70.91666666666667,71.875,70.66666666666667,69.125,67.875,69.70833333333333,69.0,69.9375,62.46875,65.5,67.79166666666667,66.46875,69.70833333333333,70.95833333333333,70.33333333333333,70.91666666666667,57.416666666666664,68.875,69.8125,71.45833333333333,67.29166666666667,70.54166666666667,71.66666666666667,68.5625,66.875,65.3125,72.0,71.66666666666667,72.625,70.71875,69.3125,66.125,66.79166666666667,72.0625,68.5,70.5625,72.25,69.875,72.5,71.375,69.70833333333333,69.5,71.5625,69.95833333333333,71.16666666666667,70.0625,68.58333333333333,73.75,71.83333333333333,68.25,70.70833333333333,70.28125,69.95833333333333,71.5,68.1875,69.33333333333333,70.5625,68.0,70.91666666666667,68.75,73.0,71.125,71.70833333333333,71.0,70.6875,70.04166666666667,70.6875,69.5,71.33333333333333,70.875,70.58333333333333,71.28125,70.79166666666667,68.21875,70.45833333333333,70.53125,73.95833333333333,70.0,67.25,69.625,69.0625,69.375,70.6875,68.5,58.958333333333336,66.0,70.16666666666667,64.25,64.75,67.20833333333333,66.125,66.875,66.75,61.875,67.5,67.8125,63.4375,63.875,67.625,67.33333333333333,65.04166666666667
2,2021-03-18,06:30:00,74.0,69.54166666666667,69.1875,65.8125,72.58333333333333,75.25,79.1875,73.33333333333333,70.8125,72.25,70.875,70.33333333333333,68.5,72.0625,70.0,70.125,73.66666666666667,74.5,71.41666666666667,72.125,73.375,71.1875,72.29166666666667,71.5,72.875,71.9375,71.875,0.0,71.5,70.875,71.0,70.125,74.34375,72.16666666666667,71.41666666666667,72.79166666666667,73.4375,71.75,59.59375,71.78125,71.875,72.0625,71.16666666666667,73.75,73.41666666666667,71.83333333333333,70.0625,70.9375,73.58333333333333,72.83333333333333,78.1875,72.25,67.875,72.83333333333333,67.75,75.03125,74.375,72.625,72.09375,72.375,74.125,73.3125,71.08333333333333,72.75,71.8125,72.04166666666667,73.25,71.5,75.79166666666667,73.54166666666667,74.625,71.29166666666667,72.375,72.5625,72.5625,72.5625,72.70833333333333,71.625,72.16666666666667,71.125,72.375,71.8125,73.58333333333333,72.25,72.5625,74.71875,72.625,71.75,72.375,72.0,73.8125,71.79166666666667,73.125,73.66666666666667,71.41666666666667,69.5,72.375,78.0625,72.75,74.0625,72.08333333333333,72.375,70.375,72.41666666666667,73.08333333333333,70.53125,59.375,70.4375,72.9375,69.78125,68.0,69.0,69.25,68.375,67.58333333333333,67.33333333333333,70.5,69.41666666666667,69.79166666666667,67.84375,68.9375,70.25,69.9375
3,2021-03-18,06:45:00,79.79166666666667,70.58333333333333,74.0,73.5,73.625,81.70833333333333,74.5,74.375,71.875,72.5,71.79166666666667,71.83333333333333,70.75,72.0,72.08333333333333,72.91666666666667,79.25,77.9375,72.95833333333333,73.3125,74.0625,71.875,72.6875,73.54166666666667,73.0,72.03125,72.125,71.4375,73.3125,71.90625,72.0,72.4375,78.9375,77.8125,72.75,73.3125,73.79166666666667,74.125,60.375,72.79166666666667,73.54166666666667,72.5,71.84375,73.8125,73.8125,72.08333333333333,72.125,72.0,73.91666666666667,73.91666666666667,69.20833333333333,73.375,72.83333333333333,78.0,69.0,74.54166666666667,73.0,73.4375,72.66666666666667,72.8125,74.0,73.5625,72.375,74.45833333333333,73.125,72.5,73.79166666666667,71.95833333333333,71.9375,72.125,74.04166666666667,72.4375,73.29166666666667,73.0,72.95833333333333,72.0,73.5625,72.45833333333333,71.625,71.65625,72.25,72.875,73.9375,71.41666666666667,72.95833333333333,71.5625,72.4375,72.75,71.75,72.0,73.04166666666667,73.1875,73.6875,73.0,72.25,71.66666666666667,72.625,73.20833333333333,72.45833333333333,0.0,79.3125,73.625,72.5,72.3125,73.875,71.125,60.03125,71.75,71.8125,70.8125,70.25,70.28125,71.08333333333333,70.875,69.95833333333333,68.08333333333333,70.5625,69.6875,70.84375,70.1875,70.5625,71.70833333333333,70.0
4,2021-03-18,07:00:00,82.125,78.125,81.3125,73.3125,73.95833333333333,76.45833333333333,74.125,74.25,0.0,74.5625,72.75,72.45833333333333,72.54166666666667,73.03125,73.16666666666667,72.25,80.4375,78.875,73.3125,72.875,73.29166666666667,73.33333333333333,73.75,73.83333333333333,73.625,73.125,72.58333333333333,73.9375,74.125,72.25,72.75,73.75,81.08333333333333,80.34375,72.625,72.75,73.0625,74.08333333333333,60.958333333333336,72.70833333333333,73.4375,72.5,73.4375,73.875,73.25,72.41666666666667,71.5625,72.33333333333333,73.1875,74.0,75.15625,73.04166666666667,73.3125,80.5625,78.0,73.5625,72.5,73.375,73.0,71.5,73.375,73.70833333333333,72.625,73.33333333333333,72.625,71.875,73.75,71.5,71.5,71.65625,72.75,71.5,72.25,72.08333333333333,72.1875,72.0,73.0625,71.91666666666667,72.75,70.625,72.375,71.84375,73.0625,71.875,72.33333333333333,72.58333333333333,72.5,72.125,72.58333333333333,72.5,72.875,72.78125,72.875,73.0625,72.04166666666667,72.33333333333333,72.3125,72.375,72.5,79.53125,79.40625,72.875,72.4375,71.5625,73.41666666666667,72.83333333333333,60.166666666666664,72.0,72.0,71.75,72.04166666666667,72.5625,71.25,72.08333333333333,71.875,70.3125,71.0,71.20833333333333,70.125,70.8125,71.0,71.54166666666667,70.875
5,2021-03-18,07:15:00,78.91666666666667,81.91666666666667,66.84375,73.125,73.125,73.9375,0.0,73.875,71.375,73.125,71.95833333333333,73.0,72.04166666666667,72.54166666666667,73.04166666666667,74.5625,78.4375,78.20833333333333,73.04166666666667,72.9375,72.8125,74.375,73.15625,72.96875,73.15625,73.25,73.125,72.25,72.125,72.95833333333333,73.91666666666667,76.625,73.875,77.125,72.29166666666667,72.21875,71.9375,72.91666666666667,61.0,72.8125,73.0,72.875,71.91666666666667,73.25,72.75,71.5625,73.5,76.95833333333333,72.79166666666667,71.83333333333333,72.1875,72.625,72.25,67.875,79.95833333333333,72.875,72.4375,71.625,71.875,71.45833333333333,72.125,72.8125,71.58333333333333,72.66666666666667,72.9375,71.25,72.5,71.54166666666667,71.41666666666667,71.625,72.5,71.75,71.40625,71.25,71.0,72.08333333333333,72.25,71.625,71.25,71.09375,72.16666666666667,70.54166666666667,71.75,71.625,71.625,71.5625,71.75,71.41666666666667,71.58333333333333,72.125,72.25,72.5625,72.66666666666667,71.34375,71.95833333333333,71.29166666666667,71.90625,71.70833333333333,71.875,73.75,74.375,72.25,71.75,72.0,72.4375,72.5625,59.75,71.375,71.875,70.75,72.29166666666667,72.375,71.45833333333333,71.125,71.375,71.625,70.84375,71.5,70.84375,71.58333333333333,71.25,70.75,72.70833333333333
6,2021-03-18,07:30:00,73.625,83.5625,72.33333333333333,71.1875,71.16666666666667,72.125,71.70833333333333,72.0,71.21875,71.625,72.125,71.20833333333333,71.5625,71.45833333333333,71.5,75.6875,71.25,72.1875,72.16666666666667,72.0,71.5,71.91666666666667,71.29166666666667,73.5,71.54166666666667,71.46875,71.75,71.41666666666667,71.8125,71.625,0.0,72.625,71.5,71.625,70.5,70.8125,72.375,71.58333333333333,59.583333333333336,71.5,71.625,72.125,71.25,72.625,72.375,71.91666666666667,72.625,73.1875,71.70833333333333,71.08333333333333,71.375,71.8125,72.5,73.125,82.41666666666667,71.46875,71.3125,71.9375,71.625,69.95833333333333,71.9375,72.15625,71.625,71.4375,71.1875,70.75,70.95833333333333,70.625,70.75,70.875,70.9375,71.45833333333333,71.1875,70.33333333333333,71.625,71.625,71.41666666666667,71.5,71.5625,71.16666666666667,71.33333333333333,71.0,70.625,71.0625,70.625,71.45833333333333,71.59375,70.91666666666667,70.91666666666667,71.78125,72.625,71.04166666666667,72.08333333333333,71.4375,71.41666666666667,70.91666666666667,72.125,71.125,72.16666666666667,71.20833333333333,70.875,71.1875,71.83333333333333,71.29166666666667,72.125,71.33333333333333,58.208333333333336,70.95833333333333,72.625,70.875,72.41666666666667,71.91666666666667,71.5625,71.45833333333333,70.75,72.6875,71.33333333333333,70.75,71.0,71.8125,72.0,72.16666666666667,72.54166666666667
7,2021-03-18,07:45:00,71.0,76.875,70.625,71.54166666666667,70.8125,70.91666666666667,70.20833333333333,70.875,70.83333333333333,71.28125,72.04166666666667,71.8125,71.75,71.33333333333333,71.91666666666667,71.375,71.6875,70.75,71.375,71.5,71.375,69.375,70.41666666666667,71.1875,71.75,71.54166666666667,72.33333333333333,71.25,71.8125,71.25,72.04166666666667,71.0625,71.21875,70.66666666666667,70.375,70.65625,71.04166666666667,70.875,58.916666666666664,70.58333333333333,71.75,71.625,71.875,72.0,71.25,71.83333333333333,71.75,70.25,71.0,71.20833333333333,70.79166666666667,70.83333333333333,70.90625,72.75,80.75,71.1875,70.75,70.75,71.125,70.16666666666667,71.34375,71.4375,70.28125,70.5,70.75,69.9375,70.625,70.28125,70.4375,71.125,69.3125,71.375,70.90625,70.0,71.04166666666667,70.75,70.25,70.4375,70.5,70.29166666666667,70.5,70.5,70.8125,70.5625,70.5625,71.0,70.875,70.5,71.0,71.20833333333333,71.625,71.3125,71.3125,70.9375,71.41666666666667,70.875,71.16666666666667,70.6875,71.95833333333333,70.95833333333333,70.66666666666667,70.33333333333333,71.1875,70.45833333333333,70.75,71.25,57.916666666666664,70.58333333333333,71.04166666666667,70.91666666666667,70.75,70.66666666666667,71.375,71.08333333333333,70.33333333333333,70.1875,70.3125,70.79166666666667,70.3125,70.54166666666667,71.3125,71.08333333333333,70.875
8,2021-03-18,08:00:00,70.65625,70.29166666666667,69.6875,70.66666666666667,70.09375,69.625,69.45833333333333,70.45833333333333,70.25,71.0625,70.79166666666667,70.3125,70.45833333333333,70.75,70.66666666666667,70.41666666666667,70.375,70.125,69.75,70.0,70.25,69.9375,69.75,70.5,70.83333333333333,70.8125,71.70833333333333,70.04166666666667,70.28125,70.9375,70.75,70.5625,69.25,69.375,69.16666666666667,70.3125,70.45833333333333,69.83333333333333,58.125,69.6875,70.6875,71.45833333333333,71.125,71.5625,71.0,71.375,71.5,70.5,70.9375,69.625,70.25,70.5625,70.29166666666667,70.25,71.625,70.83333333333333,70.16666666666667,71.0,70.375,69.375,71.125,70.95833333333333,68.875,69.875,69.83333333333333,70.125,69.3125,69.375,69.6875,69.83333333333333,68.9375,69.5625,69.83333333333333,69.20833333333333,69.6875,70.75,69.29166666666667,69.4375,70.125,69.75,69.5625,69.375,69.875,69.70833333333333,69.625,70.5,70.53125,70.75,70.0,70.8125,70.83333333333333,70.375,70.125,70.54166666666667,70.33333333333333,70.21875,70.5,70.21875,70.58333333333333,69.95833333333333,69.09375,69.29166666666667,69.78125,70.125,70.08333333333333,70.375,57.0,70.0625,71.0625,71.625,69.75,69.875,70.25,70.8125,69.66666666666667,69.45833333333333,69.75,69.0625,69.33333333333333,69.83333333333333,70.08333333333333,69.75,70.91666666666667
9,2021-03-18,08:15:00,69.5,69.28125,69.79166666666667,69.625,69.125,69.1875,69.125,70.3125,69.09375,70.375,69.91666666666667,69.91666666666667,69.4375,71.16666666666667,69.96875,69.33333333333333,69.4375,68.71875,69.58333333333333,69.6875,69.375,69.1875,69.625,69.375,69.625,70.15625,70.83333333333333,69.9375,70.5,70.9375,71.04166666666667,70.20833333333333,69.5,69.45833333333333,70.125,70.0,69.6875,68.66666666666667,57.291666666666664,69.29166666666667,70.125,70.08333333333333,70.375,70.66666666666667,70.125,70.875,70.625,70.25,69.875,69.20833333333333,69.70833333333333,69.875,70.625,69.5625,70.0625,70.1875,70.375,70.4375,69.6875,69.41666666666667,69.5625,70.41666666666667,69.8125,69.6875,69.45833333333333,69.0,70.0625,68.75,68.79166666666667,69.375,68.875,69.66666666666667,69.75,69.5625,69.75,69.875,69.3125,69.65625,69.125,68.4375,70.0,69.5625,69.5,69.625,68.91666666666667,69.6875,69.9375,68.91666666666667,69.41666666666667,70.45833333333333,69.875,69.9375,69.625,69.6875,70.6875,70.04166666666667,70.0,69.95833333333333,70.6875,69.375,68.625,68.8125,69.83333333333333,69.29166666666667,69.3125,69.125,57.041666666666664,68.625,71.33333333333333,69.5,69.875,68.9375,70.375,70.29166666666667,69.41666666666667,69.04166666666667,68.9375,69.66666666666667,68.6875,69.4375,69.54166666666667,69.8125,69.0
