,Data,Hora,OP3.1.1 I (A),OP3.1.2 I (A),OP3.1.3 I (A),OP3.1.4 I (A),OP3.1.5 I (A),OP3.1.6 I (A),OP3.1.7 I (A),OP3.1.8 I (A),OP3.1.9 I (A),OP3.1.10 I (A),OP3.1.11 I (A),OP3.1.12 I (A),OP3.1.13 I (A),OP3.1.14 I (A),OP3.1.15 I (A),OP3.1.16 I (A),OP3.2.1 I (A),OP3.2.2 I (A),OP3.2.3 I (A),OP3.2.4 I (A),OP3.2.5 I (A),OP3.2.7 I (A),OP3.2.8 I (A),OP3.2.9 I (A),OP3.2.10 I (A),OP3.2.12 I (A),OP3.2.13 I (A),OP3.2.14 I (A),OP3.2.15 I (A),OP3.2.16 I (A),OP3.3.1 I (A),OP3.3.2 I (A),OP3.3.3 I (A),OP3.3.4 I (A),OP3.3.5 I (A),OP3.3.6 I (A),OP3.3.7 I (A),OP3.3.8 I (A),OP3.3.9 I (A),OP3.3.10 I (A),OP3.3.11 I (A),OP3.3.12 I (A),OP3.3.13 I (A),OP3.3.14 I (A),OP3.3.15 I (A),OP3.3.16 I (A),OP3.4.1 I (A),OP3.4.2 I (A),OP3.4.3 I (A),OP3.4.4 I (A),OP3.4.5 I (A),OP3.4.6 I (A),OP3.4.7 I (A),OP3.4.8 I (A),OP3.4.9 I (A),OP3.4.10 I (A),OP3.4.11 I (A),OP3.4.12 I (A),OP3.4.13 I (A),OP3.4.14 I (A),OP3.4.15 I (A),OP3.4.16 I (A),OP3.5.1 I (A),OP3.5.2 I (A),OP3.5.3 I (A),OP3.5.4 I (A),OP3.5.5 I (A),OP3.5.6 I (A),OP3.5.7 I (A),OP3.5.8 I (A),OP3.5.9 I (A),OP3.5.10 I (A),OP3.5.11 I (A),OP3.5.12 I (A),OP3.5.13 I (A),OP3.5.14 I (A),OP3.5.15 I (A),OP3.5.16 I (A),OP3.6.1 I (A),OP3.6.2 I (A),OP3.6.3 I (A),OP3.6.4 I (A),OP3.6.5 I (A),OP3.6.6 I (A),OP3.6.7 I (A),OP3.6.8 I (A),OP3.6.9 I (A),OP3.6.10 I (A),OP3.6.11 I (A),OP3.6.12 I (A),OP3.6.13 I (A),OP3.6.14 I (A),OP3.6.15 I (A),OP3.6.16 I (A),OP3.7.1 I (A),OP3.7.2 I (A),OP3.7.3 I (A),OP3.7.4 I (A),OP3.7.5 I (A),OP3.7.6 I (A),OP3.7.7 I (A),OP3.7.8 I (A),OP3.7.9 I (A),OP3.7.10 I (A),OP3.7.11 I (A),OP3.7.12 I (A),OP3.7.13 I (A),OP3.7.14 I (A),OP3.7.15 I (A),OP3.7.16 I (A),OP3.8.1 I (A),OP3.8.2 I (A),OP3.8.3 I (A),OP3.8.4 I (A),OP3.8.5 I (A),OP3.8.6 I (A),OP3.8.7 I (A),OP3.8.8 I (A),OP3.8.9 I (A),OP3.8.10 I (A),OP3.8.11 I (A),OP3.8.12 I (A),OP3.8.13 I (A),OP3.8.14 I (A),OP3.8.15 I (A),OP3.8.16 I (A)
0,2021-04-17,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-17,06:15:00,0.07083333333333333,0.1469,0.1219,0.1396,0.11876666666666667,0.20626666666666668,0.1125,0.06043333333333334,0.12293333333333334,0.1292,0.14379999999999998,0.15833333333333333,0.16046666666666667,0.19166666666666665,0.1146,0.12293333333333334,0.10623333333333333,0.1708333333333333,0.1646,0.1,0.09376666666666666,0.24065,0.1708333333333333,0.12083333333333333,0.125,0.10413333333333334,0.05315,0.1042,0.11249999999999999,0.05,0.1146,0.09583333333333333,0.08749999999999998,0.16255,0.1896,0.07815,0.0729,0.16565000000000002,0.12190000000000001,0.15315,0.18543333333333334,0.1792,0.15206666666666666,0.156275,0.1146,0.1042,0.1844,0.175,0.21666666666666667,0.19065,0.1125,0.18336666666666668,0.1458,0.1594,0.15,0.1469,0.19586666666666666,0.13123333333333334,0.2437666666666667,0.1844,0.2625,0.0771,0.11565,0.2020666666666667,0.12293333333333334,0.17500000000000002,0.0844,0.11560000000000001,0.1271,0.1313,0.13440000000000002,0.17086666666666664,0.125,0.12083333333333335,0.125,0.11043333333333334,0.1375,0.1625,0.12293333333333334,0.11876666666666667,0.0719,0.1406,0.14685,0.1938,0.14583333333333334,0.09583333333333333,0.13749999999999998,0.2094,0.0771,0.11253333333333333,0.2125,0.06875,0.15625,0.2219,0.19375,0.125,0.1771,0.1146,0.12190000000000001,0.27086666666666664,0.15003333333333332,0.1625,0.07505,0.13440000000000002,0.1542,0.15003333333333332,0.1396,0.17815,0.12505,0.1542,0.11666666666666665,0.10416666666666667,0.12503333333333333,0.10833333333333334,0.06875,0.12293333333333334,0.1479,0.11456666666666666,0.09583333333333333,0.19065,0.16043333333333334,0.08336666666666666,0.11873333333333334,0.16043333333333334,0.1219,0.13333333333333333
2,2021-04-17,06:30:00,0.1703,0.2354333333333333,0.22086666666666668,0.35935,0.40625,0.33755,0.27499999999999997,0.329675,0.3750333333333334,0.3687666666666667,0.4000000000000001,0.37505,0.37815,0.5042,0.23963333333333334,0.21565,0.22505,0.26565,0.49373333333333336,0.3979333333333333,0.41253333333333336,0.4719,0.43956666666666666,0.3812666666666667,0.39586666666666664,0.3844,0.3875,0.3917,0.2094,0.23543333333333336,0.22713333333333333,0.1646,0.3771,0.4250333333333334,0.475,0.31253333333333333,0.32293333333333335,0.4719,0.40210000000000007,0.5583333333333335,0.41873333333333335,0.4687666666666666,0.4145666666666667,0.4125,0.22083333333333333,0.21046666666666666,0.442225,0.46669999999999995,0.3458666666666667,0.3771,0.3771,0.2708333333333333,0.2094,0.270325,0.2875,0.24219999999999997,0.45206666666666667,0.4083666666666666,0.5313,0.4146,0.55,0.3437666666666667,0.3625,0.4708333333333334,0.55315,0.3063,0.3917,0.4375,0.26043333333333335,0.25836666666666663,0.25939999999999996,0.3,0.55,0.52815,0.34579999999999994,0.39065000000000005,0.46456666666666663,0.6583333333333333,0.6063000000000001,0.3687666666666667,0.48595,0.48125,0.3833333333333333,0.4854333333333334,0.26876666666666665,0.19793333333333332,0.26043333333333335,0.29685,0.5406500000000001,0.4521,0.4271,0.5594,0.43333333333333335,0.62815,0.3937333333333333,0.42086666666666667,0.43543333333333334,0.3437666666666666,0.432825,0.5344,0.2833666666666667,0.26565,0.21463333333333334,0.2047,0.39586666666666676,0.38126666666666664,0.4687333333333334,0.6062666666666666,0.4458333333333333,0.37296666666666667,0.2708333333333333,0.26666666666666666,0.2479,0.2625,0.25622500000000004,0.26255,0.3,0.24166666666666667,0.24583333333333335,0.3375,0.2708333333333333,0.2020666666666667,0.2344,0.29065,0.26456666666666667,0.24793333333333334
3,2021-04-17,06:45:00,0.2219,0.28750000000000003,0.29064999999999996,0.8,0.8041666666666667,0.3688,0.7521000000000001,0.66875,0.768775,0.7896000000000001,0.775,0.8042000000000001,0.82815,0.8000333333333334,0.3666666666666667,0.3416666666666666,0.24793333333333334,0.3271,0.8375,0.7708333333333334,0.7479333333333334,0.9062666666666667,0.8104333333333334,0.8166666666666668,0.8375,0.8750333333333332,0.8771,0.7917,0.3563,0.42967500000000003,0.2770666666666667,0.19999999999999998,0.7000000000000001,0.8312999999999999,0.8833666666666667,0.7391000000000001,0.8979666666666667,0.8042000000000001,0.7875,0.76875,0.7021000000000001,0.8208333333333333,0.7542,0.7979333333333334,0.325,0.3625,0.8563000000000001,0.96875,0.69065,0.8333666666666667,0.875,0.3438,0.27919999999999995,0.33749999999999997,0.3562666666666667,0.32189999999999996,0.896875,0.8583666666666666,0.942225,0.8708666666666667,0.9166666666666666,0.78755,0.9156,1.0541666666666667,0.9344,0.825025,0.9313,0.8458333333333333,0.34685,0.34793333333333337,0.3208666666666667,0.39999999999999997,0.79375,0.0,0.8271333333333334,0.7797000000000001,0.79375,0.8875,0.9021,0.8645999999999999,0.9875,0.8521000000000001,0.8203250000000001,0.9104666666666666,0.3562666666666667,0.282825,0.3229,0.34065,0.8083333333333332,0.9604666666666667,1.0093999999999999,0.7646333333333334,0.8645999999999999,0.84375,0.8750333333333334,0.9250333333333334,0.9417,0.9000333333333334,0.7812,0.9687749999999999,0.3688,0.3542,0.26453333333333334,0.2812666666666667,0.79375,0.8270666666666666,0.8313,0.8688,0.7792,0.7791666666666668,0.47500000000000003,0.48336666666666667,0.4229333333333334,0.4344,0.45315,0.46405,0.45836666666666664,0.4187666666666667,0.5312,0.5020666666666667,0.47293333333333337,0.3875,0.4438,0.489075,0.44999999999999996,0.45416666666666666
4,2021-04-17,07:00:00,0.28130000000000005,0.3625,0.3874666666666666,1.3833666666666666,1.2062666666666668,1.1328,1.2895666666666665,1.289075,1.40625,1.0875,1.4469,1.1354333333333333,1.3354666666666668,1.35005,0.8020999999999999,0.7583666666666667,0.2812,0.3937333333333333,1.4,1.2646,1.3625333333333334,1.5104,1.15,1.3125333333333333,1.3813,1.3145666666666667,1.3063,1.317225,0.7500333333333334,0.8219000000000001,0.3521,0.2708333333333333,1.175,1.3854,1.51565,1.25,1.35,1.4125333333333332,1.2250333333333334,1.2833333333333332,1.3437666666666666,1.5437500000000002,1.2521000000000002,1.1125333333333334,0.8188,0.7125333333333334,1.2708666666666666,1.375,1.3917,1.3708666666666665,1.4438,0.5188,0.3729,1.30625,1.0875333333333332,0.9854333333333333,1.2,1.3458666666666665,1.7875,1.4166999999999998,1.5896333333333335,1.3541999999999998,1.4291999999999998,1.4594,1.4395999999999998,1.5625,1.4271,1.4146,1.0166666666666666,1.2021,1.0333666666666668,0.9208666666666666,1.3094000000000001,1.5167000000000002,1.3344,1.525,1.4083333333333332,1.4625333333333332,1.2979666666666667,1.3396000000000001,1.3792,1.4083666666666668,1.50315,1.4187666666666665,1.0854333333333333,1.6,1.2281499999999999,0.8437666666666667,1.3333333333333333,1.4312666666666667,1.4375,1.1719,1.4896333333333331,1.2625,1.3687666666666667,1.512533333333333,1.4458333333333335,1.4021000000000001,1.4021333333333332,1.7875,0.9354333333333334,0.8562666666666666,0.31565,0.3521,1.3479333333333334,1.2500333333333333,1.3291666666666668,1.2542,1.3833666666666666,1.35,0.8625333333333334,0.8729333333333334,0.7562666666666668,0.8125333333333334,0.7416666666666667,0.7313000000000001,0.8229333333333333,0.7687666666666667,0.93125,0.9312666666666667,0.8292,0.7646000000000001,0.8708666666666666,0.80315,0.7479333333333334,0.7854333333333333
5,2021-04-17,07:15:00,0.33125,0.4229333333333334,0.7167,2.0104666666666664,1.762533333333333,2.08125,2.03755,1.9667000000000001,1.9166666666666667,1.9229333333333332,2.091666666666667,1.7291999999999998,1.9416666666666667,1.9031500000000001,1.0625333333333333,1.0833333333333333,0.3875,0.4458333333333333,1.9667000000000001,1.7625333333333335,1.8729333333333333,2.0844,1.9312666666666667,2.0396,1.9979666666666667,1.7708666666666666,1.9542000000000002,1.7125000000000001,1.0937666666666666,1.1562666666666666,0.4145999999999999,0.34065,1.8469,1.933366666666667,2.01255,1.9208666666666667,1.9875,1.7281499999999999,1.7083333333333333,1.8,2.0219,1.9395999999999998,2.0094000000000003,1.7333666666666667,1.1125333333333334,1.0,2.0094000000000003,2.0583666666666667,1.8188,2.09065,2.1229333333333336,1.0208666666666666,0.4708333333333334,1.92505,2.0219,2.04375,2.0125333333333333,2.1469,2.210433333333333,2.13755,2.2854,1.9313,2.0854666666666666,1.9541666666666666,2.100025,1.825,2.0208333333333335,2.0521,1.8292000000000002,1.7375500000000001,2.0958333333333337,2.0187666666666666,2.1375,2.07815,2.2812,2.1625,2.2437333333333336,2.154166666666667,1.8479333333333334,2.0187666666666666,1.8104333333333333,2.0833666666666666,2.1042,2.1375333333333333,2.1021,1.9916666666666665,2.2188,2.025033333333333,2.0500000000000003,2.127133333333333,2.2958333333333334,1.8354333333333333,2.2094,2.14375,1.9771,2.1396333333333333,2.068766666666667,2.0937333333333332,2.0750333333333333,2.2062749999999998,1.933366666666667,2.1708333333333334,0.425,0.4062333333333333,1.8937666666666668,1.9375,1.8208333333333335,1.8958666666666666,1.9416666666666667,1.9042000000000001,1.2812666666666666,1.3250333333333335,1.2937666666666667,1.1791999999999998,1.2729333333333333,1.2422,1.2958333333333334,1.2833666666666668,1.3187666666666666,1.3541999999999998,1.3604333333333336,1.2542,1.3218999999999999,1.3875,1.2292,1.2479333333333333
6,2021-04-17,07:30:00,0.4166666666666667,0.5000333333333333,1.162525,1.2583666666666666,1.2083333333333333,1.16565,1.0666666666666667,1.20315,1.0521,1.075,1.5854333333333333,1.1687666666666665,1.1812666666666667,1.0270666666666666,0.90005,0.8104333333333334,0.4729666666666666,0.5396000000000001,1.1469,1.3479333333333334,1.275,1.0479333333333332,1.5969,1.4083666666666668,1.4000333333333332,0.8531,0.9333333333333332,1.2125,0.7708666666666666,0.875,0.5333333333333333,0.40210000000000007,1.1187666666666667,1.4187666666666665,0.8,0.9312499999999999,1.3531499999999999,1.337525,0.9667,0.8313,1.4938,1.2547000000000001,0.9895999999999999,1.1875333333333333,0.8750333333333332,0.7395999999999999,1.2125333333333332,1.368775,1.1984750000000002,1.1844000000000001,0.87815,1.4578250000000001,0.5625333333333333,1.3958333333333333,1.6156,1.5906500000000001,1.3667,0.8625,1.025,1.0583666666666667,1.0281500000000001,1.27345,1.25,1.2521000000000002,0.9438,1.3125333333333333,1.00315,1.4833666666666667,1.2937333333333332,0.9562666666666667,1.40625,1.3094000000000001,1.5083666666666666,1.312525,1.1291666666666667,1.2333333333333332,1.2229333333333334,1.1812333333333334,1.4666666666666668,1.1146,1.6468500000000001,1.3417000000000001,1.2666666666666666,1.2781500000000001,1.1749999999999998,1.2438,0.9593499999999999,1.4792000000000003,0.9094,1.3354,0.9656499999999999,1.14375,1.3813000000000002,1.1188,0.9594,1.4396333333333333,1.0,1.0,0.9583666666666667,1.11875,1.2625333333333335,0.9312666666666667,0.4854333333333334,0.48755000000000004,1.0083666666666666,1.0542,1.5375,1.3083666666666667,1.2521000000000002,1.35625,0.8604333333333333,0.9854666666666666,0.7896000000000001,1.0083333333333335,0.7479333333333334,0.8875000000000001,0.9270999999999999,0.6688000000000001,0.8458666666666668,1.0979333333333334,1.12815,0.7594000000000001,0.9000333333333334,1.0469,0.8416666666666668,0.9375
7,2021-04-17,07:45:00,0.5458666666666666,0.6594,3.0375,2.312533333333333,3.1791666666666667,2.3219000000000003,2.7469,2.46565,2.3083333333333336,3.1094,2.3292,2.693733333333333,1.075,2.904166666666667,1.5708666666666666,1.51255,0.5969,0.7062999999999999,2.8937999999999997,2.5250333333333335,2.295325,3.227133333333333,2.7687333333333335,2.5583666666666667,2.3687333333333336,1.8250000000000002,2.9292000000000002,2.6395666666666666,1.5104333333333333,1.6708666666666667,0.8094,0.65315,2.2937666666666665,2.345833333333333,2.3219000000000003,3.20935,2.44535,2.7,2.8729,2.45315,2.4083666666666668,3.10625,2.7646,2.539633333333333,1.575,1.28125,2.41875,3.3813,3.212533333333333,3.6688,2.9875333333333334,3.61565,1.4958333333333333,2.8344,2.410433333333333,3.077066666666667,2.69375,2.410433333333333,3.2875333333333336,3.059375,1.9666666666666668,3.1750499999999997,2.8729333333333336,3.1437333333333335,2.6146,2.7625333333333333,2.2771,2.3708666666666667,2.6125333333333334,2.3250333333333333,3.3458666666666663,3.0438,2.5833333333333335,2.7531499999999998,2.7854333333333336,2.3396333333333335,3.34065,3.21565,3.0396,2.875033333333333,2.2140500000000003,2.5104333333333333,2.91875,2.9354,3.1,2.4906,2.9416666666666664,2.8078250000000002,2.025,2.316666666666667,3.5219,2.9812666666666665,2.4,3.1063,2.8146,2.5187666666666666,2.1125,2.679166666666667,2.998425,2.716666666666667,2.36875,2.69685,0.7062666666666667,0.71875,2.7000333333333337,2.7625,2.8156499999999998,2.8958666666666666,2.5271000000000003,2.1771,1.9625333333333332,2.35,2.3604666666666665,1.7146000000000001,1.776575,2.1042,2.370833333333333,1.6729333333333332,2.54685,2.2125,1.55625,2.0968999999999998,2.2208333333333337,2.2458333333333336,2.3146,2.0375
8,2021-04-17,08:00:00,1.0333333333333334,1.2021,1.2396333333333334,1.2500333333333333,1.4729333333333334,1.6625,1.4625000000000001,1.1875333333333333,1.375,1.5354333333333334,1.3563,1.47505,1.3813000000000002,1.2625000000000002,1.3437999999999999,1.2604333333333333,1.125,1.1895666666666667,1.62815,1.2781500000000001,1.4375333333333333,1.3708666666666665,1.24065,1.2562666666666666,1.2583666666666666,1.3792,1.4375333333333333,1.3166666666666667,1.0958333333333334,1.279725,1.1166666666666665,1.0187666666666668,1.1625,1.3167,1.5937666666666666,1.2156500000000001,1.5,1.3042,1.5125,1.4729333333333334,1.5229333333333335,1.2812666666666666,1.4041666666666668,1.2104666666666666,1.1375333333333335,1.0562666666666667,1.2729666666666668,1.5203250000000001,1.27505,1.4562666666666668,1.43905,1.5271333333333335,1.5093999999999999,1.20935,1.5562666666666667,1.4021000000000001,1.6187666666666667,1.5104333333333333,1.6188,1.2313,1.6833666666666665,1.1979333333333333,1.4896,1.3541999999999998,1.3797,1.65625,1.350025,1.2521000000000002,1.314075,1.2021,1.1375333333333335,1.2937666666666667,1.1917,1.3083333333333333,1.425,1.4500333333333335,1.5062999999999998,1.5583333333333333,1.3062666666666667,1.2208333333333332,1.3,1.25625,1.5062666666666669,1.2875333333333334,1.5042,1.3604333333333332,1.27505,1.275,1.4708666666666668,1.4770666666666667,1.5062999999999998,1.3729333333333333,1.55,1.54065,1.3312499999999998,1.3062666666666667,1.5458666666666667,1.1354333333333335,1.2125,1.5687666666666666,1.31565,1.4666666666666668,1.1458666666666668,1.1905999999999999,1.2437666666666667,1.5979333333333334,1.3875333333333335,1.351575,1.4646333333333335,1.331275,1.4208666666666667,1.2521000000000002,1.0594000000000001,1.1604,1.1688,1.16565,1.1979666666666666,1.3594,1.3916666666666666,1.42815,1.3604,1.1937333333333333,1.2438,1.4521,1.0708666666666666,1.3063
9,2021-04-17,08:15:00,1.2292,1.3792000000000002,1.4563,1.4104666666666665,1.3563,1.4625249999999999,1.3396,1.4500000000000002,1.575,1.4188,1.4812750000000001,1.3354333333333335,1.3104333333333333,1.4770666666666665,1.4771,1.3396000000000001,1.5094,1.2812999999999999,1.4583666666666666,1.34375,1.4219,1.4583666666666666,1.4458666666666666,1.2896,1.4021000000000001,1.3,1.3042,1.29375,1.3146333333333333,1.4656500000000001,1.3145999999999998,1.1812666666666667,1.29065,1.4187666666666665,1.3521,1.4422,1.3344,1.3625,1.4771333333333334,1.3875,1.4417,1.4188,1.3875,1.37815,1.2937666666666667,1.2937666666666667,1.3406500000000001,1.3843999999999999,1.4208666666666667,1.3125499999999999,1.3250000000000002,1.39065,1.3396,1.3984750000000001,1.4188,1.3188,1.4094000000000002,1.3312666666666668,1.5641,1.3437666666666666,1.47505,1.2469000000000001,1.3479333333333334,1.4062333333333334,1.35,1.3625,1.4375333333333333,1.3499999999999999,1.4344000000000001,1.375,1.27505,1.4291666666666665,1.33125,1.3875,1.3296999999999999,1.2469000000000001,1.3563,1.32815,1.45,1.27185,1.36405,1.38125,1.3396333333333332,1.525,1.29065,1.3875250000000001,1.3354333333333333,1.4812666666666667,1.3875250000000001,1.2854333333333334,1.506275,1.3604333333333332,1.4219,1.3563,1.4219,1.4667000000000001,1.6140999999999999,1.2729666666666668,1.3969,1.4208666666666667,1.4875,1.3521,1.3375000000000001,1.3042,1.3125,1.4041666666666668,1.31875,1.4,1.3843999999999999,1.4093499999999999,1.3750333333333333,1.3125333333333333,1.3521,1.3916666666666666,1.3021,1.3094000000000001,1.32815,1.3521,1.3541999999999998,1.475,1.3458666666666665,1.2771000000000001,1.33755,1.4000000000000001,1.4291666666666665,1.3479666666666665
