,Data,Hora,OP4.1.1 V (V),OP4.1.2 V (V),OP4.1.3 V (V),OP4.1.4 V (V),OP4.1.5 V (V),OP4.1.6 V (V),OP4.1.7 V (V),OP4.1.8 V (V),OP4.1.9 V (V),OP4.1.10 V (V),OP4.1.11 V (V),OP4.1.12 V (V),OP4.1.13 V (V),OP4.1.14 V (V),OP4.1.15 V (V),OP4.1.16 V (V),OP4.1.17 V (V),OP4.1.18 V (V),OP4.1.19 V (V),OP4.1.21 V (V),OP4.1.22 V (V),OP4.2.1 V (V),OP4.2.2 V (V),OP4.2.3 V (V),OP4.2.4 V (V),OP4.2.5 V (V),OP4.2.6 V (V),OP4.2.7 V (V),OP4.2.8 V (V),OP4.2.9 V (V),OP4.2.10 V (V),OP4.2.11 V (V),OP4.2.12 V (V),OP4.2.13 V (V),OP4.2.14 V (V),OP4.2.15 V (V),OP4.2.16 V (V),OP4.2.17 V (V),OP4.2.18 V (V),OP4.2.19 V (V),OP4.2.20 V (V),OP4.2.21 V (V),OP4.2.22 V (V),OP4.3.1 V (V),OP4.3.2 V (V),OP4.3.4 V (V),OP4.3.5 V (V),OP4.3.6 V (V),OP4.3.7 V (V),OP4.3.8 V (V),OP4.3.9 V (V),OP4.3.10 V (V),OP4.3.11 V (V),OP4.3.12 V (V),OP4.3.13 V (V),OP4.3.14 V (V),OP4.3.15 V (V),OP4.3.16 V (V),OP4.3.17 V (V),OP4.3.18 V (V),OP4.3.19 V (V),OP4.3.20 V (V),OP4.3.21 V (V),OP4.3.22 V (V),OP4.4.1 V (V),OP4.4.2 V (V),OP4.4.3 V (V),OP4.4.4 V (V),OP4.4.5 V (V),OP4.4.6 V (V),OP4.4.7 V (V),OP4.4.8 V (V),OP4.4.9 V (V),OP4.4.10 V (V),OP4.4.11 V (V),OP4.4.12 V (V),OP4.4.13 V (V),OP4.4.14 V (V),OP4.4.15 V (V),OP4.4.16 V (V),OP4.4.17 V (V),OP4.4.18 V (V),OP4.4.19 V (V),OP4.4.20 V (V),OP4.5.1 V (V),OP4.5.2 V (V),OP4.5.3 V (V),OP4.5.4 V (V),OP4.5.5 V (V),OP4.5.7 V (V),OP4.5.8 V (V),OP4.5.9 V (V),OP4.5.10 V (V),OP4.5.11 V (V),OP4.5.12 V (V),OP4.5.13 V (V),OP4.5.14 V (V),OP4.5.15 V (V),OP4.5.16 V (V),OP4.5.17 V (V),OP4.5.18 V (V),OP4.5.19 V (V),OP4.5.20 V (V),OP4.5.21 V (V),OP4.5.22 V (V),OP4.6.1 V (V),OP4.6.2 V (V),OP4.6.3 V (V),OP4.6.4 V (V),OP4.6.5 V (V),OP4.6.7 V (V),OP4.6.8 V (V),OP4.6.9 V (V),OP4.6.10 V (V),OP4.6.11 V (V),OP4.6.12 V (V),OP4.6.13 V (V),OP4.6.14 V (V),OP4.6.15 V (V),OP4.6.16 V (V),OP4.6.17 V (V),OP4.6.18 V (V),OP4.6.19 V (V),OP4.6.20 V (V),OP4.6.21 V (V),OP4.6.22 V (V),OP4.7.1 V (V),OP4.7.2 V (V),OP4.7.3 V (V),OP4.7.4 V (V),OP4.7.5 V (V),OP4.7.6 V (V),OP4.7.7 V (V),OP4.7.8 V (V),OP4.7.9 V (V),OP4.7.10 V (V),OP4.7.11 V (V),OP4.7.12 V (V),OP4.7.14 V (V),OP4.7.15 V (V),OP4.7.16 V (V),OP4.7.17 V (V),OP4.7.18 V (V),OP4.7.20 V (V),OP4.7.21 V (V),OP4.7.22 V (V),OP4.8.1 V (V),OP4.8.2 V (V),OP4.8.3 V (V),OP4.8.4 V (V),OP4.8.5 V (V),OP4.8.6 V (V),OP4.8.7 V (V),OP4.8.8 V (V),OP4.8.9 V (V),OP4.8.10 V (V),OP4.8.11 V (V),OP4.8.12 V (V),OP4.8.13 V (V),OP4.8.14 V (V),OP4.8.15 V (V),OP4.8.16 V (V),OP4.8.17 V (V),OP4.8.18 V (V),OP4.8.19 V (V),OP4.8.20 V (V),OP4.8.21 V (V),OP4.8.22 V (V),OP4.9.1 V (V),OP4.9.2 V (V),OP4.9.3 V (V),OP4.9.4 V (V),OP4.9.5 V (V),OP4.9.6 V (V),OP4.9.7 V (V),OP4.9.8 V (V),OP4.9.9 V (V),OP4.9.10 V (V),OP4.9.11 V (V),OP4.9.12 V (V),OP4.9.13 V (V),OP4.9.14 V (V),OP4.9.15 V (V),OP4.9.16 V (V),OP4.9.17 V (V),OP4.9.18 V (V),OP4.9.19 V (V),OP4.9.20 V (V),OP4.9.21 V (V),OP4.9.22 V (V)
0,2021-02-23,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-02-23,06:15:00,38.8125,37.875,38.0,37.875,38.25,36.916666666666664,36.8125,36.0,34.1875,33.25,32.5625,32.125,30.78125,30.0625,26.875,38.0,38.708333333333336,39.25,40.75,41.6875,42.4375,27.458333333333332,31.291666666666668,33.791666666666664,35.0625,36.791666666666664,36.40625,37.333333333333336,37.5625,37.0,37.625,37.875,38.416666666666664,38.0,37.083333333333336,37.583333333333336,37.208333333333336,37.375,38.0,36.6875,38.125,38.0625,38.1875,40.3125,40.375,39.6875,37.75,38.9375,38.125,36.541666666666664,34.5,32.75,36.583333333333336,35.9375,36.25,32.041666666666664,37.0,36.166666666666664,37.25,36.4375,33.3125,34.875,37.3125,35.833333333333336,34.75,35.458333333333336,36.75,36.8125,37.875,38.541666666666664,39.34375,40.125,40.458333333333336,41.208333333333336,38.4375,40.708333333333336,41.84375,42.625,43.75,44.125,43.291666666666664,43.46875,44.25,43.375,35.375,36.0,36.666666666666664,37.291666666666664,36.541666666666664,37.4375,37.6875,36.833333333333336,37.291666666666664,36.875,37.666666666666664,36.5,37.333333333333336,36.916666666666664,36.958333333333336,36.791666666666664,35.583333333333336,35.458333333333336,34.875,35.34375,35.0,37.0,35.5625,36.75,35.375,36.3125,35.958333333333336,36.0625,35.833333333333336,35.583333333333336,35.75,36.166666666666664,36.75,37.0,35.6875,37.0,37.375,0.0,36.916666666666664,38.75,37.583333333333336,39.125,34.875,34.1875,34.25,35.625,35.3125,35.875,35.625,35.833333333333336,36.583333333333336,36.5,36.6875,37.208333333333336,37.625,37.791666666666664,38.291666666666664,37.8125,37.458333333333336,38.3125,38.0,37.875,36.25,36.8125,36.791666666666664,0.0,36.5,36.583333333333336,36.625,36.375,36.375,36.833333333333336,36.625,37.375,37.208333333333336,36.25,36.78125,35.71875,36.416666666666664,36.166666666666664,36.59375,36.5625,36.208333333333336,35.9375,45.6875,45.625,45.375,46.375,44.21875,46.375,45.291666666666664,37.8125,36.708333333333336,36.75,25.125,23.3125,26.625,29.53125,31.25,28.166666666666668,32.541666666666664,36.90625,36.666666666666664,37.708333333333336,36.166666666666664,33.6875
2,2021-02-23,06:30:00,44.0625,40.875,41.875,39.125,40.0625,36.791666666666664,36.541666666666664,34.916666666666664,33.708333333333336,31.875,30.916666666666668,30.25,28.3125,30.166666666666668,27.375,37.125,37.916666666666664,38.09375,40.125,40.875,43.541666666666664,28.3125,33.625,34.25,34.875,36.78125,36.4375,37.125,36.5,36.625,37.791666666666664,37.833333333333336,37.28125,37.6875,37.625,37.208333333333336,37.0625,37.666666666666664,38.375,36.125,38.0,37.5625,37.833333333333336,44.125,42.3125,40.625,40.0,38.791666666666664,37.291666666666664,36.375,33.5,31.0625,35.875,35.166666666666664,34.9375,30.333333333333332,35.791666666666664,34.666666666666664,35.916666666666664,36.1875,32.625,34.6875,36.5,34.875,33.375,33.75,36.625,36.625,37.125,37.25,39.75,39.708333333333336,41.125,41.15625,38.666666666666664,40.25,42.5,42.541666666666664,44.0,44.5,43.083333333333336,44.3125,44.625,44.5,34.6875,35.8125,36.333333333333336,0.0,36.125,36.833333333333336,36.833333333333336,37.375,37.0,37.0,37.208333333333336,36.75,37.3125,37.375,37.166666666666664,36.8125,36.5,37.25,36.8125,35.375,35.25,41.333333333333336,41.125,39.541666666666664,42.375,37.875,36.25,35.875,36.1875,35.0,33.6875,34.541666666666664,35.625,35.333333333333336,34.0625,34.5,36.291666666666664,34.375,35.875,35.0,35.916666666666664,38.5625,33.625,33.875,33.5,35.125,34.625,35.333333333333336,35.333333333333336,35.25,36.625,36.875,36.78125,37.8125,38.125,38.375,38.15625,38.333333333333336,38.125,38.59375,38.583333333333336,38.375,35.958333333333336,36.375,36.5,36.833333333333336,36.708333333333336,37.125,36.916666666666664,36.125,35.666666666666664,37.125,36.625,37.375,37.0,36.5625,36.5625,35.25,36.166666666666664,36.625,36.1875,36.28125,36.8125,36.90625,48.625,46.6875,48.0625,47.958333333333336,46.291666666666664,47.5625,48.208333333333336,36.833333333333336,36.0,35.041666666666664,23.4375,22.5625,24.625,26.708333333333332,0.0,25.125,30.583333333333332,35.4375,34.583333333333336,36.625,34.5625,31.9375
3,2021-02-23,06:45:00,40.375,41.458333333333336,41.4375,40.0,40.53125,38.166666666666664,37.458333333333336,36.541666666666664,34.625,32.875,31.4375,32.125,29.458333333333332,28.1875,27.75,35.375,37.375,35.625,38.708333333333336,41.0,43.583333333333336,31.59375,33.875,37.25,38.458333333333336,37.4375,38.041666666666664,37.083333333333336,37.75,36.1875,37.25,37.1875,37.125,36.5,36.15625,35.5625,35.6875,35.875,37.25,36.416666666666664,36.0,36.708333333333336,35.708333333333336,46.625,46.0,43.0625,40.833333333333336,40.333333333333336,39.0,37.208333333333336,34.125,31.083333333333332,36.166666666666664,35.416666666666664,34.65625,30.083333333333332,35.25,34.458333333333336,34.666666666666664,33.541666666666664,30.0625,31.541666666666668,34.125,34.4375,35.0,36.458333333333336,37.166666666666664,37.083333333333336,38.125,38.375,39.666666666666664,39.833333333333336,40.625,40.9375,38.208333333333336,39.3125,41.625,41.291666666666664,42.0625,42.875,41.958333333333336,42.791666666666664,43.291666666666664,43.333333333333336,34.041666666666664,35.5,36.75,36.96875,35.541666666666664,36.75,36.6875,37.375,36.791666666666664,37.166666666666664,37.8125,36.84375,37.5,37.5625,37.0,37.208333333333336,35.208333333333336,36.8125,36.0,34.958333333333336,35.625,42.25,40.166666666666664,38.875,39.125,37.833333333333336,36.75,36.5625,36.3125,35.625,34.25,35.333333333333336,36.5625,35.458333333333336,34.208333333333336,34.458333333333336,35.03125,35.291666666666664,34.333333333333336,34.9375,35.375,36.6875,31.916666666666668,33.208333333333336,33.375,34.25,34.6875,34.625,35.583333333333336,34.416666666666664,36.5625,36.625,37.0,37.5,38.28125,37.75,37.4375,37.875,38.0,39.4375,38.8125,38.4375,35.625,36.25,36.625,36.9375,36.75,36.8125,36.375,35.666666666666664,35.583333333333336,37.291666666666664,36.25,37.125,37.0,36.75,36.28125,35.0,35.833333333333336,36.416666666666664,36.5625,36.3125,36.875,35.9375,46.0625,43.875,46.34375,47.291666666666664,43.9375,46.1875,46.375,34.5,32.875,32.25,26.583333333333332,26.0625,28.333333333333332,30.3125,31.041666666666668,28.6875,31.416666666666668,34.208333333333336,34.375,36.25,34.75,33.375
4,2021-02-23,07:00:00,40.875,43.75,41.75,40.25,46.833333333333336,39.541666666666664,37.875,35.9375,32.291666666666664,33.1875,31.333333333333332,30.25,28.0,27.9375,25.5,35.208333333333336,33.791666666666664,35.75,37.916666666666664,39.6875,42.25,38.125,43.708333333333336,50.5,43.75,42.583333333333336,42.291666666666664,40.125,37.5,41.875,34.1875,32.1875,34.458333333333336,32.9375,32.75,31.84375,33.416666666666664,31.625,33.1875,31.75,32.875,31.791666666666668,30.125,47.208333333333336,46.666666666666664,42.208333333333336,43.583333333333336,38.625,38.0,35.75,33.041666666666664,31.0625,34.291666666666664,33.708333333333336,32.5,28.0,34.541666666666664,33.958333333333336,33.541666666666664,32.958333333333336,31.625,32.75,34.875,34.875,34.1875,35.75,36.541666666666664,36.4375,37.5,38.4375,39.8125,40.6875,41.25,41.625,39.041666666666664,40.375,41.833333333333336,41.125,43.53125,43.375,42.5,43.166666666666664,44.1875,43.791666666666664,34.75,35.666666666666664,36.375,36.875,35.625,36.75,37.166666666666664,37.208333333333336,36.958333333333336,36.583333333333336,37.375,36.625,37.875,37.291666666666664,37.333333333333336,37.333333333333336,35.8125,37.4375,37.0625,35.46875,36.333333333333336,65.375,42.125,40.833333333333336,40.291666666666664,39.375,35.791666666666664,36.75,35.041666666666664,35.541666666666664,33.541666666666664,34.25,33.625,35.0,32.9375,34.0625,34.625,35.041666666666664,32.125,33.5,36.833333333333336,36.1875,33.75,34.5,35.25,35.666666666666664,35.0,35.625,35.875,35.0625,36.65625,36.791666666666664,36.75,37.375,37.625,37.8125,38.125,37.75,37.333333333333336,38.625,38.15625,38.0,36.375,36.625,36.875,36.875,36.8125,37.083333333333336,36.5,36.125,35.875,37.583333333333336,36.75,37.416666666666664,37.0,36.90625,36.8125,35.5,36.416666666666664,36.458333333333336,36.375,36.96875,36.75,36.5,45.958333333333336,45.833333333333336,45.375,45.8125,43.375,45.8125,45.8125,36.583333333333336,36.208333333333336,35.166666666666664,27.4375,26.625,27.958333333333332,30.25,31.333333333333332,28.75,32.75,36.5,34.291666666666664,34.5625,35.25,33.75
5,2021-02-23,07:15:00,46.4375,40.75,40.25,40.208333333333336,43.875,39.458333333333336,37.541666666666664,36.0,32.416666666666664,33.583333333333336,31.0,29.25,27.71875,31.9375,26.958333333333332,35.5,35.875,36.166666666666664,38.0,40.5625,42.5,33.0,35.25,42.583333333333336,38.458333333333336,39.541666666666664,47.25,40.541666666666664,41.166666666666664,38.041666666666664,36.708333333333336,36.791666666666664,35.875,32.666666666666664,32.0625,34.166666666666664,30.84375,35.875,33.40625,33.1875,32.5625,34.458333333333336,33.375,50.6875,47.0625,51.75,51.125,38.1875,36.458333333333336,34.0625,34.25,31.0,34.125,34.166666666666664,33.5,30.041666666666668,35.333333333333336,34.708333333333336,33.958333333333336,33.8125,31.833333333333332,32.458333333333336,34.958333333333336,31.6875,37.0,36.625,37.166666666666664,37.208333333333336,38.416666666666664,39.083333333333336,40.0625,40.3125,40.791666666666664,41.5625,38.791666666666664,40.9375,42.53125,41.125,42.75,42.833333333333336,42.833333333333336,42.458333333333336,43.791666666666664,43.208333333333336,34.8125,35.583333333333336,36.375,37.125,36.166666666666664,37.125,37.375,37.25,36.625,37.3125,37.541666666666664,36.875,37.375,37.041666666666664,37.083333333333336,37.4375,35.75,37.0,37.0,35.8125,36.625,42.0,37.9375,38.708333333333336,37.458333333333336,36.041666666666664,35.09375,35.083333333333336,35.416666666666664,34.666666666666664,34.75,35.6875,35.9375,36.0,34.416666666666664,35.9375,36.9375,36.166666666666664,36.458333333333336,37.125,36.791666666666664,37.083333333333336,35.125,35.625,35.041666666666664,35.791666666666664,35.75,36.1875,36.333333333333336,35.916666666666664,37.041666666666664,37.041666666666664,37.125,37.458333333333336,37.625,37.75,37.583333333333336,37.4375,37.03125,38.125,37.375,37.75,36.5625,36.75,36.6875,36.9375,36.625,37.333333333333336,36.833333333333336,36.0,35.958333333333336,37.416666666666664,37.0,37.791666666666664,37.208333333333336,36.875,37.208333333333336,35.4375,36.541666666666664,36.9375,36.1875,36.75,37.0,36.375,44.208333333333336,44.208333333333336,45.5,44.833333333333336,42.833333333333336,44.8125,43.208333333333336,37.875,36.875,36.09375,28.041666666666668,25.708333333333332,28.21875,31.25,33.291666666666664,28.291666666666668,34.3125,37.25,36.125,38.041666666666664,36.875,34.958333333333336
6,2021-02-23,07:30:00,52.625,47.958333333333336,46.53125,50.9375,52.3125,46.166666666666664,34.333333333333336,30.46875,31.4375,25.3125,27.875,25.09375,25.0625,23.5,21.625,31.625,28.666666666666668,31.666666666666668,40.125,50.333333333333336,64.0,28.791666666666668,41.875,51.4375,54.708333333333336,48.0,53.083333333333336,45.25,43.458333333333336,45.8125,35.78125,31.9375,31.625,26.25,28.708333333333332,24.8125,26.9375,29.25,24.5625,35.125,27.8125,33.75,28.84375,64.4375,78.3125,61.625,50.25,34.458333333333336,36.375,33.875,31.9375,25.5,28.875,30.125,31.375,21.791666666666668,28.625,30.5625,29.583333333333332,26.25,27.5,27.25,33.625,29.8125,37.166666666666664,36.75,35.708333333333336,36.1875,36.875,37.625,39.0625,39.75,40.583333333333336,41.15625,39.25,40.0,42.875,42.083333333333336,44.0625,43.75,42.916666666666664,43.625,44.0,43.75,35.03125,35.791666666666664,36.625,37.375,36.6875,36.875,37.75,37.375,36.8125,37.0,38.0,37.1875,37.958333333333336,37.625,37.4375,37.5,35.625,37.375,36.25,35.5,35.5,47.5,42.416666666666664,39.125,38.5625,37.833333333333336,35.958333333333336,36.375,34.875,34.0,36.375,39.166666666666664,36.6875,35.625,34.666666666666664,33.541666666666664,32.5625,34.791666666666664,34.625,33.8125,35.541666666666664,36.0,33.5,33.416666666666664,33.708333333333336,33.875,35.125,35.5,36.791666666666664,37.458333333333336,37.5625,37.458333333333336,36.9375,0.0,38.0,37.875,37.5625,37.6875,37.375,38.541666666666664,38.208333333333336,38.125,36.1875,36.25,36.875,36.875,36.75,37.291666666666664,36.958333333333336,35.958333333333336,35.875,37.5,36.9375,38.0,37.541666666666664,37.5,37.3125,36.166666666666664,36.291666666666664,37.5,38.458333333333336,37.5,38.166666666666664,35.6875,47.5625,47.416666666666664,47.833333333333336,48.416666666666664,46.791666666666664,47.875,48.25,36.6875,35.833333333333336,35.375,25.15625,24.1875,26.1875,28.125,29.9375,26.708333333333332,33.1875,36.541666666666664,34.291666666666664,36.083333333333336,34.625,32.25
7,2021-02-23,07:45:00,41.75,40.4375,39.4375,44.375,40.4375,42.625,37.666666666666664,35.625,33.916666666666664,32.1875,30.375,28.583333333333332,26.958333333333332,26.375,22.125,33.833333333333336,35.791666666666664,35.291666666666664,39.708333333333336,43.1875,45.03125,31.875,45.375,0.0,39.875,41.46875,40.791666666666664,32.5,38.5,44.916666666666664,40.375,33.833333333333336,37.0,36.125,32.458333333333336,31.625,35.3125,37.125,32.0,33.333333333333336,34.71875,36.875,34.5,63.5,46.25,38.5,41.5625,38.5,36.4375,32.75,33.416666666666664,31.1875,34.208333333333336,32.75,32.6875,27.875,31.3125,33.541666666666664,36.125,33.25,32.583333333333336,26.125,35.0625,32.125,37.333333333333336,35.125,36.375,36.666666666666664,37.875,38.5,39.875,40.041666666666664,40.666666666666664,41.4375,38.916666666666664,40.78125,42.458333333333336,41.8125,44.15625,43.208333333333336,42.875,42.8125,45.125,44.03125,34.4375,35.458333333333336,35.958333333333336,37.291666666666664,35.875,37.0625,37.041666666666664,37.041666666666664,36.75,37.333333333333336,37.791666666666664,37.03125,37.6875,37.625,37.541666666666664,37.791666666666664,35.625,37.458333333333336,36.6875,35.4375,35.916666666666664,43.3125,41.25,38.166666666666664,36.458333333333336,36.625,35.875,35.5,36.75,36.375,42.291666666666664,39.333333333333336,38.375,36.333333333333336,33.708333333333336,34.375,33.625,34.875,35.8125,35.416666666666664,36.083333333333336,35.6875,31.875,33.875,34.0,0.0,35.25,36.0,40.375,42.291666666666664,37.75,36.875,36.416666666666664,36.625,37.375,37.166666666666664,37.25,37.5625,36.75,39.0,38.708333333333336,37.5625,34.125,32.3125,35.0,35.75,35.75,35.625,34.75,33.9375,35.25,33.958333333333336,35.75,37.125,38.958333333333336,39.125,39.0625,37.5,36.458333333333336,37.833333333333336,36.5625,0.0,39.833333333333336,35.875,47.541666666666664,46.541666666666664,47.125,47.5,45.1875,46.75,47.666666666666664,36.6875,36.25,34.875,25.6875,23.625,25.041666666666668,29.3125,30.25,27.875,32.25,36.6875,34.958333333333336,36.583333333333336,35.416666666666664,33.5
8,2021-02-23,08:00:00,45.5,46.833333333333336,46.65625,46.375,48.375,45.9375,45.8125,44.208333333333336,32.208333333333336,26.0625,20.28125,19.625,17.583333333333332,20.875,17.875,27.291666666666668,28.875,29.625,34.041666666666664,57.25,54.291666666666664,25.5,49.3125,52.875,46.75,49.6875,51.0625,44.541666666666664,42.5625,52.0,50.125,34.375,25.25,26.4375,25.625,24.25,26.25,29.958333333333332,28.208333333333332,27.03125,29.0625,28.125,33.90625,79.375,77.33333333333333,66.25,37.083333333333336,34.333333333333336,30.1875,32.4375,29.166666666666668,26.0,29.625,29.125,28.125,24.041666666666668,28.3125,28.833333333333332,29.0625,27.208333333333332,27.083333333333332,27.958333333333332,28.791666666666668,30.583333333333332,34.875,36.625,36.4375,37.291666666666664,37.791666666666664,38.875,40.291666666666664,40.125,41.3125,41.666666666666664,39.5,41.5625,42.625,42.666666666666664,44.041666666666664,43.708333333333336,43.1875,43.916666666666664,44.0,43.375,33.916666666666664,34.916666666666664,36.125,37.125,36.0625,36.666666666666664,36.958333333333336,37.166666666666664,36.8125,37.1875,38.25,37.25,38.041666666666664,38.333333333333336,38.25,38.0,36.375,38.125,37.25,36.0,35.708333333333336,42.708333333333336,38.75,35.0,35.5,34.333333333333336,33.666666666666664,35.5625,39.041666666666664,42.125,65.45833333333333,48.5625,39.208333333333336,34.833333333333336,30.75,32.0,32.4375,31.5,32.0,33.5,33.541666666666664,33.5625,23.0,27.1875,22.375,26.5,31.46875,37.375,51.583333333333336,46.375,35.0625,33.875,30.416666666666668,30.041666666666668,33.03125,36.5,35.333333333333336,35.0625,38.9375,50.875,44.0,56.625,36.625,34.666666666666664,37.583333333333336,36.0,35.0,37.75,37.791666666666664,37.291666666666664,36.4375,38.333333333333336,38.4375,40.625,37.875,40.083333333333336,37.6875,36.916666666666664,38.958333333333336,38.21875,37.125,37.833333333333336,39.083333333333336,29.291666666666668,49.416666666666664,60.625,59.291666666666664,56.208333333333336,59.4375,60.25,67.875,30.875,31.0,25.125,23.416666666666668,20.875,23.4375,22.25,0.0,23.958333333333332,24.375,29.208333333333332,32.375,31.5625,29.208333333333332,30.291666666666668
9,2021-02-23,08:15:00,43.666666666666664,45.625,45.875,42.25,43.75,41.0,41.875,41.125,41.166666666666664,29.625,23.166666666666668,19.583333333333332,16.0,19.458333333333332,23.25,35.375,35.0625,30.0625,37.75,44.09375,52.375,19.791666666666668,35.666666666666664,36.041666666666664,39.375,38.75,36.3125,38.125,39.15625,38.75,37.125,31.416666666666668,31.875,33.458333333333336,33.375,36.4375,38.458333333333336,38.208333333333336,39.125,38.125,41.125,36.5625,40.9375,69.125,72.54166666666667,57.375,40.375,32.625,33.5625,36.75,32.375,32.5,31.25,31.208333333333332,32.1875,28.1875,33.375,33.875,29.625,28.5625,29.5625,24.5,27.5,32.083333333333336,34.583333333333336,35.0625,37.291666666666664,37.78125,38.25,40.75,40.78125,39.9375,40.875,41.583333333333336,39.375,41.0,42.458333333333336,41.916666666666664,43.4375,43.833333333333336,42.833333333333336,42.6875,44.041666666666664,43.583333333333336,34.5,33.416666666666664,35.8125,37.1875,36.25,33.0,31.25,32.333333333333336,35.75,37.125,39.75,36.5,36.5,39.875,35.9375,35.291666666666664,37.083333333333336,51.583333333333336,43.375,34.9375,28.125,39.541666666666664,38.75,36.625,38.75,38.5,37.208333333333336,41.958333333333336,39.125,38.708333333333336,40.583333333333336,34.9375,35.666666666666664,34.041666666666664,31.8125,32.125,34.6875,34.875,35.291666666666664,34.916666666666664,36.333333333333336,35.9375,27.5,27.958333333333332,28.666666666666668,28.583333333333332,36.625,37.625,42.416666666666664,42.375,40.541666666666664,36.71875,36.958333333333336,39.875,42.5,42.0,40.791666666666664,41.75,40.791666666666664,41.416666666666664,42.75,39.583333333333336,36.625,36.958333333333336,36.9375,36.583333333333336,36.75,37.8125,37.291666666666664,36.416666666666664,36.291666666666664,37.3125,0.0,37.75,37.166666666666664,37.6875,37.65625,35.15625,36.3125,36.916666666666664,36.291666666666664,37.375,38.125,36.5625,55.666666666666664,45.375,53.25,64.25,70.1875,64.66666666666667,66.58333333333333,28.833333333333332,19.25,33.125,17.416666666666668,23.125,29.375,29.0,23.25,24.833333333333332,29.416666666666668,28.458333333333332,28.541666666666668,30.875,22.6875,27.375
