,Data,Hora,P4.1.1 V (V),P4.1.2 V (V),P4.1.3 V (V),P4.1.5 V (V),P4.1.6 V (V),P4.1.7 V (V),P4.1.8 V (V),P4.1.9 V (V),P4.1.10 V (V),P4.1.11 V (V),P4.1.12 V (V),P4.1.13 V (V),P4.1.14 V (V),P4.1.15 V (V),P4.1.16 V (V),P4.1.17 V (V),P4.1.18 V (V),P4.1.19 V (V),P4.1.20 V (V),P4.1.21 V (V),P4.1.22 V (V),P4.2.1 V (V),P4.2.2 V (V),P4.2.3 V (V),P4.2.4 V (V),P4.2.5 V (V),P4.2.6 V (V),P4.2.7 V (V),P4.2.8 V (V),P4.2.9 V (V),P4.2.10 V (V),P4.2.11 V (V),P4.2.12 V (V),P4.2.13 V (V),P4.2.14 V (V),P4.2.15 V (V),P4.2.16 V (V),P4.2.17 V (V),P4.2.18 V (V),P4.2.19 V (V),P4.2.20 V (V),P4.2.21 V (V),P4.2.22 V (V),P4.3.1 V (V),P4.3.2 V (V),P4.3.3 V (V),P4.3.4 V (V),P4.3.5 V (V),P4.3.6 V (V),P4.3.8 V (V),P4.3.9 V (V),P4.3.10 V (V),P4.3.11 V (V),P4.3.12 V (V),P4.3.14 V (V),P4.3.15 V (V),P4.3.17 V (V),P4.3.18 V (V),P4.3.19 V (V),P4.3.20 V (V),P4.3.21 V (V),P4.3.22 V (V),P4.4.1 V (V),P4.4.3 V (V),P4.4.4 V (V),P4.4.5 V (V),P4.4.6 V (V),P4.4.7 V (V),P4.4.8 V (V),P4.4.9 V (V),P4.4.10 V (V),P4.4.11 V (V),P4.4.12 V (V),P4.4.13 V (V),P4.4.14 V (V),P4.4.15 V (V),P4.4.16 V (V),P4.4.17 V (V),P4.4.18 V (V),P4.4.19 V (V),P4.5.1 V (V),P4.5.2 V (V),P4.5.3 V (V),P4.5.4 V (V),P4.5.5 V (V),P4.5.6 V (V),P4.5.7 V (V),P4.5.8 V (V),P4.5.10 V (V),P4.5.11 V (V),P4.5.12 V (V),P4.5.13 V (V),P4.5.14 V (V),P4.5.15 V (V),P4.5.16 V (V),P4.5.19 V (V),P4.5.20 V (V),P4.5.21 V (V),P4.5.22 V (V),P4.6.1 V (V),P4.6.2 V (V),P4.6.3 V (V),P4.6.4 V (V),P4.6.5 V (V),P4.6.6 V (V),P4.6.7 V (V),P4.6.8 V (V),P4.6.9 V (V),P4.6.10 V (V),P4.6.11 V (V),P4.6.12 V (V),P4.6.13 V (V),P4.6.14 V (V),P4.6.15 V (V),P4.6.16 V (V),P4.6.17 V (V),P4.6.18 V (V),P4.6.19 V (V),P4.6.20 V (V),P4.6.21 V (V),P4.6.22 V (V),P4.7.1 V (V),P4.7.2 V (V),P4.7.3 V (V),P4.7.4 V (V),P4.7.5 V (V),P4.7.6 V (V),P4.7.7 V (V),P4.7.8 V (V),P4.7.9 V (V),P4.7.10 V (V),P4.7.11 V (V),P4.7.12 V (V),P4.7.13 V (V),P4.7.14 V (V),P4.7.15 V (V),P4.7.16 V (V),P4.7.17 V (V),P4.7.18 V (V),P4.7.19 V (V),P4.7.20 V (V),P4.7.21 V (V),P4.7.22 V (V),P4.8.1 V (V),P4.8.2 V (V),P4.8.3 V (V),P4.8.4 V (V),P4.8.5 V (V),P4.8.6 V (V),P4.8.7 V (V),P4.8.8 V (V),P4.8.9 V (V),P4.8.10 V (V),P4.8.11 V (V),P4.8.12 V (V),P4.8.13 V (V),P4.8.14 V (V),P4.8.15 V (V),P4.8.16 V (V),P4.8.17 V (V),P4.8.18 V (V),P4.8.19 V (V),P4.8.20 V (V),P4.8.21 V (V),P4.8.22 V (V),P4.9.1 V (V),P4.9.2 V (V),P4.9.3 V (V),P4.9.19 V (V),P4.9.20 V (V),P4.9.21 V (V),P4.9.22 V (V)
0,2021-04-28,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-28,06:15:00,56.0,47.3125,60.25,58.0,57.0,52.25,59.9375,70.14423076923077,56.9375,51.375,51.375,56.333333333333336,54.25,0.0,57.333333333333336,56.125,69.27083333333333,62.958333333333336,63.4375,62.625,48.6875,71.375,70.125,65.75,56.1875,60.375,51.375,56.75,57.875,53.875,61.375,63.25,70.0909090909091,61.6875,71.8125,72.16666666666667,60.4375,50.875,71.5,60.75,65.375,61.0,69.91346153846153,60.9375,0.0,65.19642857142857,58.75,53.75,63.875,68.75,35.25,55.5,71.225,62.5,62.4375,69.40625,66.16666666666667,65.625,71.6875,68.0,68.20833333333333,57.0,70.03125,60.5,51.5,60.75,62.75,56.6875,58.625,63.5625,62.5,64.4375,70.5,65.875,57.625,55.0,67.91666666666667,68.875,60.5,71.75,55.375,0.0,0.0,59.5,0.0,63.0,68.3,70.48214285714286,56.625,60.75,63.03125,58.375,64.375,69.91666666666667,64.875,53.375,68.25,0.0,60.875,58.5,61.875,61.4375,45.625,55.0,56.625,59.75,64.66666666666667,58.541666666666664,62.6875,65.83333333333333,57.625,68.83928571428571,61.25,63.3125,58.5,70.625,67.125,56.0,65.4375,67.9375,62.1875,57.6875,51.75,0.0,62.625,58.0,59.125,65.6875,60.125,53.875,67.225,56.5,67.05,60.5,64.625,0.0,0.0,49.5,71.04464285714286,63.85,62.125,63.125,60.0,66.875,56.125,64.625,62.0625,66.4375,59.5625,66.625,61.875,56.5,52.25,72.375,61.5,65.0,64.0625,62.875,66.0,62.375,69.27884615384616,69.31818181818181,58.0,70.40625,71.2,67.79166666666667,60.625,58.625,69.14285714285714,69.9326923076923,59.375,62.9375
2,2021-04-28,06:30:00,65.1875,61.25,60.333333333333336,62.03125,65.25,61.375,62.375,40.125,65.1875,61.375,59.75,62.125,51.875,55.041666666666664,65.1875,67.875,64.33333333333333,66.0625,60.125,61.75,59.458333333333336,60.8125,61.0,62.875,64.625,68.625,65.625,64.79166666666667,65.65625,61.9375,59.916666666666664,0.0,67.5,64.375,51.25,65.79166666666667,63.5,57.958333333333336,63.291666666666664,61.5,63.15625,62.708333333333336,58.583333333333336,63.8125,63.125,62.125,63.208333333333336,62.0625,64.45833333333333,66.1875,58.9375,56.0,68.375,63.791666666666664,62.875,59.625,66.9375,67.0625,62.333333333333336,62.708333333333336,65.16666666666667,60.125,66.4375,63.916666666666664,61.625,58.3125,63.458333333333336,62.625,65.08333333333333,65.125,64.04166666666667,60.791666666666664,64.125,66.95833333333333,65.5,65.5,53.75,64.45833333333333,62.791666666666664,47.041666666666664,63.791666666666664,59.3125,64.41666666666667,59.25,63.0,61.3125,64.25,65.875,63.625,60.875,61.625,64.20833333333333,61.625,63.75,60.958333333333336,55.375,54.75,62.041666666666664,57.25,64.375,64.4375,64.75,48.5,64.25,66.29166666666667,63.875,65.25,62.125,64.34375,64.125,62.25,66.0,60.3125,65.04166666666667,63.75,61.833333333333336,64.875,61.416666666666664,63.041666666666664,63.875,64.33333333333333,63.8125,61.708333333333336,58.708333333333336,65.46875,57.5625,63.333333333333336,62.4375,68.4375,53.166666666666664,60.5,67.25,61.4375,65.125,66.6875,63.708333333333336,63.833333333333336,58.541666666666664,63.708333333333336,60.625,65.125,64.875,66.0,67.3125,64.20833333333333,62.8,61.958333333333336,64.875,63.375,61.625,65.5625,63.375,60.625,58.875,65.58333333333333,65.83333333333333,67.04166666666667,64.15625,67.875,65.875,62.5,62.791666666666664,63.0625,64.0625,63.28125,65.5,62.291666666666664,62.25,64.25,62.3125,63.083333333333336,63.4375
3,2021-04-28,06:45:00,70.25,67.875,68.58333333333333,70.3125,69.3125,70.41666666666667,70.08333333333333,67.375,69.5625,71.91666666666667,67.58333333333333,65.20833333333333,65.375,63.96875,74.5,70.125,71.625,70.4375,72.25,70.78125,71.0,74.1875,70.875,75.375,74.625,73.25,73.0,69.875,73.125,70.58333333333333,70.45833333333333,72.33333333333333,72.0,72.1875,0.0,72.29166666666667,70.91666666666667,71.40625,71.125,67.0,67.9375,65.25,68.79166666666667,74.4375,73.375,72.125,72.75,71.0,69.58333333333333,70.125,63.25,62.916666666666664,67.79166666666667,68.58333333333333,67.08333333333333,69.5,67.79166666666667,70.4375,69.875,67.95833333333333,65.875,65.0,65.9375,66.75,66.25,65.625,65.125,63.875,66.25,68.9375,69.45833333333333,62.6875,69.75,69.625,67.625,67.5,66.83333333333333,69.33333333333333,68.125,64.41666666666667,69.0,67.4375,67.625,66.375,64.9375,66.625,68.8125,68.875,67.4375,66.45833333333333,65.75,67.04166666666667,64.375,66.4375,67.45833333333333,64.125,64.875,67.04166666666667,62.5,67.0,68.95833333333333,67.83333333333333,63.416666666666664,64.70833333333333,69.125,68.4375,67.83333333333333,65.83333333333333,67.25,68.54166666666667,66.125,67.75,0.0,65.25,63.25,67.29166666666667,65.3125,67.3125,67.125,67.0,65.33333333333333,66.34375,66.25,64.0625,69.3125,64.25,67.0,66.125,68.91666666666667,65.8125,67.78125,65.70833333333333,68.54166666666667,67.79166666666667,67.54166666666667,65.375,67.70833333333333,66.625,66.9375,65.45833333333333,67.375,65.9375,68.96875,67.70833333333333,67.79166666666667,66.4375,68.3125,66.0625,65.375,69.375,64.1875,69.75,66.375,68.5,68.66666666666667,69.25,69.375,68.25,70.125,68.875,67.29166666666667,68.625,69.41666666666667,67.5625,66.375,66.75,66.08333333333333,66.0625,67.8125,67.875,64.875,64.5
4,2021-04-28,07:00:00,73.95833333333333,71.625,71.75,70.875,72.0,71.95833333333333,74.66666666666667,72.375,71.54166666666667,76.375,73.79166666666667,72.29166666666667,68.875,69.0,76.75,72.95833333333333,72.33333333333333,73.125,72.625,72.1875,71.375,75.29166666666667,74.875,76.625,77.5,79.58333333333333,74.5,72.0,72.96875,72.4375,72.3125,75.6875,75.125,71.04166666666667,70.25,73.79166666666667,72.83333333333333,74.9375,75.25,74.29166666666667,77.0,73.375,73.54166666666667,77.58333333333333,75.70833333333333,76.1875,71.25,64.25,73.33333333333333,70.41666666666667,72.04166666666667,69.3125,74.3125,70.5,69.54166666666667,72.04166666666667,69.4375,72.16666666666667,69.0625,69.54166666666667,70.25,65.04166666666667,68.875,66.54166666666667,65.1875,66.34375,67.0625,68.0,69.0,68.29166666666667,68.9375,66.25,69.875,70.0,68.5,68.70833333333333,68.0,68.45833333333333,66.58333333333333,68.91666666666667,70.5625,67.75,68.54166666666667,66.625,68.91666666666667,67.95833333333333,69.28125,69.75,65.3125,67.70833333333333,68.29166666666667,66.375,67.875,65.75,68.79166666666667,66.25,65.5,67.91666666666667,67.3125,68.66666666666667,68.5,67.40625,66.58333333333333,69.8125,69.58333333333333,68.625,68.83333333333333,67.25,69.25,69.625,69.79166666666667,66.95833333333333,68.0625,66.95833333333333,67.4375,68.375,67.375,67.375,67.90625,69.04166666666667,64.75,66.5,66.375,67.3125,68.25,66.75,68.0,68.5,70.29166666666667,68.0,0.0,68.59375,68.25,67.625,69.75,69.0,68.29166666666667,67.5,69.66666666666667,67.75,68.33333333333333,66.875,70.125,69.54166666666667,68.54166666666667,68.09375,67.5,67.125,67.79166666666667,68.08333333333333,69.25,69.08333333333333,68.875,69.75,68.6875,69.70833333333333,68.875,68.5,70.5,67.875,68.91666666666667,69.4375,68.0,69.3125,67.125,72.9375,74.90625,74.0,68.45833333333333,68.29166666666667,65.54166666666667,67.1875
5,2021-04-28,07:15:00,75.25,71.5,71.58333333333333,72.15625,72.20833333333333,71.40625,74.25,72.03125,72.20833333333333,75.41666666666667,76.625,77.375,75.33333333333333,70.9375,72.83333333333333,72.41666666666667,72.70833333333333,72.0,71.375,71.04166666666667,71.75,69.75,74.53125,75.33333333333333,77.6875,79.875,71.09375,72.70833333333333,73.25,72.70833333333333,72.0,73.5625,72.75,70.75,73.54166666666667,73.5,72.1875,73.0625,72.45833333333333,73.3125,71.71875,71.58333333333333,72.5,75.1875,77.08333333333333,77.75,74.9375,76.0625,78.0,77.0,77.54166666666667,78.70833333333333,77.125,74.25,70.875,77.08333333333333,75.0,74.70833333333333,72.875,70.79166666666667,70.75,65.625,68.75,67.78125,67.375,68.0625,68.08333333333333,66.71875,70.95833333333333,68.54166666666667,69.625,68.0625,71.8125,70.875,70.20833333333333,69.59375,69.75,69.83333333333333,68.16666666666667,67.54166666666667,71.125,67.29166666666667,69.875,70.5,70.58333333333333,67.25,69.79166666666667,70.125,68.33333333333333,67.70833333333333,67.875,67.875,66.875,66.90625,68.84375,69.16666666666667,68.0,68.25,70.1875,67.5,70.0,68.1875,67.58333333333333,68.875,70.84375,68.75,69.04166666666667,67.875,69.29166666666667,69.75,70.21875,66.8125,67.95833333333333,67.1875,62.875,68.75,70.125,69.375,68.875,67.5625,67.16666666666667,67.3125,67.79166666666667,67.79166666666667,68.45833333333333,66.875,68.6875,68.54166666666667,71.0,68.125,69.59375,70.0,68.125,68.625,69.4375,68.875,68.90625,69.20833333333333,70.66666666666667,68.79166666666667,68.58333333333333,68.625,70.29166666666667,0.0,69.75,69.95833333333333,69.0625,67.45833333333333,68.79166666666667,69.3125,70.03125,70.5,66.375,70.41666666666667,71.75,70.58333333333333,69.83333333333333,69.58333333333333,72.75,69.125,68.125,69.0625,69.25,70.75,71.0,79.875,76.4375,79.25,67.875,67.91666666666667,67.20833333333333,68.375
6,2021-04-28,07:30:00,77.95833333333333,71.1875,71.91666666666667,72.75,71.53125,70.5,75.375,70.625,72.08333333333333,71.375,71.375,79.0,78.83333333333333,74.15625,72.59375,73.25,72.8125,72.41666666666667,72.20833333333333,72.33333333333333,71.66666666666667,74.125,75.125,75.9375,75.5,80.84375,80.0,77.16666666666667,73.875,73.53125,72.66666666666667,74.25,73.0,71.125,73.125,74.21875,73.45833333333333,73.41666666666667,72.0,73.375,71.79166666666667,72.75,73.1875,76.375,77.29166666666667,78.625,76.70833333333333,76.20833333333333,76.875,76.29166666666667,76.875,77.70833333333333,75.875,75.95833333333333,77.5625,79.375,77.29166666666667,75.0,73.375,72.75,70.4375,68.29166666666667,69.875,69.375,67.5,66.83333333333333,68.29166666666667,68.6875,0.0,69.0625,70.75,73.75,72.625,71.25,70.54166666666667,69.875,70.8125,72.5,70.3125,69.04166666666667,71.875,69.75,70.375,70.3125,71.75,69.625,70.5,71.3125,70.1875,70.41666666666667,69.4375,69.5625,69.1875,67.4375,69.3125,69.3125,69.625,70.25,71.0625,70.875,70.33333333333333,0.0,73.20833333333333,73.625,72.5,70.54166666666667,71.54166666666667,69.9375,70.75,71.54166666666667,72.125,69.875,69.8125,71.9375,69.5,70.125,69.95833333333333,70.08333333333333,69.58333333333333,68.375,68.5,69.33333333333333,69.20833333333333,68.21875,69.75,69.1875,69.5,67.625,72.75,69.5625,70.4375,69.5625,69.9375,70.20833333333333,69.875,70.09375,71.75,69.625,72.08333333333333,69.9375,70.0625,71.21875,72.8125,74.0,71.45833333333333,71.04166666666667,69.29166666666667,69.1875,68.54166666666667,70.5,71.75,71.79166666666667,69.625,71.70833333333333,70.20833333333333,70.9375,71.625,70.1875,73.4375,70.75,70.125,70.58333333333333,70.79166666666667,72.5,73.45833333333333,80.25,75.59375,80.125,70.125,68.625,68.83333333333333,69.28125
7,2021-04-28,07:45:00,72.8125,76.25,78.875,72.16666666666667,71.3125,71.625,74.79166666666667,71.75,71.6875,70.625,71.59375,75.1875,77.375,79.25,72.375,72.125,72.125,71.875,71.83333333333333,72.125,72.16666666666667,74.625,75.1875,74.5,76.45833333333333,76.625,79.29166666666667,80.9375,74.375,74.20833333333333,73.75,72.20833333333333,73.75,71.29166666666667,74.25,75.3125,73.59375,73.8125,73.08333333333333,74.08333333333333,72.95833333333333,72.4375,73.0,77.125,80.9375,77.5,72.71875,73.75,78.25,77.75,77.59375,77.25,81.375,78.75,80.54166666666667,81.58333333333333,78.25,76.45833333333333,76.04166666666667,74.70833333333333,72.29166666666667,68.1875,70.45833333333333,70.5,71.5,68.4375,70.8125,70.625,72.16666666666667,72.5625,71.04166666666667,73.375,73.0,73.375,72.16666666666667,71.58333333333333,70.5625,73.375,72.71875,71.54166666666667,72.9375,71.08333333333333,72.54166666666667,71.1875,72.29166666666667,70.66666666666667,71.375,72.75,70.75,71.9375,71.625,70.375,68.75,69.75,71.0,69.875,71.125,71.125,71.79166666666667,71.79166666666667,75.0,78.84375,80.95833333333333,79.20833333333333,74.66666666666667,71.75,71.9375,69.75,71.1875,73.08333333333333,73.1875,71.375,70.65625,71.75,70.25,71.5625,71.1875,69.0625,69.95833333333333,69.95833333333333,71.4375,71.0,71.125,70.625,71.58333333333333,71.375,70.75,70.25,73.8125,71.375,71.08333333333333,71.875,71.41666666666667,71.90625,72.1875,71.5,74.41666666666667,73.53125,77.6875,77.1875,72.625,77.5625,78.66666666666667,76.83333333333333,77.625,76.4375,73.90625,76.21875,76.6875,78.04166666666667,75.8125,75.875,73.08333333333333,78.875,75.45833333333333,79.6875,77.5,73.45833333333333,77.1875,74.75,77.58333333333333,74.70833333333333,75.875,74.5625,76.90625,76.09375,78.875,79.25,70.5,69.33333333333333,69.45833333333333,70.5625
8,2021-04-28,08:00:00,70.875,71.29166666666667,73.3125,72.3125,71.4375,70.25,73.33333333333333,69.5,70.84375,70.0,71.375,71.1875,71.625,75.9375,71.66666666666667,71.8125,70.33333333333333,71.875,70.875,69.91666666666667,70.54166666666667,72.5625,73.33333333333333,73.5,72.75,74.95833333333333,75.5,73.9375,73.66666666666667,72.75,72.29166666666667,72.4375,73.66666666666667,71.625,73.625,74.41666666666667,72.8125,73.125,72.41666666666667,74.375,71.5,70.75,73.0,75.79166666666667,73.1875,73.5,73.1875,73.16666666666667,75.04166666666667,74.25,74.25,76.45833333333333,73.83333333333333,73.20833333333333,77.75,78.25,76.625,77.5,77.875,77.1875,74.25,74.125,72.95833333333333,72.25,72.75,72.0,72.79166666666667,72.04166666666667,74.25,73.5,73.29166666666667,75.25,75.08333333333333,74.9375,74.25,73.75,73.25,74.4375,75.375,73.91666666666667,75.125,75.5625,74.95833333333333,74.20833333333333,75.33333333333333,73.3125,73.70833333333333,74.25,72.625,73.41666666666667,72.625,72.5,71.45833333333333,71.16666666666667,72.0625,72.04166666666667,72.25,72.75,73.04166666666667,72.75,76.41666666666667,74.25,75.8125,76.375,76.1875,76.125,72.8125,71.25,73.0,74.4375,74.1875,72.375,72.6875,75.25,72.08333333333333,72.75,72.375,72.08333333333333,72.75,73.1875,72.5,72.375,71.375,71.5,73.125,71.375,72.25,71.9375,74.9375,74.125,73.625,74.875,74.95833333333333,74.6875,76.70833333333333,75.58333333333333,76.875,0.0,75.875,73.0,72.29166666666667,72.71875,73.45833333333333,73.66666666666667,72.4375,73.25,72.54166666666667,71.41666666666667,72.375,72.54166666666667,73.5,74.25,73.0625,74.375,73.25,73.83333333333333,74.125,73.375,74.34375,73.8125,71.9375,72.90625,72.33333333333333,76.03125,72.375,70.3125,71.95833333333333,72.0,73.125,71.33333333333333,71.71875,72.5
9,2021-04-28,08:15:00,76.25,70.04166666666667,70.125,71.08333333333333,71.125,70.875,72.78125,71.29166666666667,71.6875,69.875,72.0625,70.1875,71.625,80.5625,71.79166666666667,71.125,71.41666666666667,72.25,71.125,70.8125,71.875,73.875,74.75,72.6875,75.25,76.3125,77.79166666666667,77.03125,73.83333333333333,73.70833333333333,72.75,72.5,73.625,71.6875,74.16666666666667,74.84375,73.58333333333333,73.625,72.3125,73.75,71.79166666666667,71.875,72.375,71.875,72.5,74.0,73.0625,73.46875,73.0,77.375,79.125,75.8125,74.16666666666667,73.58333333333333,77.66666666666667,76.75,80.54166666666667,80.66666666666667,79.70833333333333,79.33333333333333,76.5,74.29166666666667,72.70833333333333,71.5625,72.95833333333333,72.5,72.45833333333333,72.75,73.04166666666667,73.20833333333333,72.41666666666667,75.5,74.8125,74.66666666666667,73.83333333333333,73.75,73.875,74.79166666666667,76.70833333333333,78.875,80.33333333333333,76.875,77.875,80.3125,76.0625,73.25,77.20833333333333,76.04166666666667,75.4375,76.3125,74.91666666666667,74.125,74.08333333333333,72.875,72.95833333333333,71.8125,71.4375,72.83333333333333,73.375,77.83333333333333,77.04166666666667,77.375,77.04166666666667,73.95833333333333,75.08333333333333,73.5,72.4375,71.95833333333333,73.16666666666667,73.875,73.6875,72.625,72.75,74.70833333333333,72.04166666666667,72.4375,71.125,73.45833333333333,72.4375,71.41666666666667,71.8125,75.5,77.625,77.25,77.78125,75.65625,79.41666666666667,74.5,76.625,73.45833333333333,73.75,73.875,74.0,73.29166666666667,74.625,73.0,74.25,73.625,74.9375,73.0625,72.625,72.5,73.9375,73.625,73.0,72.83333333333333,72.125,72.75,72.20833333333333,72.375,72.84375,74.375,72.375,73.91666666666667,73.33333333333333,74.6875,74.375,72.59375,74.8125,71.83333333333333,72.375,71.6875,71.58333333333333,75.79166666666667,72.25,71.58333333333333,71.8125,71.875,73.46875,78.125,77.8125,77.375
