,Data,Hora,OP4.1.1 V (V),OP4.1.2 V (V),OP4.1.3 V (V),OP4.1.4 V (V),OP4.1.5 V (V),OP4.1.6 V (V),OP4.1.7 V (V),OP4.1.8 V (V),OP4.1.9 V (V),OP4.1.10 V (V),OP4.1.11 V (V),OP4.1.12 V (V),OP4.1.13 V (V),OP4.1.14 V (V),OP4.1.15 V (V),OP4.1.16 V (V),OP4.1.17 V (V),OP4.1.18 V (V),OP4.1.19 V (V),OP4.1.20 V (V),OP4.1.21 V (V),OP4.1.22 V (V),OP4.2.1 V (V),OP4.2.2 V (V),OP4.2.3 V (V),OP4.2.4 V (V),OP4.2.5 V (V),OP4.2.6 V (V),OP4.2.7 V (V),OP4.2.8 V (V),OP4.2.9 V (V),OP4.2.10 V (V),OP4.2.11 V (V),OP4.2.12 V (V),OP4.2.13 V (V),OP4.2.14 V (V),OP4.2.15 V (V),OP4.2.16 V (V),OP4.2.17 V (V),OP4.2.18 V (V),OP4.2.19 V (V),OP4.2.20 V (V),OP4.2.21 V (V),OP4.2.22 V (V),OP4.3.1 V (V),OP4.3.2 V (V),OP4.3.3 V (V),OP4.3.4 V (V),OP4.3.5 V (V),OP4.3.6 V (V),OP4.3.7 V (V),OP4.3.8 V (V),OP4.3.9 V (V),OP4.3.10 V (V),OP4.3.11 V (V),OP4.3.12 V (V),OP4.3.13 V (V),OP4.3.15 V (V),OP4.3.16 V (V),OP4.3.17 V (V),OP4.3.18 V (V),OP4.3.20 V (V),OP4.3.21 V (V),OP4.3.22 V (V),OP4.4.1 V (V),OP4.4.2 V (V),OP4.4.3 V (V),OP4.4.4 V (V),OP4.4.5 V (V),OP4.4.6 V (V),OP4.4.7 V (V),OP4.4.8 V (V),OP4.4.9 V (V),OP4.4.10 V (V),OP4.4.11 V (V),OP4.4.12 V (V),OP4.4.13 V (V),OP4.4.14 V (V),OP4.4.15 V (V),OP4.4.16 V (V),OP4.4.17 V (V),OP4.4.18 V (V),OP4.4.19 V (V),OP4.4.20 V (V),OP4.5.1 V (V),OP4.5.2 V (V),OP4.5.3 V (V),OP4.5.4 V (V),OP4.5.5 V (V),OP4.5.6 V (V),OP4.5.7 V (V),OP4.5.8 V (V),OP4.5.9 V (V),OP4.5.10 V (V),OP4.5.11 V (V),OP4.5.12 V (V),OP4.5.13 V (V),OP4.5.14 V (V),OP4.5.15 V (V),OP4.5.16 V (V),OP4.5.17 V (V),OP4.5.18 V (V),OP4.5.19 V (V),OP4.5.20 V (V),OP4.5.21 V (V),OP4.6.1 V (V),OP4.6.2 V (V),OP4.6.3 V (V),OP4.6.4 V (V),OP4.6.5 V (V),OP4.6.6 V (V),OP4.6.7 V (V),OP4.6.8 V (V),OP4.6.9 V (V),OP4.6.10 V (V),OP4.6.11 V (V),OP4.6.12 V (V),OP4.6.13 V (V),OP4.6.14 V (V),OP4.6.15 V (V),OP4.6.16 V (V),OP4.6.17 V (V),OP4.6.18 V (V),OP4.6.19 V (V),OP4.6.20 V (V),OP4.6.21 V (V),OP4.6.22 V (V),OP4.7.1 V (V),OP4.7.2 V (V),OP4.7.3 V (V),OP4.7.4 V (V),OP4.7.5 V (V),OP4.7.6 V (V),OP4.7.7 V (V),OP4.7.8 V (V),OP4.7.9 V (V),OP4.7.10 V (V),OP4.7.11 V (V),OP4.7.12 V (V),OP4.7.13 V (V),OP4.7.14 V (V),OP4.7.15 V (V),OP4.7.16 V (V),OP4.7.17 V (V),OP4.7.18 V (V),OP4.7.19 V (V),OP4.7.20 V (V),OP4.7.21 V (V),OP4.7.22 V (V),OP4.8.1 V (V),OP4.8.2 V (V),OP4.8.3 V (V),OP4.8.4 V (V),OP4.8.5 V (V),OP4.8.6 V (V),OP4.8.7 V (V),OP4.8.8 V (V),OP4.8.9 V (V),OP4.8.10 V (V),OP4.8.11 V (V),OP4.8.12 V (V),OP4.8.13 V (V),OP4.8.14 V (V),OP4.8.15 V (V),OP4.8.16 V (V),OP4.8.17 V (V),OP4.8.18 V (V),OP4.8.19 V (V),OP4.8.20 V (V),OP4.8.21 V (V),OP4.8.22 V (V),OP4.9.1 V (V),OP4.9.2 V (V),OP4.9.3 V (V),OP4.9.4 V (V),OP4.9.5 V (V),OP4.9.6 V (V),OP4.9.7 V (V),OP4.9.8 V (V),OP4.9.9 V (V),OP4.9.10 V (V),OP4.9.11 V (V),OP4.9.12 V (V),OP4.9.13 V (V),OP4.9.14 V (V),OP4.9.15 V (V),OP4.9.16 V (V),OP4.9.17 V (V),OP4.9.18 V (V),OP4.9.19 V (V),OP4.9.20 V (V),OP4.9.21 V (V)
0,2021-03-04,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-03-04,06:15:00,40.541666666666664,39.666666666666664,38.25,32.958333333333336,41.125,38.4375,35.0,34.666666666666664,28.0,29.041666666666668,30.458333333333332,30.5,29.25,29.78125,28.875,37.791666666666664,40.666666666666664,39.9375,46.666666666666664,45.291666666666664,48.0625,48.916666666666664,22.333333333333332,26.708333333333332,33.791666666666664,35.8125,37.958333333333336,36.708333333333336,37.75,39.666666666666664,37.875,37.625,39.75,40.0,42.0,32.75,39.125,38.916666666666664,36.25,38.125,40.416666666666664,36.041666666666664,38.458333333333336,40.25,45.25,44.916666666666664,42.625,42.708333333333336,41.375,43.75,41.125,36.6875,35.416666666666664,32.6875,38.166666666666664,32.625,38.625,36.125,32.25,35.3125,31.708333333333332,22.416666666666668,33.375,34.333333333333336,29.625,29.4375,35.0,31.875,40.0625,37.5,36.583333333333336,41.5,44.8125,44.416666666666664,43.6875,44.375,44.0,48.25,46.583333333333336,46.875,46.4375,46.416666666666664,35.875,45.875,30.625,36.833333333333336,39.4375,37.958333333333336,38.5,41.4375,38.75,0.0,40.708333333333336,38.5625,38.25,40.1875,38.3125,37.1875,38.666666666666664,34.75,35.5,34.5,39.625,29.78125,36.5,35.583333333333336,39.25,33.5625,19.958333333333332,35.0,35.708333333333336,35.333333333333336,35.5,35.958333333333336,37.125,37.0,36.5,39.5,37.1875,35.5,38.541666666666664,41.0625,35.125,38.791666666666664,38.666666666666664,39.6875,38.458333333333336,33.333333333333336,32.291666666666664,35.125,36.0,35.708333333333336,37.375,34.875,35.125,32.5,37.583333333333336,37.458333333333336,34.375,38.75,36.375,40.208333333333336,39.5625,30.3125,40.041666666666664,37.625,40.5,39.75,38.916666666666664,35.666666666666664,37.875,37.583333333333336,38.416666666666664,35.166666666666664,38.5,37.541666666666664,37.958333333333336,36.291666666666664,39.166666666666664,35.53125,36.0,36.916666666666664,36.916666666666664,38.875,35.25,34.041666666666664,38.875,37.90625,36.5,35.583333333333336,38.25,44.75,49.791666666666664,50.25,50.375,46.25,50.875,0.0,39.583333333333336,36.083333333333336,34.75,23.4375,22.958333333333332,23.666666666666668,27.875,29.625,25.0,32.25,36.791666666666664,38.041666666666664,38.75,38.833333333333336
2,2021-03-04,06:30:00,39.041666666666664,37.1875,40.5,34.5625,39.625,39.791666666666664,37.0,33.208333333333336,32.875,33.333333333333336,29.875,30.0,28.5,27.3125,20.291666666666668,33.166666666666664,34.625,33.625,43.25,44.916666666666664,55.6875,72.54166666666667,29.3125,32.958333333333336,34.666666666666664,36.0,37.583333333333336,38.5625,38.291666666666664,37.625,37.875,36.625,38.875,38.75,38.0625,37.0,38.75,38.041666666666664,37.25,37.708333333333336,37.1875,37.291666666666664,36.416666666666664,37.875,43.625,42.8125,39.916666666666664,42.0,37.375,40.5,39.166666666666664,38.625,35.458333333333336,34.333333333333336,37.875,34.5,36.6875,36.5,35.34375,37.0,36.0625,23.4375,36.75,35.041666666666664,33.291666666666664,32.65625,38.666666666666664,33.15625,38.625,40.5,35.0625,39.083333333333336,42.708333333333336,42.1875,41.1875,42.34375,42.666666666666664,44.25,44.125,44.333333333333336,44.1875,43.75,44.208333333333336,43.708333333333336,37.0,34.625,37.6875,37.416666666666664,37.65625,39.1875,38.5625,39.458333333333336,38.71875,37.875,38.25,37.708333333333336,37.25,36.25,38.0,39.25,37.458333333333336,36.208333333333336,37.833333333333336,32.75,36.583333333333336,38.4375,37.666666666666664,36.791666666666664,23.25,37.0625,36.916666666666664,37.5,36.625,38.083333333333336,38.125,36.75,37.0,37.541666666666664,36.666666666666664,37.083333333333336,37.0625,38.416666666666664,36.625,37.416666666666664,37.416666666666664,38.333333333333336,38.583333333333336,34.791666666666664,35.0625,35.458333333333336,34.21875,34.791666666666664,36.3125,36.125,35.4375,36.0,37.1875,37.875,37.5,38.333333333333336,38.5,39.125,39.40625,37.958333333333336,38.9375,37.666666666666664,39.625,39.333333333333336,38.416666666666664,36.75,37.6875,37.458333333333336,37.541666666666664,37.625,37.1875,36.458333333333336,37.041666666666664,37.375,36.9375,36.625,37.666666666666664,37.166666666666664,37.833333333333336,37.041666666666664,36.25,37.125,38.125,37.625,37.291666666666664,36.0,36.416666666666664,39.791666666666664,45.041666666666664,45.625,45.833333333333336,43.958333333333336,45.3125,45.21875,39.875,37.458333333333336,38.25,26.208333333333332,25.3125,26.916666666666668,31.1875,33.791666666666664,29.458333333333332,33.125,37.0,36.958333333333336,38.25,37.833333333333336
3,2021-03-04,06:45:00,42.75,41.8125,41.583333333333336,38.791666666666664,45.625,42.5,36.333333333333336,28.958333333333332,24.708333333333332,23.458333333333332,21.875,21.458333333333332,22.125,20.9375,19.791666666666668,27.625,27.291666666666668,31.0625,34.875,52.083333333333336,85.0,85.0,38.541666666666664,35.791666666666664,35.625,36.0,37.208333333333336,37.5625,37.875,37.458333333333336,38.291666666666664,38.0625,38.5,39.083333333333336,37.541666666666664,38.375,38.25,36.375,35.5625,36.75,35.208333333333336,34.875,35.541666666666664,35.875,44.875,43.666666666666664,0.0,40.9375,41.791666666666664,41.375,40.0,39.125,36.916666666666664,31.0,36.75,33.708333333333336,36.0,35.625,35.5625,34.958333333333336,34.958333333333336,24.583333333333332,34.5,35.0625,37.625,36.25,38.875,37.9375,39.833333333333336,39.458333333333336,35.208333333333336,40.4375,40.9375,41.791666666666664,38.791666666666664,39.708333333333336,41.291666666666664,42.34375,43.583333333333336,43.125,43.75,43.5625,43.75,43.0,35.4375,36.1875,36.9375,36.0625,36.75,37.1875,37.09375,37.875,37.6875,37.541666666666664,37.25,37.791666666666664,37.25,37.333333333333336,37.75,37.375,36.625,36.5625,36.625,36.1875,36.25,38.3125,38.041666666666664,37.125,36.9375,37.5625,37.416666666666664,37.416666666666664,36.541666666666664,37.791666666666664,36.625,36.75,36.0625,36.625,36.4375,35.958333333333336,36.4375,36.041666666666664,36.75,35.8125,36.208333333333336,36.666666666666664,37.65625,34.416666666666664,34.708333333333336,34.791666666666664,35.416666666666664,35.416666666666664,35.96875,36.0,36.09375,36.75,36.0,36.916666666666664,37.75,37.6875,38.125,37.5,38.3125,37.666666666666664,38.5625,38.541666666666664,38.875,38.708333333333336,38.25,36.375,36.625,36.791666666666664,36.875,36.833333333333336,36.75,37.125,36.8125,36.791666666666664,37.375,37.0,37.625,37.3125,37.25,37.125,36.583333333333336,36.9375,37.1875,37.125,37.1875,36.583333333333336,36.9375,41.25,45.375,46.125,45.916666666666664,44.5,45.166666666666664,45.875,37.375,37.25,36.833333333333336,28.3125,26.125,27.958333333333332,31.375,31.75,29.583333333333332,31.916666666666668,35.583333333333336,35.791666666666664,37.5625,36.0
4,2021-03-04,07:00:00,42.375,42.458333333333336,40.0,36.708333333333336,43.375,42.916666666666664,35.375,39.041666666666664,22.291666666666668,20.0625,16.875,16.5,15.416666666666666,15.125,13.75,19.083333333333332,21.041666666666668,30.625,79.375,78.125,78.91666666666667,79.65625,12.125,23.083333333333332,28.708333333333332,35.875,63.875,33.75,41.208333333333336,49.0625,55.416666666666664,57.625,41.083333333333336,33.291666666666664,36.625,28.875,41.625,40.5,30.958333333333332,31.0,24.09375,26.0,25.458333333333332,23.166666666666668,46.375,47.25,45.4375,43.75,42.666666666666664,42.5,39.875,40.375,37.1875,33.625,37.083333333333336,32.0,35.25,34.083333333333336,32.8125,33.75,33.25,23.5625,33.75,32.708333333333336,37.208333333333336,35.916666666666664,38.75,36.791666666666664,40.0,39.9375,36.125,40.25,40.875,41.75,39.375,40.25,41.75,41.75,43.5,44.0,43.0625,43.666666666666664,44.34375,43.875,34.125,35.8125,36.708333333333336,37.0,35.75,37.75,37.625,37.5,37.9375,37.166666666666664,37.541666666666664,37.25,37.0625,37.541666666666664,37.708333333333336,37.541666666666664,36.25,36.875,37.416666666666664,35.5,36.0,40.041666666666664,38.25,38.291666666666664,37.375,37.916666666666664,37.708333333333336,37.5,37.083333333333336,37.791666666666664,37.1875,36.3125,35.1875,36.625,36.416666666666664,35.375,36.1875,35.833333333333336,36.0,35.5,36.041666666666664,36.9375,37.3125,34.208333333333336,34.875,35.125,35.208333333333336,35.416666666666664,35.6875,35.875,35.416666666666664,37.083333333333336,36.708333333333336,37.208333333333336,37.5,37.375,37.625,37.6875,38.375,38.25,37.541666666666664,39.0,38.875,38.75,38.625,36.208333333333336,36.583333333333336,36.625,36.5,36.583333333333336,37.125,37.0,36.791666666666664,36.625,37.291666666666664,36.6875,37.625,37.34375,37.0,37.041666666666664,36.333333333333336,37.1875,37.0,37.0,36.8125,37.0,36.791666666666664,41.625,46.375,46.625,46.75,46.0625,46.0625,46.0,37.75,36.75,36.5,27.875,25.708333333333332,27.6875,30.125,32.0,29.0,31.9375,35.916666666666664,35.75,37.1875,36.083333333333336
5,2021-03-04,07:15:00,41.4375,42.208333333333336,40.5,37.208333333333336,44.0,42.0625,35.25,40.208333333333336,35.0,27.958333333333332,14.833333333333334,13.583333333333334,11.458333333333334,10.9375,10.666666666666666,16.0,25.25,33.208333333333336,72.53125,69.8125,73.1875,68.375,9.541666666666666,10.375,13.291666666666666,51.0,51.875,50.916666666666664,52.291666666666664,50.916666666666664,52.375,52.333333333333336,50.291666666666664,50.875,51.25,51.0,51.0,50.916666666666664,48.59375,13.583333333333334,12.5,11.916666666666666,11.041666666666666,10.75,56.083333333333336,67.79166666666667,56.3125,55.083333333333336,49.375,43.75,49.041666666666664,48.75,56.416666666666664,45.40625,26.916666666666668,20.5,22.166666666666668,20.375,17.833333333333332,18.625,20.708333333333332,12.5625,19.875,25.5,37.0,35.541666666666664,39.0625,36.333333333333336,40.0625,39.5,35.666666666666664,39.916666666666664,40.6875,41.583333333333336,39.458333333333336,40.625,41.208333333333336,41.1875,43.25,43.625,42.375,43.083333333333336,44.25,43.375,35.3125,36.041666666666664,35.708333333333336,36.84375,35.875,37.8125,36.875,37.333333333333336,37.5625,37.25,37.083333333333336,37.59375,36.46875,37.708333333333336,37.875,37.166666666666664,36.6875,36.03125,37.375,37.0625,35.78125,39.625,36.6875,35.125,36.208333333333336,37.6875,38.9375,39.166666666666664,40.3125,46.0625,40.75,35.25,34.625,34.9375,34.25,32.6875,35.625,34.1875,34.125,34.125,34.916666666666664,35.208333333333336,35.958333333333336,34.25,34.75,34.75,34.6875,35.3125,35.75,35.75,35.0,36.666666666666664,36.4375,36.791666666666664,37.25,37.25,38.0,37.75,38.083333333333336,0.0,37.083333333333336,38.5,38.541666666666664,38.5,38.5625,36.416666666666664,36.458333333333336,36.375,36.875,36.625,36.75,36.9375,36.25,36.041666666666664,37.375,37.0,37.791666666666664,37.3125,36.5,36.75,35.375,37.125,36.71875,36.666666666666664,36.9375,36.666666666666664,36.458333333333336,41.416666666666664,46.625,46.3125,46.875,46.0625,46.125,46.375,36.75,35.75,35.9375,27.875,24.958333333333332,27.25,29.791666666666668,31.875,28.458333333333332,31.6875,35.583333333333336,35.5,37.208333333333336,35.6875
6,2021-03-04,07:30:00,39.375,39.833333333333336,39.416666666666664,35.958333333333336,40.75,40.0625,35.625,37.875,40.666666666666664,28.666666666666668,12.583333333333334,10.708333333333334,9.9375,9.6875,8.833333333333334,18.583333333333332,59.916666666666664,59.9375,61.25,60.25,60.416666666666664,60.875,7.5625,9.416666666666666,24.9375,48.625,47.75,48.041666666666664,49.5625,50.75,49.21875,49.166666666666664,49.5,48.541666666666664,48.083333333333336,48.5,47.375,48.958333333333336,46.875,45.708333333333336,11.791666666666666,10.875,9.958333333333334,9.5,37.333333333333336,63.0,85.0,0.0,68.8125,62.416666666666664,64.6875,67.875,81.25,78.4375,27.25,13.1875,12.75,11.5625,11.666666666666666,12.4375,12.25,7.875,12.3125,12.0,36.0625,34.9375,38.625,37.4375,39.8125,39.75,35.65625,40.208333333333336,40.875,41.625,39.375,40.458333333333336,40.666666666666664,41.65625,44.083333333333336,44.166666666666664,43.75,43.6875,44.5,43.5,35.25,36.166666666666664,36.5,37.4375,36.166666666666664,37.3125,37.5625,37.541666666666664,38.125,37.625,37.5625,37.625,37.125,38.1875,38.041666666666664,37.0,36.5,36.0,37.25,36.333333333333336,35.25,33.21875,32.25,31.0,30.5625,32.9375,57.25,81.41666666666667,64.6875,58.125,38.5625,30.875,29.666666666666668,29.625,30.125,28.5,30.083333333333332,30.583333333333332,30.25,30.0,29.541666666666668,30.25,31.5,33.625,34.541666666666664,34.75,34.958333333333336,35.333333333333336,35.625,36.25,35.375,37.0,36.833333333333336,37.125,37.25,36.9375,38.125,37.625,38.083333333333336,37.916666666666664,0.0,38.9375,39.291666666666664,39.333333333333336,38.0,35.583333333333336,36.125,36.458333333333336,36.125,33.8125,38.083333333333336,38.458333333333336,38.8125,37.875,38.708333333333336,35.958333333333336,37.791666666666664,36.5,34.375,36.416666666666664,35.0625,36.166666666666664,35.875,36.083333333333336,36.25,36.333333333333336,35.375,43.833333333333336,47.125,48.3125,47.875,46.833333333333336,47.8125,47.75,37.166666666666664,36.333333333333336,35.9375,25.541666666666668,24.041666666666668,25.875,29.083333333333332,31.291666666666668,27.125,30.833333333333332,35.083333333333336,35.1875,37.125,35.46875
7,2021-03-04,07:45:00,38.25,38.583333333333336,38.958333333333336,34.833333333333336,39.0,39.59375,36.083333333333336,37.791666666666664,39.041666666666664,36.25,31.125,10.5,9.25,7.84375,7.166666666666667,52.75,54.166666666666664,54.5,55.5,55.208333333333336,53.625,53.5625,6.625,7.875,10.125,21.6875,44.6875,49.125,50.4375,48.25,49.375,48.666666666666664,49.4375,48.75,49.833333333333336,48.458333333333336,49.25,48.375,49.375,50.166666666666664,46.083333333333336,10.75,9.4375,8.625,75.16666666666667,84.25,84.5,85.0,69.91666666666667,62.4375,68.875,55.708333333333336,33.0625,74.08333333333333,15.625,12.75,13.4375,12.083333333333334,12.25,12.25,11.208333333333334,8.583333333333334,10.75,10.5625,36.09375,34.4375,38.9375,36.3125,39.53125,39.5,34.25,39.75,40.375,41.25,38.791666666666664,40.25,41.3125,40.625,43.875,43.9375,42.9375,43.708333333333336,44.916666666666664,44.208333333333336,34.666666666666664,35.791666666666664,36.041666666666664,36.916666666666664,36.333333333333336,37.84375,37.3125,37.416666666666664,37.916666666666664,37.65625,38.0,38.125,37.125,37.333333333333336,37.75,36.958333333333336,35.9375,35.125,37.0,36.833333333333336,35.125,30.291666666666668,30.0625,29.208333333333332,0.0,33.625,84.66666666666667,85.0,79.04166666666667,36.125,33.5625,30.25,27.0,27.791666666666668,27.78125,26.791666666666668,28.041666666666668,29.416666666666668,28.75,28.25,28.166666666666668,29.3125,29.333333333333332,33.541666666666664,33.75,33.666666666666664,34.0,34.6875,34.75,35.0625,34.625,36.0625,36.458333333333336,36.625,36.875,35.875,38.25,37.708333333333336,38.208333333333336,38.333333333333336,37.875,41.291666666666664,39.375,42.875,41.541666666666664,17.125,22.75,43.166666666666664,50.708333333333336,52.125,69.0625,70.8125,74.70833333333333,76.29166666666667,84.0,78.3125,26.25,23.125,19.0625,18.25,24.8125,19.458333333333332,17.916666666666668,20.875,18.21875,17.416666666666668,17.833333333333332,43.375,47.583333333333336,47.25,49.0,48.166666666666664,49.708333333333336,48.208333333333336,36.166666666666664,35.166666666666664,35.666666666666664,26.5,24.0,25.708333333333332,28.791666666666668,30.4375,27.375,30.583333333333332,34.5,34.6875,35.791666666666664,34.75
8,2021-03-04,08:00:00,36.875,36.666666666666664,37.125,33.833333333333336,37.8125,37.375,35.625,36.875,37.583333333333336,36.125,38.125,38.3125,10.833333333333334,9.333333333333334,8.041666666666666,49.875,49.125,49.333333333333336,50.3125,49.375,48.208333333333336,49.9375,6.375,6.416666666666667,7.375,9.4375,38.5,47.333333333333336,47.5625,47.625,49.75,49.041666666666664,48.375,48.125,47.25,48.375,47.125,49.75,47.25,49.333333333333336,43.875,19.541666666666668,25.3125,26.875,80.66666666666667,77.5,82.375,80.0625,63.65625,63.458333333333336,63.166666666666664,21.666666666666668,81.3125,52.375,17.375,13.625,13.875,12.625,14.458333333333334,12.291666666666666,13.75,8.833333333333334,12.5625,11.583333333333334,34.666666666666664,34.28125,38.041666666666664,37.0625,39.625,39.25,34.333333333333336,40.0625,41.458333333333336,41.5,38.9375,40.375,41.375,41.791666666666664,44.0625,44.4375,44.0,45.0,45.5625,44.625,34.6875,35.291666666666664,36.916666666666664,38.4375,37.6875,38.3125,39.125,40.25,41.9375,42.333333333333336,40.583333333333336,38.333333333333336,36.5625,35.625,36.15625,36.125,33.25,34.75,35.625,35.166666666666664,33.75,30.0,29.583333333333332,0.0,32.0625,41.9375,85.0,81.0625,39.0,33.791666666666664,33.875,27.916666666666668,28.166666666666668,28.75,29.541666666666668,28.708333333333332,31.583333333333332,31.5,32.666666666666664,33.5,33.583333333333336,35.625,35.5,20.791666666666668,20.375,20.541666666666668,14.0625,19.375,18.166666666666668,18.166666666666668,15.5625,18.9375,20.083333333333332,25.5,23.833333333333332,18.3125,39.166666666666664,43.583333333333336,53.1875,44.708333333333336,60.666666666666664,70.0,84.375,67.33333333333333,81.5,31.291666666666668,32.5,37.3125,40.1875,37.125,37.333333333333336,40.708333333333336,37.958333333333336,37.208333333333336,39.416666666666664,38.083333333333336,39.59375,40.166666666666664,37.0,38.0,39.416666666666664,36.84375,38.25,37.25,37.125,27.125,37.125,57.208333333333336,69.79166666666667,59.75,69.79166666666667,69.3125,83.6875,84.5,17.75,23.375,26.708333333333332,23.166666666666668,16.958333333333332,17.666666666666668,16.375,18.75,14.375,18.583333333333332,16.0,24.6875,26.041666666666668,23.5
9,2021-03-04,08:15:00,36.5,36.416666666666664,37.291666666666664,33.916666666666664,37.291666666666664,37.166666666666664,36.25,36.708333333333336,38.125,36.208333333333336,38.09375,37.708333333333336,16.25,13.625,12.416666666666666,48.125,46.541666666666664,46.416666666666664,47.1875,46.708333333333336,46.791666666666664,46.5,6.375,5.75,7.541666666666667,10.333333333333334,39.3125,41.5625,42.875,42.083333333333336,43.208333333333336,43.291666666666664,43.25,42.916666666666664,43.0625,42.75,42.291666666666664,43.625,43.375,43.666666666666664,42.583333333333336,43.625,42.4375,43.375,72.375,69.375,69.45833333333333,71.375,57.875,56.208333333333336,37.4375,60.083333333333336,0.0,58.666666666666664,32.1875,18.0,19.21875,15.25,16.875,12.6875,16.083333333333332,10.125,14.6875,13.75,31.458333333333332,32.208333333333336,35.041666666666664,34.4375,38.291666666666664,38.208333333333336,33.916666666666664,39.0625,39.625,41.75,37.666666666666664,40.166666666666664,41.375,43.5,44.333333333333336,45.791666666666664,46.0,47.625,47.75,45.9375,22.125,21.0625,26.791666666666668,27.0,31.78125,49.541666666666664,61.916666666666664,69.41666666666667,65.5,79.9375,72.0625,68.625,33.6875,27.083333333333332,24.4375,27.083333333333332,21.708333333333332,23.78125,19.9375,0.0,19.708333333333332,28.875,29.5,33.916666666666664,0.0,85.0,85.0,39.583333333333336,31.166666666666668,27.0,26.125,25.208333333333332,24.375,26.291666666666668,27.5,27.125,29.125,30.0,31.833333333333332,33.25,35.5,41.3125,64.33333333333333,11.0,13.8125,15.625,19.5625,17.375,14.25,23.9375,31.5,31.9375,37.083333333333336,47.291666666666664,47.916666666666664,53.375,49.166666666666664,53.75,0.0,52.375,48.083333333333336,46.916666666666664,55.3125,50.75,43.083333333333336,36.916666666666664,36.958333333333336,36.791666666666664,37.291666666666664,36.875,36.833333333333336,37.458333333333336,36.90625,36.5,37.333333333333336,37.0,37.625,37.25,36.458333333333336,37.083333333333336,36.3125,37.375,37.333333333333336,37.25,36.625,36.166666666666664,37.3125,77.29166666666667,80.33333333333333,81.79166666666667,80.83333333333333,83.41666666666667,84.625,84.04166666666667,21.6875,20.6875,18.40625,12.5,10.791666666666666,11.5,13.375,14.625,12.1875,14.5625,18.5,18.958333333333332,23.6875,17.125
