,Data,Hora,OP1.1.1 I (A),OP1.1.2 I (A),OP1.1.3 I (A),OP1.1.4 I (A),OP1.1.5 I (A),OP1.1.6 I (A),OP1.1.7 I (A),OP1.1.8 I (A),OP1.1.9 I (A),OP1.1.10 I (A),OP1.1.11 I (A),OP1.1.12 I (A),OP1.1.13 I (A),OP1.1.14 I (A),OP1.1.15 I (A),OP1.1.16 I (A),OP1.2.1 I (A),OP1.2.2 I (A),OP1.2.3 I (A),OP1.2.4 I (A),OP1.2.5 I (A),OP1.2.6 I (A),OP1.2.7 I (A),OP1.2.8 I (A),OP1.2.9 I (A),OP1.2.10 I (A),OP1.2.11 I (A),OP1.2.12 I (A),OP1.2.13 I (A),OP1.2.14 I (A),OP1.2.15 I (A),OP1.2.16 I (A),OP1.3.1 I (A),OP1.3.2 I (A),OP1.3.4 I (A),OP1.3.5 I (A),OP1.3.6 I (A),OP1.3.7 I (A),OP1.3.8 I (A),OP1.3.9 I (A),OP1.3.10 I (A),OP1.3.11 I (A),OP1.3.12 I (A),OP1.3.13 I (A),OP1.3.14 I (A),OP1.3.15 I (A),OP1.3.16 I (A)
0,2021-04-06,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-06,06:15:00,0.0,0.0,0.0,0.0,0.0,0.0026857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010950000000000001,0.0,0.00126,0.0,0.0044714285714285715,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007607142857142857,0.0,0.0,0.0,0.0,0.0
2,2021-04-06,06:30:00,0.0646,0.10625000000000001,0.0219,0.1271,0.056266666666666666,0.03125714285714286,0.12293333333333334,0.0312,0.14376666666666668,0.11565,0.0813,0.1646,0.13125,0.056299999999999996,0.02815,0.0625,0.0938,0.1094,0.075,0.01771666666666667,0.04583333333333334,0.025,0.01626,0.0,0.020850000000000004,0.13854999999999998,0.075,0.10005,0.09065000000000001,0.07815,0.0219,0.1063,0.0,0.09793333333333333,0.0969,0.05,0.17504999999999998,0.021900000000000003,0.0969,0.0,0.07815,0.01875,0.1708333333333333,0.035399999999999994,0.10314999999999999,0.1396,0.0438
3,2021-04-06,06:45:00,0.1875,0.242175,0.13333333333333333,0.26880000000000004,0.2125,0.35836666666666667,0.38336666666666663,0.36043333333333333,0.2562,0.2583,0.21565,0.3021,0.2594,0.1542,0.157825,0.1625,0.2125,0.2188,0.14793333333333333,0.12190000000000001,0.1875,0.1469,0.1708333333333333,0.05000000000000001,0.16876666666666665,0.2828,0.17500000000000002,0.21043333333333333,0.17293333333333336,0.1396,0.08753333333333334,0.20003333333333337,0.10210000000000001,0.21463333333333334,0.30625,0.2875,0.325,0.3312333333333333,0.4063,0.2479,0.175025,0.15416666666666667,0.26565,0.13333333333333333,0.187525,0.1969,0.1292
4,2021-04-06,07:00:00,0.6922250000000001,0.73755,0.6828500000000001,0.9167,0.66875,0.8000000000000002,0.7094,0.71565,0.4437333333333333,0.45315,0.3917,0.5187666666666667,0.5187999999999999,0.3875,0.3375333333333333,0.34793333333333337,0.41407499999999997,0.5063,0.33126666666666665,0.2917,0.35314999999999996,0.3000333333333334,0.33959999999999996,0.2375333333333333,0.35002500000000003,0.3594,0.23546666666666663,0.4125,0.3,0.2167,0.125,0.2708333333333333,0.60005,0.7063,0.925,0.6219,0.7781,0.7541666666666668,0.8417,0.5958666666666667,0.25625,0.2188,0.7479333333333334,0.21875,0.2125,0.23753333333333335,0.200025
5,2021-04-06,07:15:00,1.0188,1.0395999999999999,1.0271000000000001,1.1292,1.0125250000000001,1.1187666666666667,1.0,1.10625,0.6313,0.63125,0.6031,0.7438,0.72185,0.6083666666666666,0.575,0.5708333333333333,0.6594,0.6297250000000001,0.5520999999999999,0.4813,0.5792,0.5833333333333334,0.604725,0.4458666666666667,0.6625,0.38439999999999996,0.2854,0.6604333333333333,0.7000500000000001,0.2437666666666667,0.14996666666666666,0.6,0.91875,1.040625,1.1479333333333333,0.9500000000000001,1.0479,1.075,1.1271333333333333,1.0021,0.29059999999999997,0.25939999999999996,1.08755,1.050025,0.29059999999999997,0.28750000000000003,1.0125
6,2021-04-06,07:30:00,1.4875,1.62815,1.4604333333333333,1.6895999999999998,1.51565,1.5469,1.6271000000000002,1.51565,1.1125,1.03125,1.01565,1.0583333333333333,1.20935,1.0521,0.9344,0.9687666666666667,0.9771000000000001,1.05315,0.9750000000000001,0.9453,0.9813,0.9781500000000001,1.1208333333333333,0.8604333333333334,1.1208666666666667,0.4354,0.35003333333333336,1.1016,1.0229666666666668,0.3271,0.21043333333333333,1.1172,1.4583666666666666,1.55625,1.6791999999999998,1.3396,1.5406499999999999,1.493775,1.6354333333333333,1.45315,0.39375000000000004,0.36565000000000003,1.4666666666666668,1.5937666666666666,0.36095,0.346875,1.1542000000000001
7,2021-04-06,07:45:00,1.9271,1.9479,1.85,2.0593500000000002,1.992225,1.9083666666666665,1.925,1.9813,1.56565,1.42815,1.375,1.610975,1.4938,1.4708333333333332,1.3208666666666666,1.3604333333333336,1.5146,1.5547,1.3604333333333332,1.4271,1.3375000000000001,1.4625333333333332,1.3719000000000001,1.2417,1.4812500000000002,0.5625333333333333,0.425,1.5625,1.4208666666666667,0.3979,0.26876666666666665,1.7,1.76565,1.9437666666666666,1.96255,1.7833333333333332,1.9458666666666666,1.9563,2.097933333333333,1.9219,1.2583666666666666,0.40206666666666663,2.0646,1.9833666666666667,0.43125,0.41874999999999996,1.7271
8,2021-04-06,08:00:00,2.41875,2.4604666666666666,2.27815,2.410975,2.4188,2.2969,2.273475,2.1896333333333335,2.0041666666666664,1.92035,1.91565,1.94375,1.8625333333333334,1.8791666666666664,1.7313,1.85005,1.7938,1.85625,1.8062666666666667,1.8563,1.6979333333333333,1.8563,1.8146000000000002,1.6270666666666667,1.815625,0.7625333333333334,0.5229333333333334,1.8854,1.9479333333333333,0.4969,0.3479666666666666,1.8958666666666666,2.19375,2.414566666666667,2.41255,2.15315,2.3000000000000003,2.1844,2.4344,2.1271,2.35,0.5094000000000001,2.4354333333333336,2.0875,0.5042,0.5047,2.1833666666666667
9,2021-04-06,08:15:00,2.521875,2.5938,2.3312666666666666,2.76875,2.38755,2.464633333333333,2.71565,2.8563,2.35,2.1844,1.8854333333333333,2.1094,2.1458333333333335,2.0145666666666666,1.937525,1.825,2.0875333333333335,2.225,1.9984749999999998,1.9687666666666666,2.11875,2.06405,2.2531499999999998,1.8354333333333335,2.1416666666666666,1.3250333333333335,0.5562666666666667,2.4938,2.0187999999999997,0.5125500000000001,0.3333,2.1833333333333336,2.2297000000000002,2.5749999999999997,2.6062999999999996,2.4312666666666667,2.6875,2.3896,2.392225,2.3531250000000004,2.5292,0.54375,2.5219,2.5656499999999998,0.5250333333333334,0.5021000000000001,2.1833666666666667
