,Data,Hora,OP2.1.1 I (A),OP2.1.2 I (A),OP2.1.3 I (A),OP2.1.4 I (A),OP2.1.5 I (A),OP2.1.6 I (A),OP2.1.7 I (A),OP2.1.8 I (A),OP2.1.9 I (A),OP2.1.10 I (A),OP2.1.11 I (A),OP2.1.12 I (A),OP2.1.13 I (A),OP2.1.14 I (A),OP2.1.15 I (A),OP2.1.16 I (A),OP2.2.1 I (A),OP2.2.2 I (A),OP2.2.3 I (A),OP2.2.4 I (A),OP2.2.5 I (A),OP2.2.6 I (A),OP2.2.7 I (A),OP2.2.8 I (A),OP2.2.9 I (A),OP2.2.10 I (A),OP2.2.11 I (A),OP2.2.12 I (A),OP2.2.13 I (A),OP2.2.14 I (A),OP2.2.15 I (A),OP2.2.16 I (A),OP2.3.1 I (A),OP2.3.2 I (A),OP2.3.3 I (A),OP2.3.4 I (A),OP2.3.5 I (A),OP2.3.6 I (A),OP2.3.7 I (A),OP2.3.8 I (A),OP2.3.9 I (A),OP2.3.10 I (A),OP2.3.11 I (A),OP2.3.12 I (A),OP2.3.13 I (A),OP2.3.14 I (A),OP2.3.15 I (A),OP2.3.16 I (A)
0,2021-07-05,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-07-05,06:15:00,0.05,0.0063,0.0007833333333333334,0.0,0.13126666666666667,0.1,0.1375,0.05,0.0,0.125,0.0,0.0,0.0375,0.0375,0.0,0.1562,0.0188,0.001575,0.07189999999999999,0.125,0.0938,0.125,0.011811111111111113,0.05,0.014930769230769235,0.0938,0.05,0.0,0.1063,0.0875,0.0,0.075,0.05,0.0813,0.075,0.05500000000000001,0.0,0.0375,0.0688,0.0813,0.075,0.075,0.05,0.0938,0.0375,0.2,0.12190000000000001,0.1406
2,2021-07-05,06:30:00,0.13755,0.10626666666666666,0.09065000000000001,0.0344,0.2812,0.20005,0.2344,0.13126666666666667,0.11873333333333334,0.22293333333333334,0.22503333333333334,0.16253333333333334,0.11043333333333334,0.12293333333333334,0.016666666666666666,0.19375,0.17289999999999997,0.19166666666666665,0.2094,0.2125,0.18543333333333334,0.26095,0.1781,0.15003333333333332,0.1979,0.13755,0.15,0.3083666666666667,0.22293333333333334,0.2,0.14586666666666667,0.15623333333333334,0.16253333333333334,0.1875,0.1875,0.21666666666666667,0.20000000000000004,0.14376666666666668,0.17815,0.21875,0.18333333333333335,0.19375,0.12815,0.16666666666666666,0.09793333333333333,0.267175,0.19065,0.21565
3,2021-07-05,06:45:00,0.2604,0.19586666666666666,0.25416666666666665,0.13956666666666667,0.36460000000000004,0.2708333333333333,0.3937333333333333,0.23336666666666664,0.2271,0.31666666666666665,0.32815,0.34379999999999994,0.23126666666666665,0.25626666666666664,0.1125,0.3083333333333333,0.35000000000000003,0.3875,0.34793333333333337,0.523425,0.5646,0.7031499999999999,0.4125,0.275,0.3375,0.44166666666666665,0.26463333333333333,0.4969,0.3354,0.3781,0.31253333333333333,0.33960000000000007,0.3438,0.4041666666666666,0.41043333333333337,0.36565000000000003,0.39376666666666665,0.48595000000000005,0.4396,0.33956666666666663,0.30625,0.30315,0.25,0.2271,0.22083333333333333,0.41559999999999997,0.28543333333333337,0.31456666666666666
4,2021-07-05,07:00:00,0.6562666666666667,0.6770999999999999,0.7281,0.42083333333333334,0.7999999999999999,0.7187666666666667,0.8813,0.61255,0.5562666666666667,0.7938000000000001,0.7417000000000001,0.6021,0.6542,0.6937666666666668,0.45004999999999995,0.5208666666666667,1.0958666666666668,1.0542,1.0167,0.8719,1.0469,1.1063,1.00005,0.7667,0.7333666666666666,0.8042000000000001,1.0479333333333332,1.04065,1.01095,1.0458333333333334,1.0271333333333332,1.0125250000000001,0.9229333333333333,0.9562666666666667,1.0854333333333333,1.0916666666666668,1.0125333333333333,1.03125,0.9542,0.9156500000000001,0.6219,0.6375,0.4875333333333334,0.4917,0.4271,0.6271000000000001,0.5437666666666666,0.6219
5,2021-07-05,07:15:00,1.3375333333333332,1.275,1.231275,1.1094,1.35005,1.1312666666666666,1.325,1.3083333333333333,1.1969,1.4166666666666667,1.3541999999999998,1.3604333333333332,1.0219,1.1104333333333332,1.1958666666666666,0.7688,1.7167000000000001,2.1396,1.9021000000000001,1.8203,1.603125,2.10625,1.8594,1.5562333333333334,1.9104333333333334,1.6219000000000001,1.9958333333333333,2.1031250000000004,2.0312,1.8344,1.9146,1.73125,1.6458666666666666,1.9625333333333332,1.9125249999999998,1.8521,1.9875,1.6583666666666665,2.1562,1.5021333333333333,1.0896000000000001,0.9312666666666667,0.7938000000000001,0.79375,0.7854333333333333,1.0687666666666666,0.9125249999999999,0.87815
6,2021-07-05,07:30:00,1.4291999999999998,1.4583666666666666,1.4594,1.3229333333333335,1.410925,1.3229333333333333,1.4708666666666668,1.4916999999999998,1.18125,1.6437666666666668,1.7125,1.5583333333333333,1.5229333333333333,1.5291666666666668,1.4041666666666668,0.6896,1.7437666666666665,2.0146,2.1781,1.5718999999999999,2.3969,1.6812666666666667,2.2094,2.0791666666666666,1.8354333333333333,2.1145333333333336,2.3688,2.57815,2.1,2.410433333333333,2.3719,2.2458333333333336,1.8125333333333333,1.9312666666666667,2.3438,2.1688,1.83125,1.7020666666666664,1.9000333333333332,2.164633333333333,2.49065,0.8479333333333333,0.6938,0.71565,0.7062666666666667,1.3375333333333332,0.7625,0.7875
7,2021-07-05,07:45:00,2.0021,1.8406500000000001,1.86565,1.8375249999999999,2.2,1.75,2.1343750000000004,2.125,1.9583333333333333,2.1750000000000003,2.0208333333333335,1.9271333333333331,1.9229333333333336,1.9395999999999998,1.69065,0.7521,2.7416666666666667,2.8729333333333336,1.8896,2.806266666666667,2.5833333333333335,2.3875333333333333,2.4312500000000004,2.3958666666666666,2.8396000000000003,2.5500000000000003,2.396875,2.920325,2.6625,2.8833333333333333,2.6146,2.6625333333333336,2.5125,2.6021,2.4500333333333333,2.7833333333333337,2.7656,1.6979333333333333,2.2854,2.125,2.7469,2.6792,0.71565,0.71565,1.9578499999999999,2.7000000000000006,0.8521000000000001,0.814075
8,2021-07-05,08:00:00,2.2645666666666666,2.3854,2.3375,2.141666666666667,2.6062999999999996,2.4146,2.6875,2.5125,2.3625333333333334,2.5500499999999997,2.6375,2.5354,2.4062333333333332,2.35,2.04375,0.7094,2.8833333333333333,3.2479333333333336,3.1229666666666667,3.1812333333333336,3.16875,3.2000333333333337,3.325,2.9874666666666667,3.233333333333333,3.29375,3.2062999999999997,3.5312,3.1229333333333336,2.9333666666666667,3.0187666666666666,2.9969,2.97505,3.10625,2.945866666666667,3.0521,3.0520666666666667,3.0354333333333336,2.9656000000000002,3.0094000000000003,3.1062666666666665,3.1437666666666666,0.7094,0.6875333333333334,3.1063,3.2843999999999998,2.070866666666667,0.8000499999999999
9,2021-07-05,08:15:00,2.4844,3.02185,2.806266666666667,2.4125,3.0187666666666666,2.90315,3.081225,2.921875,2.5969,2.8146,3.1021,2.9688,2.7687666666666666,2.7646,2.54685,1.10315,3.529166666666667,3.7833666666666663,3.71565,3.3333666666666666,3.6854666666666667,3.6312666666666664,3.7208333333333337,3.3479000000000005,3.6896,3.6063,3.545833333333333,3.6125000000000003,3.756266666666667,3.42185,3.6833666666666667,3.2375000000000003,2.7625333333333337,3.46565,3.6708666666666665,3.1875,3.1270666666666664,3.554166666666667,3.579166666666667,3.641666666666667,3.31095,3.7541999999999995,2.985975,0.7917,3.4021000000000003,3.5188,3.4562666666666666,1.2667
