,Data,Hora,P1.1.1 P (W),P1.1.2 P (W),P1.1.3 P (W),P1.1.4 P (W),P1.1.5 P (W),P1.1.6 P (W),P1.1.7 P (W),P1.1.8 P (W),P1.1.9 P (W),P1.1.10 P (W),P1.1.11 P (W),P1.1.12 P (W),P1.1.13 P (W),P1.1.14 P (W),P1.1.15 P (W),P1.1.16 P (W),P1.2.1 P (W),P1.2.2 P (W),P1.2.3 P (W),P1.2.4 P (W),P1.2.5 P (W),P1.2.6 P (W),P1.2.7 P (W),P1.2.8 P (W),P1.2.9 P (W),P1.2.12 P (W),P1.2.13 P (W),P1.2.14 P (W),P1.2.15 P (W),P1.2.16 P (W),P1.3.1 P (W),P1.3.2 P (W),P1.3.3 P (W),P1.3.4 P (W),P1.3.5 P (W),P1.3.6 P (W),P1.3.7 P (W),P1.3.8 P (W),P1.3.9 P (W),P1.3.10 P (W),P1.3.11 P (W),P1.3.12 P (W),P1.3.13 P (W),P1.3.14 P (W),P1.3.15 P (W),P1.3.16 P (W)
0,2021-05-27,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-05-27,06:15:00,0.0,0.0,0.4078,0.0,2.3766,0.17315,0.0,0.0,0.0,0.0,3.1921999999999997,0.0,0.0,0.0,0.0,0.0,1.9844,0.0,0.0,0.1875,0.1660125,0.0,0.0,0.0,0.17203200000000002,0.0,0.4523,0.0,0.0,0.0,0.0,0.0,1.5406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4955538461538462,0.0,0.0,0.0,5.4586,0.0
2,2021-05-27,06:30:00,3.6906,10.2935,4.47775,11.01915,7.7448999999999995,9.5698,6.4943,3.359666666666667,9.9953,9.8849,9.44415,10.817433333333332,6.928100000000001,8.7484,4.64415,7.248849999999999,9.4711,9.0383,7.8755,5.53475,7.13905,0.7934000000000001,6.728133333333333,0.0,8.42305,7.252333333333333,6.0363500000000005,6.797275000000001,1.0356666666666667,7.7955,0.7218666666666667,5.0707,5.0164,9.186350000000001,3.8367333333333336,13.663075000000001,4.1651,7.3823,6.278099999999999,7.9578,7.182300000000001,13.445725,0.91015,8.31795,11.243,4.678633333333333
3,2021-05-27,06:45:00,21.102866666666667,30.805733333333336,23.1742,31.311700000000002,26.815625,18.3906,16.3073,21.638075,22.278125,17.978166666666667,17.1232,20.68856666666667,18.3151,14.162766666666665,7.5234,17.84845,16.805733333333333,17.31445,12.4453,11.472633333333334,10.1367,12.239049999999999,17.342699999999997,5.191633333333333,19.464866666666666,16.53085,16.1,11.0156,5.653133333333334,16.327366666666666,14.982225,25.600300000000004,13.631733333333335,26.692949999999996,23.997933333333332,32.1414,19.211966666666665,25.63723333333333,23.625,17.4584,13.971633333333335,37.39686666666667,10.1943,14.24455,16.7926,12.3974
4,2021-05-27,07:00:00,50.24373333333333,59.4293,57.296366666666664,63.725025,58.439049999999995,57.611733333333326,59.393,52.28515,45.1344,35.784666666666666,34.446875,40.982,35.510933333333334,28.501800000000003,29.534750000000003,33.8422,34.56875,37.27813333333334,28.8203,30.48673333333333,33.661966666666665,28.333000000000002,34.40756666666667,20.106233333333332,33.05,34.0073,29.6008,17.3742,10.099466666666666,23.9,50.605850000000004,59.144533333333335,52.39816666666667,50.24556666666667,52.0289,64.08593333333333,50.385933333333334,53.940425000000005,53.4418,29.4078,19.075,67.51616666666666,21.0176,20.28165,23.3258,25.116799999999998
5,2021-05-27,07:15:00,72.42163333333333,62.77343333333334,68.56485,63.34583333333333,64.34763333333335,65.64375,72.9254,59.42419999999999,56.003550000000004,47.85286666666667,43.2125,54.78853333333333,51.38956666666667,41.044266666666665,41.75573333333333,43.16015,43.115624999999994,37.728899999999996,44.2026,35.646100000000004,49.3758,42.705999999999996,49.5207,35.452866666666665,43.83566666666667,46.105850000000004,46.349025,23.358800000000002,14.091666666666667,40.29143333333334,63.57266666666667,81.5625,77.35053333333333,68.9599,50.314099999999996,65.81456666666666,69.25076666666668,71.38595000000001,45.7406,35.7169,27.2169,64.85665,61.322900000000004,26.7031,28.0547,50.67133333333334
6,2021-05-27,07:30:00,77.83233333333332,107.828925,84.127925,98.46055,106.02916666666665,102.89896666666665,80.7695,85.97266666666667,66.40115,61.5568,60.4883,73.8505,81.75936666666666,57.44036666666667,56.359399999999994,73.61616666666667,78.41953333333333,79.5879,56.69296666666667,72.4039,61.410574999999994,73.39920000000001,63.511125,56.32216666666667,53.81093333333333,80.47916666666666,84.21915000000001,29.8266,16.849233333333334,57.71563333333334,80.21367500000001,91.143575,87.60596666666667,90.16223333333333,82.33907500000001,107.9742,88.27735000000001,79.37553333333334,100.8172,49.0,31.123050000000003,91.238,91.82422500000001,32.2535,31.322475,104.6844
7,2021-05-27,07:45:00,133.668175,133.8152,129.60940000000002,134.50490000000002,133.19633333333334,128.23125,124.413875,119.74449999999999,108.94765,98.9427,80.1609,100.7034,104.9289,87.89840000000001,88.80000000000001,83.0504,102.363,96.7842,75.24006666666668,85.66823333333332,86.1711,93.63333333333333,97.07603333333333,69.05626666666667,93.01303333333334,106.87503333333332,106.30625,32.84766666666667,19.95156666666667,107.8363,116.9168,122.94295,120.53516666666667,125.9031,128.4727,133.75730000000001,142.61835,131.43982499999998,124.05860000000001,92.21486666666665,35.949600000000004,137.010925,136.64373333333333,33.9625,33.5781,120.03205
8,2021-05-27,08:00:00,172.79805,173.41196666666667,177.5039,187.12385,180.13723333333337,165.04633333333334,166.7453,166.07813333333334,136.63853333333336,129.4784,128.8768,140.35963333333333,145.5152,126.31666666666668,120.96983333333333,132.4453,135.2996,140.65023333333332,117.33125,127.375,129.5295,134.34689999999998,136.35573333333332,118.2086,130.10236666666665,136.09765,137.6875,39.86835,26.220066666666668,135.28753333333336,0.0,169.44323333333332,170.20195,177.98046666666664,156.82683333333333,177.4385333333333,183.1676,179.7721333333333,175.8101333333333,164.2961,43.1871,185.56589999999997,184.48045,40.9813,40.62343333333333,155.83980000000003
9,2021-05-27,08:15:00,205.2668,215.91930000000002,213.9047,224.15703333333332,212.9961,205.62656666666666,202.96873333333335,208.03480000000002,181.78516666666667,173.77059999999997,164.78176666666664,177.68876666666668,175.3809666666667,163.16926666666666,162.36525,165.39583333333334,165.1297,179.7669,165.8539,179.9578,163.98675,169.42343333333335,161.2406,153.56223333333332,173.293775,178.192375,171.38126666666668,45.0,29.126033333333336,170.42925000000002,195.22526666666667,219.47056666666666,209.8187333333333,206.6336,192.66095,217.5035,213.92393333333334,214.06990000000002,0.0,208.20135000000002,50.51456666666667,210.4102,220.2281,49.44143333333333,47.014833333333335,204.05286666666666
