,Data,Hora,OP3.1.1 I (A),OP3.1.2 I (A),OP3.1.3 I (A),OP3.1.4 I (A),OP3.1.5 I (A),OP3.1.6 I (A),OP3.1.7 I (A),OP3.1.8 I (A),OP3.1.9 I (A),OP3.1.10 I (A),OP3.1.11 I (A),OP3.1.12 I (A),OP3.1.13 I (A),OP3.1.14 I (A),OP3.1.15 I (A),OP3.1.16 I (A),OP3.2.1 I (A),OP3.2.2 I (A),OP3.2.3 I (A),OP3.2.4 I (A),OP3.2.5 I (A),OP3.2.6 I (A),OP3.2.7 I (A),OP3.2.8 I (A),OP3.2.9 I (A),OP3.2.10 I (A),OP3.2.11 I (A),OP3.2.13 I (A),OP3.2.14 I (A),OP3.2.15 I (A),OP3.2.16 I (A),OP3.3.1 I (A),OP3.3.2 I (A),OP3.3.3 I (A),OP3.3.4 I (A),OP3.3.5 I (A),OP3.3.6 I (A),OP3.3.7 I (A),OP3.3.8 I (A),OP3.3.9 I (A),OP3.3.10 I (A),OP3.3.12 I (A),OP3.3.13 I (A),OP3.3.14 I (A),OP3.3.15 I (A),OP3.3.16 I (A),OP3.4.1 I (A),OP3.4.2 I (A),OP3.4.3 I (A),OP3.4.4 I (A),OP3.4.5 I (A),OP3.4.6 I (A),OP3.4.7 I (A),OP3.4.8 I (A),OP3.4.9 I (A),OP3.4.10 I (A),OP3.4.11 I (A),OP3.4.12 I (A),OP3.4.13 I (A),OP3.4.14 I (A),OP3.4.15 I (A),OP3.4.16 I (A),OP3.5.1 I (A),OP3.5.2 I (A),OP3.5.3 I (A),OP3.5.4 I (A),OP3.5.5 I (A),OP3.5.6 I (A),OP3.5.7 I (A),OP3.5.8 I (A),OP3.5.9 I (A),OP3.5.10 I (A),OP3.5.11 I (A),OP3.5.12 I (A),OP3.5.13 I (A),OP3.5.14 I (A),OP3.5.15 I (A),OP3.5.16 I (A),OP3.6.1 I (A),OP3.6.2 I (A),OP3.6.4 I (A),OP3.6.5 I (A),OP3.6.6 I (A),OP3.6.7 I (A),OP3.6.8 I (A),OP3.6.9 I (A),OP3.6.10 I (A),OP3.6.11 I (A),OP3.6.12 I (A),OP3.6.13 I (A),OP3.6.14 I (A),OP3.6.15 I (A),OP3.6.16 I (A),OP3.7.1 I (A),OP3.7.2 I (A),OP3.7.3 I (A),OP3.7.4 I (A),OP3.7.5 I (A),OP3.7.6 I (A),OP3.7.7 I (A),OP3.7.8 I (A),OP3.7.9 I (A),OP3.7.10 I (A),OP3.7.11 I (A),OP3.7.12 I (A),OP3.7.13 I (A),OP3.7.14 I (A),OP3.7.15 I (A),OP3.7.16 I (A),OP3.8.1 I (A),OP3.8.2 I (A),OP3.8.3 I (A),OP3.8.4 I (A),OP3.8.5 I (A),OP3.8.6 I (A),OP3.8.7 I (A),OP3.8.8 I (A),OP3.8.9 I (A),OP3.8.10 I (A),OP3.8.11 I (A),OP3.8.12 I (A),OP3.8.13 I (A),OP3.8.14 I (A),OP3.8.15 I (A),OP3.8.16 I (A)
0,2021-05-21,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-05-21,06:15:00,0.0,0.0,0.0,0.0,0.0,0.0062578947368421055,0.0188,0.05,0.0,0.0,0.1,0.0,0.05,0.0,0.0594,0.0625,0.0688,0.0,0.0813,0.0312,0.010437500000000002,0.0375,0.08041363636363637,0.0,0.0,0.0,0.0,0.017175,0.075,0.0,0.05,0.0688,0.0,0.0,0.1063,0.04195714285714286,0.05,0.03125,0.0938,0.0,0.075,0.0,0.0,0.037500000000000006,0.0625,0.0,0.023018181818181816,0.00876,0.0,0.04652962962962963,0.0,0.0,0.0813,0.075,0.0,0.0,0.0,0.075,0.0,0.028720000000000002,0.0813,0.00315,0.0,0.0,0.0,0.0,0.0813,0.0,0.0813,0.075,0.0021,0.0,0.0125,0.0938,0.0,0.05,0.01565,0.008333333333333333,0.0938,0.0312,0.0,0.012525,0.03125,0.0,0.0688,0.0,0.0719,0.0,0.05,0.15,0.0125,0.1,0.030910526315789475,0.0312,0.00625,0.0,0.025,0.0,0.1322115384615385,0.0325,0.0,0.0,0.0,0.0,0.0,0.009493548387096774,0.0,0.03002,0.07345,0.012509999999999999,0.0,0.0,0.0625,0.0,0.0625,0.0875,0.0,0.0312,0.0,0.0938,0.0156,0.006004166666666667,0.04375,0.075,0.0188
2,2021-05-21,06:30:00,0.0875,0.15416666666666667,0.08755,0.1625,0.16875,0.17815,0.15416666666666667,0.12710000000000002,0.10935,0.07500000000000001,0.20833333333333334,0.139075,0.14685,0.209375,0.17503333333333335,0.1354,0.13435,0.13755,0.1469,0.19375,0.2,0.1594,0.2104,0.1875,0.16255,0.15315,0.17500000000000002,0.1875,0.1375,0.112475,0.1063,0.11875,0.08750000000000001,0.11249999999999999,0.20626666666666668,0.2125,0.12190000000000001,0.20836666666666667,0.1844,0.165625,0.1896,0.20315,0.15,0.175,0.11875000000000001,0.1146,0.2219,0.1594,0.21253333333333332,0.16565,0.10416666666666667,0.171875,0.15626666666666666,0.1531,0.11876666666666667,0.16456666666666667,0.18543333333333334,0.14583333333333334,0.20836666666666667,0.1937333333333333,0.3125,0.16046666666666667,0.24064999999999998,0.1688,0.1547,0.15836666666666668,0.1771,0.16666666666666666,0.1844,0.15836666666666668,0.15416666666666667,0.1896,0.1292,0.15,0.1844,0.17086666666666664,0.18130000000000002,0.19169999999999998,0.1667,0.13336666666666666,0.1708333333333333,0.1375,0.18336666666666668,0.153125,0.12083333333333333,0.14583333333333334,0.21459999999999999,0.11670000000000001,0.10625000000000001,0.2469,0.09685,0.1938,0.2344,0.17706666666666668,0.18333333333333335,0.24845,0.14376666666666668,0.13125,0.2354333333333333,0.1812666666666667,0.13336666666666666,0.101575,0.1281,0.13333333333333333,0.164075,0.1271,0.1719,0.22296666666666667,0.19065,0.13125,0.10416666666666667,0.120325,0.13125,0.107825,0.11565,0.16875,0.09583333333333334,0.12293333333333334,0.175,0.175,0.09065000000000001,0.1625,0.1625,0.1396,0.139075
3,2021-05-21,06:45:00,0.19583333333333333,0.28750000000000003,0.26043333333333335,0.379675,0.4208333333333334,0.3416666666666666,0.5250333333333334,0.2750333333333333,0.3922,0.37345,0.3719,0.4687333333333334,0.32916666666666666,0.35,0.3125,0.27086666666666664,0.23750000000000002,0.2437666666666667,0.41043333333333337,0.425,0.3833333333333333,0.4375,0.38125,0.4344,0.32815,0.33126666666666665,0.42185,0.275,0.4291666666666667,0.225,0.26565,0.24065,0.185925,0.0,0.3,0.4563,0.3250333333333333,0.47505000000000003,0.5125000000000001,0.35,0.41253333333333336,0.5104333333333333,0.3094,0.4708666666666666,0.26565,0.20003333333333337,0.4938,0.4417,0.4083333333333334,0.4172,0.3922,0.3583333333333334,0.2438,0.27086666666666664,0.35000000000000003,0.33126666666666665,0.47655000000000003,0.4854333333333334,0.43956666666666666,0.4770666666666667,0.61875,0.4229,0.42086666666666667,0.5188,0.4479,0.5125,0.32499999999999996,0.4520666666666666,0.33336666666666664,0.3125,0.3062333333333333,0.325,0.4083333333333334,0.5104333333333333,0.275,0.46565,0.52505,0.45626666666666665,0.40005,0.41039999999999993,0.4812666666666667,0.36043333333333333,0.5020666666666667,0.3313,0.2125,0.28125,0.325,0.4187666666666667,0.3167,0.50155,0.3458333333333334,0.460975,0.5229666666666667,0.4416666666666667,0.4625333333333333,0.3906,0.4166666666666667,0.39065,0.49793333333333334,0.3541666666666667,0.314025,0.20629999999999998,0.25,0.2937666666666667,0.5312,0.3666666666666667,0.40206666666666663,0.43956666666666666,0.4375,0.27505,0.3172,0.34793333333333337,0.29845,0.33755,0.321925,0.28435,0.2333333333333333,0.3125,0.3895666666666666,0.2813,0.20623333333333335,0.29845,0.32916666666666666,0.36565000000000003,0.2719
4,2021-05-21,07:00:00,0.32815,0.4791999999999999,0.61875,0.7354333333333334,0.65,0.5468500000000001,0.6844,0.6375000000000001,0.7062666666666667,0.7187666666666667,0.7266,0.6687666666666668,0.66875,0.742225,0.5375333333333333,0.4062,0.43333333333333335,0.5229333333333334,0.7104666666666667,0.7,0.7313000000000001,0.7583666666666667,0.7469,0.7094,0.6645666666666666,0.7547250000000001,0.7167,0.6469,0.65315,0.43953333333333333,0.5140750000000001,0.440625,0.34685,0.575,0.7296750000000001,0.75625,0.7000500000000001,0.6958333333333333,0.6958666666666667,0.65315,0.6979666666666667,0.7146,0.7094,0.7125,0.5125000000000001,0.4969,0.675,0.7229666666666668,0.72185,0.7375000000000002,0.7313000000000001,0.56565,0.5229333333333334,0.5646333333333334,0.65315,0.5896,0.7125,0.6979333333333333,0.84375,0.7333333333333334,0.8562666666666668,0.6375,0.7281500000000001,0.8062666666666667,0.6771333333333334,0.7667,0.71565,0.6656,0.5500499999999999,0.4625,0.5094000000000001,0.5354333333333333,0.6708666666666666,0.80005,0.7187749999999999,0.6854333333333334,0.7063,0.85,0.7343999999999999,0.7042,0.725,0.7328250000000001,0.7458666666666667,0.4792,0.46875,0.49796666666666667,0.5229333333333334,0.7104333333333334,0.7453500000000001,0.7563,0.6469,0.7604333333333333,0.8229333333333333,0.7187666666666667,0.7500333333333334,0.8094,0.6688000000000001,0.6749999999999999,0.8167,0.5594,0.5896,0.4,0.40315,0.73595,0.7021000000000001,0.65,0.7208666666666667,0.7000000000000001,0.70625,0.5354333333333333,0.5792,0.5354333333333333,0.5541666666666667,0.5156499999999999,0.5854333333333334,0.5843750000000001,0.4771,0.4938,0.5813,0.4938,0.46460000000000007,0.55,0.6063000000000001,0.5187666666666666,0.5229333333333334
5,2021-05-21,07:15:00,0.425,0.5125500000000001,0.6271333333333334,0.8542,0.762525,0.8771333333333334,1.00005,0.8625333333333334,0.8375333333333334,0.8104333333333334,0.8833333333333333,0.9604333333333335,0.8708666666666667,0.9562666666666667,0.6646,0.573475,0.5271,0.55,0.8250000000000001,0.80315,0.860975,0.7625333333333333,0.9313,0.8515750000000001,0.8969,0.91255,0.9208333333333334,0.9063000000000001,0.80005,0.59065,0.63435,0.5021000000000001,0.4625,0.7375,0.8020999999999999,0.9,0.8291666666666666,0.84065,0.7666666666666666,0.8250333333333334,0.8583333333333334,0.9250499999999999,0.9062666666666667,0.9291999999999999,0.6021,0.575,0.7958666666666666,0.8042000000000001,1.0219,0.6917,0.8146,0.7083666666666666,0.5708666666666667,0.65,0.6958666666666667,0.67815,1.0063,0.7896000000000001,1.0188,0.96565,1.05,0.6333666666666667,0.74375,0.9188,0.7999999999999999,0.9125333333333333,0.8896000000000001,0.775025,0.6500333333333334,0.665625,0.6313,0.7063,0.8229333333333333,0.9062666666666667,0.7437666666666667,0.85935,0.9583666666666666,0.8417,0.7281500000000001,0.8500333333333333,0.8229333333333333,0.925,0.8844,0.69065,0.63125,0.68125,0.687525,0.8469,0.80315,0.9479333333333333,0.8624999999999999,0.9812666666666668,0.775,0.9562666666666667,0.9541666666666666,0.91875,0.7375333333333334,0.8416666666666668,1.0729333333333333,0.6958333333333333,0.6750499999999999,0.4791666666666667,0.50315,0.85005,0.7562666666666668,0.81565,0.9312499999999999,0.9458666666666667,0.8563000000000001,0.6812999999999999,0.7625500000000001,0.7125333333333334,0.66875,0.6344000000000001,0.7625500000000001,0.7375,0.650025,0.657825,0.7172,0.7166666666666667,0.6062666666666667,0.7167,0.7166666666666668,0.6812666666666667,0.6500333333333334
6,2021-05-21,07:30:00,0.45,0.5625,0.7469,0.7625500000000001,1.0667,1.0916666666666666,0.9187666666666666,0.8604333333333333,0.7281500000000001,0.92815,1.1292,1.0687666666666666,1.0208666666666668,0.88755,0.8083666666666667,0.7062666666666667,0.5563000000000001,0.5375333333333333,1.0500333333333334,1.1813,0.8917,1.1062666666666667,0.8708666666666667,0.9094,1.18755,1.18285,0.9218999999999999,0.85,0.8562500000000001,0.6021,0.5750500000000001,0.5438000000000001,0.4604,0.70625,1.3,1.00625,1.39065,1.1062666666666667,1.0750333333333335,0.9708666666666668,0.7219,1.0208333333333333,1.1344,1.3521,0.7854333333333333,0.6208666666666667,0.9812666666666666,1.1146,0.8,1.0916666666666666,0.99065,1.4594,0.6219,0.74375,1.0187666666666668,0.6813000000000001,1.1333666666666666,0.9875,1.2042,0.7708666666666666,1.3531,1.1021,0.9938,1.25,1.0312666666666666,1.2083333333333333,1.1833666666666667,0.8655999999999999,1.0813,0.80625,0.92815,0.9031499999999999,1.0771,1.2844000000000002,0.6813,1.3208666666666666,1.0958666666666668,1.1438,1.075,1.2188,1.2417,1.1047,1.25,1.0469,0.82035,0.6708666666666666,0.7625500000000001,1.00315,0.975025,1.1687750000000001,1.075,1.0688,1.0958333333333332,1.0688000000000002,1.29065,1.0292000000000001,0.80625,0.725,1.2688,0.8125333333333334,0.6594,0.50625,0.5156000000000001,0.8667000000000001,1.1469,0.6844,1.0625,1.1958333333333333,1.007825,0.61255,0.7219,0.6,0.7625333333333334,0.7375333333333334,0.80625,0.8813,0.875,0.6219,0.8750500000000001,0.914075,0.7479666666666667,0.69375,0.9729333333333333,0.7812,0.7687666666666667
7,2021-05-21,07:45:00,0.54375,0.6625,1.7844,2.0563,1.8094000000000001,2.0813,1.8896333333333333,1.9479333333333333,1.9219,1.7333666666666667,1.9594,2.0646,1.6,1.94845,1.25,1.2938,0.6917,0.69845,1.9344000000000001,1.9896,2.0167,2.0708333333333333,2.0062333333333333,1.914075,1.9687333333333334,2.2,1.970325,1.8187666666666666,1.8859750000000002,1.2000000000000002,1.29375,0.6708666666666666,0.5541666666666667,1.67815,1.8875000000000002,2.0646,1.99845,2.05315,2.0375,1.8792,1.9354333333333333,2.0521,1.8094000000000001,2.0396,1.19065,1.2,1.6938,2.039633333333333,2.0890750000000002,2.0146,2.1041666666666665,2.1666666666666665,1.12345,1.896875,1.9344000000000001,1.951575,2.13125,2.0417,2.2021333333333333,1.9969000000000001,2.2020666666666666,2.095833333333333,1.9625000000000001,2.2021,2.2313,2.1833666666666667,2.106266666666667,1.8479333333333334,2.085433333333333,1.7729333333333333,2.0250333333333335,2.1563000000000003,1.9625000000000001,2.1167,1.9969000000000001,1.9249999999999998,2.2094,2.0344,1.8719000000000001,2.0313,1.9000000000000001,2.1625,2.0812666666666666,2.1313,2.0458333333333334,2.0297,1.8646333333333331,1.9874999999999998,1.9719,2.34375,1.9469,2.0521,2.1792,2.091666666666667,2.1500333333333335,1.9833666666666667,1.7979333333333332,2.09065,2.2375000000000003,1.9937666666666667,1.8375249999999999,0.6250333333333334,0.6594,2.000025,2.0021333333333335,1.925025,1.9813,1.9833333333333332,1.88125,1.7313,1.6375333333333335,1.4734500000000001,1.4468999999999999,1.4468999999999999,1.4353999999999998,1.5479333333333336,1.4938,1.3937333333333333,1.56095,1.5219,1.2833333333333334,1.45315,1.6479,1.5021000000000002,1.45005
8,2021-05-21,08:00:00,0.5520999999999999,0.65,2.3625499999999997,2.34065,2.418766666666667,2.4375,2.5656499999999998,2.36875,2.445866666666667,2.496875,2.5047,2.4708666666666663,2.368775,2.38755,1.4771,1.4375333333333333,0.6208666666666667,0.6624666666666666,2.4,2.325,2.402133333333333,2.59375,2.5875,2.4875000000000003,2.3000499999999997,2.3854666666666664,2.46565,2.4187999999999996,2.21565,1.4583666666666666,1.51255,0.65315,0.557825,2.1646,2.47505,2.575,2.45,2.4797000000000002,2.61565,2.475,2.4583333333333335,2.4313,2.3625,2.3563,1.4292,1.3688,2.2729666666666666,2.6041666666666665,2.4688,2.5041999999999995,2.5875333333333335,2.6271,2.4000333333333335,2.5604333333333336,2.3906,2.6375,2.5458666666666665,2.537533333333333,2.6375333333333333,2.6021,2.6375333333333333,2.4844,2.6375333333333333,2.602133333333333,2.5229333333333335,2.5750333333333333,2.38125,2.481266666666667,2.4250499999999997,2.3875333333333333,2.4875,2.5219,2.5125,2.6750499999999997,2.5229333333333335,2.409375,2.5437666666666665,2.6583666666666663,2.6145666666666667,2.5917,2.375,2.4906,2.45,2.654166666666667,2.4344,2.50625,2.4781250000000004,2.4172000000000002,2.4781500000000003,2.6208333333333336,2.475,2.5500333333333334,2.6000333333333336,2.5771,2.5812666666666666,2.634375,2.3333666666666666,2.7062999999999997,2.7145999999999995,2.5396,2.477066666666667,0.601575,0.6250333333333333,2.35005,2.3729,2.32815,2.4583333333333335,2.375033333333333,2.3583333333333334,1.8875250000000001,1.9656500000000001,1.8375,1.7604333333333333,1.8792,1.8208,1.8875000000000002,1.8396,1.8500333333333334,1.9916999999999998,1.8953,1.7583666666666666,1.8458333333333334,1.9604333333333335,1.76255,1.8125333333333333
9,2021-05-21,08:15:00,0.5333,0.65,2.806266666666667,2.8917,2.8656,2.8094,2.8312666666666666,2.779166666666667,2.77185,2.83435,2.90315,2.8833333333333333,2.8104333333333336,2.7896,1.6875333333333333,1.6666666666666667,0.625,0.6562,2.76255,2.7375333333333334,2.845866666666667,2.8875333333333333,2.9875333333333334,3.0,2.7687666666666666,2.8000499999999997,2.9333666666666667,2.841666666666667,2.68595,1.6063,1.7104333333333335,0.6645666666666666,0.5344,2.74065,2.8104333333333336,2.9229333333333334,2.8854333333333333,2.9344,2.8625000000000003,2.9813,2.897933333333333,2.8719,2.9125,2.897933333333333,1.6646,1.5646000000000002,2.727066666666667,2.9979333333333336,3.0687666666666664,2.9917000000000002,3.0292,2.98125,2.9344,2.9375,2.9844,2.8104333333333336,2.98435,2.9542,3.0031499999999998,3.0021,3.10935,2.8937333333333335,3.0021,3.04375,3.0041666666666664,3.0333333333333337,2.86875,2.9594,2.8708666666666667,2.85625,2.7937999999999996,2.96875,2.8344,3.0041999999999995,2.8625,2.8281,3.047933333333333,3.0958333333333337,3.0125333333333337,2.920833333333333,2.9484500000000002,2.960433333333333,2.7938,2.98125,2.9187666666666665,2.971875,3.0375333333333336,2.9281,3.0187666666666666,3.10005,2.908333333333333,3.0604,3.0292,2.9396,2.999966666666667,3.01255,2.9281499999999996,2.88755,3.0895999999999995,2.975,3.0062666666666664,0.60625,0.617225,2.7729,2.8344,2.731275,2.8021,2.8000333333333334,2.7792,2.34065,2.2979333333333334,2.29535,2.1646,2.2719,2.2828,2.2854,2.2625,2.31875,2.3666666666666667,2.2375,2.1922,2.2104333333333335,2.3333333333333335,2.1542,2.1833666666666667
