,Data,Hora,P3.1.1 P (W),P3.1.2 P (W),P3.1.3 P (W),P3.1.4 P (W),P3.1.5 P (W),P3.1.6 P (W),P3.1.7 P (W),P3.1.8 P (W),P3.1.9 P (W),P3.1.10 P (W),P3.1.11 P (W),P3.1.12 P (W),P3.1.13 P (W),P3.1.14 P (W),P3.1.15 P (W),P3.1.16 P (W),P3.2.1 P (W),P3.2.2 P (W),P3.2.3 P (W),P3.2.4 P (W),P3.2.5 P (W),P3.2.6 P (W),P3.2.7 P (W),P3.2.8 P (W),P3.2.9 P (W),P3.2.10 P (W),P3.2.11 P (W),P3.2.12 P (W),P3.2.13 P (W),P3.2.14 P (W),P3.2.15 P (W),P3.2.16 P (W),P3.3.1 P (W),P3.3.3 P (W),P3.3.4 P (W),P3.3.5 P (W),P3.3.6 P (W),P3.3.7 P (W),P3.3.8 P (W),P3.3.9 P (W),P3.3.11 P (W),P3.3.12 P (W),P3.3.13 P (W),P3.3.14 P (W),P3.3.15 P (W),P3.3.16 P (W),P3.4.1 P (W),P3.4.2 P (W),P3.4.3 P (W),P3.4.4 P (W),P3.4.5 P (W),P3.4.6 P (W),P3.4.7 P (W),P3.4.8 P (W),P3.4.10 P (W),P3.4.11 P (W),P3.4.12 P (W),P3.4.13 P (W),P3.4.14 P (W),P3.4.16 P (W),P3.5.1 P (W),P3.5.2 P (W),P3.5.3 P (W),P3.5.4 P (W),P3.5.5 P (W),P3.5.6 P (W),P3.5.8 P (W),P3.5.9 P (W),P3.5.10 P (W),P3.5.11 P (W),P3.5.12 P (W),P3.5.13 P (W),P3.5.14 P (W),P3.5.15 P (W),P3.5.16 P (W),P3.6.1 P (W),P3.6.2 P (W),P3.6.3 P (W),P3.6.4 P (W),P3.6.5 P (W),P3.6.6 P (W),P3.6.7 P (W),P3.6.8 P (W),P3.6.9 P (W),P3.6.10 P (W),P3.6.12 P (W),P3.6.13 P (W),P3.6.14 P (W),P3.6.15 P (W),P3.6.16 P (W),P3.7.1 P (W),P3.7.2 P (W),P3.7.3 P (W),P3.7.4 P (W),P3.7.5 P (W),P3.7.6 P (W),P3.7.7 P (W),P3.7.8 P (W),P3.7.9 P (W),P3.7.10 P (W),P3.7.11 P (W),P3.7.12 P (W),P3.7.13 P (W),P3.7.14 P (W),P3.7.15 P (W),P3.7.16 P (W),P3.8.1 P (W),P3.8.2 P (W),P3.8.3 P (W),P3.8.4 P (W),P3.8.5 P (W),P3.8.6 P (W),P3.8.7 P (W),P3.8.8 P (W),P3.8.9 P (W),P3.8.10 P (W),P3.8.11 P (W),P3.8.12 P (W),P3.8.13 P (W),P3.8.14 P (W),P3.8.15 P (W),P3.8.16 P (W)
0,2021-12-04,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-12-04,06:15:00,4.1640999999999995,7.64845,5.3469,7.1604,9.4258,9.6099,8.896099999999999,9.5599,13.669266666666667,14.203524999999999,16.78475,12.4834,11.048166666666667,14.952100000000002,8.0609,6.28125,7.826066666666667,9.955233333333334,10.157566666666668,8.3586,11.6927,15.171633333333332,17.2535,14.861200000000002,13.3018,15.65295,15.66875,15.370333333333335,10.864066666666668,5.45235,4.7707,7.6645666666666665,6.9308499999999995,4.885933333333333,12.810666666666668,16.24045,9.267949999999999,13.604966666666668,14.566933333333333,12.983866666666666,18.523166666666665,13.298933333333332,12.288533333333334,13.589566666666665,5.935433333333333,6.047133333333334,9.8547,10.765649999999999,13.433300000000001,14.626066666666667,6.020066666666668,9.357566666666665,8.125,9.015866666666668,5.2328,19.799999999999997,11.157566666666668,26.32145,16.192966666666667,12.766166666666669,16.0117,13.9125,16.3638,19.749200000000002,11.594266666666664,13.972399999999999,7.534400000000001,6.6082,10.802333333333335,12.2055,14.713,9.86445,14.1458,15.900266666666667,13.54065,20.875,15.811966666666669,17.601566666666667,17.6572,13.483866666666666,20.05625,7.731999999999999,4.513800000000001,7.8,9.366166666666667,9.34295,24.028133333333333,11.5552,19.08073333333333,19.078633333333332,17.281233333333333,13.815366666666668,18.670333333333335,11.722933333333335,14.359366666666666,18.07003333333333,10.878133333333333,10.758066666666666,6.0185,6.618375,9.266433333333334,9.752899999999999,9.46565,13.387875000000001,16.8526,12.834399999999999,6.75235,5.807066666666667,8.1263,5.99025,5.622674999999999,6.45,7.579700000000001,5.3453,5.130233333333333,10.622133333333334,10.160166666666667,4.946633333333334,6.45155,11.379433333333333,5.797933333333333,6.465633333333333
2,2021-12-04,06:30:00,7.833333333333333,14.26425,11.143766666666666,25.161725,45.4797,15.373933333333333,25.662000000000003,28.1771,35.9651,37.439099999999996,34.97465,45.3844,42.375,37.41875,13.143175,12.927066666666667,10.5043,14.16405,40.736700000000006,32.3004,37.23226666666667,37.98153333333334,42.571866666666665,38.606500000000004,38.17216666666667,39.55833333333333,35.366899999999994,33.69845,35.065650000000005,31.770899999999997,8.31175,12.3293,11.142966666666666,40.6031,36.3348,43.122249999999994,37.291025,38.479166666666664,40.710699999999996,36.7961,44.1406,42.26356666666667,36.76043333333333,40.9849,9.779966666666667,10.329433333333334,46.91095,40.782833333333336,21.537499999999998,41.7762,27.867199999999997,15.283833333333334,10.39375,12.325,12.377866666666668,51.7328,42.62733333333333,52.117700000000006,41.97813333333334,34.413266666666665,40.778549999999996,44.531000000000006,41.57736666666667,42.60886666666667,37.69816666666666,42.252066666666664,13.361699999999999,14.122633333333335,17.5224,37.11175,45.4966,37.4565,37.75103333333333,41.571333333333335,41.6621,48.7945,39.293,38.4255,38.8438,54.45,46.5318,12.6562,9.9172,12.0234,15.6719,32.1302,46.365633333333335,35.46666666666667,43.112233333333336,45.54785,41.74763333333333,53.04583333333333,44.79843333333333,35.50546666666667,43.0938,48.62895,17.056766666666665,15.395033333333336,11.847666666666667,11.836466666666666,30.3414,38.608066666666666,36.75206666666667,38.96406666666667,40.83435,28.66716666666667,15.527333333333333,18.732225,18.431533333333334,12.34865,15.345033333333333,15.946075,16.3539,12.199466666666666,15.298699999999998,19.7216,16.034399999999998,13.035199999999998,16.338033333333332,20.72993333333333,15.814833333333333,16.1594
3,2021-12-04,06:45:00,12.181650000000001,17.506999999999998,15.647133333333334,70.7707,68.11095,22.056,59.27890000000001,69.48635,72.4044,63.503899999999994,72.34765,69.24355,64.807825,75.53413333333333,31.08435,24.9328,14.609366666666666,18.064833333333336,69.46356666666667,71.66255000000001,63.45545,76.22396666666667,73.78726666666667,71.71405,66.88906666666666,72.1232,65.15076666666667,77.60665,67.512525,67.6738,32.13046666666667,35.47083333333333,16.178633333333334,64.5143,67.87537499999999,68.38256666666668,70.96209999999999,54.82535,67.51666666666667,69.51926666666667,77.08046666666667,68.55026666666667,68.0953,76.27659999999999,38.6539,28.155900000000003,69.47603333333333,79.14942500000001,58.21306666666667,82.7047,74.69964999999999,20.94845,16.623424999999997,18.239833333333333,18.344800000000003,77.62343333333334,75.18176666666666,83.48826666666668,72.3488,69.57006666666666,75.93566666666668,81.1646,72.41696666666667,75.78283333333333,74.88520000000001,73.23945,28.997133333333334,27.170833333333334,23.738033333333334,70.31223333333334,86.99740000000001,75.3211,70.09376666666667,71.40623333333333,81.78986666666667,71.92813333333334,77.81953333333333,79.0646,74.5724,75.22733333333333,82.72656666666667,17.81743333333333,15.90625,18.9914,21.212899999999998,76.78620000000001,81.76536666666668,68.52786666666667,76.05936666666668,87.8313,76.58333333333333,78.80975000000001,85.751575,74.79899999999999,75.34456666666667,82.38799999999999,22.130466666666667,21.651566666666668,15.590366666666668,15.1387,66.942775,67.78386666666667,70.5073,68.5656,68.82423333333334,57.775800000000004,34.859,45.99845,34.14843333333334,33.1651,34.129733333333334,36.8099,35.475975,26.623433333333335,33.94685,39.2039,30.943350000000002,31.009866666666667,34.7953,37.1023,35.31645,36.48073333333333
4,2021-12-04,07:00:00,15.46875,21.020566666666667,17.520699999999998,110.1199,107.15155000000001,97.30936666666668,108.2846,106.59533333333333,104.17863333333332,108.563675,119.34805,113.11196666666667,109.84415,105.66364999999999,60.0664,57.558600000000006,20.28986666666667,20.5953,111.606,97.78790000000001,102.6388,111.15235000000001,114.9961,106.9919,105.12225000000001,109.75756666666666,112.1055,111.5344,107.4813,102.71915,55.5844,60.72735,20.190649999999998,102.61380000000001,111.76643333333334,109.20416666666667,102.125,93.45233333333334,107.00779999999999,125.5734,103.7461,116.10470000000001,100.9922,108.17136666666666,59.3807,58.354166666666664,102.85315,121.96055,134.17849999999999,112.27346666666665,122.2805,24.2724,19.9802,112.66326666666667,109.14335,118.1646,113.10963333333332,124.7599,117.70336666666667,115.51175,110.41196666666667,120.72943333333335,130.4875,116.9594,114.02836666666667,115.32186666666666,116.06330000000001,114.1055,90.75,107.62615,119.53125,124.4531,100.7672,109.09100000000001,120.0656,109.24743333333333,124.2422,119.63516666666665,113.194,115.3875,117.72916666666667,99.09844999999999,41.2406,101.74415,79.78125,116.62446666666666,107.6625,105.55573333333335,125.0797,117.24560000000001,116.83046666666667,116.39793333333334,128.1125,120.0302,114.75103333333334,128.41746666666668,111.9289,105.96223333333334,18.1258,17.901866666666667,109.21226666666666,106.46226666666666,105.34299999999999,107.38673333333332,109.23986666666667,86.515625,66.84949999999999,70.30000000000001,63.4708,58.19065,66.4926,66.32346666666666,65.44426666666668,57.84162500000001,63.783366666666666,71.21146666666668,59.65075,56.543,55.571333333333335,67.50413333333334,61.16773333333333,55.97385
5,2021-12-04,07:15:00,15.4625,24.34636666666667,73.74260000000001,151.61795,145.9602,152.90103333333332,148.63746666666668,144.83386666666664,137.0336,153.78906666666668,167.3867,147.06565,146.1771,152.1094,82.18905,77.98595,23.301066666666667,23.7758,150.12996666666666,140.088,147.77113333333332,151.4154,160.91093333333333,150.70913333333334,157.39255,153.1055,142.84685,147.51794999999998,142.85625,141.12526666666668,74.06035,78.20625000000001,23.2254,0.0,154.5289,149.79025000000001,145.48256666666666,127.77736666666665,147.97133333333332,149.94583333333333,144.09415,151.2526,151.3961,151.89323333333334,78.14556666666668,78.3698,139.7422,156.9867,161.57916666666668,155.1758,156.77656666666667,100.03333333333335,24.03983333333333,153.94636666666668,152.60940000000002,155.388,152.15446666666665,162.1828,156.93283333333335,152.73165,151.96796666666665,157.05886666666666,155.6723,156.26146666666668,147.4922,156.10183333333336,149.6129,157.488675,143.71485,154.2719,160.3213,161.72263333333333,146.63127500000002,149.05416666666667,159.64767500000002,151.5021,154.92576666666665,155.73486666666668,153.69896666666668,155.10756666666666,154.71613333333332,160.16066666666669,151.629875,162.22733333333335,155.93983333333335,156.5406,160.0781333333333,145.18906666666666,158.10585,165.62656666666666,155.24453333333335,165.13905,163.7224,155.82735,149.5707,167.79923333333332,164.15106666666668,162.84246666666667,21.02136666666667,21.555233333333334,138.3164,148.73203333333333,139.4888,152.3586,146.5422,121.5052,95.0168,98.46353333333333,100.64999999999999,92.2963,89.91485,100.92056666666667,95.90625,97.29556666666667,101.1969,101.50366666666667,94.906675,85.5776,88.6526,101.69713333333334,88.25739999999999,93.6916
6,2021-12-04,07:30:00,17.112099999999998,26.2969,173.994925,185.2245,183.91620000000003,194.0411333333333,190.92735,184.98646666666664,190.76616666666666,191.72809999999998,186.40699999999998,172.975,183.15783333333334,186.769,102.11353333333334,104.0086,24.1487,24.749233333333333,188.3424666666667,186.4102,188.2513,190.5521,197.31773333333334,183.80236666666667,182.56769999999997,174.8594,187.9804333333333,185.64243333333332,180.38593333333333,180.51409999999998,99.3125,100.18253333333332,26.470566666666667,176.5688,183.1043,193.969175,0.0,160.32735000000002,186.81876666666668,183.9227,187.5677333333333,188.22580000000002,184.66353333333336,187.51586666666665,94.3875,97.75080000000001,177.67346666666666,193.1033666666667,201.77943333333334,192.31589999999997,195.831,194.78436666666667,27.2219,191.84896666666668,191.30939999999998,203.17056666666667,194.67213333333333,197.2391,197.1953,187.125,190.063,201.45395,187.69060000000002,195.08280000000002,194.2156,195.0492,178.1375,194.382,198.13673333333335,189.5203,200.6237,198.6953,178.5437,191.87813333333335,199.91719999999998,187.36743333333334,198.35286666666664,195.7630333333333,190.6937333333333,194.43489999999997,195.83203333333336,202.32763333333335,196.8551,202.3844,202.6258,0.0,203.86043333333336,181.32184999999998,203.53240000000002,210.0312,201.06093333333334,202.766975,204.579675,196.382025,192.394525,208.24843333333334,209.44403333333332,200.03830000000002,23.26875,23.853133333333332,183.67675000000003,185.45569999999998,182.134375,186.55783333333332,184.09193333333334,154.7922,135.89432499999998,138.327925,131.32083333333333,124.22619999999999,125.65899999999999,130.49455,130.2508,133.79636666666667,127.21095,142.50155,129.70665,117.2943,125.07056666666665,139.02943333333334,130.201175,133.88475
7,2021-12-04,07:45:00,32.52535,69.78825,221.60263333333333,217.1916666666667,227.3457,242.9086,228.3281333333333,211.7012,219.8763,219.52059999999997,231.8208666666667,228.2088666666667,220.14946666666665,220.24020000000002,124.6164,119.76276666666666,54.5887,77.09295,223.21356666666665,223.5901,223.0393,228.46276666666665,231.1435,216.83285,220.28153333333333,220.83165000000002,227.08180000000002,222.6653666666667,222.24022499999998,216.06456666666668,119.3547,132.9844,31.0719,209.4629,219.6776,233.10935,223.74572500000002,187.648075,223.53333333333333,220.0474,228.94376666666668,221.5543,222.93723333333332,220.2289,118.41287499999999,119.57576666666667,216.76170000000002,234.49193333333332,246.4875,231.50546666666665,235.7927,243.78750000000002,103.97133333333333,235.67576666666665,236.61249999999998,236.95676666666668,229.59766666666664,235.42579999999998,235.72889999999998,226.47813333333337,234.73226666666667,245.45510000000002,232.83669999999998,233.00573333333332,237.5664,229.08634999999998,230.96896666666666,236.8207,230.7461,223.37655,245.46640000000002,227.83593333333332,222.7406,240.15585,237.50155,233.5948,236.21223333333333,227.27526666666665,229.69533333333334,229.93596666666667,237.2570333333333,242.4354,233.4043,234.0555,237.84399999999997,229.5795,243.1664,224.91823333333332,240.6086,235.06130000000002,238.0729,248.8672,245.25275,240.96533333333332,235.54113333333336,248.64480000000003,245.87316666666666,241.51116666666667,70.9271,87.65733333333333,222.1,220.69740000000002,219.9922,227.79036666666664,220.9742,184.54296666666667,174.71640000000002,178.5391,164.4848,157.72813333333332,170.2995,169.267,171.7695,169.30963333333332,163.061325,178.33960000000002,168.2979,163.9172,164.13383333333334,180.44060000000002,158.95,170.4706
8,2021-12-04,08:00:00,135.7301,196.4875,258.2482,262.19802500000003,265.6651,256.9453,262.64376666666664,259.47786666666667,249.7742,262.14296666666667,270.87343333333337,263.70625,254.62449999999998,258.950175,163.42225,167.35806666666667,169.31565,207.2888,254.4746,254.0086,261.31143333333335,264.8661666666667,264.29805,260.29926666666665,262.3278666666667,264.15913333333333,277.94065,261.87033333333335,266.73359999999997,247.8172,168.16565,205.8336,168.74296666666666,252.02890000000002,256.7995,276.17653333333334,259.8582,224.2588333333333,260.54375,256.7669333333333,264.43985,260.9086,252.7914,251.50313333333335,197.64243333333334,184.85496666666666,257.7627,275.9711,275.3127666666666,268.10623333333336,268.79686666666663,271.8906,282.3112,270.05806666666666,275.85955,279.40076666666664,269.7989666666667,275.64845,270.7296666666667,256.9890666666667,270.95779999999996,276.5760333333333,269.3249666666666,275.2464,266.7083666666667,266.15625,266.6494666666667,263.46773333333334,270.169125,262.8545,277.2328333333333,259.05783333333335,264.17996666666664,273.207,271.46410000000003,266.0544333333333,265.89065000000005,272.5729333333333,269.8883,275.16015,276.66223333333335,274.04920000000004,263.3549666666667,279.3489333333334,277.18829999999997,270.56300000000005,270.0844,261.0020666666667,274.38646666666665,271.7851666666667,275.1789,281.81823333333335,277.6955666666667,280.5656333333333,271.21823333333333,284.3521,284.16015,281.5067666666667,193.375,204.8602,261.12163333333336,263.9042,248.41693333333333,259.4802,256.07813333333337,218.43673333333334,202.6938,207.92083333333335,199.2893333333333,195.40106666666668,202.1754,205.5621,210.21695,214.60625,200.9977,213.5565333333333,210.5148,201.77106666666668,206.38027499999998,212.19816666666665,201.1457,210.0344
9,2021-12-04,08:15:00,213.6119666666667,280.7656,294.6875,299.6324,298.0836,289.86915,293.5352,292.4010333333333,296.59805,305.4508,307.1937666666667,297.241775,303.69335,308.6078,269.68463333333335,243.4641,284.9459,301.7203,292.46953333333335,286.9820333333333,307.7625,300.41119999999995,306.32396666666665,300.74063333333334,297.5094,306.86483333333337,302.81714999999997,299.375,296.96095,293.8684666666666,289.66876666666667,285.05705,283.632825,282.79725,297.42655,309.0449,296.0352,257.375,296.1328,297.51640000000003,304.5,305.9867,300.6645,304.2,283.6914,244.23256666666668,298.2371,306.62446666666665,316.0242333333333,305.67943333333335,306.76876666666664,312.43929999999995,316.74946666666665,305.64166666666665,310.9172,315.45,306.18489999999997,311.9265666666667,314.39375,295.9510666666667,305.52656666666667,309.32735,309.9516,318.51565,303.1245,299.34024999999997,299.582,310.7325666666667,307.47695,305.394,313.89323333333334,293.36563333333334,299.74765,305.4984666666667,302.0323333333333,307.5122333333333,307.9969,302.26953333333336,301.45053333333334,302.99946666666665,304.2292,309.58635000000004,303.91875000000005,312.9828333333333,315.94896666666665,306.49089999999995,310.1487,294.9668,313.01660000000004,311.9166333333333,310.444,319.5961,314.00509999999997,307.62655,307.02343333333334,321.17293333333333,318.6268,322.10704999999996,288.1611666666667,287.7409,292.8167,300.51800000000003,285.7487,301.1580666666667,292.36823333333336,244.41039999999998,242.87733333333335,250.44740000000002,241.91995,239.08222500000002,238.403125,247.47993333333338,256.14349999999996,244.25653333333335,238.134575,253.3697666666667,245.98046666666664,232.3961,246.6676,257.375,246.86406666666667,248.72993333333332
