,Data,Hora,OP3.1.1 I (A),OP3.1.2 I (A),OP3.1.3 I (A),OP3.1.4 I (A),OP3.1.5 I (A),OP3.1.6 I (A),OP3.1.7 I (A),OP3.1.8 I (A),OP3.1.9 I (A),OP3.1.10 I (A),OP3.1.11 I (A),OP3.1.12 I (A),OP3.1.13 I (A),OP3.1.14 I (A),OP3.1.15 I (A),OP3.1.16 I (A),OP3.2.1 I (A),OP3.2.3 I (A),OP3.2.4 I (A),OP3.2.5 I (A),OP3.2.7 I (A),OP3.2.8 I (A),OP3.2.9 I (A),OP3.2.10 I (A),OP3.2.12 I (A),OP3.2.13 I (A),OP3.2.14 I (A),OP3.2.15 I (A),OP3.2.16 I (A),OP3.3.1 I (A),OP3.3.2 I (A),OP3.3.3 I (A),OP3.3.4 I (A),OP3.3.6 I (A),OP3.3.7 I (A),OP3.3.8 I (A),OP3.3.9 I (A),OP3.3.10 I (A),OP3.3.11 I (A),OP3.3.12 I (A),OP3.3.13 I (A),OP3.3.14 I (A),OP3.3.15 I (A),OP3.3.16 I (A),OP3.4.1 I (A),OP3.4.2 I (A),OP3.4.3 I (A),OP3.4.4 I (A),OP3.4.5 I (A),OP3.4.6 I (A),OP3.4.7 I (A),OP3.4.8 I (A),OP3.4.9 I (A),OP3.4.10 I (A),OP3.4.11 I (A),OP3.4.12 I (A),OP3.4.13 I (A),OP3.4.14 I (A),OP3.4.15 I (A),OP3.4.16 I (A),OP3.5.1 I (A),OP3.5.2 I (A),OP3.5.3 I (A),OP3.5.4 I (A),OP3.5.6 I (A),OP3.5.7 I (A),OP3.5.8 I (A),OP3.5.9 I (A),OP3.5.10 I (A),OP3.5.11 I (A),OP3.5.12 I (A),OP3.5.14 I (A),OP3.5.15 I (A),OP3.6.1 I (A),OP3.6.2 I (A),OP3.6.3 I (A),OP3.6.4 I (A),OP3.6.5 I (A),OP3.6.6 I (A),OP3.6.7 I (A),OP3.6.8 I (A),OP3.6.9 I (A),OP3.6.10 I (A),OP3.6.11 I (A),OP3.6.13 I (A),OP3.6.14 I (A),OP3.6.15 I (A),OP3.6.16 I (A),OP3.7.1 I (A),OP3.7.2 I (A),OP3.7.3 I (A),OP3.7.4 I (A),OP3.7.5 I (A),OP3.7.6 I (A),OP3.7.7 I (A),OP3.7.8 I (A),OP3.7.9 I (A),OP3.7.10 I (A),OP3.7.11 I (A),OP3.7.12 I (A),OP3.7.13 I (A),OP3.7.14 I (A),OP3.7.15 I (A),OP3.7.16 I (A),OP3.8.1 I (A),OP3.8.3 I (A),OP3.8.4 I (A),OP3.8.5 I (A),OP3.8.6 I (A),OP3.8.7 I (A),OP3.8.8 I (A),OP3.8.9 I (A),OP3.8.10 I (A),OP3.8.11 I (A),OP3.8.12 I (A),OP3.8.13 I (A),OP3.8.14 I (A),OP3.8.15 I (A),OP3.8.16 I (A)
0,2021-04-29,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-29,06:15:00,0.07345,0.1646,0.13123333333333334,0.19375,0.2,0.1771,0.1594,0.07916666666666668,0.1719,0.15,0.15,0.15003333333333332,0.12190000000000001,0.20836666666666667,0.13126666666666667,0.1375,0.125,0.2313,0.16875,0.1469,0.23750000000000002,0.17916666666666667,0.1375,0.19375,0.16875,0.14376666666666668,0.1125,0.096875,0.16456666666666667,0.11875000000000001,0.08126666666666667,0.06876666666666666,0.18753333333333333,0.139075,0.175,0.167225,0.178175,0.16407500000000003,0.1937333333333333,0.20626666666666668,0.1417,0.1875,0.0969,0.08543333333333332,0.2563,0.20005,0.2188,0.1625,0.0844,0.1646,0.12969999999999998,0.1688,0.15416666666666667,0.1469,0.1844,0.13959999999999997,0.26565,0.22296666666666667,0.3271,0.1469,0.2,0.22713333333333333,0.13123333333333334,0.2020666666666667,0.14375,0.12969999999999998,0.15002500000000002,0.1688,0.210925,0.13543333333333332,0.1844,0.16876666666666665,0.2062,0.19065,0.15209999999999999,0.17185,0.16875,0.1469,0.19583333333333333,0.157825,0.109375,0.12710000000000002,0.20420000000000002,0.09583333333333333,0.23956666666666668,0.07293333333333334,0.21666666666666667,0.26249999999999996,0.1688,0.20833333333333334,0.25934999999999997,0.1042,0.10625000000000001,0.2708,0.175,0.13960000000000003,0.09583333333333333,0.1125,0.12190000000000001,0.14793333333333333,0.125,0.18543333333333334,0.225,0.24065,0.1469,0.11876666666666667,0.08750000000000001,0.11875000000000001,0.125,0.15626666666666666,0.10833333333333334,0.09376666666666666,0.204725,0.1344,0.07293333333333334,0.1469,0.19375,0.13282500000000003,0.125
2,2021-04-29,06:30:00,0.24586666666666668,0.34789999999999993,0.2396,0.3313,0.3438,0.2812,0.2833666666666667,0.24793333333333334,0.3333333333333333,0.3416666666666666,0.3895666666666666,0.39376666666666665,0.31565,0.4062333333333334,0.3083333333333333,0.20315,0.2521,0.4562333333333333,0.3208333333333333,0.38439999999999996,0.45,0.4313,0.3583333333333334,0.3833333333333333,0.3292,0.35935,0.35003333333333336,0.2469,0.2938,0.21565,0.21875,0.29793333333333333,0.3729,0.45,0.55315,0.5375333333333333,0.42815000000000003,0.55,0.3875,0.47505000000000003,0.3520999999999999,0.495325,0.25416666666666665,0.21456666666666666,0.3958333333333333,0.4958666666666667,0.4344,0.35309999999999997,0.40002499999999996,0.30315000000000003,0.2188,0.326575,0.35,0.3562666666666667,0.540625,0.39586666666666676,0.5354666666666666,0.375,0.52815,0.46670000000000006,0.5646,0.41043333333333337,0.32293333333333335,0.495325,0.5104333333333334,0.3281,0.29375,0.27815,0.35625,0.4520666666666666,0.5187666666666666,0.35309999999999997,0.4604333333333333,0.4270666666666667,0.3938,0.47293333333333337,0.47505000000000003,0.3812666666666667,0.5094,0.3406,0.24065,0.29583333333333334,0.33440000000000003,0.46565,0.4417,0.33959999999999996,0.42919999999999997,0.56565,0.4687333333333334,0.4375,0.4083666666666666,0.29586666666666667,0.42499999999999993,0.4781,0.3146,0.2854333333333333,0.25,0.25003333333333333,0.31876666666666664,0.47972499999999996,0.379725,0.5354333333333333,0.498475,0.473475,0.3,0.29163333333333336,0.3281,0.32030000000000003,0.3125,0.3437333333333334,0.2583666666666667,0.25206666666666666,0.4031,0.33546666666666664,0.22706666666666667,0.325,0.3645333333333333,0.33125,0.26876666666666665
3,2021-04-29,06:45:00,0.3375,0.4083666666666666,0.425,0.7395999999999999,0.8145666666666666,0.53755,0.8391000000000001,0.8208333333333333,0.69845,0.7062333333333334,0.8958666666666666,0.8104,0.7333666666666666,0.7219,0.45836666666666664,0.4103666666666667,0.3922,0.7937666666666666,0.7353999999999999,0.6667000000000001,0.88125,0.7416666666666667,0.7646000000000001,0.7500333333333334,0.7292000000000001,0.8031500000000001,0.6646,0.39685000000000004,0.44534999999999997,0.40935,0.0,0.6687666666666666,0.8042000000000001,0.7750333333333334,0.9521000000000001,0.7979333333333334,0.7146,0.7000500000000001,0.7812666666666667,0.8234250000000001,0.7333666666666666,0.9688,0.3906,0.4031,0.7104333333333334,0.8687666666666667,0.61255,0.7750250000000001,0.8313,0.4938,0.4688,0.4666666666666666,0.5,0.4729666666666666,0.8666666666666666,0.7667,0.9218999999999999,0.5188,0.7687666666666667,0.9125,0.9344,0.7562666666666665,0.9624999999999999,0.7354333333333333,0.8344,0.5063,0.4604333333333333,0.4969,0.5125,0.90315,1.0438,0.7594000000000001,0.875,0.9875,0.69065,0.8625,0.74065,0.76875,0.0,0.5063000000000001,0.428125,0.47657499999999997,0.4844,0.7625,0.9604333333333334,0.6687666666666666,0.7812666666666667,0.9469000000000001,0.675,0.8469000000000001,0.85,0.9469000000000001,0.65,0.80005,0.525,0.47035,0.3438,0.40210000000000007,0.7438000000000001,0.7792,0.65315,0.86875,0.7625,0.7469,0.5500333333333333,0.515625,0.47814999999999996,0.50315,0.5453250000000001,0.5771000000000001,0.4917,0.4375,0.5812666666666667,0.5438,0.42505,0.4813,0.5125,0.478125,0.5125333333333334
4,2021-04-29,07:00:00,0.26253333333333334,0.3156,0.375,0.725,0.8250333333333334,0.581275,0.7229666666666666,0.5083666666666666,0.7187666666666667,0.7416666666666667,0.8896000000000001,0.5333333333333333,0.6646,0.8094000000000001,0.4083333333333334,0.4041666666666666,0.3062666666666667,0.7375333333333334,0.8937666666666667,0.62035,0.8219000000000001,0.8833333333333332,0.5937666666666667,0.8969,0.8020999999999999,0.4844,0.651575,0.3844,0.3812,0.3,0.2521,0.7896,0.7812666666666667,0.5844,0.682825,0.80625,0.8729333333333334,0.8729333333333334,0.7167,0.0,0.75315,0.9375,0.42185,0.4041666666666666,0.6729333333333334,0.7906500000000001,0.7083666666666666,0.9094,0.8042000000000001,0.3937,0.31456666666666666,0.375,0.43435,0.36255,0.9188,0.9417000000000001,1.325,0.8395999999999999,0.8625333333333334,0.7281500000000001,0.8031500000000001,0.7875,0.9041999999999999,0.7958333333333333,0.8208666666666667,0.41250000000000003,0.39375,0.41873333333333335,0.45,0.4688,1.0229333333333335,0.62815,0.7604333333333333,0.9562666666666667,0.8594,0.7896000000000001,0.9438,0.8344,0.8812666666666668,0.4375,0.3719,0.38749999999999996,0.4625333333333333,0.8395999999999999,1.0146,0.7437750000000001,0.6937500000000001,0.58125,1.1343999999999999,0.8313,1.0104333333333333,0.8219250000000001,0.7500333333333334,0.6833333333333332,0.44586666666666663,0.375,0.30416666666666664,0.3166666666666667,0.8083333333333335,0.62815,0.7979333333333333,0.7021000000000001,0.6484500000000001,0.7958666666666666,0.5229333333333334,0.525,0.4271,0.47815,0.5468999999999999,0.625,0.5166666666666667,0.4500333333333333,0.5375333333333333,0.6750499999999999,0.50315,0.5896,0.5583333333333333,0.3187,0.5219
5,2021-04-29,07:15:00,0.27499999999999997,0.3895666666666666,0.51875,1.3979333333333333,1.35005,1.575,1.6937666666666669,1.5437666666666665,1.5094,1.45005,1.75,1.8125,1.2729333333333333,1.65625,0.8687666666666667,0.7937666666666668,0.39685,1.5146,1.5729666666666666,1.6687666666666665,1.4646333333333335,1.24375,1.5042,1.595325,1.5104666666666666,1.4333,1.5844,0.8479333333333333,0.8479333333333333,0.3812333333333333,0.3062666666666667,1.2167000000000001,1.4583666666666666,1.7156500000000001,1.7083333333333333,1.69375,1.4563,1.2874999999999999,1.4229666666666665,1.7312666666666667,1.7187999999999999,1.6531500000000001,0.8500333333333333,0.8208333333333333,1.5479666666666667,1.4166666666666667,1.775,1.5333666666666665,1.620325,1.20315,0.41875,1.2271,1.2312666666666667,1.1562666666666666,1.7604333333333333,1.4687666666666666,1.7229333333333334,1.4656500000000001,1.7469000000000001,1.5125333333333335,1.8155999999999999,1.5291666666666668,1.417225,1.77505,1.4375333333333333,1.7719,1.70315,1.525025,1.250025,1.5250333333333332,1.751575,1.5937999999999999,1.8406500000000001,1.627133333333333,1.6094,1.5999999999999999,1.5687666666666669,1.5708333333333335,1.7520666666666667,1.4797,1.5416666666666667,1.51875,0.9271333333333334,1.3667,1.7000000000000002,1.6719,1.79065,1.7729333333333333,1.4708333333333332,1.5688,1.8521,1.7812999999999999,1.7563,1.9896,0.9542,0.8250000000000001,0.34375,0.3458666666666666,1.4333666666666665,1.4083666666666668,1.4229,1.6531500000000001,1.7521000000000002,1.4354333333333333,1.0021,0.8917,1.0104333333333333,0.9499999999999998,1.0875,0.9750333333333333,0.875,0.8624999999999999,0.9771000000000001,1.0292000000000001,1.0417,1.0312666666666666,0.9270999999999999,1.025,1.0594
6,2021-04-29,07:30:00,0.33909999999999996,0.4416666666666667,2.05315,2.0968999999999998,2.0343999999999998,2.17345,2.160433333333333,1.9468999999999999,2.01565,2.0688,2.10625,2.02815,1.8563,2.066666666666667,1.1729333333333332,1.2328,0.41875000000000007,2.0968999999999998,2.2938,2.0313,2.2719,2.2125,2.01565,2.0844,2.1146333333333334,2.0271,1.9844,1.1521,1.2396,0.45315,0.3333333333333333,1.9375333333333333,2.0646,2.15625,2.2,2.0958666666666663,1.9812666666666667,2.0500499999999997,2.17815,2.1406,2.2229,1.9979333333333333,1.1312666666666666,1.1083333333333334,2.1015500000000005,2.2896,2.3000333333333334,2.3437666666666668,2.075,2.2646,0.4797,2.2218750000000003,2.0125,2.1271,2.1875,2.13125,2.31875,2.1229666666666667,2.1844,2.172966666666667,2.3062666666666667,2.32505,2.225,2.25625,2.2479333333333336,2.1609499999999997,2.1271,2.1,2.20005,2.14375,2.3229333333333333,2.0812666666666666,2.318766666666667,2.191666666666667,2.2083,2.1792000000000002,2.2313,2.198475,2.2313,2.2438,2.1146000000000003,2.1562,2.1187666666666667,2.102133333333333,2.36565,2.0625,2.20625,2.2625,2.2666999999999997,2.2484,2.2854,2.210433333333333,2.2672,2.466666666666667,2.2479333333333336,2.2875333333333336,0.3792,0.40829999999999994,2.0437666666666665,2.125,2.0562750000000003,2.10625,2.03755,2.03435,1.5791333333333333,1.4229333333333332,1.3479666666666665,1.4146,1.5104333333333333,1.5187666666666668,1.3562666666666667,1.4083333333333334,1.5187333333333335,1.4521333333333333,1.3666666666666665,1.4937666666666667,1.4521,1.4729333333333334,1.4395999999999998
7,2021-04-29,07:45:00,0.35623333333333335,0.46249999999999997,2.6292,2.6166666666666667,2.589633333333333,2.6593999999999998,2.69375,2.553125,2.57815,2.6375333333333333,2.7375333333333334,2.589633333333333,2.53755,2.6313,1.4937666666666667,1.4813,0.425,2.5812666666666666,2.6688,2.5656499999999998,2.74065,2.825,2.5542,2.5812666666666666,2.6687666666666665,2.7291666666666665,2.4250000000000003,1.4687666666666666,1.6313,0.4937333333333333,0.3520666666666667,2.53125,2.647933333333333,2.5,2.7609500000000002,2.66875,2.49065,2.558333333333333,2.733333333333333,2.6781,2.6,2.539633333333333,1.4229333333333332,1.3521333333333334,2.6458333333333335,2.8771,2.985433333333333,2.75625,2.6708,2.9969,1.8021,2.8625333333333334,2.6999999999999997,2.6906499999999998,2.77815,2.7219249999999997,2.8562666666666665,2.7718999999999996,2.8104333333333336,2.73125,2.9083333333333337,2.65,2.6083333333333334,2.7937666666666665,2.772933333333333,2.75,2.679166666666667,2.716666666666667,2.7000333333333337,2.75,2.89065,2.700025,2.84065,2.779166666666667,2.83435,2.739075,2.7604666666666664,2.92815,2.8093500000000002,2.8937666666666666,2.7583333333333333,2.9,2.81875,2.7313,2.8656,2.7646,2.7687666666666666,2.8354666666666666,2.8719,2.82505,2.8187666666666664,2.6792,2.8771,3.0312666666666668,2.910925,2.7875,0.41559999999999997,0.45940000000000003,2.575,2.5968999999999998,2.6,2.66875,2.53755,2.5646,2.0563000000000002,1.9333333333333333,1.9124999999999999,1.9656500000000001,1.95,1.9750333333333334,1.8646,1.9250333333333334,2.0145666666666666,2.03125,1.8833666666666666,2.0,2.0391,1.8666666666666665,1.9666666666666668
8,2021-04-29,08:00:00,0.3844,0.5312749999999999,3.1021,3.1021,3.0833,3.0500000000000003,3.029166666666667,3.085433333333333,3.1187333333333336,3.033366666666667,3.2375000000000003,3.20005,2.88125,3.0604333333333336,1.7417,1.7437666666666667,0.5063,3.0812666666666666,3.0125333333333337,3.1687666666666665,3.35,3.0270999999999995,3.1,3.1021,3.125,3.15315,2.9,1.6063,1.79065,0.5437333333333333,0.375,2.9625,3.1333333333333333,3.1437999999999997,3.1750499999999997,3.216666666666667,3.0203,2.9771,3.10625,3.076575,3.068775,3.05315,1.6729333333333332,1.6666666666666667,2.95,3.3729,3.28755,3.262525,3.09845,3.2313,3.30315,3.3228666666666666,3.2843750000000003,3.20315,3.2625,3.21565,3.289633333333333,3.3021,3.2646,3.0666666666666664,3.23125,3.272933333333333,3.1641000000000004,3.2854333333333336,3.202133333333333,3.2766,3.220325,3.164566666666667,3.1958333333333333,3.1062666666666665,3.2469,3.1125499999999997,3.193766666666667,3.2062666666666666,3.293775,3.2469,3.318775,3.2094,3.2938,3.35,3.275033333333333,3.2625,3.3625499999999997,3.21565,3.2667,3.13755,3.279725,3.3546750000000003,3.2229333333333336,3.26405,3.306266666666667,3.09375,3.1625,3.3813,3.3156499999999998,3.2479333333333336,0.4938,0.5041666666666667,3.0479333333333334,3.1656250000000004,2.954166666666667,3.067225,2.9354333333333336,3.0604333333333336,2.4291666666666667,2.408333333333333,2.345833333333333,2.40315,2.4375,2.4562666666666666,2.3167,2.15,2.5583333333333336,2.3875333333333333,2.373425,2.4708666666666668,2.475,2.3249999999999997,2.4375
9,2021-04-29,08:15:00,0.4917,1.3250333333333333,3.6063,3.6688,3.672933333333333,3.7094,3.6125,3.5938,3.6375,3.6703,3.679166666666667,3.5812666666666666,3.5771,3.6125,2.0766,2.035433333333333,1.1125,3.6208333333333336,3.5666666666666664,3.5968999999999998,3.8156499999999998,3.591666666666667,3.5219,3.6354333333333333,3.575,3.5666666666666664,3.4333666666666667,1.9937666666666667,2.3875,1.1854,0.9604333333333334,3.4979333333333336,3.65,3.5312333333333332,3.6640749999999995,3.6844,3.5719,3.61565,3.7125,3.59065,3.6,3.6218500000000002,1.9708333333333332,1.9625333333333332,3.475,3.8541666666666665,3.8187666666666664,3.7896,3.7438,3.8344,3.7333666666666665,3.8104,3.73125,3.6916999999999995,3.733333333333333,3.7594000000000003,3.9167,3.725,3.8104333333333336,3.6125000000000003,3.767225,3.8187749999999996,3.7354333333333334,3.8000499999999997,3.74065,3.8625333333333334,3.74065,3.681266666666667,3.8563,3.731275,3.8000499999999997,3.687525,3.8015499999999998,3.720833333333333,3.7438,3.73285,3.8417,3.65,3.77815,3.8218750000000004,3.7062666666666666,3.7937333333333334,3.7625333333333337,3.6984500000000002,3.843775,3.545833333333333,3.7938,3.9125499999999995,3.9188,3.7468500000000002,3.9604,3.633366666666667,3.6792,3.875033333333333,3.8719,3.7843999999999998,1.3141,1.7313,3.58595,3.67815,3.3875,3.64375,3.477066666666667,3.6000333333333336,3.008366666666667,2.9,2.9104333333333336,2.8875,2.9125,2.9500333333333337,2.84065,2.9062333333333332,3.0343999999999998,2.9333666666666667,2.8719,2.9167,2.7625,2.8812666666666664,3.0125
