,Data,Hora,P1.1.1 P (W),P1.1.2 P (W),P1.1.3 P (W),P1.1.4 P (W),P1.1.5 P (W),P1.1.6 P (W),P1.1.7 P (W),P1.1.8 P (W),P1.1.9 P (W),P1.1.10 P (W),P1.1.11 P (W),P1.1.12 P (W),P1.1.13 P (W),P1.1.14 P (W),P1.1.15 P (W),P1.1.16 P (W),P1.2.1 P (W),P1.2.2 P (W),P1.2.3 P (W),P1.2.4 P (W),P1.2.5 P (W),P1.2.6 P (W),P1.2.7 P (W),P1.2.8 P (W),P1.2.9 P (W),P1.2.10 P (W),P1.2.11 P (W),P1.2.12 P (W),P1.2.13 P (W),P1.2.14 P (W),P1.2.15 P (W),P1.2.16 P (W),P1.3.1 P (W),P1.3.2 P (W),P1.3.3 P (W),P1.3.4 P (W),P1.3.5 P (W),P1.3.6 P (W),P1.3.7 P (W),P1.3.8 P (W),P1.3.9 P (W),P1.3.10 P (W),P1.3.11 P (W),P1.3.12 P (W),P1.3.13 P (W),P1.3.14 P (W),P1.3.15 P (W),P1.3.16 P (W)
0,2021-02-16,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-02-16,06:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-02-16,06:30:00,0.0,0.0,0.0,0.0,0.0,0.2082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9617333333333332,0.0,0.0,0.0,0.0,0.0
3,2021-02-16,06:45:00,0.0,0.0,0.0,0.0,0.0,0.18408947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8766,0.0,0.0,0.0,0.36601666666666666,0.0,0.0,0.0,0.088575,8.628725,0.0,0.0,0.4437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19033999999999998,0.0,0.0,0.0,0.0,0.0
4,2021-02-16,07:00:00,4.76255,10.664333333333333,4.43125,11.522275,9.7313,9.727333333333334,5.4125,5.4091,10.9316,9.734133333333334,10.357,11.5146,8.957300000000002,6.703366666666667,5.228633333333334,7.346075000000001,7.54375,9.2383,5.646850000000001,6.355999999999999,6.523433333333333,3.234,7.792949999999999,1.4125,8.30395,15.217,10.9961,9.5065,8.3362,9.407033333333333,2.79375,9.258066666666666,2.6119666666666665,8.11095,5.6922,10.861125000000001,4.023700000000001,15.702725000000001,4.478133333333333,8.328366666666668,6.374599999999999,7.545566666666667,9.933566666666666,12.085133333333332,4.6172,12.267733333333334,12.66365,6.389833333333333
5,2021-02-16,07:15:00,54.07916666666667,50.1703,41.723425,66.23515,57.58256666666666,65.2039,50.846675,50.53853333333333,39.23945,43.6352,40.9785,33.080466666666666,32.04533333333333,30.382800000000003,32.676375,37.4582,37.4172,33.352833333333336,27.098275,32.23853333333333,30.9152,30.01093333333333,33.711733333333335,25.24375,47.38635,40.580466666666666,38.601533333333336,37.21406666666667,34.55286666666667,30.456499999999995,23.596333333333334,34.5146,33.889075,69.6551,48.955966666666676,53.507000000000005,37.8867,59.99805,46.243500000000004,47.9888,27.97993333333333,48.611149999999995,46.570833333333326,42.509975,30.308225,43.035666666666664,41.824975,35.515425
6,2021-02-16,07:30:00,49.345333333333336,59.635549999999995,56.21915,60.64736666666666,54.868750000000006,54.31677500000001,56.70756666666667,54.677600000000005,58.51486666666667,58.672650000000004,53.7043,57.85366666666667,54.945325,51.21013333333334,50.2633,50.408025,53.846900000000005,53.244033333333334,49.44273333333334,49.8893,52.6172,41.65,51.0164,43.027899999999995,53.7949,62.57476666666667,52.769299999999994,53.522933333333334,52.235166666666665,50.74113333333333,37.6094,53.5672,52.125,57.551975,52.8703,57.45206666666667,53.15005,62.22553333333334,52.04946666666667,57.236925,49.89086666666666,59.73395,59.8188,63.38933333333333,55.4,58.417199999999994,59.34063333333333,55.0979
7,2021-02-16,07:45:00,54.21196666666666,65.3331,58.2552,69.99663333333334,59.556533333333334,62.93245,61.4922,63.730999999999995,63.5996,59.6927,58.082449999999994,63.43906666666667,65.26015,53.3922,50.590599999999995,55.39725,57.6427,56.06536666666667,55.21039999999999,52.93333333333334,55.660000000000004,49.9625,55.98596666666666,44.32266666666667,55.837500000000006,65.82683333333334,57.02575,58.17476666666666,57.791133333333335,57.05443333333333,46.5617,55.36875,52.175266666666666,58.46795,55.20393333333334,63.281000000000006,57.1927,67.44335,59.62890000000001,62.40005000000001,63.07216666666667,65.74300000000001,61.40989999999999,68.3164,56.5836,68.47207499999999,68.04140000000001,61.81116666666666
8,2021-02-16,08:00:00,117.40883333333333,120.9922,101.14816666666667,88.53675,150.8672,83.33593333333333,74.68865,109.8551,96.68715,92.27969999999999,73.3715,104.28280000000001,88.21116666666667,80.3495,87.6307,127.3289,83.22163333333333,88.17213333333332,86.9219,85.16563333333333,93.72186666666666,99.63956666666667,92.2953,87.53596666666665,76.78593333333333,99.7547,86.422825,85.35520000000001,93.8568,87.8414,81.4849,82.403325,89.06405000000001,125.47556666666667,64.5188,83.9831,126.65129999999999,95.77813333333334,83.81873333333333,81.89215,74.8836,92.24965,92.39973333333334,127.60133333333333,94.33574999999999,85.1531,93.563275,97.3109
9,2021-02-16,08:15:00,126.07266666666668,119.53673333333332,126.67970000000001,139.710575,112.236725,150.47225,122.76119999999999,128.9172,103.64686666666667,114.92186666666667,111.62733333333334,109.3094,116.34415000000001,105.4039,104.88960000000002,95.54294999999999,115.19896666666666,105.87786666666666,109.2672,109.7737,107.92735,108.37943333333334,94.0875,102.13826666666667,101.77813333333332,124.95,103.69973333333333,104.40129999999999,100.325,98.64255,88.56353333333333,100.05833333333334,115.70349999999999,126.5469,120.25372499999999,138.87425,105.14885000000001,135.187,112.5008,125.4543,123.58673333333333,119.68126666666666,112.44024999999999,123.08165,110.12526666666668,114.93594999999999,98.4297,129.23673333333332
