,Data,Hora,P3.1.1 P (W),P3.1.2 P (W),P3.1.3 P (W),P3.1.4 P (W),P3.1.5 P (W),P3.1.6 P (W),P3.1.7 P (W),P3.1.8 P (W),P3.1.9 P (W),P3.1.10 P (W),P3.1.11 P (W),P3.1.12 P (W),P3.1.13 P (W),P3.1.14 P (W),P3.1.15 P (W),P3.1.16 P (W),P3.2.2 P (W),P3.2.3 P (W),P3.2.4 P (W),P3.2.5 P (W),P3.2.6 P (W),P3.2.7 P (W),P3.2.8 P (W),P3.2.9 P (W),P3.2.10 P (W),P3.2.11 P (W),P3.2.12 P (W),P3.2.13 P (W),P3.2.14 P (W),P3.2.15 P (W),P3.2.16 P (W),P3.3.1 P (W),P3.3.3 P (W),P3.3.4 P (W),P3.3.5 P (W),P3.3.6 P (W),P3.3.7 P (W),P3.3.8 P (W),P3.3.9 P (W),P3.3.11 P (W),P3.3.12 P (W),P3.3.13 P (W),P3.3.14 P (W),P3.3.15 P (W),P3.3.16 P (W),P3.4.1 P (W),P3.4.2 P (W),P3.4.3 P (W),P3.4.4 P (W),P3.4.5 P (W),P3.4.6 P (W),P3.4.7 P (W),P3.4.8 P (W),P3.4.10 P (W),P3.4.11 P (W),P3.4.12 P (W),P3.4.13 P (W),P3.4.14 P (W),P3.4.16 P (W),P3.5.1 P (W),P3.5.2 P (W),P3.5.3 P (W),P3.5.4 P (W),P3.5.5 P (W),P3.5.6 P (W),P3.5.8 P (W),P3.5.9 P (W),P3.5.10 P (W),P3.5.11 P (W),P3.5.12 P (W),P3.5.13 P (W),P3.5.14 P (W),P3.5.15 P (W),P3.5.16 P (W),P3.6.1 P (W),P3.6.2 P (W),P3.6.3 P (W),P3.6.4 P (W),P3.6.5 P (W),P3.6.6 P (W),P3.6.7 P (W),P3.6.8 P (W),P3.6.9 P (W),P3.6.10 P (W),P3.6.12 P (W),P3.6.13 P (W),P3.6.14 P (W),P3.6.15 P (W),P3.6.16 P (W),P3.7.1 P (W),P3.7.2 P (W),P3.7.4 P (W),P3.7.5 P (W),P3.7.6 P (W),P3.7.7 P (W),P3.7.8 P (W),P3.7.9 P (W),P3.7.10 P (W),P3.7.11 P (W),P3.7.12 P (W),P3.7.13 P (W),P3.7.14 P (W),P3.7.15 P (W),P3.7.16 P (W),P3.8.1 P (W),P3.8.2 P (W),P3.8.3 P (W),P3.8.4 P (W),P3.8.5 P (W),P3.8.6 P (W),P3.8.7 P (W),P3.8.8 P (W),P3.8.9 P (W),P3.8.10 P (W),P3.8.11 P (W),P3.8.12 P (W),P3.8.13 P (W),P3.8.14 P (W),P3.8.15 P (W),P3.8.16 P (W)
0,2021-04-21,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-21,06:15:00,6.301575,10.95195,8.4781,9.132066666666667,6.7677000000000005,11.347666666666667,7.2625,5.50315,7.796866666666666,9.3359,10.322666666666667,7.9281500000000005,7.9043,12.04105,9.21095,6.327333333333333,10.4042,8.643233333333333,9.3219,7.959099999999999,7.0016,15.4648,10.220566666666667,9.285433333333334,10.80705,10.856766666666667,7.1861999999999995,8.1469,5.6352,8.288499999999999,8.135133333333334,8.08945,6.807425,10.59845,13.897133333333334,8.30665,10.182833333333333,10.967575,8.723966666666668,11.622133333333332,12.881766666666666,9.254166666666666,12.400400000000001,7.545066666666667,6.9836,14.013,10.6867,13.4565,8.3125,7.4016,10.758866666666668,10.270833333333334,10.03715,8.8367,12.829433333333334,7.894000000000001,12.7906,12.653633333333332,6.0125,11.509775000000001,12.483066666666666,6.420833333333333,11.460166666666666,4.6922,8.551033333333335,8.509174999999999,9.5573,10.0512,7.608775,11.546899999999999,4.9375,9.441633333333334,10.0,11.1703,10.25545,7.260575,6.887733333333333,11.147666666666666,8.074250000000001,13.200266666666666,9.935525,6.6354,7.9143333333333326,15.2563,6.2828333333333335,14.057299999999998,4.9016,10.413533333333334,16.6781,10.664833333333334,11.519549999999999,6.373466666666666,7.678100000000001,17.53905,12.371500000000001,10.333866666666667,7.43205,6.484,9.1776,8.155733333333332,6.426550000000001,11.138874999999999,11.23435,11.8734,9.15,7.439066666666666,7.102866666666666,6.0703,7.373433333333334,7.244533333333334,8.023166666666667,5.980733333333333,6.252633333333333,12.374600000000001,7.22145,5.571899999999999,9.34575,10.800799999999999,8.905075,8.414075
2,2021-04-21,06:30:00,18.3867,25.118466666666666,19.445833333333333,24.88123333333333,36.12370000000001,27.158066666666667,24.579666666666668,28.6919,34.741366666666664,37.329433333333334,35.8203,26.47735,37.6638,38.44820000000001,20.890866666666668,18.929666666666666,22.141899999999996,43.834175,29.700266666666664,39.4715,35.18985,47.41565,39.8578,42.1785,36.0535,44.60783333333333,37.727333333333334,33.79503333333333,27.48985,20.9172,19.5305,20.66433333333333,39.56175,46.82836666666666,47.0004,35.85026666666667,42.47305,46.21995,35.72763333333334,27.793,50.6621,39.10573333333333,37.2966,19.673199999999998,17.7594,48.0078,43.918175,34.126375,31.399250000000002,27.685499999999998,20.37655,20.9707,27.426033333333333,24.0612,56.12396666666667,37.7617,54.78045,46.7297,38.912525,48.78245,40.906,43.438075,45.720349999999996,39.973425,42.7297,21.863300000000002,22.6562,25.057033333333333,38.779300000000006,54.18616666666667,30.33595,38.163650000000004,45.201975,47.625,40.362766666666666,43.16955,47.15053333333333,47.95545,36.13413333333333,57.8125,26.0855,19.058566666666668,20.5612,26.8957,43.708200000000005,43.7938,46.434866666666665,48.78646666666666,52.814099999999996,45.72396666666666,39.21666666666667,37.5711,43.008,54.76405,23.1677,24.541666666666668,23.6367,18.269266666666667,34.336733333333335,37.453525,32.3164,49.896899999999995,36.56823333333333,34.389833333333335,23.612233333333336,26.033866666666665,21.177866666666663,24.23555,23.647075,23.953633333333332,24.093233333333334,21.009633333333333,21.2302,27.6117,24.600533333333335,17.8034,24.964249999999996,25.4914,27.4375,23.508200000000002
3,2021-04-21,06:45:00,20.1086,26.2422,25.3871,45.781,54.64893333333333,31.35275,46.49843333333333,32.88435,33.82656666666667,43.581766666666674,36.57185,39.119749999999996,37.8125,45.628166666666665,25.311733333333336,24.282833333333333,25.971066666666662,34.679433333333336,44.125499999999995,50.45,59.92145,46.464866666666666,41.577333333333335,38.409949999999995,44.167699999999996,52.429500000000004,43.867999999999995,42.53575000000001,39.80363333333333,27.124200000000002,29.413249999999998,23.659366666666667,52.96755,53.1,52.773424999999996,41.96693333333334,40.378899999999994,33.42733333333333,37.34113333333334,44.99606666666667,43.9211,40.87343333333333,43.544266666666665,28.275000000000002,24.625,54.6,35.88333333333333,39.3242,39.198800000000006,55.059,34.507425,27.473966666666666,33.421866666666666,29.666666666666668,54.453900000000004,42.73643333333333,50.319725000000005,43.622366666666665,25.125,50.1719,43.03933333333333,55.2375,42.428666666666665,50.1422,49.47345,28.682299999999998,29.417733333333334,35.0875,53.86486666666667,56.0,43.266133333333336,39.16525,54.93675,39.0598,39.37290000000001,53.380449999999996,54.328149999999994,43.111733333333326,51.965050000000005,41.87136666666667,29.766433333333328,26.092166666666667,30.662325,32.0401,40.60573333333333,64.07083333333333,52.4547,42.9672,52.93333333333334,41.72345,47.147075,49.257533333333335,32.883100000000006,50.162875,32.88085,30.30155,24.9238,24.632266666666666,34.8927,41.15233333333333,43.40936666666667,51.4289,49.98386666666667,35.33983333333333,33.3965,39.0026,30.501549999999998,28.078899999999997,27.17345,31.47083333333333,32.171366666666664,29.63383333333333,28.45053333333333,36.065133333333335,26.37385,24.27185,35.4867,36.0578,30.145699999999998,25.6875
4,2021-04-21,07:00:00,26.7324,30.2,35.954166666666666,48.868375,39.75076666666667,43.638266666666674,43.5262,36.51666666666667,49.381499999999996,38.1625,41.5676,41.30443333333333,45.619550000000004,45.699225,35.384366666666665,34.68595,32.86666666666667,42.08595,53.38566666666666,50.68125,48.075,47.93205,51.166399999999996,50.5961,41.59765,55.2664,42.880449999999996,72.0047,49.3869,0.0,39.96445,33.14295,41.840824999999995,44.4547,53.6836,45.38386666666667,50.0,58.58826666666667,41.1508,48.14686666666666,52.929399999999994,51.5547,41.58826666666667,30.99765,30.27133333333333,49.12736666666667,44.382850000000005,54.54736666666667,61.22786666666667,39.9349,46.7625,33.776375,47.7828,40.28555,45.71055,40.454699999999995,54.0039,55.1379,45.3362,59.803124999999994,51.96510000000001,41.982,54.98493333333334,50.786325,42.5784,43.237525,41.36716666666667,45.43985,39.790099999999995,45.9289,35.08595,41.26565,40.282833333333336,58.71223333333334,52.7237,57.025574999999996,42.8707,47.09559999999999,45.7867,41.784666666666666,41.16276666666666,35.75,42.0586,39.69553333333334,44.2168,59.37629999999999,47.275800000000004,52.66483333333333,49.094766666666665,51.333333333333336,45.8672,39.8099,51.51743333333334,72.79885,43.15366666666667,40.8784,29.730733333333333,30.55003333333333,44.5555,56.875,49.3758,61.688275,41.89013333333333,38.5659,40.903099999999995,38.588,38.774950000000004,36.80416666666667,33.14606666666666,36.391600000000004,34.87966666666667,37.144125,39.57225,47.97553333333334,37.834666666666664,30.393999999999995,40.0375,37.5841,38.97006666666667,38.242733333333334
5,2021-04-21,07:15:00,26.555466666666664,35.97866666666667,58.390633333333334,105.1711,111.6828,73.46976666666666,81.84660000000001,110.42316666666666,158.175,92.568,102.19193333333332,108.2617,104.45665,41.5734,48.92425,63.09946666666667,34.3125,80.8271,79.84949999999999,93.82083333333333,78.45349999999999,101.75286666666666,106.33699999999999,100.45183333333334,87.19556666666666,105.37890000000002,72.8883,103.57343333333334,71.0418,54.4836,64.66376666666666,32.931533333333334,92.06016666666669,119.08593333333334,87.2065,102.73776666666667,100.4021,51.3078,76.02733333333333,92.07083333333333,89.13535,105.8365,133.13905,61.23543333333333,46.333600000000004,82.343375,84.3,103.03710000000001,124.304675,120.9676,72.66226666666667,42.23125,133.57035,129.88230000000001,80.5328,114.471675,109.34476666666667,103.77836666666667,122.8379,81.37316666666668,107.9703,103.784975,113.67033333333332,44.0297,109.48360000000001,115.4492,104.91290000000001,106.17450000000001,107.2703,119.56582499999999,114.81693333333332,73.35233333333333,167.993,96.65573333333333,123.18205,95.77345,68.25705,125.27617500000001,128.23440000000002,117.011125,82.73513333333334,85.2734,78.66616666666665,94.63413333333334,93.64139999999999,136.42735,71.92035,101.71719999999999,118.980275,105.18073333333332,90.26979999999999,119.52786666666667,95.77539999999999,135.7082,107.4969,100.87396666666666,34.729166666666664,32.46876666666667,110.63696666666665,110.95623333333333,90.24025,90.6195,99.5482,81.78306666666667,79.65883333333333,69.9948,52.9138,55.5995,62.00416666666666,57.96095,72.169,76.24295000000001,70.99896666666666,75.3039,55.0151,47.2383,78.3758,69.18363333333333,55.4242,68.11613333333334
6,2021-04-21,07:30:00,22.875799999999998,32.86093333333333,142.0422,102.92110000000001,98.46929999999999,123.7607,153.6047,43.43245,57.794266666666665,73.09335,97.35103333333332,109.64766666666667,130.69533333333334,91.39063333333335,88.716025,65.5488,30.33005,73.6666,138.481,53.1922,62.72293333333334,140.59843333333333,121.42106666666666,108.1578,69.94765,65.7573,111.12576666666666,55.79480000000001,95.1789,71.775,53.27813333333333,34.46823333333334,108.9719,95.2746,115.1086,85.43176666666666,106.0961,80.07863333333334,57.93386666666667,152.49687500000002,126.26536666666668,109.10886666666666,93.51043333333332,54.71666666666667,48.54659999999999,67.725,101.09922499999999,122.09277499999999,129.6573,147.3172,113.8096,35.874975,89.3789,83.23673333333333,102.40496666666667,127.7965,133.73906666666667,92.71823333333333,124.29899999999999,110.8027,107.39529999999999,109.74506666666666,86.1957,103.97385,82.406,86.03750000000001,46.4457,106.31483333333334,110.04896666666667,70.281,37.67345,117.0492,139.863,69.38906666666666,83.41853333333333,122.305075,97.28853333333332,125.9281,148.0633,126.87185,110.5004,119.195325,106.0139,111.36875,157.20416666666668,110.06484999999999,84.93555,135.48046666666667,59.51520000000001,131.22655,84.00235,102.6245,66.34089999999999,131.4586,121.54025,124.593775,28.1216,33.94533333333333,110.28776666666666,87.282625,52.22606666666667,160.2996,121.9168,102.32996666666668,66.31433333333334,44.942433333333334,65.38826666666667,65.2914,60.068999999999996,93.37265,83.34063333333334,85.4996,46.94220000000001,94.94946666666665,98.57993333333333,64.38203333333333,80.22996666666667,110.65129999999999,69.64246666666666,66.27425
7,2021-04-21,07:45:00,19.53125,24.7461,209.6336,168.4784,212.77969999999996,143.2465,162.66835,183.00782500000003,184.74923333333334,166.7731666666667,159.90235,131.59765,144.04299999999998,217.9505,69.9258,94.8193,30.429933333333334,118.16955,126.09375,214.03593333333333,124.22370000000001,219.3125,105.0487,191.06146666666666,149.9055,220.37006666666665,155.32943333333333,202.3075666666667,161.89456666666666,100.72775,82.10703333333333,26.647133333333333,160.28646666666666,0.0,179.70180000000002,225.04686666666666,153.9098,188.59763333333333,205.36226666666667,175.87476666666666,182.4297,170.67756666666665,126.7918,86.18226666666668,110.5234,150.864275,226.29610000000002,203.9052,131.11405,190.16896666666665,195.3416666666667,151.4836,182.79082499999998,156.30653333333333,174.88206666666665,170.4547,195.45546666666667,206.095125,188.2578,192.4875,150.08555,222.84885,188.65,185.65053333333333,128.0082,119.63803333333334,162.57783333333333,226.1078,135.43383333333333,152.78165,198.45,93.11054999999999,137.1305,152.3698,156.56613333333334,166.5469,158.6133,194.44296666666665,180.91823333333332,201.6073,207.24113333333332,224.98435,186.03905,227.68176666666668,207.500025,204.74636666666666,157.122475,164.59246666666667,226.8288666666667,156.43203333333335,139.9387,169.04736666666668,188.62396666666666,211.68359999999998,242.40236666666667,154.84494999999998,26.717699999999997,24.8039,206.90963333333335,127.43123333333334,170.18205,180.99375,171.42366666666666,111.81876666666666,120.8336,157.1961,156.8581,137.9539,146.025775,89.93905,116.3039,165.75936666666666,95.0117,166.61069999999998,69.8805,159.54295000000002,98.94415000000001,161.99845,151.18233333333333,148.88773333333333
8,2021-04-21,08:00:00,32.827333333333335,77.4799,257.02656666666667,250.4479,260.78222500000004,260.06955,244.73180000000002,261.97133333333335,239.76170000000002,255.97940000000003,262.10490000000004,249.2113,238.73005,249.58956666666666,136.97735,137.8641,66.90206666666667,242.94219999999999,246.51524999999998,253.34025,268.4167,258.57006666666666,228.00195000000002,248.4801,254.9828,256.9531,236.9859333333333,249.72056666666666,231.76173333333335,128.04166666666666,151.381625,70.05286666666667,257.4,254.64999999999998,251.55523333333335,261.541,212.91926666666666,262.4773666666667,244.71533333333332,266.3883,251.09946666666664,243.45833333333334,245.667975,127.7099,130.5263,257.62163333333336,273.81773333333336,250.8508,258.76135,260.06935,278.63554999999997,275.62305000000003,253.9164,248.38906666666665,260.4455666666667,261.87385,264.0706,264.9969,237.8906,262.7871,259.58773333333335,253.1492,276.1630333333333,260.311125,260.6823,251.85195,229.88906666666665,247.11300000000003,248.62035,278.0289,240.24805,222.3578,259.6844,269.03575,255.50026666666668,250.74739999999997,281.3578,261.65195,253.34113333333335,270.29105,252.0996,244.45194999999998,275.97775,266.9133,270.2677,245.41875,253.91365000000002,263.536725,267.21737499999995,272.93655,262.4226333333333,254.98856666666666,261.0102,276.30966666666666,282.2578,268.27734999999996,76.14663333333334,94.971475,242.47446666666667,265.64743333333337,235.48386666666667,253.5082,247.228125,206.33153333333334,208.9699,206.33723333333333,188.6362333333333,191.79039999999998,195.96210000000002,202.38985,188.63853333333336,194.64965,190.13436666666666,205.086725,192.28596666666667,186.214475,196.87813333333335,201.97655,188.94376666666665,197.99686666666665
9,2021-04-21,08:15:00,113.1203,223.6898666666667,292.17425000000003,291.1512,289.5375,293.559975,287.05584999999996,286.02774999999997,292.55899999999997,284.2125,301.5,283.56926666666664,289.9523,291.34426666666667,191.387325,166.48673333333335,175.5469,290.3648666666667,285.3005,290.73670000000004,296.9219,296.75886666666673,291.52186666666665,288.9727,291.7757666666667,292.14973333333336,286.97970000000004,285.4273333333333,278.35859999999997,203.42473333333336,234.80315000000002,180.5754,277.6875,287.3489333333334,291.6573,288.731,244.04335,295.9383,290.439275,295.86310000000003,295.4531,287.0133,296.7031,207.2487,213.25254999999999,292.4805,314.3687,301.2382666666667,298.18125,296.225,296.84569999999997,302.6159,297.864825,289.78240000000005,302.6927333333333,294.6929666666667,307.01563333333337,294.69373333333334,287.0828,295.64713333333333,301.65836666666667,291.00836666666663,294.0234,298.4799666666667,296.070875,298.4766,294.9828,298.7049666666667,292.63696666666664,301.70625,290.78749999999997,294.956075,298.1953,302.32770000000005,301.31095,293.30783333333335,299.05155,300.13199999999995,297.94350000000003,295.27293333333336,299.84766666666667,291.8127,302.4888,310.06055000000003,296.1125,297.5414,292.71015,299.9039,305.9336,303.44375,298.8489666666666,293.9474333333333,293.16586666666666,307.9406,311.367,303.13486666666665,226.71349999999998,224.06560000000002,284.06154999999995,290.45625,281.04295,291.6883,286.64065,236.8284,239.07813333333334,247.0515333333333,236.32695,239.15156666666667,232.76954999999998,236.9469,238.28386666666665,227.47706666666667,234.448825,245.79415,232.51823333333334,227.73399999999998,232.76746666666668,234.8379,232.1065,234.8166666666667
