,Data,Hora,OP1.1.1 V (V),OP1.1.2 V (V),OP1.1.3 V (V),OP1.1.4 V (V),OP1.1.5 V (V),OP1.1.6 V (V),OP1.1.7 V (V),OP1.1.8 V (V),OP1.1.9 V (V),OP1.1.10 V (V),OP1.1.11 V (V),OP1.1.12 V (V),OP1.1.13 V (V),OP1.1.14 V (V),OP1.1.15 V (V),OP1.1.16 V (V),OP1.2.1 V (V),OP1.2.2 V (V),OP1.2.3 V (V),OP1.2.4 V (V),OP1.2.5 V (V),OP1.2.6 V (V),OP1.2.7 V (V),OP1.2.8 V (V),OP1.2.9 V (V),OP1.2.10 V (V),OP1.2.11 V (V),OP1.2.12 V (V),OP1.2.13 V (V),OP1.2.14 V (V),OP1.2.16 V (V),OP1.3.2 V (V),OP1.3.3 V (V),OP1.3.4 V (V),OP1.3.5 V (V),OP1.3.6 V (V),OP1.3.7 V (V),OP1.3.8 V (V),OP1.3.9 V (V),OP1.3.10 V (V),OP1.3.11 V (V),OP1.3.12 V (V),OP1.3.13 V (V),OP1.3.14 V (V),OP1.3.15 V (V),OP1.3.16 V (V)
0,2021-05-29,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-05-29,06:15:00,0.0,0.0,0.0,0.0,85.0,12.171875,0.0,0.0,0.0,0.0,43.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8125,46.275,85.0,5.9375,0.0,9.31547619047619,53.375,0.0,0.0,85.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.8240740740740741,51.375,6.380681818181818,0.0,53.75,0.0,0.0,0.0
2,2021-05-29,06:30:00,51.75,51.3125,51.25,55.09375,51.0,51.708333333333336,53.708333333333336,53.0,44.25,38.208333333333336,43.0,41.583333333333336,42.666666666666664,40.125,40.416666666666664,41.625,53.6875,52.5,52.8125,49.458333333333336,51.6875,58.333333333333336,52.9375,52.0,50.333333333333336,51.708333333333336,32.8125,50.0,49.75,35.083333333333336,52.458333333333336,50.96875,48.5625,52.46875,50.541666666666664,51.03125,52.833333333333336,55.166666666666664,33.5,48.8125,36.416666666666664,50.166666666666664,47.375,30.8125,29.416666666666668,45.125
3,2021-05-29,06:45:00,60.083333333333336,47.708333333333336,51.96875,62.375,56.8125,53.9375,53.75,53.5,38.875,39.0625,36.125,39.291666666666664,40.041666666666664,37.083333333333336,36.65625,38.0625,47.666666666666664,49.1875,51.15625,48.0,49.625,47.9375,54.333333333333336,48.833333333333336,49.833333333333336,43.916666666666664,40.041666666666664,48.5,46.5625,39.458333333333336,46.041666666666664,41.9375,49.0,51.0,56.5,54.1875,67.875,69.875,68.0,39.125,31.791666666666668,53.0,43.5625,28.9375,28.625,36.0
4,2021-05-29,07:00:00,56.8125,57.875,59.5625,61.46875,60.583333333333336,58.03125,58.833333333333336,60.5625,35.958333333333336,33.5,34.0,36.625,35.9375,35.541666666666664,31.8125,35.1875,51.625,54.416666666666664,52.6875,51.916666666666664,53.083333333333336,56.458333333333336,54.125,52.375,56.625,34.333333333333336,32.708333333333336,56.0,47.041666666666664,31.583333333333332,39.75,56.59375,60.416666666666664,54.333333333333336,56.125,58.46875,58.583333333333336,57.6875,57.375,25.375,22.5,59.041666666666664,55.4375,19.3125,19.25,27.458333333333332
5,2021-05-29,07:15:00,57.09375,56.625,58.375,60.333333333333336,57.5625,56.75,57.6875,58.708333333333336,38.0625,34.708333333333336,33.375,35.875,37.625,34.5,35.125,36.75,52.791666666666664,54.583333333333336,54.083333333333336,52.875,52.625,56.875,55.041666666666664,53.0,56.666666666666664,29.208333333333332,26.9375,57.875,55.041666666666664,24.583333333333332,48.125,56.25,59.875,56.291666666666664,55.583333333333336,55.5625,58.875,57.375,58.166666666666664,21.583333333333332,18.416666666666668,56.3125,57.8125,15.9375,15.041666666666666,53.666666666666664
6,2021-05-29,07:30:00,53.5,53.96875,55.71875,57.125,55.78125,54.375,54.5,55.833333333333336,40.15625,38.0625,36.458333333333336,39.208333333333336,40.0,37.708333333333336,37.916666666666664,39.041666666666664,52.625,54.9375,54.625,52.916666666666664,53.8125,56.5625,55.166666666666664,53.333333333333336,56.25,26.875,23.40625,56.5,55.208333333333336,21.208333333333332,57.125,56.0625,58.5,55.208333333333336,54.666666666666664,55.708333333333336,57.625,56.083333333333336,56.875,24.875,18.625,56.5,58.0,16.6875,15.8125,54.75
7,2021-05-29,07:45:00,52.40625,51.3125,52.791666666666664,53.84375,52.708333333333336,52.458333333333336,52.4375,53.625,42.833333333333336,40.875,39.0,41.083333333333336,42.28125,40.5,41.458333333333336,41.5,52.875,54.791666666666664,53.666666666666664,53.166666666666664,53.5,57.0625,54.75,52.875,55.125,31.333333333333332,26.666666666666668,55.0625,55.3125,24.625,55.333333333333336,53.4375,56.09375,53.0,52.9375,54.166666666666664,54.75,54.125,55.333333333333336,37.0625,17.5,53.75,54.916666666666664,20.40625,16.958333333333332,53.75
8,2021-05-29,08:00:00,51.3125,51.5625,52.041666666666664,53.625,52.5625,52.083333333333336,52.1875,52.71875,42.5,40.666666666666664,40.291666666666664,41.958333333333336,42.625,40.875,40.833333333333336,41.8125,53.916666666666664,56.083333333333336,55.25,54.541666666666664,54.875,56.958333333333336,55.583333333333336,55.0,57.166666666666664,27.125,20.666666666666668,57.5625,55.458333333333336,17.666666666666668,56.458333333333336,54.333333333333336,55.625,53.083333333333336,53.0,53.666666666666664,55.375,54.25,54.5625,51.625,18.625,54.333333333333336,56.083333333333336,14.375,13.4375,52.833333333333336
9,2021-05-29,08:15:00,51.375,51.166666666666664,51.3125,52.4375,51.5625,51.666666666666664,51.541666666666664,52.0,43.09375,41.208333333333336,40.125,42.0625,42.5,41.28125,41.0625,42.083333333333336,54.1875,56.75,55.8125,54.416666666666664,54.9375,57.708333333333336,55.958333333333336,54.458333333333336,57.21875,33.791666666666664,19.4375,57.75,55.666666666666664,16.1875,57.0,55.25,56.541666666666664,53.875,54.166666666666664,54.5,55.75,55.208333333333336,55.8125,53.96875,11.916666666666666,54.875,56.125,10.625,9.958333333333334,54.833333333333336
