,Data,Hora,P1.1.1 V (V),P1.1.2 V (V),P1.1.3 V (V),P1.1.4 V (V),P1.1.5 V (V),P1.1.6 V (V),P1.1.7 V (V),P1.1.8 V (V),P1.1.9 V (V),P1.1.10 V (V),P1.1.11 V (V),P1.1.12 V (V),P1.1.13 V (V),P1.1.14 V (V),P1.1.15 V (V),P1.1.16 V (V),P1.2.1 V (V),P1.2.2 V (V),P1.2.3 V (V),P1.2.4 V (V),P1.2.5 V (V),P1.2.6 V (V),P1.2.7 V (V),P1.2.8 V (V),P1.2.9 V (V),P1.2.11 V (V),P1.2.12 V (V),P1.2.13 V (V),P1.2.14 V (V),P1.2.15 V (V),P1.2.16 V (V),P1.3.1 V (V),P1.3.2 V (V),P1.3.3 V (V),P1.3.4 V (V),P1.3.5 V (V),P1.3.6 V (V),P1.3.7 V (V),P1.3.9 V (V),P1.3.10 V (V),P1.3.11 V (V),P1.3.12 V (V),P1.3.13 V (V),P1.3.14 V (V),P1.3.15 V (V),P1.3.16 V (V)
0,2021-05-29,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-05-29,06:15:00,0.0,0.0,0.0,0.0,70.0,67.83854166666667,0.0,0.0,0.0,0.0,60.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.96875,71.175,70.875,68.4140625,0.0,67.7202380952381,0.0,0.0,72.25,0.0,0.0,0.0,0.0,0.0,70.75,0.0,0.0,0.0,0.0,67.43055555555556,65.125,68.63068181818181,0.0,57.875,0.0,0.0,0.0
2,2021-05-29,06:30:00,61.333333333333336,63.34375,58.875,62.625,57.25,60.916666666666664,60.541666666666664,59.083333333333336,63.375,62.75,63.75,62.166666666666664,63.541666666666664,57.541666666666664,59.291666666666664,62.0,61.75,58.875,59.625,62.791666666666664,60.375,57.5,62.1875,59.5,58.875,64.625,62.1875,60.25,53.583333333333336,48.875,62.875,49.958333333333336,60.0625,55.75,63.65625,58.291666666666664,64.125,57.625,63.458333333333336,67.25,59.75,64.54166666666667,56.25,59.6875,52.291666666666664,60.125
3,2021-05-29,06:45:00,67.41666666666667,70.33333333333333,64.5625,72.125,67.75,70.4375,64.79166666666667,66.375,67.8125,61.1875,65.0625,66.29166666666667,66.70833333333333,64.20833333333333,66.15625,65.3125,63.708333333333336,65.84375,64.59375,65.91666666666667,66.0625,57.5,66.75,60.541666666666664,65.08333333333333,67.375,66.25,65.9375,65.875,61.0625,65.125,63.46875,68.4375,72.0,70.5625,68.46875,68.1875,67.0,69.75,70.625,64.83333333333333,70.0,64.125,67.34375,68.0625,67.5625
4,2021-05-29,07:00:00,66.4375,70.1875,69.5625,71.53125,71.79166666666667,69.125,70.33333333333333,70.8125,70.25,69.91666666666667,67.6875,68.875,69.09375,69.29166666666667,68.375,69.625,68.1875,68.70833333333333,70.25,69.75,70.75,69.375,70.33333333333333,68.25,69.5,72.41666666666667,70.9375,73.45833333333333,71.125,70.20833333333333,72.04166666666667,71.4375,70.96875,69.66666666666667,67.45833333333333,69.9375,70.4375,68.20833333333333,68.08333333333333,77.66666666666667,74.9375,71.375,65.0,71.875,71.0625,76.875
5,2021-05-29,07:15:00,70.40625,71.33333333333333,71.625,73.29166666666667,70.6875,71.5,71.5625,71.33333333333333,71.0,70.875,71.875,71.08333333333333,70.375,70.75,70.75,72.3125,70.5,70.875,71.75,71.4375,71.8125,71.625,71.45833333333333,70.25,70.95833333333333,73.75,71.4375,73.375,73.79166666666667,70.25,74.5,70.91666666666667,71.875,71.70833333333333,71.04166666666667,70.95833333333333,72.0625,70.9375,70.45833333333333,80.20833333333333,76.25,72.5625,71.75,75.65625,73.125,73.125
6,2021-05-29,07:30:00,71.5,71.8125,71.3125,72.625,72.34375,71.625,70.8125,71.58333333333333,72.25,71.0625,70.29166666666667,70.375,71.20833333333333,70.625,70.83333333333333,72.45833333333333,70.0625,69.875,71.625,72.375,72.5,70.6875,71.875,71.625,71.3125,77.15625,71.5625,74.0,75.70833333333333,71.70833333333333,71.08333333333333,70.20833333333333,72.5625,72.375,70.875,72.08333333333333,71.75,71.09375,71.25,79.3125,78.625,72.4375,71.90625,76.4375,74.6875,73.5
7,2021-05-29,07:45:00,70.34375,71.5,71.33333333333333,71.75,70.75,71.75,71.28125,71.0,70.41666666666667,70.5,71.08333333333333,71.95833333333333,70.78125,71.125,70.04166666666667,71.91666666666667,69.6875,70.75,70.5,71.95833333333333,71.625,72.5625,72.04166666666667,70.3125,71.41666666666667,77.5,71.46875,72.9375,75.9375,75.875,70.95833333333333,70.375,71.5,71.875,70.15625,71.125,71.54166666666667,71.125,71.16666666666667,78.25,80.25,71.53125,71.54166666666667,77.4375,76.45833333333333,73.25
8,2021-05-29,08:00:00,70.1875,72.5,71.04166666666667,72.41666666666667,71.25,71.66666666666667,71.6875,70.96875,72.4375,70.375,70.95833333333333,71.95833333333333,71.375,71.0,71.08333333333333,72.0625,70.41666666666667,70.875,72.0625,71.91666666666667,71.875,71.45833333333333,71.45833333333333,72.41666666666667,71.625,78.125,72.0,73.66666666666667,77.91666666666667,76.83333333333333,71.5,70.91666666666667,71.41666666666667,73.5,71.45833333333333,71.5,71.625,72.0,70.75,72.95833333333333,79.41666666666667,72.0,72.125,78.375,77.125,72.08333333333333
9,2021-05-29,08:15:00,71.4375,72.25,71.625,71.5625,70.5,72.66666666666667,71.83333333333333,71.125,72.75,71.83333333333333,71.9375,71.9375,72.6875,71.90625,71.5,72.45833333333333,70.9375,72.5625,72.375,72.0,72.5625,72.875,72.625,71.5,71.875,77.9375,72.71875,73.45833333333333,77.25,74.9375,71.4375,70.83333333333333,72.16666666666667,72.83333333333333,72.0,72.875,71.95833333333333,71.95833333333333,72.1875,72.21875,82.20833333333333,72.875,72.08333333333333,80.66666666666667,78.16666666666667,74.20833333333333
