,Data,Hora,P1.1.1 P (W),P1.1.2 P (W),P1.1.3 P (W),P1.1.4 P (W),P1.1.5 P (W),P1.1.6 P (W),P1.1.7 P (W),P1.1.8 P (W),P1.1.9 P (W),P1.1.10 P (W),P1.1.12 P (W),P1.1.13 P (W),P1.1.14 P (W),P1.1.15 P (W),P1.1.16 P (W),P1.2.1 P (W),P1.2.2 P (W),P1.2.3 P (W),P1.2.4 P (W),P1.2.5 P (W),P1.2.6 P (W),P1.2.7 P (W),P1.2.8 P (W),P1.2.9 P (W),P1.2.10 P (W),P1.2.11 P (W),P1.2.13 P (W),P1.2.14 P (W),P1.2.15 P (W),P1.2.16 P (W),P1.3.1 P (W),P1.3.2 P (W),P1.3.4 P (W),P1.3.5 P (W),P1.3.6 P (W),P1.3.7 P (W),P1.3.8 P (W),P1.3.9 P (W),P1.3.10 P (W),P1.3.11 P (W),P1.3.12 P (W),P1.3.13 P (W),P1.3.14 P (W),P1.3.15 P (W),P1.3.16 P (W)
3,2021-07-06,06:45:00,23.6578,12.501066666666667,18.023966666666666,11.9414,10.531799999999999,18.0375,20.3881,13.541933333333333,17.34335,15.03125,14.730699999999999,13.24065,8.4857,7.471366666666667,8.894533333333333,10.101333333333333,10.1073,8.01095,8.628933333333334,10.208866666666667,4.2289,8.8738,3.9234333333333336,8.07145,17.3237,11.576566666666666,9.5573,10.13205,3.3369999999999997,8.100299999999999,7.174799999999999,7.473199999999999,12.757033333333334,17.964225,26.73985,25.9031,25.516399999999997,3.3637,11.121366666666667,7.362500000000001,14.31926666666667,5.021125,11.155075,10.289850000000001,7.23435
4,2021-07-06,07:00:00,50.021366666666665,48.513000000000005,52.56365,54.949733333333334,53.910925,52.681275,55.012766666666664,50.95855,30.642200000000003,26.460966666666668,31.85235,29.328933333333328,21.080466666666666,18.3211,25.124466666666667,25.755233333333333,25.364333333333335,22.213533333333334,22.19845,21.4785,22.903633333333335,23.5959,16.48825,21.930733333333336,23.4344,16.354166666666668,20.364675000000002,13.390633333333334,7.188533333333332,15.747666666666666,45.4648,47.619533333333344,52.991425,45.96445,57.75806666666667,49.13635,52.794266666666665,60.4922,18.0703,13.4315,60.15195,30.51823333333333,15.627749999999999,17.46066666666667,14.9
5,2021-07-06,07:15:00,80.39065,76.53864999999999,76.75416666666666,92.00260000000002,87.5746,82.16120000000001,82.57889999999999,78.51716666666665,57.84845,48.7383,52.41643333333334,54.8281,42.9828,38.490633333333335,44.05076666666667,47.619550000000004,45.01876666666667,40.87603333333333,43.8,41.013266666666674,40.41616666666667,45.39846666666667,28.06095,43.502100000000006,28.739066666666663,20.345866666666666,49.3781,17.16995,8.906266666666665,35.725,68.43635,79.28933333333333,91.8469,75.87580000000001,83.8232,78.9435,87.24246666666666,80.90584999999999,21.824766666666665,18.008566666666667,88.43696666666666,84.3785,20.789333333333335,19.344800000000003,34.544533333333334
6,2021-07-06,07:30:00,104.43486666666666,117.10974999999999,109.111525,124.21303333333333,117.72812499999999,118.50080000000001,112.1113,107.6878,86.3844,75.1791,76.9695,79.6354,64.80886666666667,64.16146666666667,75.66666666666667,65.67110000000001,68.6508,67.86956666666667,61.958866666666665,69.58515,67.06353333333334,71.14455000000001,59.235150000000004,70.14765,33.5862,24.363799999999998,70.5078,19.513266666666667,11.731766666666665,76.80856666666666,87.9,114.269525,107.04686666666667,110.3754,116.51979999999999,119.76485,115.9578,106.38960000000002,25.527600000000003,21.60855,122.55625,101.0547,21.6086,22.8867,108.85963333333332
7,2021-07-06,07:45:00,141.9648666666667,149.870125,143.22655,157.54323333333335,151.3434,149.29025000000001,141.34064999999998,0.0,110.55053333333335,109.91995,104.7789,108.54480000000001,100.96915,94.93073333333332,104.87393333333334,95.52145,106.00806666666666,98.08646666666665,89.11525,98.98904999999999,94.91405,101.72996666666667,91.64375000000001,97.69426666666668,36.994550000000004,27.23176666666667,110.22943333333332,21.616433333333333,13.380200000000002,106.61406666666669,127.63023333333332,150.2633,147.374025,135.34896666666666,148.33395000000002,142.4062,146.0547,143.313075,49.181650000000005,20.447366666666667,157.31565,147.001175,23.8664,24.76093333333333,146.1141
8,2021-07-06,08:00:00,167.33283333333335,184.31095,173.82420000000002,187.1482,175.2476333333333,175.35625,173.65292499999998,167.03750000000002,142.89036666666667,142.59973333333332,151.475,137.625,126.9344,128.0016,136.13933333333333,128.8008,131.48383333333334,128.16956666666667,128.9625,131.02505,129.7255,136.47006666666667,121.4543,132.11513333333332,38.71613333333333,27.374200000000002,135.38985,24.3099,14.78045,140.22083333333333,159.631,177.15416666666667,171.20505,169.85605,183.77160000000003,174.0008,176.3543,172.1297,155.44273333333334,23.174966666666666,178.5547,176.2957,26.1336,26.719800000000003,169.65913333333333
9,2021-07-06,08:15:00,203.681075,207.0185,205.40705,214.08646666666667,207.96815,204.50074999999998,205.9668,202.12969999999999,172.32943333333333,158.4844,168.49415,173.55936666666665,152.60975,157.3281,176.41405,161.2268333333333,162.98046666666667,158.11406666666667,163.42735,165.1979,166.8703,169.71823333333333,148.22343333333333,161.3448,85.86875,28.835400000000003,167.4263,25.644033333333336,14.272133333333334,170.2771,198.4125,202.96483333333333,198.5781,193.1508,213.09193333333334,200.8685,205.8862,200.3270666666667,199.85156666666663,24.5332,213.67163333333335,206.4547,27.019000000000002,26.619149999999998,199.26693333333333
10,2021-07-06,08:30:00,233.78643333333332,234.1625,231.94010000000003,244.4917,234.4922,228.3039,234.6328,231.71365,206.96169999999998,192.2455666666667,204.17916666666667,199.888,199.1129,175.75,201.81795,194.53285,191.80676666666668,189.95883333333336,188.85155,192.95155,188.5599,208.6906,172.73245,191.51853333333335,139.34166666666667,30.416666666666668,199.77056666666667,27.333333333333332,15.402350000000002,201.814475,221.14243333333334,231.9315,225.00756666666666,223.0258,237.96043333333333,231.00097499999998,234.6315,226.47083333333333,224.3168,23.686733333333336,244.0621,236.34530000000004,27.348966666666666,28.27503333333333,228.35753333333332
11,2021-07-06,08:45:00,0.0,260.36075,254.47293333333332,263.4035,259.055275,255.52266666666665,255.66795,251.88333333333333,232.2911333333333,224.39556666666667,230.8880333333333,226.04296666666664,222.75443333333337,213.86329999999998,216.66875,220.09494999999998,220.97496666666666,219.1744666666667,217.84063333333333,212.82810000000003,217.84893333333332,226.62266666666665,207.39763333333335,226.23985,214.8297,30.563266666666664,226.18046666666666,27.370533333333338,17.0898,231.2332,240.37615,262.30785000000003,258.90569999999997,246.1323,264.5018,256.3945,263.32815000000005,255.61586666666668,254.2047,25.813266666666664,265.5832,257.28776666666664,28.1542,27.973166666666668,257.6388
12,2021-07-06,09:00:00,266.1797,283.5281,278.19730000000004,285.2248,282.8516,272.306,272.042375,271.8179666666667,258.87603333333334,252.084575,256.8854333333333,254.7437666666667,245.2215,235.80259999999998,245.95493333333334,239.31835,249.19609999999997,242.22316666666666,240.51200000000003,243.689075,243.45235,248.06445000000002,231.73543333333336,256.668,254.525,31.479933333333335,256.8752666666667,27.741666666666664,16.170299999999997,253.09716666666668,259.6421666666667,276.8341,278.8323,272.63675,282.2989333333333,271.8007666666667,280.71823333333333,285.1031,277.88336666666663,67.3656,288.38592500000004,275.3938,29.30355,29.330849999999998,279.54295
