,Data,Hora,OP1.1.1 I (A),OP1.1.2 I (A),OP1.1.3 I (A),OP1.1.4 I (A),OP1.1.5 I (A),OP1.1.6 I (A),OP1.1.7 I (A),OP1.1.8 I (A),OP1.1.9 I (A),OP1.1.10 I (A),OP1.1.11 I (A),OP1.1.12 I (A),OP1.1.13 I (A),OP1.1.14 I (A),OP1.1.16 I (A),OP1.2.1 I (A),OP1.2.2 I (A),OP1.2.3 I (A),OP1.2.4 I (A),OP1.2.5 I (A),OP1.2.6 I (A),OP1.2.7 I (A),OP1.2.8 I (A),OP1.2.9 I (A),OP1.2.10 I (A),OP1.2.11 I (A),OP1.2.12 I (A),OP1.2.13 I (A),OP1.2.14 I (A),OP1.2.15 I (A),OP1.2.16 I (A),OP1.3.1 I (A),OP1.3.2 I (A),OP1.3.4 I (A),OP1.3.5 I (A),OP1.3.6 I (A),OP1.3.7 I (A),OP1.3.8 I (A),OP1.3.9 I (A),OP1.3.10 I (A),OP1.3.11 I (A),OP1.3.12 I (A),OP1.3.13 I (A),OP1.3.14 I (A),OP1.3.15 I (A),OP1.3.16 I (A)
0,2021-06-06,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-06-06,06:15:00,0.0,0.0,0.0,0.0,0.0,0.00441764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188,0.0,0.001388888888888889,0.0,0.002515,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01253125,0.0,0.0,0.0,0.0,0.0
2,2021-06-06,06:30:00,0.08750000000000001,0.1219,0.05,0.12190000000000001,0.040625,0.02571111111111111,0.08126666666666667,0.07815,0.14685,0.12815,0.1104,0.17916666666666667,0.11875,0.059399999999999994,0.09375,0.1,0.10625000000000001,0.07815,0.01771666666666667,0.031266666666666665,0.010416666666666666,0.00126,0.0,0.016666666666666666,0.13876,0.1281,0.11876666666666667,0.05836666666666667,0.0938,0.0156,0.13125,0.029166666666666664,0.1188,0.11565,0.0469,0.1844,0.04065,0.09375,0.0078125,0.07815,0.011725,0.19169999999999998,0.0375,0.1125,0.1281,0.07815
3,2021-06-06,06:45:00,0.2094,0.25780000000000003,0.1646,0.2521,0.2125,0.24373333333333336,0.24376666666666666,0.21255,0.26253333333333334,0.2521,0.21253333333333332,0.2812333333333333,0.26043333333333335,0.1812666666666667,0.18435,0.2292,0.20833333333333334,0.1844,0.17500000000000002,0.20005,0.1292,0.17503333333333335,0.08753333333333334,0.17293333333333336,0.3292,0.21456666666666666,0.24793333333333334,0.21666666666666665,0.18546666666666667,0.1125,0.24065,0.14376666666666668,0.24586666666666668,0.24380000000000002,0.18543333333333334,0.30833333333333335,0.1896,0.24222499999999997,0.16043333333333334,0.2422,0.16043333333333334,0.30625,0.150025,0.21565,0.22293333333333332,0.19583333333333333
4,2021-06-06,07:00:00,0.4291333333333333,0.375,0.3396333333333333,0.4479,0.3188,0.47289999999999993,0.29685,0.5208666666666667,0.3499999999999999,0.3666666666666667,0.32916666666666666,0.40315,0.3541666666666667,0.33594999999999997,0.3021,0.35003333333333336,0.32916666666666666,0.28336666666666666,0.26666666666666666,0.2896,0.24380000000000002,0.2604666666666667,0.225,0.30627499999999996,0.4094,0.25315,0.3375,0.3333333333333333,0.26875,0.1406,0.30619999999999997,0.3094,0.375,0.32083333333333336,0.32503333333333334,0.5140750000000001,0.32916666666666666,0.4687666666666666,0.31043333333333334,0.33440000000000003,0.25003333333333333,0.43543333333333334,0.26255,0.29375,0.29583333333333334,0.28595
5,2021-06-06,07:15:00,1.4344000000000001,1.2625,1.2250333333333332,1.2625,1.2781500000000001,1.2,1.231275,1.3063,0.7063,0.8062666666666667,0.6854333333333334,0.8354333333333334,0.8417,0.7625,0.7395999999999999,0.7437666666666667,0.77815,0.7083666666666666,0.6479,0.7531500000000001,0.75,0.7,0.6104666666666666,0.0,0.5042,0.39996666666666664,0.7583333333333333,0.86875,0.37185,0.26565,0.5437666666666666,1.1109499999999999,1.1812666666666667,1.20005,1.17815,1.2313,1.2729333333333333,1.3000333333333334,1.19065,0.46565,0.38439999999999996,1.3229666666666666,1.3042,0.4167,0.4145999999999999,0.8344
6,2021-06-06,07:30:00,1.66255,1.6708333333333334,1.6854666666666667,1.7625,1.7999999999999998,1.64065,1.75625,1.5896,1.2083666666666668,1.1292,1.1219000000000001,1.1604666666666665,1.2542,1.0718999999999999,1.1562666666666668,1.0437666666666667,1.0896,1.0,1.0469,1.0406499999999999,1.1094,1.0916666666666668,1.00005,1.1625333333333332,0.5708666666666667,0.4437,1.1646,1.1541666666666668,0.45315,0.2979,1.1969,1.5937666666666666,1.76565,1.6312666666666669,1.54375,1.7791666666666668,1.6854333333333333,1.7667000000000002,1.7229333333333334,0.529725,0.0,1.7833666666666668,1.7172,0.4625333333333333,0.4687666666666666,1.4458333333333335
7,2021-06-06,07:45:00,2.07505,2.062533333333333,2.1188,2.097933333333333,2.1208666666666667,2.1000333333333336,2.07505,2.02505,1.6062666666666667,1.4729333333333334,1.3813000000000002,1.5594000000000001,1.5500333333333334,1.4406500000000002,1.4479333333333333,1.4271,1.5312666666666666,1.26255,1.39375,1.3791666666666667,1.3666333333333334,1.475,1.2396333333333334,1.6,0.5437666666666666,0.4312666666666667,1.54065,1.5125,0.3875333333333333,0.2604,1.4969000000000001,1.94375,2.11565,2.0354666666666668,1.9156499999999999,2.1458666666666666,2.1625,2.1438,2.0625,1.2896333333333334,0.41043333333333337,2.25625,2.16255,0.4291666666666667,0.4145666666666667,1.9542000000000002
8,2021-06-06,08:00:00,2.3375,2.5375,2.39685,2.564075,2.4291666666666667,2.5542000000000002,2.4516,2.5688,2.03125,1.9422,1.9156499999999999,1.9208333333333334,1.9708666666666668,1.9031500000000001,1.9104333333333334,1.8000333333333334,1.9312500000000001,1.7750333333333332,1.7312666666666667,1.8333333333333333,1.7562666666666666,1.7937666666666665,1.6812666666666665,1.907825,0.590625,0.41873333333333335,1.9187750000000001,1.9062333333333334,0.3937333333333333,0.2354333333333333,1.9479333333333333,2.2375333333333334,2.4854333333333334,2.4333666666666667,2.3583333333333334,2.602133333333333,2.45,2.4968500000000002,2.5063,2.2094,0.3656,2.5646,2.53755,0.40155,0.40469999999999995,2.3521
9,2021-06-06,08:15:00,2.8656500000000005,2.88125,2.758366666666667,2.9344,2.875033333333333,3.02815,2.9656000000000002,2.7604333333333333,2.575,2.3813,2.2542,2.3687666666666667,2.4146,2.257825,2.275,2.331225,2.35625,2.3468999999999998,2.23125,2.1729333333333334,2.235466666666667,2.2645666666666666,2.1875,2.3666666666666667,1.16255,0.3874666666666666,2.3625499999999997,2.3208333333333333,0.3708,0.2313,2.3188,2.6750000000000003,2.8729,2.8594,2.7583333333333333,2.945866666666667,2.852066666666667,2.892225,2.8541666666666665,2.7749666666666664,0.35,2.91875,2.8479333333333336,0.3781,0.38439999999999996,2.764566666666667
