,Data,Hora,P1.1.1 V (V),P1.1.2 V (V),P1.1.3 V (V),P1.1.4 V (V),P1.1.5 V (V),P1.1.6 V (V),P1.1.7 V (V),P1.1.9 V (V),P1.1.10 V (V),P1.1.11 V (V),P1.1.12 V (V),P1.1.13 V (V),P1.1.14 V (V),P1.1.15 V (V),P1.1.16 V (V),P1.2.1 V (V),P1.2.2 V (V),P1.2.3 V (V),P1.2.4 V (V),P1.2.5 V (V),P1.2.6 V (V),P1.2.7 V (V),P1.2.8 V (V),P1.2.9 V (V),P1.2.10 V (V),P1.2.11 V (V),P1.2.12 V (V),P1.2.13 V (V),P1.2.14 V (V),P1.2.15 V (V),P1.2.16 V (V),P1.3.1 V (V),P1.3.2 V (V),P1.3.3 V (V),P1.3.4 V (V),P1.3.5 V (V),P1.3.6 V (V),P1.3.7 V (V),P1.3.8 V (V),P1.3.9 V (V),P1.3.10 V (V),P1.3.11 V (V),P1.3.12 V (V),P1.3.13 V (V),P1.3.14 V (V),P1.3.15 V (V),P1.3.16 V (V)
10,2021-02-17,08:30:00,70.66666666666667,71.0625,69.4375,69.75,69.83333333333333,71.75,69.875,71.20833333333333,71.09375,70.83333333333333,70.125,71.54166666666667,71.84375,69.95833333333333,71.375,70.125,69.75,70.75,70.9375,71.29166666666667,70.625,70.58333333333333,71.1875,70.08333333333333,71.75,71.25,70.66666666666667,70.83333333333333,73.25,77.21875,70.08333333333333,72.125,71.5,71.375,70.75,70.875,70.45833333333333,70.375,71.08333333333333,71.58333333333333,70.5,70.20833333333333,69.625,70.625,71.75,73.79166666666667,70.875
11,2021-02-17,08:45:00,68.5,68.6875,69.875,70.875,70.45833333333333,69.70833333333333,70.3125,69.95833333333333,70.33333333333333,69.375,68.875,69.625,70.79166666666667,68.5,69.875,69.4375,70.375,69.65625,70.375,70.83333333333333,70.08333333333333,70.8125,69.625,69.75,70.16666666666667,70.5,69.41666666666667,70.45833333333333,72.41666666666667,74.75,70.65625,70.375,69.9375,69.5,69.5625,70.125,70.08333333333333,70.25,70.5,69.70833333333333,70.1875,69.75,69.95833333333333,69.91666666666667,70.25,71.375,70.75
12,2021-02-17,09:00:00,68.41666666666667,69.8125,69.65625,69.58333333333333,69.66666666666667,69.54166666666667,69.84375,69.375,69.54166666666667,69.375,69.8125,69.75,70.0625,69.25,68.95833333333333,69.08333333333333,70.875,71.0625,70.33333333333333,70.20833333333333,70.91666666666667,69.20833333333333,70.1875,70.58333333333333,70.08333333333333,70.125,69.625,69.08333333333333,71.08333333333333,73.08333333333333,69.41666666666667,68.54166666666667,71.58333333333333,71.04166666666667,69.33333333333333,70.15625,69.25,68.91666666666667,70.1875,70.0,69.83333333333333,70.34375,69.79166666666667,69.58333333333333,70.5,71.0,70.40625
13,2021-02-17,09:15:00,69.75,71.25,70.5625,71.33333333333333,69.54166666666667,70.9375,70.79166666666667,70.41666666666667,71.45833333333333,70.0,70.83333333333333,69.625,69.875,70.54166666666667,69.9375,69.45833333333333,70.125,70.1875,71.8125,71.875,71.33333333333333,70.41666666666667,70.625,70.3125,70.25,68.5625,70.16666666666667,69.75,70.4375,70.71875,70.0,69.3125,70.75,71.375,69.25,70.875,69.83333333333333,69.875,70.875,71.0,69.58333333333333,69.29166666666667,70.0625,69.58333333333333,69.59375,69.3125,69.3125
14,2021-02-17,09:30:00,66.875,67.90625,67.625,67.625,67.95833333333333,67.20833333333333,67.125,69.1875,68.54166666666667,67.875,69.0,67.5625,68.125,67.75,68.70833333333333,67.75,68.66666666666667,68.04166666666667,68.625,69.125,68.4375,68.625,68.41666666666667,68.8125,68.3125,68.1875,68.16666666666667,68.96875,68.375,69.25,68.0,67.125,69.375,68.5,67.33333333333333,67.5,67.58333333333333,67.33333333333333,68.20833333333333,67.83333333333333,67.29166666666667,66.8125,68.09375,67.16666666666667,66.29166666666667,66.79166666666667,67.45833333333333
15,2021-02-17,09:45:00,67.375,69.0625,68.0,68.91666666666667,67.75,67.1875,67.16666666666667,67.78125,68.625,67.0,68.04166666666667,67.91666666666667,67.8125,67.25,66.6875,68.25,67.9375,67.875,68.875,68.66666666666667,68.08333333333333,68.20833333333333,68.375,67.875,68.1875,67.875,69.25,68.29166666666667,70.0,72.125,68.75,68.16666666666667,68.28125,67.75,67.25,68.0,68.33333333333333,66.95833333333333,69.125,67.875,67.04166666666667,67.0625,67.5,67.0625,68.5,70.0,68.375
16,2021-02-17,10:00:00,66.83333333333333,68.0625,67.0,66.58333333333333,65.875,67.33333333333333,65.9375,67.45833333333333,67.58333333333333,67.16666666666667,67.45833333333333,67.0625,68.0,66.9375,67.75,67.04166666666667,67.70833333333333,67.625,68.0,68.75,67.58333333333333,68.125,68.65625,68.33333333333333,68.0,68.20833333333333,68.15625,68.125,69.125,70.4375,68.33333333333333,67.33333333333333,67.875,67.75,66.875,67.5625,66.45833333333333,66.625,68.3125,67.79166666666667,67.29166666666667,66.95833333333333,67.5,66.70833333333333,67.5,68.78125,68.0
17,2021-02-17,10:15:00,68.0,68.625,68.25,68.5,67.79166666666667,67.70833333333333,67.125,68.54166666666667,67.75,67.875,68.33333333333333,68.0625,67.875,68.66666666666667,68.28125,67.875,68.45833333333333,68.0625,69.0625,69.0625,69.0,69.16666666666667,68.70833333333333,69.0625,68.125,67.66666666666667,68.375,68.9375,69.91666666666667,70.5625,68.29166666666667,68.5625,69.25,67.90625,68.16666666666667,68.65625,67.6875,67.875,67.95833333333333,68.29166666666667,66.6875,67.33333333333333,68.41666666666667,67.29166666666667,68.08333333333333,69.75,68.625
18,2021-02-17,10:30:00,67.5625,69.5,69.5,69.45833333333333,68.66666666666667,69.25,69.0,69.04166666666667,70.125,68.375,68.625,68.75,68.75,68.625,69.125,68.58333333333333,69.33333333333333,68.95833333333333,69.79166666666667,68.625,69.6875,69.83333333333333,69.125,69.21875,68.875,68.41666666666667,69.29166666666667,69.0,69.83333333333333,71.91666666666667,68.83333333333333,68.79166666666667,70.0,69.29166666666667,68.83333333333333,70.5,68.58333333333333,68.8125,69.625,69.625,69.6875,69.375,69.41666666666667,68.79166666666667,69.33333333333333,70.15625,69.33333333333333
19,2021-02-17,10:45:00,67.29166666666667,67.375,67.75,67.0,67.5625,68.34375,67.4375,67.58333333333333,67.65625,68.25,68.1875,67.29166666666667,67.45833333333333,67.375,67.84375,66.79166666666667,69.5,68.6875,68.16666666666667,68.08333333333333,68.08333333333333,68.5,68.45833333333333,68.125,68.25,66.625,66.875,67.6875,68.0,69.9375,67.625,67.75,68.25,67.125,67.0,67.79166666666667,67.45833333333333,68.125,68.6875,67.08333333333333,67.375,66.84375,68.41666666666667,66.25,67.41666666666667,67.8125,67.75
20,2021-02-17,11:00:00,66.375,66.9375,67.5,66.25,67.125,67.25,65.875,67.75,67.25,66.0625,67.0,66.5625,66.75,66.20833333333333,67.33333333333333,67.0625,66.75,66.9375,67.83333333333333,67.75,67.75,67.75,67.83333333333333,66.66666666666667,66.0,65.66666666666667,66.875,67.125,66.53125,68.5,67.54166666666667,66.66666666666667,68.25,67.625,67.875,68.1875,66.41666666666667,66.5,67.375,67.33333333333333,66.75,67.08333333333333,67.375,0.0,67.625,67.20833333333333,67.875
21,2021-02-17,11:15:00,66.375,67.6875,67.08333333333333,68.20833333333333,66.875,68.125,66.875,67.125,68.1875,67.53125,67.04166666666667,66.58333333333333,67.03125,66.66666666666667,67.20833333333333,66.70833333333333,67.75,67.29166666666667,67.875,68.16666666666667,67.75,67.66666666666667,67.8125,67.95833333333333,67.16666666666667,65.78125,67.66666666666667,67.45833333333333,67.58333333333333,69.45833333333333,67.08333333333333,67.25,68.33333333333333,67.53125,67.5,69.0,66.91666666666667,67.66666666666667,67.91666666666667,67.9375,67.75,66.75,67.6875,66.79166666666667,67.45833333333333,67.54166666666667,0.0
22,2021-02-17,11:30:00,64.58333333333333,65.66666666666667,65.25,65.33333333333333,64.79166666666667,66.375,64.45833333333333,65.8125,65.84375,64.875,66.125,65.375,65.1875,65.9375,65.625,65.25,65.79166666666667,65.3125,66.41666666666667,65.9375,65.70833333333333,67.25,65.59375,65.8125,66.1875,65.8125,66.58333333333333,66.875,65.875,66.25,66.125,65.91666666666667,66.91666666666667,66.04166666666667,65.25,64.90625,64.625,65.25,65.1875,65.28125,65.0,64.875,65.4375,64.6875,66.08333333333333,64.66666666666667,66.375
