,Data,Hora,OP3.1.1 I (A),OP3.1.2 I (A),OP3.1.3 I (A),OP3.1.4 I (A),OP3.1.5 I (A),OP3.1.6 I (A),OP3.1.7 I (A),OP3.1.8 I (A),OP3.1.9 I (A),OP3.1.10 I (A),OP3.1.11 I (A),OP3.1.12 I (A),OP3.1.13 I (A),OP3.1.14 I (A),OP3.1.15 I (A),OP3.1.16 I (A),OP3.2.1 I (A),OP3.2.3 I (A),OP3.2.4 I (A),OP3.2.5 I (A),OP3.2.7 I (A),OP3.2.8 I (A),OP3.2.9 I (A),OP3.2.10 I (A),OP3.2.12 I (A),OP3.2.13 I (A),OP3.2.14 I (A),OP3.2.15 I (A),OP3.2.16 I (A),OP3.3.1 I (A),OP3.3.2 I (A),OP3.3.3 I (A),OP3.3.4 I (A),OP3.3.5 I (A),OP3.3.6 I (A),OP3.3.7 I (A),OP3.3.8 I (A),OP3.3.9 I (A),OP3.3.10 I (A),OP3.3.11 I (A),OP3.3.12 I (A),OP3.3.13 I (A),OP3.3.14 I (A),OP3.3.15 I (A),OP3.3.16 I (A),OP3.4.1 I (A),OP3.4.2 I (A),OP3.4.3 I (A),OP3.4.4 I (A),OP3.4.5 I (A),OP3.4.6 I (A),OP3.4.7 I (A),OP3.4.8 I (A),OP3.4.9 I (A),OP3.4.10 I (A),OP3.4.11 I (A),OP3.4.12 I (A),OP3.4.13 I (A),OP3.4.14 I (A),OP3.4.15 I (A),OP3.4.16 I (A),OP3.5.1 I (A),OP3.5.2 I (A),OP3.5.3 I (A),OP3.5.4 I (A),OP3.5.6 I (A),OP3.5.7 I (A),OP3.5.8 I (A),OP3.5.9 I (A),OP3.5.10 I (A),OP3.5.11 I (A),OP3.5.12 I (A),OP3.5.14 I (A),OP3.5.15 I (A),OP3.6.1 I (A),OP3.6.2 I (A),OP3.6.3 I (A),OP3.6.4 I (A),OP3.6.5 I (A),OP3.6.6 I (A),OP3.6.7 I (A),OP3.6.8 I (A),OP3.6.9 I (A),OP3.6.10 I (A),OP3.6.11 I (A),OP3.6.13 I (A),OP3.6.14 I (A),OP3.6.15 I (A),OP3.6.16 I (A),OP3.7.1 I (A),OP3.7.2 I (A),OP3.7.3 I (A),OP3.7.4 I (A),OP3.7.5 I (A),OP3.7.6 I (A),OP3.7.7 I (A),OP3.7.8 I (A),OP3.7.9 I (A),OP3.7.10 I (A),OP3.7.11 I (A),OP3.7.12 I (A),OP3.7.13 I (A),OP3.7.14 I (A),OP3.7.15 I (A),OP3.7.16 I (A),OP3.8.1 I (A),OP3.8.3 I (A),OP3.8.4 I (A),OP3.8.5 I (A),OP3.8.6 I (A),OP3.8.7 I (A),OP3.8.8 I (A),OP3.8.9 I (A),OP3.8.10 I (A),OP3.8.11 I (A),OP3.8.12 I (A),OP3.8.13 I (A),OP3.8.14 I (A),OP3.8.15 I (A),OP3.8.16 I (A)
0,2021-04-23,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-23,06:15:00,0.0667,0.1625,0.10626666666666668,0.12710000000000002,0.1416666666666667,0.15416666666666667,0.125,0.06876666666666666,0.13336666666666666,0.11253333333333333,0.15003333333333332,0.15315,0.12086666666666668,0.17503333333333335,0.1469,0.0896,0.10625000000000001,0.10833333333333334,0.1531,0.10625000000000001,0.1844,0.14793333333333333,0.15155000000000002,0.16463333333333333,0.19375,0.11875000000000001,0.1094,0.07293333333333334,0.1125,0.13125,0.07083333333333335,0.04376666666666667,0.1562,0.1875,0.10836666666666665,0.14583333333333334,0.16255,0.075,0.1396,0.1562,0.204725,0.12916666666666668,0.1708333333333333,0.10315,0.08960000000000001,0.17504999999999998,0.175,0.18543333333333334,0.1625,0.075,0.13125,0.1125,0.1375,0.125,0.0,0.15416666666666667,0.134375,0.19375,0.1875,0.2938,0.12505,0.16456666666666667,0.1729333333333333,0.12083333333333333,0.20005,0.12919999999999998,0.11463333333333332,0.12190000000000001,0.14793333333333333,0.16456666666666667,0.09373333333333334,0.12086666666666668,0.2062,0.1125,0.13959999999999997,0.14375,0.09375,0.17500000000000002,0.1063,0.15,0.157825,0.09583333333333333,0.12815,0.13753333333333334,0.10833333333333334,0.16875,0.075,0.18126666666666666,0.2375,0.15833333333333333,0.22083333333333333,0.18753333333333333,0.09586666666666666,0.10625000000000001,0.2125,0.1542,0.1292,0.08333333333333333,0.12916666666666665,0.12190000000000001,0.13749999999999998,0.1344,0.181275,0.1875,0.1667,0.1063,0.10210000000000001,0.07086666666666668,0.0875,0.09586666666666667,0.1146,0.09999999999999999,0.07083333333333333,0.168775,0.13126666666666667,0.06253333333333333,0.1063,0.1375,0.10003333333333335,0.10416666666666667
2,2021-04-23,06:30:00,0.1469,0.22706666666666667,0.21405,0.26043333333333335,0.4375,0.28750000000000003,0.2469,0.32347499999999996,0.375,0.37916666666666665,0.39166666666666666,0.40420000000000006,0.4875,0.4062333333333334,0.2271,0.23336666666666664,0.19583333333333333,0.44065000000000004,0.30833333333333335,0.3375333333333333,0.44684999999999997,0.4229333333333334,0.41875,0.39376666666666665,0.41039999999999993,0.35003333333333336,0.3437666666666666,0.18543333333333334,0.2146,0.21666666666666667,0.17345,0.27709999999999996,0.3521,0.4979333333333333,0.3541666666666667,0.4604333333333333,0.5146000000000001,0.3375,0.43125,0.41250000000000003,0.49375,0.3833,0.4166666666666667,0.19166666666666665,0.17293333333333336,0.4438,0.36875,0.33594999999999997,0.3812666666666667,0.34845000000000004,0.23956666666666668,0.23750000000000002,0.225,0.2708333333333333,0.240625,0.50315,0.47814999999999996,0.50315,0.4,0.58125,0.4094,0.5250333333333334,0.4291333333333333,0.4625,0.50935,0.4625,0.24375,0.24065,0.22505,0.27086666666666664,0.3063,0.492225,0.37815,0.479725,0.4437666666666667,0.4281,0.44842499999999996,0.4469,0.41039999999999993,0.4541666666666666,0.2781,0.2188,0.22086666666666666,0.25,0.39375,0.48336666666666667,0.3094,0.51095,0.4604333333333333,0.4479333333333333,0.55,0.4396,0.3541666666666667,0.439075,0.4854333333333334,0.26875,0.25003333333333333,0.19166666666666665,0.1979,0.3542,0.407825,0.3541666666666667,0.5021333333333333,0.4146,0.4437666666666667,0.25625,0.2708333333333333,0.268775,0.24170000000000003,0.2562333333333333,0.24065,0.2333333333333333,0.22503333333333334,0.35005,0.26253333333333334,0.20206666666666664,0.20625,0.28963333333333335,0.22503333333333334,0.23126666666666665
3,2021-04-23,06:45:00,0.33126666666666665,0.4094,0.3625,0.7375,0.7999999999999999,0.44065,0.8234250000000001,0.8594,0.956275,0.8125,1.1688,0.9421999999999999,0.8083666666666667,0.8875333333333334,0.41250000000000003,0.3875,0.379675,1.1438,0.9187500000000001,0.80625,0.9312666666666667,0.8583666666666666,0.90785,0.8271000000000001,0.9,0.9771333333333333,0.7833666666666668,0.36255,0.4375333333333334,0.4000000000000001,0.29059999999999997,0.6708666666666666,0.9218999999999999,0.9500333333333334,1.1063,0.8906499999999999,0.9229666666666668,0.8354333333333334,0.90315,0.8708666666666668,0.7000500000000001,0.8083333333333332,0.9083666666666668,0.3958333333333333,0.32499999999999996,0.8250500000000001,0.8719,0.8354333333333335,0.8750500000000001,0.8906499999999999,0.4083333333333334,0.3313,0.47293333333333337,0.4417,0.55315,1.0771333333333335,0.8250333333333334,1.039075,0.6438,1.032825,0.7625500000000001,0.925,1.026575,0.85625,1.0396,0.9875,0.34065,0.4187666666666667,0.40005,0.4417,0.9938,1.1688,0.854725,0.90315,0.8458333333333333,0.7719,0.9375,0.8771,1.0312333333333334,0.9833333333333334,0.42083333333333334,0.4229,0.454675,0.44586666666666663,0.8145666666666666,0.9146000000000001,0.7333666666666666,1.0646333333333333,0.9375,0.9417,0.956275,0.9250333333333334,0.775,1.0146,1.0250333333333332,0.47500000000000003,0.4313,0.3333333333333333,0.34793333333333326,0.8666666666666666,0.86875,0.7437999999999999,0.87815,0.9,0.9104333333333333,0.5229333333333334,0.5828249999999999,0.5500499999999999,0.50315,0.5166666666666667,0.5375,0.48333333333333334,0.5583666666666667,0.5594,0.5969,0.4937333333333333,0.5271,0.5499999999999999,0.5219,0.56565
4,2021-04-23,07:00:00,0.3937,0.5125333333333334,0.5541999999999999,0.8813,1.1771,0.92815,1.0271333333333332,1.1188,1.16565,1.0813,1.2125000000000001,0.9333333333333332,1.0281500000000001,1.120866666666667,0.7437666666666667,0.7833,0.4938,1.01875,1.1896000000000002,0.9984500000000001,1.22505,0.7375,1.2,1.1479666666666668,1.2146000000000001,1.07815,1.131275,0.7854666666666668,0.83125,0.51875,0.4458333333333333,0.956275,1.2354,1.0875000000000001,0.9875499999999999,1.2333666666666667,1.3125,1.0208333333333333,0.9396333333333334,1.225,1.1500333333333332,1.0020666666666667,0.9500500000000001,0.77815,0.7563,1.225,1.2938,1.1344,1.1208666666666667,1.3042,0.6187666666666667,0.5437666666666666,0.70625,0.725,0.65315,1.0042,1.2469000000000001,1.0594000000000001,0.9958666666666667,1.2021,1.2229333333333334,1.1797,1.4438,1.2187666666666666,1.3250000000000002,1.2500333333333333,0.6875333333333332,0.8094,0.6354333333333334,0.6958333333333333,0.83125,1.15,1.1531500000000001,1.0562749999999999,1.2458333333333333,1.1578499999999998,0.85,1.1624999999999999,0.74375,0.9812666666666668,0.7000000000000001,0.5938,0.6219,0.6854333333333334,1.1645666666666665,0.9646333333333335,0.8166666666666668,1.2312666666666667,1.18125,1.0604666666666667,1.2917,1.3500333333333334,1.1666999999999998,0.9479333333333333,1.2666666666666668,0.6469,0.6396000000000001,0.50625,0.5166666666666667,1.13125,1.15625,0.83125,1.056275,1.067225,1.2437666666666667,0.8333333333333334,0.6844,0.7375333333333334,0.7604666666666667,0.77345,0.8333666666666667,0.7375333333333334,0.7687666666666667,0.8416666666666668,0.7000000000000001,0.7729333333333334,0.7062666666666667,0.7437666666666667,0.61875,0.8125333333333334
5,2021-04-23,07:15:00,0.6770999999999999,0.7687666666666667,0.9719,1.4469,1.6396333333333335,2.01255,2.0604,2.0146,1.2594,1.6312666666666669,1.6813000000000002,2.0438,1.7875333333333332,2.0563,1.1917,1.2156500000000001,0.7375000000000002,1.7666666666666666,1.9729333333333334,2.0750333333333333,1.6917,1.7041666666666668,1.8167,1.9437749999999998,1.9937666666666667,1.7313,2.0938,1.2792000000000001,1.3103999999999998,0.7375,0.7000500000000001,1.9,2.02035,2.154166666666667,1.6104666666666667,1.7291999999999998,1.4219,2.1844,1.44375,1.8958666666666666,1.982825,1.7146000000000001,1.9062666666666666,1.2750333333333332,1.2332999999999998,1.9937749999999999,1.4750333333333334,2.0333666666666668,2.115625,2.012525,1.31875,0.9125,1.8791666666666667,1.8833666666666666,1.8646,2.0968999999999998,1.826575,2.0604333333333336,1.9416666666666667,2.1406,1.9703249999999999,2.2479333333333336,2.170325,1.979675,1.8953250000000001,1.9437666666666666,1.5292000000000001,2.17815,2.0645666666666664,2.0312,1.9458666666666666,2.2125,1.9083333333333332,2.1458333333333335,2.0667,2.04375,2.0145666666666666,1.9828499999999998,2.0062666666666664,2.0292,2.0104333333333333,1.8916666666666666,1.9521,1.7937999999999998,1.8729333333333333,2.1203250000000002,2.085433333333333,2.1469,1.9833666666666667,1.9469,2.12505,2.4375,1.7604333333333333,2.1094,2.0124999999999997,1.8583333333333334,2.002133333333333,0.69375,0.7812666666666667,1.8416666666666668,1.6021,1.9937666666666667,1.725,2.187533333333333,1.9479333333333333,1.28125,1.32815,1.4666666666666668,1.475,1.5469,1.2333333333333334,1.1458333333333333,1.3541666666666667,1.4124999999999999,1.45,1.37815,1.55315,1.2583666666666666,1.1875,1.4978999999999998
6,2021-04-23,07:30:00,0.9729333333333333,1.0916666666666668,2.320325,2.1813,2.1458666666666666,2.1422,1.8000333333333332,2.7469,1.8146333333333333,2.5812666666666666,2.1083666666666665,2.1125000000000003,1.9125000000000003,2.5583333333333336,1.687525,1.4479333333333333,1.093775,1.8354666666666668,2.3895666666666666,1.9656500000000001,1.80315,2.7271,2.662533333333333,2.5625,2.7208333333333337,2.00005,2.59065,1.6844000000000001,1.6417000000000002,1.1167,0.9875333333333334,2.23125,2.0343999999999998,2.725,2.2833666666666668,2.4042,1.985975,2.5541666666666667,2.2083333333333335,2.07655,2.4042,2.2875,2.225,1.7583333333333335,1.7417,2.03125,2.1312749999999996,2.581275,2.8156499999999998,2.825,1.9094,1.2416666666666665,2.2417,2.05315,1.6417000000000002,1.63755,2.8031,2.500033333333333,2.84065,2.8312666666666666,2.3021,1.9437666666666666,2.2531,2.8219,2.8344,2.5124999999999997,2.225,2.6646,1.6229333333333333,1.4375,1.8125333333333333,2.3312749999999998,2.466666666666667,2.4229333333333334,2.7875,2.85625,2.3271,2.86565,2.5984499999999997,2.2281500000000003,2.3020666666666667,1.6218750000000002,1.877133333333333,2.0375,1.8229333333333333,2.8375,1.375,2.7625333333333337,1.9583666666666666,2.09065,2.7125,2.7,2.716666666666667,2.3417,2.3021,2.4021,2.6500250000000003,1.0666666666666667,1.0938,1.3937499999999998,2.375,2.2021,2.620325,2.7469,2.7469,1.7979666666666665,2.0438,1.75,1.4937333333333334,2.16875,2.1359500000000002,1.94375,1.7354333333333332,2.13125,2.1688,1.9375,2.20005,1.8917000000000002,1.4750000000000003,2.0021
7,2021-04-23,07:45:00,0.7021000000000001,0.91255,0.9458333333333332,1.1271,1.2417,1.0625,1.0438,1.031275,1.0958666666666665,1.0229333333333335,1.0562666666666667,1.4156499999999999,1.075025,1.2563,0.9312499999999999,0.9125,0.92815,1.5500333333333334,1.0718999999999999,0.975025,1.17815,1.2583666666666666,1.2875333333333332,1.0812666666666668,1.275,1.1146333333333334,1.2208666666666668,0.9458333333333334,1.0312666666666666,0.9791666666666666,0.7083666666666666,0.9250250000000001,1.1125333333333334,1.0812666666666666,0.9499999999999998,0.9687666666666667,0.9771000000000001,1.0708666666666666,0.9958333333333332,0.9354333333333334,1.1375,1.1625333333333334,1.0625,0.9125,1.0229333333333333,0.9645999999999999,0.9687666666666667,0.9958666666666667,0.9688000000000001,1.325,0.98755,0.9687666666666667,1.109375,1.0437666666666667,1.1229333333333333,1.1917000000000002,1.1062750000000001,1.3646,0.9042,1.275,0.975,0.9250333333333334,1.3563,1.00005,1.3167,1.0250333333333335,1.2396333333333331,0.9813,1.1500333333333335,1.2521,1.4687999999999999,0.98125,1.01095,1.0313,1.1167,1.39065,1.22345,1.1813,0.9562999999999999,1.0416999999999998,1.0750333333333335,0.9469000000000001,1.01565,1.017225,1.0583666666666667,1.3604,0.9458666666666665,1.2021333333333333,1.179166666666667,0.9937666666666667,1.2125000000000001,1.3688,1.1041666666666667,1.2875,1.2000333333333333,1.0896000000000001,1.0281500000000001,0.9021333333333335,0.9125,1.075,1.0906500000000001,1.2,1.1,1.1083333333333334,1.1469,1.00315,1.0333666666666665,0.9750000000000001,0.8521000000000001,1.0021,0.99065,0.9792000000000001,0.9604333333333334,1.1750333333333334,0.9791666666666666,0.8792,0.9875333333333334,1.1063,1.0917000000000001,0.9750333333333333
8,2021-04-23,08:00:00,0.6469,0.8000333333333334,0.7958666666666666,0.8141,0.8479333333333333,0.8208666666666667,0.8208666666666667,0.71565,0.7812749999999999,0.8469,0.8890750000000001,0.7708333333333334,0.8813,0.9156500000000001,0.80315,0.7437666666666667,0.7688,0.6938,0.7833333333333333,0.7041666666666666,0.88285,0.7792,0.75935,0.7896333333333333,0.7208333333333333,0.7958666666666666,0.8250500000000001,0.6812666666666667,0.7625500000000001,0.7417000000000001,0.68125,0.6125,0.9229333333333334,0.81875,0.85,0.7375,0.83125,0.7917000000000001,0.7979333333333334,0.85,0.8687750000000001,0.8416666666666668,0.8583333333333334,0.7271333333333333,0.7437666666666667,0.81565,0.8583666666666666,0.7688,0.7437666666666667,0.7453,0.8729666666666667,0.7594000000000001,0.77815,0.84535,0.77815,0.8396,0.69375,0.9156250000000001,0.77815,0.9583666666666666,0.725,0.7906500000000001,0.8979333333333334,0.793775,0.8771,0.8645999999999999,0.8438,0.79065,0.8208333333333334,0.7375,0.8687666666666667,0.8187666666666668,0.7906,0.7896000000000001,0.7875,0.8125333333333332,0.86565,0.7922,0.81565,0.8375333333333334,0.7542,0.7271000000000001,0.85,0.75315,0.7708666666666666,0.8208666666666667,0.69685,0.8625,0.9312666666666667,0.8395666666666667,0.843775,0.9208666666666666,0.75,0.84065,0.9438,0.8208333333333333,0.8000333333333334,0.7187666666666667,0.7667,0.7854333333333333,0.8922,0.8041666666666667,0.83285,0.8458333333333333,0.8542000000000001,0.80005,0.7062666666666667,0.8166666666666668,0.7000500000000001,0.8562666666666666,0.7917,0.7854333333333333,0.7521,0.889075,0.8417,0.7208666666666668,0.8020999999999999,0.8219000000000001,0.73125,0.8271000000000001
9,2021-04-23,08:15:00,1.0312666666666666,1.01565,1.225,1.2,1.2083666666666668,1.1562666666666666,1.01565,1.1719,1.21875,1.1520666666666666,1.2458666666666667,1.0833333333333333,1.0094,1.2208666666666665,1.140625,1.00315,1.1672,1.1896333333333333,1.1458666666666666,1.1437499999999998,1.29375,1.075,1.0896,1.1458666666666668,1.0271,1.21255,1.0437500000000002,1.1083333333333334,1.1500333333333332,1.1645666666666665,1.0437666666666667,1.0583666666666667,1.0375,1.0792,1.1343999999999999,1.1833666666666665,1.2469000000000001,1.16255,1.2125,1.18595,1.1562,1.1458333333333333,1.2146333333333332,1.20315,1.132825,1.1562999999999999,1.2583666666666666,1.1646,1.15,1.1656499999999999,1.1624999999999999,1.1458666666666668,1.2083666666666666,1.25625,1.11875,1.1812666666666667,1.12815,1.3313,1.1083333333333334,1.2250333333333334,1.076575,1.1062666666666667,1.2125249999999999,1.1719,1.1063,1.1938,1.24375,1.1688,1.1167,1.1479333333333333,1.0833666666666668,1.1375,1.1687666666666667,1.1125,1.2875,1.0312666666666666,1.10625,1.2250333333333334,1.0667,1.1969249999999998,1.1729333333333334,1.0229333333333333,1.2094,1.1666666666666667,1.051575,1.3083666666666667,1.0146333333333333,1.2156500000000001,1.28125,1.14065,1.1938,1.2458333333333333,1.0521,1.0625333333333333,1.19375,1.21255,1.1354,1.15005,1.0958666666666668,1.1646,1.25625,1.0437666666666667,1.2719,1.1146,1.1271333333333333,1.1583666666666668,1.0479666666666667,1.14535,1.081275,1.1562999999999999,1.1187666666666667,1.0458666666666667,1.0771333333333335,1.2719,1.1416666666666666,1.0646000000000002,1.1312666666666666,1.1479666666666668,1.0812666666666668,1.1541666666666668
