,Data,Hora,OP2.1.1 V (V),OP2.1.2 V (V),OP2.1.3 V (V),OP2.1.4 V (V),OP2.1.5 V (V),OP2.1.6 V (V),OP2.1.7 V (V),OP2.1.8 V (V),OP2.1.9 V (V),OP2.1.10 V (V),OP2.1.11 V (V),OP2.1.12 V (V),OP2.1.13 V (V),OP2.1.14 V (V),OP2.1.15 V (V),OP2.1.16 V (V),OP2.2.1 V (V),OP2.2.2 V (V),OP2.2.3 V (V),OP2.2.4 V (V),OP2.2.5 V (V),OP2.2.6 V (V),OP2.2.7 V (V),OP2.2.8 V (V),OP2.2.9 V (V),OP2.2.10 V (V),OP2.2.11 V (V),OP2.2.12 V (V),OP2.2.13 V (V),OP2.2.14 V (V),OP2.2.15 V (V),OP2.2.16 V (V),OP2.3.1 V (V),OP2.3.2 V (V),OP2.3.3 V (V),OP2.3.4 V (V),OP2.3.5 V (V),OP2.3.6 V (V),OP2.3.7 V (V),OP2.3.8 V (V),OP2.3.9 V (V),OP2.3.10 V (V),OP2.3.11 V (V),OP2.3.12 V (V),OP2.3.13 V (V),OP2.3.14 V (V),OP2.3.15 V (V),OP2.3.16 V (V)
0,2021-05-22,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-05-22,06:15:00,48.5,43.25,7.461956521739131,0.0,82.5,47.0,48.125,51.25,50.75,44.875,47.75,48.5,44.875,51.25,41.125,46.625,75.25,50.583333333333336,46.3125,45.5,47.5,49.875,53.1,0.0,42.82954545454545,49.25,51.125,48.625,37.625,0.0,28.1328125,43.375,0.0,48.9375,0.0,53.357142857142854,45.625,0.0,45.25,48.875,46.75,85.0,51.625,0.0,49.375,48.75,47.375,48.5
2,2021-05-22,06:30:00,47.375,47.333333333333336,47.291666666666664,43.78125,47.791666666666664,47.375,48.041666666666664,48.833333333333336,47.1875,49.208333333333336,48.416666666666664,46.458333333333336,46.416666666666664,47.708333333333336,43.875,44.666666666666664,45.666666666666664,46.875,48.8125,47.291666666666664,47.0,49.53125,49.9375,47.0,49.65625,47.125,48.416666666666664,48.041666666666664,39.9375,47.0625,44.25,43.458333333333336,48.041666666666664,52.166666666666664,50.333333333333336,46.375,46.166666666666664,47.3125,48.5625,47.25,48.166666666666664,47.0,44.75,41.3125,44.625,47.125,44.9375,44.958333333333336
3,2021-05-22,06:45:00,47.375,48.125,46.9375,46.208333333333336,47.3125,46.583333333333336,47.083333333333336,47.375,47.5,50.708333333333336,47.958333333333336,47.0,47.708333333333336,47.0,43.5,41.75,47.1875,48.958333333333336,48.833333333333336,47.083333333333336,46.333333333333336,48.125,48.666666666666664,46.916666666666664,48.25,47.625,46.75,47.333333333333336,39.625,46.75,46.416666666666664,46.4375,49.0,50.916666666666664,50.75,48.25,47.791666666666664,51.208333333333336,53.4375,48.875,46.541666666666664,43.958333333333336,41.833333333333336,38.5,41.25,46.083333333333336,44.625,43.125
4,2021-05-22,07:00:00,47.375,48.4375,47.25,45.625,46.958333333333336,46.583333333333336,47.375,47.583333333333336,47.708333333333336,50.333333333333336,49.125,49.041666666666664,48.0,46.583333333333336,44.1875,37.958333333333336,46.625,49.208333333333336,49.25,46.75,45.791666666666664,48.416666666666664,48.666666666666664,46.541666666666664,48.4375,47.75,46.916666666666664,47.833333333333336,39.666666666666664,46.833333333333336,45.916666666666664,46.083333333333336,48.75,61.0,52.958333333333336,56.291666666666664,55.5625,51.125,55.1875,49.583333333333336,41.625,41.166666666666664,39.9375,34.416666666666664,35.416666666666664,42.625,39.291666666666664,35.0
5,2021-05-22,07:15:00,47.125,48.15625,47.458333333333336,46.375,48.0,47.041666666666664,47.875,48.041666666666664,47.75,50.583333333333336,49.375,50.166666666666664,48.541666666666664,47.208333333333336,45.666666666666664,35.833333333333336,47.208333333333336,49.25,48.75,46.875,46.1875,47.75,48.666666666666664,46.583333333333336,48.166666666666664,47.625,46.958333333333336,47.833333333333336,39.458333333333336,47.083333333333336,45.5625,46.75,59.75,64.5,63.583333333333336,63.958333333333336,60.625,64.375,61.09375,52.0,39.458333333333336,40.4375,32.0,26.083333333333332,33.791666666666664,34.875,31.8125,30.625
6,2021-05-22,07:30:00,48.5,48.458333333333336,47.666666666666664,46.625,48.083333333333336,47.333333333333336,48.375,48.083333333333336,47.625,49.875,49.75,51.0,50.25,47.6875,46.625,27.375,47.458333333333336,49.333333333333336,49.25,46.833333333333336,45.75,48.416666666666664,48.416666666666664,46.875,48.5,47.625,46.625,47.625,39.375,47.0625,45.625,46.375,62.3125,62.541666666666664,56.25,61.625,59.166666666666664,61.3125,60.6875,62.0,62.0,27.75,29.416666666666668,19.5625,33.25,37.708333333333336,30.125,22.25
7,2021-05-22,07:45:00,49.25,49.375,48.25,47.3125,48.541666666666664,48.041666666666664,48.416666666666664,48.541666666666664,48.416666666666664,52.5,50.375,50.3125,50.5,48.125,47.833333333333336,15.375,46.75,49.25,48.875,46.791666666666664,46.041666666666664,48.625,48.4375,46.708333333333336,49.375,47.541666666666664,47.0625,47.65625,39.375,47.0,46.291666666666664,46.375,63.75,65.83333333333333,66.25,65.0,60.333333333333336,65.25,68.29166666666667,66.41666666666667,67.3125,22.458333333333332,15.5,23.75,16.875,60.125,16.666666666666668,15.4375
8,2021-05-22,08:00:00,48.958333333333336,49.25,48.208333333333336,47.5,48.65625,47.916666666666664,48.416666666666664,48.791666666666664,48.541666666666664,51.666666666666664,49.875,50.958333333333336,50.333333333333336,48.166666666666664,47.9375,15.541666666666666,47.083333333333336,49.041666666666664,48.75,46.833333333333336,46.1875,48.208333333333336,48.3125,46.666666666666664,48.25,47.541666666666664,47.125,47.25,39.375,47.0625,46.416666666666664,46.5,58.416666666666664,59.208333333333336,59.083333333333336,57.916666666666664,57.916666666666664,58.3125,59.916666666666664,61.0,61.0,60.416666666666664,16.833333333333332,13.791666666666666,46.375,58.208333333333336,17.333333333333332,15.75
9,2021-05-22,08:15:00,49.0,49.583333333333336,47.5,47.791666666666664,48.708333333333336,47.958333333333336,48.625,48.833333333333336,48.5,51.0,50.1875,50.416666666666664,49.4375,48.166666666666664,47.333333333333336,21.666666666666668,47.625,48.375,48.541666666666664,47.0625,46.375,48.125,48.208333333333336,47.041666666666664,48.0625,47.625,46.708333333333336,47.25,39.375,46.708333333333336,46.9375,46.666666666666664,51.625,51.958333333333336,52.375,52.625,53.083333333333336,51.75,54.958333333333336,53.458333333333336,54.916666666666664,53.375,46.3125,21.5,53.875,53.3125,32.958333333333336,14.75
