,Data,Hora,P1.1.1 P (W),P1.1.2 P (W),P1.1.3 P (W),P1.1.4 P (W),P1.1.5 P (W),P1.1.6 P (W),P1.1.7 P (W),P1.1.8 P (W),P1.1.9 P (W),P1.1.10 P (W),P1.1.11 P (W),P1.1.12 P (W),P1.1.13 P (W),P1.1.14 P (W),P1.1.15 P (W),P1.1.16 P (W),P1.2.1 P (W),P1.2.2 P (W),P1.2.3 P (W),P1.2.5 P (W),P1.2.6 P (W),P1.2.7 P (W),P1.2.8 P (W),P1.2.9 P (W),P1.2.10 P (W),P1.2.11 P (W),P1.2.12 P (W),P1.2.13 P (W),P1.2.14 P (W),P1.2.15 P (W),P1.2.16 P (W),P1.3.1 P (W),P1.3.2 P (W),P1.3.3 P (W),P1.3.4 P (W),P1.3.5 P (W),P1.3.6 P (W),P1.3.7 P (W),P1.3.8 P (W),P1.3.9 P (W),P1.3.10 P (W),P1.3.11 P (W),P1.3.12 P (W),P1.3.13 P (W),P1.3.14 P (W),P1.3.15 P (W),P1.3.16 P (W)
0,2021-12-04,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-12-04,06:15:00,3.286966666666667,8.915133333333333,3.9766,9.130733333333334,8.492966666666668,9.290133333333333,13.477866666666666,3.0301999999999993,10.1744,10.385933333333334,9.583833333333333,12.052633333333333,9.69375,6.4914000000000005,3.9929750000000004,5.629675,8.084933333333334,6.881233333333334,3.9521,6.244,2.7979333333333334,6.928133333333332,0.9492333333333334,6.211200000000001,14.732033333333334,11.103133333333332,7.3547,8.172133333333333,6.57365,2.113,6.6732000000000005,4.8211,6.104666666666667,8.76015,15.67615,13.349599999999999,18.625,16.770833333333332,16.006533333333334,4.3414,8.3698,4.66875,12.503499999999999,2.786466666666666,9.9055,11.2168,5.3291
2,2021-12-04,06:30:00,21.8724,45.89846666666667,39.69065,45.3758,53.231500000000004,45.80745,47.83696666666666,39.8369,21.250500000000002,17.0625,17.600266666666666,21.968766666666667,16.1082,13.30275,11.369766666666665,14.731250000000001,16.10155,16.636699999999998,13.593800000000002,14.208333333333334,10.159400000000002,13.988033333333334,5.64375,18.7543,20.98635,13.88085,15.91115,17.921066666666665,12.03045,6.74785,15.388800000000002,36.39763333333334,30.00625,48.41146666666666,49.73933333333334,38.7547,57.4094,48.63230000000001,50.10283333333333,45.771633333333334,14.8526,11.651566666666668,50.53205,33.87293333333333,13.420566666666666,16.558333333333334,11.280466666666667
3,2021-12-04,06:45:00,83.10103333333332,88.2401,88.85,98.92423333333333,88.10625,80.15095,86.0419,81.21795,45.0117,38.14105,33.22266666666667,45.663000000000004,38.722449999999995,31.0625,34.4146,34.4459,31.555433333333337,34.039874999999995,30.389033333333334,31.842149999999997,29.235433333333333,36.32086666666667,22.769000000000002,35.2328,26.756275000000002,18.0938,39.7784,31.5703,15.202725,8.210933333333333,41.40573333333334,81.53475,78.51875,85.9362,74.55664999999999,77.0883,90.25076666666666,85.43096666666668,81.74453333333332,82.90076666666666,19.50275,15.194266666666666,92.1518,84.4276,19.10183333333333,17.625,77.25393333333334
4,2021-12-04,07:00:00,123.39025000000001,125.79973333333334,125.21093333333333,132.2027,121.5273,119.26405,118.27305000000001,120.150975,66.9414,62.278633333333325,63.781499999999994,72.10523333333333,64.7969,61.0961,60.26405,61.944900000000004,59.43675,60.0629,63.6919,57.5633,63.15363333333334,59.06525,55.12683333333334,60.2203,31.835166666666666,23.161524999999997,64.2375,65.325,18.9082,11.9121,76.43776666666668,101.06445,119.81926666666668,128.30665,117.0802,100.9969,130.79716666666667,127.62006666666667,123.18826666666666,123.12655000000001,84.3156,20.0456,132.2159,123.15443333333333,22.61616666666667,21.556766666666665,116.20366666666666
5,2021-12-04,07:15:00,155.1625,164.83776666666665,157.71720000000002,166.8711,175.5949,154.36980000000003,160.6213,163.47186666666667,115.77969999999999,101.8875,97.37263333333334,114.9082,105.613275,91.24765,91.1414,99.71192500000001,95.731,107.3875,96.67943333333334,91.62187499999999,92.6797,93.95880000000001,89.10000000000001,96.51043333333332,67.82576666666667,25.1797,92.6363,104.09299999999999,22.075,14.017733333333332,97.69024999999999,148.4707,158.50573333333332,177.625,162.98283333333333,152.444325,170.14633333333333,161.0422,155.12265,155.0195,160.02419999999998,20.444,172.0073,160.7091,23.069899999999997,24.765366666666665,146.34535
6,2021-12-04,07:30:00,192.87893333333332,208.8867,195.88956666666664,208.0586,207.2508,200.471875,203.89143333333334,195.51565,148.20393333333334,128.63230000000001,128.27775,137.34375,145.22553333333335,121.55676666666666,134.41406666666666,137.37735,133.2328,132.83085,132.90963333333335,123.71679999999999,137.92419999999998,136.21563333333333,122.33046666666667,137.7862,122.81979999999999,27.775975,137.09506666666667,132.04456666666667,23.43045,14.1797,136.2552,179.36055,202.37239999999997,200.10469999999998,195.26716666666667,198.02786666666668,210.79843333333335,199.45600000000002,202.94063333333335,198.2078,201.4458,22.113033333333334,210.8031,198.29689999999997,24.807299999999998,25.79086666666667,189.85355
7,2021-12-04,07:45:00,235.48383333333334,231.15313333333333,234.60156666666663,247.36173333333332,241.08780000000002,238.6205666666667,230.67965,231.45130000000003,184.20886666666664,173.21666666666667,166.184775,172.50390000000002,190.10739999999998,159.54193333333333,169.6469,173.2412,167.0668,175.83333333333334,162.66405,172.1469,168.16095,177.00963333333334,163.13646666666668,175.31755,172.93825,29.755200000000002,175.24506666666665,179.11123333333333,23.59805,16.120125,170.76276666666664,217.844925,235.10703333333333,238.1729333333333,236.55543333333335,223.24295,246.56640000000002,238.78673333333333,240.91645,239.4388,235.2343666666667,87.07549999999999,246.57033333333334,240.43463333333332,25.705849999999998,26.07695,232.044
8,2021-12-04,08:00:00,258.29295,276.9104333333333,268.03790000000004,279.3293,277.69373333333334,278.94295,261.4219,272.1078333333333,226.88773333333333,220.10469999999998,212.79685,219.1703,222.76586666666665,207.6888,207.33203333333333,209.2578,196.4958333333333,212.68984999999998,198.6018333333333,208.39216666666667,207.50886666666668,209.2406,199.93413333333334,209.5693,214.00742499999998,34.325,215.5336,216.42270000000002,25.614850000000004,15.899999999999999,213.51226666666665,259.62736666666666,272.0427,277.26039999999995,269.9961,263.109375,277.3604,274.613275,270.5625,272.4325666666667,269.9893333333333,175.45,281.0351666666666,272.7752666666667,28.964299999999998,28.24166666666667,264.32345
9,2021-12-04,08:15:00,291.6797,309.47225000000003,300.125,318.33386666666667,308.00825,310.2332,304.230675,303.8766,260.9711,254.8637,245.79893333333334,254.8877,257.15703333333335,242.71146666666667,247.00435,241.3953333333333,237.15103333333332,266.318,242.607625,243.33490000000003,247.34116666666668,241.42033333333333,232.534,252.03596666666667,257.90363333333335,71.1164,255.15,262.54765,25.541,17.04713333333333,264.15,287.71823333333333,310.2065333333333,308.01770000000005,311.0315333333333,301.5044666666667,315.4257666666667,308.97069999999997,308.522275,300.28319999999997,306.75596666666667,271.84296666666665,319.356,297.28205,29.3953,30.71055,298.79724999999996
