,Data,Hora,P3.1.1 P (W),P3.1.2 P (W),P3.1.3 P (W),P3.1.4 P (W),P3.1.5 P (W),P3.1.6 P (W),P3.1.7 P (W),P3.1.8 P (W),P3.1.9 P (W),P3.1.10 P (W),P3.1.11 P (W),P3.1.12 P (W),P3.1.13 P (W),P3.1.14 P (W),P3.1.15 P (W),P3.1.16 P (W),P3.2.1 P (W),P3.2.2 P (W),P3.2.3 P (W),P3.2.4 P (W),P3.2.5 P (W),P3.2.6 P (W),P3.2.7 P (W),P3.2.8 P (W),P3.2.9 P (W),P3.2.10 P (W),P3.2.11 P (W),P3.2.12 P (W),P3.2.13 P (W),P3.2.15 P (W),P3.2.16 P (W),P3.3.1 P (W),P3.3.2 P (W),P3.3.3 P (W),P3.3.4 P (W),P3.3.5 P (W),P3.3.6 P (W),P3.3.7 P (W),P3.3.8 P (W),P3.3.9 P (W),P3.3.10 P (W),P3.3.11 P (W),P3.3.12 P (W),P3.3.13 P (W),P3.3.14 P (W),P3.3.15 P (W),P3.3.16 P (W),P3.4.1 P (W),P3.4.2 P (W),P3.4.3 P (W),P3.4.4 P (W),P3.4.5 P (W),P3.4.6 P (W),P3.4.7 P (W),P3.4.8 P (W),P3.4.9 P (W),P3.4.10 P (W),P3.4.11 P (W),P3.4.12 P (W),P3.4.13 P (W),P3.4.14 P (W),P3.4.15 P (W),P3.4.16 P (W),P3.5.1 P (W),P3.5.2 P (W),P3.5.3 P (W),P3.5.4 P (W),P3.5.5 P (W),P3.5.6 P (W),P3.5.7 P (W),P3.5.8 P (W),P3.5.9 P (W),P3.5.10 P (W),P3.5.11 P (W),P3.5.12 P (W),P3.5.13 P (W),P3.5.14 P (W),P3.5.15 P (W),P3.5.16 P (W),P3.6.1 P (W),P3.6.2 P (W),P3.6.3 P (W),P3.6.4 P (W),P3.6.5 P (W),P3.6.6 P (W),P3.6.7 P (W),P3.6.8 P (W),P3.6.9 P (W),P3.6.10 P (W),P3.6.11 P (W),P3.6.12 P (W),P3.6.13 P (W),P3.6.14 P (W),P3.6.15 P (W),P3.6.16 P (W),P3.7.1 P (W),P3.7.2 P (W),P3.7.3 P (W),P3.7.4 P (W),P3.7.5 P (W),P3.7.6 P (W),P3.7.7 P (W),P3.7.8 P (W),P3.7.9 P (W),P3.7.10 P (W),P3.7.11 P (W),P3.7.12 P (W),P3.7.13 P (W),P3.7.14 P (W),P3.7.15 P (W),P3.7.16 P (W),P3.8.1 P (W),P3.8.2 P (W),P3.8.3 P (W),P3.8.4 P (W),P3.8.5 P (W),P3.8.6 P (W),P3.8.7 P (W),P3.8.8 P (W),P3.8.9 P (W),P3.8.10 P (W),P3.8.11 P (W),P3.8.12 P (W),P3.8.13 P (W),P3.8.14 P (W),P3.8.15 P (W),P3.8.16 P (W)
0,2021-03-20,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-03-20,06:15:00,4.1178,9.695033333333333,6.860150000000001,10.60235,8.9625,7.08985,9.137675000000002,9.314066666666667,10.414475,12.3945,13.32285,9.885933333333334,13.33125,17.075400000000002,7.759366666666668,6.708333333333333,7.183975,10.544266666666667,14.128499999999999,10.916,6.871100000000001,14.099599999999999,8.6797,11.326266666666667,8.9099,12.845333333333334,12.680766666666665,10.693733333333332,10.005733333333334,5.4466,8.297649999999999,8.0711,4.978925,9.973433333333332,15.8723,18.002866666666666,12.823933333333335,11.820833333333335,13.365633333333333,10.073933333333333,11.161966666666666,17.0719,12.511433333333335,9.2432,16.26095,8.272133333333334,6.181266666666666,13.735666666666667,13.616133333333332,13.233600000000001,13.6094,7.722133333333333,9.8448,8.355675,7.3867,11.493749999999999,8.7534,18.680733333333336,10.99455,17.5716,11.040633333333334,15.969266666666664,6.208833333333334,15.285350000000001,18.04426666666667,9.577866666666667,19.367733333333334,13.8961,10.390366666666667,8.591225,5.641133333333333,6.893000000000001,13.259633333333333,10.068975,14.122433333333333,9.273133333333334,12.669766666666668,15.522649999999999,5.92035,15.1289,9.172933333333333,9.632033333333334,6.04535,15.847933333333335,15.26485,10.10315,4.872933333333333,7.5849,9.951299999999998,12.20075,6.0586,18.853125,7.4271,15.627749999999999,17.610699999999998,13.856,14.00235,16.996475,8.154200000000001,11.98125,14.876600000000002,9.8987,8.295866666666667,5.14765,5.01755,9.922133333333333,11.851566666666665,12.480500000000001,12.691400000000002,14.364849999999999,10.219766666666667,8.293233333333333,6.6668,6.353400000000001,4.43045,6.31405,7.395566666666667,11.247399999999999,6.170333333333333,5.808600000000001,10.5638,8.19065,3.9832,8.215866666666665,12.6198,7.26405,6.880199999999999
2,2021-03-20,06:30:00,8.5469,14.2375,10.6121,20.637900000000002,13.5526,15.143550000000001,27.43513333333333,16.551566666666666,15.1793,15.9414,14.0273,18.286733333333334,20.7021,16.800800000000002,16.4531,16.2539,15.96915,17.483774999999998,15.7539,13.218766666666667,21.401300000000003,14.149000000000001,21.755233333333337,16.518466666666665,28.628525000000003,17.644499999999997,15.07775,15.18675,25.947100000000002,11.164866666666668,20.4496,13.9795,7.7957,20.663,16.52345,18.2383,29.29065,20.836433333333336,16.79645,21.878899999999998,11.2031,21.8219,28.746125,34.5328,17.5659,12.65975,10.789299999999999,34.14713333333333,16.65,19.7789,19.6578,26.62735,17.0526,13.4797,12.404433333333335,22.651833333333332,13.801549999999999,15.873,28.7646,25.466933333333333,15.424733333333334,27.358833333333337,25.2914,17.853499999999997,21.2289,24.6029,31.840099999999996,12.7547,12.807033333333335,28.628133333333334,15.960149999999999,14.866133333333332,0.0,14.66055,32.63203333333333,29.584200000000003,14.271450000000002,28.8901,11.0215,23.7146,17.0922,11.0672,16.0703,16.6125,19.2685,26.6776,19.0758,21.040633333333332,21.973699999999997,10.695866666666666,31.3164,28.504700000000003,18.359375,18.79295,36.3034,20.5875,54.546099999999996,35.07033333333333,14.2625,32.2883,37.356,24.1172,15.411733333333332,10.732033333333334,12.238033333333334,25.1776,16.7557,26.219549999999998,35.23985,13.958833333333333,13.179666666666668,17.353666666666665,11.666400000000001,14.273200000000001,11.76405,11.919550000000001,12.8641,23.278900000000004,14.726833333333333,11.537766666666665,15.820033333333333,20.635150000000003,8.718766666666667,14.059400000000002,16.6055,12.818233333333334,14.362266666666665
3,2021-03-20,06:45:00,15.088266666666668,21.4707,20.049999999999997,72.90350000000001,81.1776,26.91095,75.93945,69.0047,79.4219,76.87343333333334,85.14999999999999,75.92136666666666,72.67656666666666,82.81427500000001,47.241,44.9552,21.09925,24.72655,77.49375,78.630875,79.83709999999999,84.2551,81.01644999999999,80.0557,78.5582,75.85546666666666,75.09973333333333,79.78944999999999,74.2206,39.74036666666667,46.14816666666667,21.238300000000002,16.8086,71.10496666666667,86.4746,70.7578,82.29713333333335,65.80026666666667,68.19896666666666,81.7916,77.21253333333333,76.21900000000001,81.22385,83.85705,83.01823333333334,46.06223333333333,46.37049999999999,88.95779999999999,77.90156666666667,74.1531,79.509225,79.98595,25.3805,19.6138,65.50936666666666,83.71329999999999,78.57263333333333,84.061925,88.15626666666667,89.70859999999999,76.66616666666667,93.50286666666666,78.8266,79.42293333333333,81.38279999999999,85.0776,79.43125,77.01173333333332,79.60546666666666,84.97815,76.6482,80.2583,81.37502500000001,65.6777,89.7027,80.71875,73.5059,87.27266666666667,81.7198,86.53826666666669,81.25233333333334,71.175,78.762,81.73306666666666,87.572675,84.18673333333334,76.46069999999999,80.3246,83.2453,78.6109,74.75704999999999,94.77629999999999,83.19009999999999,83.5659,89.51365,85.32730000000001,82.88475,91.48646666666667,72.32083333333333,82.76095000000001,91.35,86.13306666666666,86.85756666666667,20.196875,22.22185,73.80626666666667,78.9289,70.0781,81.86955,75.10653333333333,64.9388,44.36066666666667,47.6073,41.2789,38.784400000000005,38.965900000000005,42.424733333333336,48.38933333333333,44.060900000000004,43.128600000000006,45.7349,42.645066666666665,34.4888,44.57993333333334,43.3724,38.94613333333333,44.62056666666666
4,2021-03-20,07:00:00,20.890633333333334,26.214833333333335,24.6482,121.90665,115.45705000000001,86.84025,110.39999999999999,106.56406666666665,115.26693333333333,122.17916666666666,121.8844,112.5664,113.3332,119.71170000000001,66.66066666666667,65.48776666666667,25.5294,28.45235,115.23153333333333,117.0215,110.47083333333335,103.0367,113.72695,119.00505000000001,116.1531,114.37346666666667,123.6164,113.19063333333334,121.79296666666666,61.717166666666664,67.6013,31.398049999999998,27.6375,120.2852,121.93165,116.21616666666667,119.03205,100.00779999999999,109.95210000000002,125.2887,114.33023333333334,107.4277,121.55256666666666,110.37423333333334,121.51565,65.33229999999999,70.95963333333333,124.21223333333334,119.1281,128.15275,117.76405,105.9422,31.310666666666666,23.54896666666667,117.58229999999999,129.87655,124.4633,130.84946666666667,127.75,132.99455,116.38463333333334,130.8898333333333,111.49946666666666,114.17996666666666,114.6789,124.81173333333334,121.92966666666666,116.35733333333333,119.15822499999999,122.3461,113.59946666666667,120.22500000000001,129.02033333333335,108.257,136.42606666666666,118.5326,113.16120000000001,119.08555,128.313875,122.71679999999999,115.61590000000001,117.41876666666667,115.1781,117.4906,128.5215,123.17813333333334,122.35785,123.49216666666666,113.9008,115.33516666666667,119.11406666666669,136.44140000000002,116.49885,120.68436666666666,130.605275,117.52473333333334,125.570475,129.70159999999998,108.12603333333333,115.10756666666667,131.1797,131.53306666666666,131.34455,28.0836,30.2724,112.55,113.6323,111.47293333333334,107.0237,111.93715,98.11797499999999,76.30443333333334,81.77786666666667,71.1034,75.14175,67.3164,77.30005,72.89685,68.06693333333334,71.3849,79.58463333333333,72.63646666666666,64.4656,72.37993333333333,71.96849999999999,71.7172,70.5547
5,2021-03-20,07:15:00,79.5664,29.00625,62.5456,156.06303333333332,155.653325,154.78205,151.23590000000002,148.310175,166.9922,160.81135,161.95917500000002,150.53696666666667,146.92499999999998,155.5969,110.58165,88.0297,95.08753333333334,101.9896,157.76795,152.2612,151.56035,154.0016,165.731825,158.369925,160.0598666666667,154.33723333333333,162.2715,146.2176,156.2745,104.50286666666666,97.95625,119.35315,128.10026666666667,149.35440000000003,154.91743333333335,151.88673333333335,145.52265,128.70626666666666,153.805675,156.13933333333333,153.0503,150.23306666666667,154.3612,158.38463333333334,150.15120000000002,110.95389999999999,110.15155,162.96093333333332,165.6586,166.95159999999998,150.85023333333334,154.45544999999998,121.04724999999999,28.793499999999998,162.715025,158.38906666666665,170.49143333333333,161.41995,155.5406,167.16755,154.96876666666665,177.7781,147.99946666666668,168.26146666666668,161.0469,159.4828,157.32889999999998,175.5,167.54296666666667,157.67316666666667,154.6278,164.942975,167.7156,152.3323,174.12056666666663,161.78825,150.92033333333333,151.0086,159.3,154.75836666666666,156.66306666666665,160.59042499999998,162.5164,152.35783333333333,155.50156666666666,170.2508,154.51170000000002,161.99659999999997,159.51639999999998,139.8031,158.61093333333335,166.9586,159.35623333333334,165.0938,164.5625,155.8852,168.36955,168.945325,154.01486666666665,157.1047,169.11143333333334,164.81483333333333,163.96093333333332,102.83883333333331,107.30026666666667,151.55103333333335,156.65443333333334,150.14530000000002,150.66353333333333,156.09845,127.8945,114.18435,113.79426666666667,117.83789999999999,102.5185,104.68593333333332,116.3926,105.07603333333333,103.7518,102.66846666666667,109.5625,105.7724,99.56016666666666,107.20003333333334,104.31043333333332,105.4729,107.22710000000001
6,2021-03-20,07:30:00,183.2375,48.542966666666665,184.81093333333334,200.63945,193.02655,196.08123333333333,189.08463333333336,198.77006666666668,191.584775,189.20416666666665,206.9453,188.0927333333333,187.51175,195.28883333333332,178.88826666666668,154.33203333333333,194.96620000000001,198.00886666666665,204.28179999999998,194.17694999999998,202.2469,196.753125,207.15416666666667,201.18516666666665,193.2547,204.56605000000002,203.2453,188.17083333333335,207.4414,174.58933333333334,183.43723333333332,188.68699999999998,189.2215,181.7348,202.70195,201.21055,191.94346666666664,167.38125,202.21223333333333,193.86303333333333,197.39896666666667,190.72553333333335,192.93906666666666,192.75235,194.15183333333334,178.03125,162.8836,199.48514999999998,198.54996666666668,199.89036666666667,197.7380333333333,198.35779999999997,202.0086,31.285666666666668,193.3852,205.6612,206.49065000000002,204.27970000000002,195.615825,208.35155,196.89686666666668,211.62327499999998,189.1148333333333,195.75,204.01143333333334,198.05336666666668,203.08165,210.00130000000001,204.52996666666664,204.09472499999998,199.98924999999997,208.56015000000002,193.7258,201.21146666666667,209.48176666666666,203.97575,192.97786666666664,194.78073333333336,199.97813333333337,201.56754999999998,196.9312666666667,206.01456666666664,200.175,204.87446666666665,196.57866666666666,203.85753333333332,198.51715000000002,200.40935000000002,204.09453333333332,197.8393,199.82316666666668,203.36090000000002,201.0582,205.44805,212.1297,213.86563333333334,203.9333333333333,206.1629,194.18045,195.65153333333333,210.28593333333333,210.3206,202.55780000000001,197.43593333333334,182.3961,193.09006666666667,195.6727,188.44920000000002,189.21666666666667,192.59169999999997,165.00053333333332,149.5336,150.78096666666667,142.01015,138.71143333333336,137.83956666666668,145.6565,141.37083333333334,141.281,138.24300000000002,149.49685,143.67736666666667,135.55313333333334,144.41093333333336,143.8401,143.47966666666667,142.07630000000003
7,2021-03-20,07:45:00,217.82526666666664,188.75886666666668,224.2411,240.25625,229.03885000000002,236.12894999999997,228.07184999999998,225.72345,233.02239999999998,231.91146666666668,234.42943333333335,229.62109999999998,228.11425,235.0508,226.49713333333332,193.63256666666666,232.4496,230.76170000000002,231.99965,230.7047,222.30623333333332,240.73825,239.55505,235.69845,227.038,238.01875,235.42655000000002,225.19999999999996,225.6172,221.23222499999997,227.08906666666667,227.29583333333332,215.42736666666667,215.083975,235.7164,243.2997333333333,225.25783333333334,191.86605,230.4969,226.20389999999998,225.49220000000003,228.87109999999998,234.5383,233.83497500000001,225.39415000000002,219.24373333333332,226.99273333333335,240.2263,238.99193333333335,242.238275,237.08634999999998,240.0004,236.41353333333333,65.86376666666666,235.28413333333333,236.58826666666667,240.93185,235.83960000000002,234.25195000000002,238.4039,235.1632666666667,250.8508,228.424025,237.49296666666666,243.727325,243.6797,235.57420000000002,242.7164333333333,244.38200000000003,242.14925,247.1906,239.84583333333333,236.62733333333335,239.98073333333332,250.72396666666668,229.60703333333333,224.86926666666668,225.4406,239.04659999999998,237.98283333333333,242.0377,238.35393333333332,222.6047,239.99663333333334,235.04843333333335,242.14896666666667,224.4354,233.86329999999998,239.2349,232.68983333333335,235.9502666666667,232.47916666666666,224.63333333333333,245.16915,238.61953333333335,245.8758,247.30975,247.78336666666667,233.6625,242.10585,251.2266,243.94973333333334,235.17656666666667,228.3414,223.11487499999998,229.66989999999998,225.3677,222.2414,231.76895000000002,228.820325,193.21875,176.8012,190.1414,183.30780000000001,183.232,175.29166666666666,184.10833333333335,181.35233333333335,164.89375,174.28593333333333,184.90106666666668,186.89335,180.75,178.2344,179.4961,179.65286666666665,180.83463333333336
8,2021-03-20,08:00:00,260.91376666666673,269.33906666666667,255.1164,266.0078,262.0125,265.86276666666663,267.7164,255.4263,260.88085,258.7746,252.0469,265.2284,261.75194999999997,271.31719999999996,254.1875,260.31273333333337,262.7221333333333,265.7461,263.0469,252.48905,255.80466666666666,264.1562333333333,272.7363,262.9400666666666,269.0469,263.85275,267.3260333333333,263.17735,259.61170000000004,257.98595,260.9703333333334,254.4375,250.79583333333335,254.75275000000002,271.864825,274.99060000000003,265.86325,221.45623333333333,262.6882666666666,261.13176666666664,266.5135333333333,264.1031666666667,264.1117,269.43555000000003,259.5531,250.48669999999998,252.8063,289.4422,269.9771,279.013,261.58436666666665,260.77576666666664,276.5688,285.1031,269.9004,272.0760333333333,276.8640666666667,272.5403666666666,264.15889999999996,271.65625,265.38100000000003,286.69375,258.28125,273.2002,280.83723333333336,263.43985,270.675775,270.98710000000005,269.3816,269.06693333333334,264.21015,275.9994666666667,268.79376666666667,268.50350000000003,283.19375,256.1838666666667,268.14663333333334,267.44214999999997,273.51035,259.9789,275.7463666666667,275.6213666666667,268.52385,271.9086,272.0127,275.13646666666665,253.5555,272.01563333333337,273.22343333333333,266.1586,266.36563333333334,270.18176666666665,255.0758,275.0,273.4497666666667,269.80963333333335,275.96777499999996,280.14689999999996,261.72656666666666,271.3691,286.79805,277.3125,274.01666666666665,259.1614666666667,256.37345,257.8627666666667,266.91276666666664,254.0609,262.58045000000004,261.93045,220.625975,223.35443333333333,223.58956666666666,210.73635000000002,211.65443333333334,214.19063333333335,217.15493333333333,215.0995,211.95989999999998,214.08723333333333,218.93230000000003,215.24376666666663,205.95600000000002,220.0448,214.86055,223.56406666666666,216.92399999999998
9,2021-03-20,08:15:00,290.0086,298.66876666666667,292.40366666666665,301.808225,296.93489999999997,293.91876666666667,287.2969,278.75120000000004,292.3286333333333,296.52186666666665,298.9875,291.7572666666667,281.5125,308.31325,297.2863,291.5958333333333,294.81876666666665,295.2138,292.1449,281.06795,290.5883,298.3672,302.2617,291.7578,290.50753333333336,299.69350000000003,300.5263,287.95233333333334,294.5208333333333,291.30859999999996,295.5192666666667,281.14805,277.57293333333337,279.662325,300.45315,305.41613333333333,289.2208333333333,244.63490000000002,295.2494666666667,295.1958666666667,299.6018,297.9864666666667,298.62916666666666,296.8213666666667,300.9076,288.17863333333327,286.60155,311.7949,294.9047,312.0914,300.58285,292.3617,304.4979,308.30409999999995,297.87083333333334,301.8872333333333,303.03125,303.95390000000003,293.34535,301.2318,296.5718666666667,323.51175,286.50989999999996,296.3203,311.7434666666666,297.69552500000003,306.73515,303.9518,291.80833333333334,295.93825000000004,304.44763333333333,312.39455,302.33566666666667,293.1646,302.8504,281.91954999999996,297.5547,292.51755,308.6098666666667,300.98696666666666,306.16835000000003,296.88514999999995,296.76210000000003,294.92735000000005,302.8781,298.2871,289.1992333333333,302.42186666666663,308.54200000000003,291.2771,295.9286333333334,298.90933333333334,289.4893333333334,303.18176666666665,306.71953333333335,302.13280000000003,315.93570000000005,308.531075,300.5793,297.50955,308.29013333333336,308.7588666666666,307.14063333333337,286.2700666666667,281.38280000000003,283.94506666666666,298.0802,284.28749999999997,290.2849,288.4927,245.6406,255.19320000000002,259.40156666666667,244.1625,241.78436666666667,239.61525,249.70416666666665,252.11800000000002,244.7039,242.15390000000002,253.92186666666666,247.57576666666668,240.3151,249.18359999999998,249.51666666666665,256.76210000000003,252.71303333333336
