,Data,Hora,OP3.1.1 I (A),OP3.1.2 I (A),OP3.1.3 I (A),OP3.1.4 I (A),OP3.1.5 I (A),OP3.1.6 I (A),OP3.1.7 I (A),OP3.1.8 I (A),OP3.1.9 I (A),OP3.1.10 I (A),OP3.1.11 I (A),OP3.1.12 I (A),OP3.1.13 I (A),OP3.1.14 I (A),OP3.1.15 I (A),OP3.1.16 I (A),OP3.2.1 I (A),OP3.2.2 I (A),OP3.2.3 I (A),OP3.2.4 I (A),OP3.2.5 I (A),OP3.2.6 I (A),OP3.2.7 I (A),OP3.2.8 I (A),OP3.2.9 I (A),OP3.2.10 I (A),OP3.2.11 I (A),OP3.2.12 I (A),OP3.2.13 I (A),OP3.2.14 I (A),OP3.2.15 I (A),OP3.2.16 I (A),OP3.3.1 I (A),OP3.3.2 I (A),OP3.3.3 I (A),OP3.3.4 I (A),OP3.3.5 I (A),OP3.3.6 I (A),OP3.3.7 I (A),OP3.3.8 I (A),OP3.3.9 I (A),OP3.3.10 I (A),OP3.3.11 I (A),OP3.3.12 I (A),OP3.3.13 I (A),OP3.3.14 I (A),OP3.3.15 I (A),OP3.3.16 I (A),OP3.4.1 I (A),OP3.4.2 I (A),OP3.4.3 I (A),OP3.4.4 I (A),OP3.4.5 I (A),OP3.4.6 I (A),OP3.4.7 I (A),OP3.4.8 I (A),OP3.4.9 I (A),OP3.4.10 I (A),OP3.4.11 I (A),OP3.4.12 I (A),OP3.4.13 I (A),OP3.4.14 I (A),OP3.4.15 I (A),OP3.4.16 I (A),OP3.5.1 I (A),OP3.5.2 I (A),OP3.5.3 I (A),OP3.5.4 I (A),OP3.5.5 I (A),OP3.5.6 I (A),OP3.5.7 I (A),OP3.5.8 I (A),OP3.5.9 I (A),OP3.5.10 I (A),OP3.5.11 I (A),OP3.5.12 I (A),OP3.5.13 I (A),OP3.5.14 I (A),OP3.5.15 I (A),OP3.5.16 I (A),OP3.6.1 I (A),OP3.6.2 I (A),OP3.6.3 I (A),OP3.6.4 I (A),OP3.6.5 I (A),OP3.6.6 I (A),OP3.6.7 I (A),OP3.6.8 I (A),OP3.6.9 I (A),OP3.6.10 I (A),OP3.6.11 I (A),OP3.6.12 I (A),OP3.6.13 I (A),OP3.6.14 I (A),OP3.6.15 I (A),OP3.6.16 I (A),OP3.7.1 I (A),OP3.7.2 I (A),OP3.7.3 I (A),OP3.7.4 I (A),OP3.7.5 I (A),OP3.7.6 I (A),OP3.7.7 I (A),OP3.7.8 I (A),OP3.7.9 I (A),OP3.7.10 I (A),OP3.7.11 I (A),OP3.7.12 I (A),OP3.7.13 I (A),OP3.7.15 I (A),OP3.7.16 I (A),OP3.8.1 I (A),OP3.8.2 I (A),OP3.8.3 I (A),OP3.8.4 I (A),OP3.8.5 I (A),OP3.8.6 I (A),OP3.8.7 I (A),OP3.8.8 I (A),OP3.8.9 I (A),OP3.8.10 I (A),OP3.8.11 I (A),OP3.8.12 I (A),OP3.8.13 I (A),OP3.8.14 I (A),OP3.8.15 I (A),OP3.8.16 I (A)
0,2021-06-06,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-06-06,06:15:00,0.0,0.0,0.0,0.0,0.0,0.00971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09347000000000001,0.0,0.0,0.0,0.0,0.0,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032256,0.016666666666666666,0.0,0.028526086956521736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188,0.0,0.0,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041176470588235294,0.0,0.0,0.0,0.0,0.0,0.12625333333333336,0.056249999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01072857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007568421052631579,0.0625,0.0,0.0
2,2021-06-06,06:30:00,0.01875,0.15315,0.1146,0.12190000000000001,0.06875,0.05833333333333333,0.13755,0.04375,0.10315,0.09065000000000001,0.13435,0.1063,0.08755,0.17504999999999998,0.0646,0.07815,0.075,0.13125,0.13125,0.10206666666666668,0.0,0.0375,0.11876666666666669,0.1542,0.0969,0.13125,0.15625,0.028125,0.02626,0.1125,0.07815,0.0625,0.09065000000000001,0.056249999999999994,0.01875,0.1094,0.0925,0.07815,0.05,0.13125,0.125,0.1094,0.15,0.15,0.12190000000000001,0.09166666666666667,0.11565,0.06565,0.05876,0.024999999999999998,0.19375,0.040633333333333334,0.07500000000000001,0.15,0.1094,0.10000000000000002,0.1521,0.09793333333333333,0.16875,0.09065000000000001,0.225,0.056275,0.1875,0.024999999999999998,0.1094,0.16456666666666667,0.08749999999999998,0.1375,0.07189999999999999,0.1375333333333333,0.0938,0.12293333333333334,0.054675,0.18336666666666668,0.1,0.1125,0.05,0.10626666666666666,0.05498000000000001,0.0375,0.075,0.0188,0.10210000000000001,0.12083333333333335,0.048760000000000005,0.051050000000000005,0.15,0.08960000000000001,0.1,0.09065000000000001,0.0469,0.05,0.17815,0.03125,0.1469,0.0642857142857143,0.0063,0.0719,0.1469,0.0469,0.0101625,0.13958333333333336,0.05626,0.15625,0.0844,0.0969,0.1,0.15625,0.008928571428571428,0.09586666666666666,0.0741142857142857,0.02501666666666667,0.0844,0.10625000000000001,0.08750000000000001,0.07083333333333333,0.10626666666666668,0.125,0.07189999999999999,0.056249999999999994,0.15623333333333334,0.056299999999999996,0.05836666666666667,0.023611111111111114,0.08752857142857141,0.1375,0.07189999999999999
3,2021-06-06,06:45:00,0.13125,0.24793333333333334,0.23336666666666664,0.2791666666666667,0.24375,0.23907499999999998,0.2688,0.19583333333333333,0.256275,0.2,0.2813,0.2271,0.23126666666666665,0.30416666666666664,0.22086666666666666,0.17920000000000003,0.20000000000000004,0.2188,0.26253333333333334,0.275,0.19535000000000002,0.24586666666666668,0.295325,0.28125,0.20833333333333334,0.2896,0.2708333333333333,0.2,0.2521,0.2531,0.16040000000000001,0.2094,0.2188,0.14586666666666667,0.15833333333333333,0.2812666666666666,0.25625,0.21095,0.21873333333333334,0.2969,0.23543333333333336,0.23285,0.3125,0.26253333333333334,0.2770666666666667,0.26456666666666667,0.22505,0.1844,0.225,0.23956666666666668,0.32293333333333335,0.25470000000000004,0.2375,0.27502499999999996,0.2,0.2344,0.28125,0.2281,0.29793333333333333,0.21876666666666666,0.3563,0.3375,0.3469,0.1812666666666667,0.2542,0.325,0.2562666666666667,0.26456666666666667,0.246875,0.3063,0.22083333333333333,0.25206666666666666,0.21459999999999999,0.3063,0.21043333333333333,0.3042,0.2,0.2469,0.24583333333333335,0.26095,0.2542,0.189075,0.24373333333333336,0.23125,0.25,0.2479,0.25005,0.20833333333333334,0.21876666666666666,0.24685,0.20626666666666668,0.2167,0.343775,0.1781,0.27919999999999995,0.2937666666666667,0.26666666666666666,0.22083333333333333,0.2833666666666666,0.19999999999999998,0.21046666666666666,0.3271,0.27032500000000004,0.23329999999999998,0.1688,0.2094,0.23126666666666665,0.25315,0.18336666666666668,0.2771333333333333,0.28905,0.22293333333333334,0.18543333333333334,0.17916666666666667,0.20315,0.22086666666666668,0.25,0.2541333333333333,0.2125,0.1875,0.2656,0.24375,0.1781,0.2094,0.26875,0.19376666666666667,0.19583333333333333
4,2021-06-06,07:00:00,0.20210000000000003,0.3,0.25939999999999996,0.4563,0.4391,0.35833333333333334,0.442175,0.3625333333333334,0.425,0.3687333333333333,0.46460000000000007,0.47814999999999996,0.3458666666666666,0.4396,0.33435,0.293775,0.2833333333333333,0.3083,0.47972500000000007,0.36875,0.28745,0.4229333333333334,0.4916666666666667,0.35836666666666667,0.30626666666666663,0.3812,0.4708333333333334,0.3875,0.4708666666666667,0.3437666666666666,0.25003333333333333,0.28540000000000004,0.27497499999999997,0.22657499999999997,0.357825,0.37496666666666667,0.34793333333333337,0.5594,0.4625333333333333,0.3833333333333333,0.3625333333333334,0.3906,0.5219,0.4375,0.34065,0.4062666666666666,0.2625,0.265625,0.37293333333333334,0.50935,0.4094,0.4469,0.28126666666666666,0.35624999999999996,0.29793333333333333,0.318775,0.33959999999999996,0.2969,0.6667000000000001,0.35315,0.4771,0.4,0.45625,0.4083666666666666,0.5297000000000001,0.5188,0.3875333333333333,0.3854333333333333,0.4313,0.45940000000000003,0.29583333333333334,0.3375,0.3062333333333333,0.375,0.40315,0.41565,0.2917,0.47920000000000007,0.37503333333333333,0.3625,0.44375,0.31875,0.5145666666666667,0.3791333333333333,0.39586666666666676,0.4146,0.3547,0.3208333333333333,0.31666666666666665,0.3499999999999999,0.31565,0.3125,0.5750333333333333,0.26565,0.4062666666666666,0.39065,0.37503333333333333,0.5062333333333333,0.4375,0.492225,0.3208333333333333,0.39685,0.33440000000000003,0.3281,0.25625,0.24580000000000002,0.3958333333333333,0.4562333333333333,0.3094,0.36043333333333333,0.5094000000000001,0.38439999999999996,0.31876666666666664,0.3021,0.25003333333333333,0.26875,0.3208,0.40935,0.33126666666666665,0.3,0.40420000000000006,0.3354333333333333,0.2333333333333333,0.353125,0.3458666666666667,0.2750333333333333,0.3041333333333333
5,2021-06-06,07:15:00,0.3416666666666666,0.38126666666666664,0.4292,1.2229333333333334,1.3155999999999999,1.2281499999999999,1.3625,1.25625,1.2359499999999999,1.2062666666666666,1.3312333333333333,1.1625,1.2422,1.2416999999999998,0.4187666666666667,0.44689999999999996,0.35833333333333334,0.4146,1.2344,1.225025,1.2562666666666666,1.2666666666666666,1.4125,1.2646333333333333,1.1771,1.2604,1.1771,1.301575,1.2844,1.1984500000000002,0.37503333333333333,0.473425,0.40625,0.3375,1.14065,1.2104666666666668,1.5125000000000002,1.18125,1.4791666666666667,1.26565,1.1625333333333334,1.2021333333333333,1.3187666666666666,1.1375,1.2146333333333332,1.1666666666666667,0.4167,0.37185,1.2521333333333333,1.50315,1.45005,1.52505,1.2979,0.46875,0.3958333333333333,0.45626666666666665,0.4708666666666666,0.375,1.35005,1.3813,1.3875,1.2937666666666667,1.3458666666666668,1.425,1.5469,1.3750333333333333,1.3969,1.2687666666666668,1.3396000000000001,1.3792,0.4354,0.4375,0.4771,0.5312,1.2583666666666666,1.4312666666666667,1.11875,1.2594,1.20315,1.4313,1.4312666666666667,1.4625000000000001,1.4468999999999999,1.3166666666666667,1.1771,1.3083333333333333,0.4844,0.39375,0.42185,0.45626666666666665,1.2791666666666668,1.3125,1.4969000000000001,1.1354333333333333,1.2719,1.325,1.3020666666666667,1.1938,1.4521,1.3,1.3292,1.3499999999999999,0.4771,0.4521,0.36565000000000003,0.35623333333333335,1.2104333333333333,1.2729333333333335,1.20315,1.1938,1.2250333333333334,0.8094,0.81875,0.7333666666666666,0.7041666666666666,0.6672,0.7281500000000001,0.8,0.7625333333333333,0.7416666666666667,0.84065,0.6750499999999999,0.70625,0.8375,0.74375,0.6458333333333334,0.7187666666666667
6,2021-06-06,07:30:00,0.32293333333333335,0.4166666666666667,1.19065,0.0,1.5979666666666665,1.737525,1.57505,1.5854333333333333,1.67815,1.6437499999999998,1.7833666666666668,1.7271,1.6875499999999999,1.6646,0.8354333333333334,0.675,0.42293333333333333,0.4604333333333333,1.726525,1.6968999999999999,1.6250333333333333,1.7875,1.7916999999999998,1.6500000000000001,1.6646,1.61875,1.6604333333333334,1.6469,1.6479333333333335,1.5438,0.8354333333333334,0.9854333333333334,0.43333333333333335,0.3249666666666667,1.4938,1.67185,1.7979333333333332,1.6291666666666667,1.775,1.7520999999999998,1.5875000000000001,1.706275,1.6833333333333333,1.7062666666666668,1.625,1.58755,0.8,0.7458666666666667,1.6958333333333335,1.92815,1.9166999999999998,1.85,1.8145999999999998,1.79065,0.43125,0.4875,0.5208666666666667,0.48907500000000004,1.8969,1.70315,1.8875,1.7729,1.8604333333333332,1.7208666666666668,1.75,1.9281249999999999,1.7297,1.7895666666666665,1.7854333333333334,1.7708666666666666,0.4896,0.4812666666666667,0.47814999999999996,0.5229,1.8,1.9021000000000001,1.70315,1.7291999999999998,1.7604333333333333,1.82815,1.8625,1.7688000000000001,1.792225,1.8229666666666666,1.7979333333333336,1.8354666666666668,0.5042,0.4500333333333333,0.4792,0.5187666666666667,1.7208666666666665,1.8021,1.8667,1.57815,1.7156500000000001,1.853125,1.7000000000000002,1.7687333333333333,1.86875,1.7469000000000001,1.8125,1.8979,0.5291666666666667,0.50315,0.39996666666666664,0.4124666666666667,1.5979666666666665,1.6938,1.5937,1.66875,1.6521333333333335,1.0792,1.1667,1.0729333333333335,1.0062666666666666,1.00005,1.0563,1.0813,0.99375,1.0917000000000001,1.1469,1.0750000000000002,1.0594000000000001,1.156275,1.0438,1.0021,1.0437666666666667
7,2021-06-06,07:45:00,0.3041333333333333,0.3937333333333333,1.98435,2.0521,2.0422000000000002,2.2,2.0771,1.9687666666666666,2.0833666666666666,2.095325,2.1312333333333338,2.0500000000000003,1.9896,2.106266666666667,1.221875,1.1344,0.3812,0.43333333333333335,2.03755,2.0875250000000003,2.006266666666667,2.0896000000000003,2.158333333333333,2.109375,2.008366666666667,2.17185,2.0417,2.0766,1.9375,1.9375,1.0771,1.19375,0.4041333333333333,0.29583333333333334,1.9718999999999998,2.0771,2.1687666666666665,1.9781499999999999,2.1416999999999997,2.09065,2.0521,2.2812,2.0604333333333336,2.0438,2.0859750000000004,2.0,1.1083666666666667,1.0958333333333334,2.06095,2.249966666666667,2.3375,2.231275,2.21875,2.0979,0.4219,1.5391,1.4562666666666668,1.60315,0.0,2.1812666666666667,2.335433333333333,2.1479000000000004,2.3104333333333336,2.1708666666666665,2.2047,2.3344,2.3125,2.26565,2.27815,2.2125333333333335,1.5083333333333335,1.4771,1.5875,1.2313,2.0958666666666663,2.362475,2.24065,2.375,2.2062666666666666,2.1979333333333333,2.1812666666666667,2.2125500000000002,2.1063,2.29845,2.2094,2.293775,1.725,1.0969,1.5312,0.9708,2.1896333333333335,2.05315,2.3000000000000003,2.029166666666667,2.26405,2.2719,2.21565,2.2167,2.275,2.2563,2.2687666666666666,2.4281,1.25,0.8667000000000001,0.37815,0.3729,2.13755,2.0416666666666665,1.9797,2.0396,2.0917,1.5094,1.5083666666666666,1.4583666666666666,1.3458666666666668,1.25,1.4344000000000001,1.3875,1.3417000000000001,1.4125333333333332,1.512525,1.3583666666666667,1.3250499999999998,1.45315,1.4375,1.3094000000000001,1.3854333333333333
8,2021-06-06,08:00:00,0.29059999999999997,0.3875333333333333,2.5458333333333334,2.4812666666666665,2.5583666666666667,2.5469,2.4562666666666666,2.4625333333333335,2.5234500000000004,2.6406,2.681266666666667,2.4813,2.531275,2.4812666666666665,1.4188,1.370866666666667,0.375,0.3958,2.500025,2.5500499999999997,2.564075,2.5594,2.6021,2.5656499999999998,2.5062666666666664,2.6296999999999997,2.504166666666667,2.66255,2.5734250000000003,2.4646000000000003,1.3291666666666666,1.4219,0.3979333333333333,0.28540000000000004,2.4708666666666668,2.5333333333333337,2.606266666666667,2.51875,2.629166666666667,2.5187666666666666,2.4250333333333334,2.5146,2.470833333333333,2.504166666666667,2.48125,2.472933333333333,1.3437666666666666,1.3541999999999998,2.51255,2.6844,2.7625,2.6469,2.5187999999999997,2.693766666666667,2.4484500000000002,2.6188,2.641666666666667,2.5479666666666665,2.735433333333333,2.45,2.795325,2.5916333333333337,2.79535,2.5500333333333334,2.8688,2.7859499999999997,2.7000333333333337,2.710975,2.6896,2.7375499999999997,2.59065,2.65315,2.6750333333333334,2.6765999999999996,2.5125,2.7719,2.70625,2.645325,2.6271,2.681266666666667,2.73435,2.67815,2.6625,2.7469,2.5813,2.7938,2.6916666666666664,2.46875,2.74065,2.6229333333333336,2.5812333333333335,2.6792,2.8125,2.5,2.7469,2.775025,2.6395999999999997,2.6208333333333336,2.7062999999999997,2.7479333333333336,2.654166666666667,2.7708666666666666,2.789566666666667,2.6625,0.3667,0.34793333333333337,2.5187666666666666,2.5125,2.46565,2.4708666666666668,2.5042,1.8625333333333334,1.95005,1.8417000000000001,1.82345,1.6604666666666665,1.9375,1.8750499999999999,1.6562666666666666,1.91095,1.9958333333333333,1.89065,1.7781500000000001,1.8624999999999998,1.89065,1.7708333333333333,1.7896
9,2021-06-06,08:15:00,0.27496666666666664,0.375,2.9479,2.954675,2.9594,2.97815,2.9771,2.8813,3.0187666666666666,2.9416666666666664,3.0749999999999997,2.962533333333333,2.84065,2.9703250000000003,1.5854666666666668,1.55625,0.35003333333333336,0.3771,3.0458666666666665,2.9729333333333336,3.14685,2.9594,3.1281499999999998,3.031275,2.99065,3.08125,2.9271,3.0500000000000003,2.91875,2.8563,1.5042,1.6188000000000002,0.3906,0.26666666666666666,2.8344,2.964633333333333,3.0813,3.0125,3.0249666666666664,2.9594,2.93595,2.9333333333333336,2.9718999999999998,3.0047,2.8625333333333334,2.9583,1.5625,1.5469,2.8417,3.08125,3.192225,3.0646,3.126575,3.1104333333333334,3.1844,3.0812666666666666,3.029166666666667,3.08435,3.16255,3.0562333333333336,3.2521,3.082825,3.2625,3.028125,3.1547,3.3125,3.1687666666666665,3.2031,3.09375,3.0896000000000003,3.0666999999999995,3.0484500000000003,3.140625,3.2000333333333337,3.0646,3.22655,3.0208666666666666,3.045833333333333,3.1813000000000002,3.1958333333333333,3.0979333333333336,3.0541666666666667,3.07505,3.1375333333333337,3.1125333333333334,3.1499666666666664,3.0812999999999997,3.0666999999999995,3.1281499999999998,3.056266666666667,3.075,3.0729333333333333,3.2896,2.9922250000000004,3.05315,3.1844,3.0500333333333334,3.17815,3.154166666666667,3.16565,3.091666666666667,3.1916666666666664,3.1063,3.0500000000000003,0.34793333333333337,0.32293333333333335,2.9187666666666665,2.9406499999999998,2.8146,2.8250333333333333,2.9479333333333333,2.279166666666667,2.3375333333333335,2.37345,2.225,2.176575,2.2521,2.3208333333333333,2.1083666666666665,2.32815,2.3896,2.2354333333333334,2.207825,2.2687333333333335,2.262525,2.2125,2.2167
