,Data,Hora,OP3.1.1 I (A),OP3.1.2 I (A),OP3.1.3 I (A),OP3.1.4 I (A),OP3.1.5 I (A),OP3.1.6 I (A),OP3.1.7 I (A),OP3.1.8 I (A),OP3.1.9 I (A),OP3.1.10 I (A),OP3.1.11 I (A),OP3.1.12 I (A),OP3.1.13 I (A),OP3.1.14 I (A),OP3.1.15 I (A),OP3.1.16 I (A),OP3.2.1 I (A),OP3.2.3 I (A),OP3.2.4 I (A),OP3.2.5 I (A),OP3.2.7 I (A),OP3.2.8 I (A),OP3.2.9 I (A),OP3.2.10 I (A),OP3.2.12 I (A),OP3.2.13 I (A),OP3.2.14 I (A),OP3.2.15 I (A),OP3.2.16 I (A),OP3.3.1 I (A),OP3.3.2 I (A),OP3.3.3 I (A),OP3.3.4 I (A),OP3.3.5 I (A),OP3.3.6 I (A),OP3.3.7 I (A),OP3.3.8 I (A),OP3.3.9 I (A),OP3.3.10 I (A),OP3.3.11 I (A),OP3.3.12 I (A),OP3.3.13 I (A),OP3.3.14 I (A),OP3.3.15 I (A),OP3.3.16 I (A),OP3.4.1 I (A),OP3.4.2 I (A),OP3.4.3 I (A),OP3.4.4 I (A),OP3.4.5 I (A),OP3.4.6 I (A),OP3.4.7 I (A),OP3.4.8 I (A),OP3.4.9 I (A),OP3.4.10 I (A),OP3.4.11 I (A),OP3.4.12 I (A),OP3.4.13 I (A),OP3.4.14 I (A),OP3.4.15 I (A),OP3.4.16 I (A),OP3.5.1 I (A),OP3.5.2 I (A),OP3.5.3 I (A),OP3.5.4 I (A),OP3.5.5 I (A),OP3.5.6 I (A),OP3.5.7 I (A),OP3.5.8 I (A),OP3.5.9 I (A),OP3.5.10 I (A),OP3.5.11 I (A),OP3.5.12 I (A),OP3.5.14 I (A),OP3.5.15 I (A),OP3.6.1 I (A),OP3.6.2 I (A),OP3.6.3 I (A),OP3.6.4 I (A),OP3.6.5 I (A),OP3.6.6 I (A),OP3.6.7 I (A),OP3.6.8 I (A),OP3.6.9 I (A),OP3.6.10 I (A),OP3.6.11 I (A),OP3.6.12 I (A),OP3.6.13 I (A),OP3.6.14 I (A),OP3.6.15 I (A),OP3.6.16 I (A),OP3.7.1 I (A),OP3.7.2 I (A),OP3.7.3 I (A),OP3.7.4 I (A),OP3.7.5 I (A),OP3.7.6 I (A),OP3.7.7 I (A),OP3.7.8 I (A),OP3.7.9 I (A),OP3.7.10 I (A),OP3.7.11 I (A),OP3.7.12 I (A),OP3.7.13 I (A),OP3.7.14 I (A),OP3.7.15 I (A),OP3.7.16 I (A),OP3.8.1 I (A),OP3.8.3 I (A),OP3.8.4 I (A),OP3.8.5 I (A),OP3.8.6 I (A),OP3.8.7 I (A),OP3.8.8 I (A),OP3.8.9 I (A),OP3.8.10 I (A),OP3.8.11 I (A),OP3.8.12 I (A),OP3.8.13 I (A),OP3.8.14 I (A),OP3.8.15 I (A),OP3.8.16 I (A)
0,2021-04-20,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-20,06:15:00,0.0,0.0,0.0,0.0,0.0,0.011983333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07306874999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03228333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038753333333333334,0.0375,0.0,0.014735294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.12542,0.01875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005807142857142858,0.0,0.0,0.0
2,2021-04-20,06:30:00,0.0469,0.1594,0.1125,0.12190000000000001,0.07815,0.035175,0.10210000000000001,0.04685,0.075,0.0969,0.1375,0.10005,0.0969,0.15315,0.047966666666666664,0.0875,0.075,0.125,0.0719,0.00739090909090909,0.09149090909090908,0.1531,0.0813,0.13125,0.035416666666666666,0.028124999999999997,0.0917,0.05315,0.0875,0.1094,0.06875,0.0344,0.1646,0.09845,0.0844,0.1063,0.12190000000000001,0.07189999999999999,0.09065000000000001,0.15315,0.0,0.11565,0.07083333333333333,0.10625000000000001,0.075,0.06187,0.060925,0.14685,0.031827272727272725,0.0938,0.1406,0.10625000000000001,0.1146,0.1458,0.07815,0.14375,0.07815,0.21565,0.0675,0.14065,0.016666666666666666,0.11565,0.15315,0.06565,0.125,0.09065000000000001,0.1,0.0875,0.13125,0.056266666666666666,0.16875,0.075,0.10005,0.1,0.06565,0.0813,0.0312,0.075,0.0813,0.06875,0.047933333333333335,0.1146,0.07189999999999999,0.0938,0.10416666666666667,0.02815,0.07189999999999999,0.15625,0.0375,0.1406,0.0453125,0.07815000000000001,0.046875,0.1625,0.0625,0.008333333333333333,0.14375,0.05500000000000001,0.12815,0.08336666666666666,0.10315,0.075,0.10314999999999999,0.006775,0.125,0.1562,0.071875,0.05625,0.0813,0.07916666666666668,0.07815,0.07503333333333334,0.08543333333333332,0.07189999999999999,0.0625,0.1375,0.075,0.0,0.018766666666666668,0.12815,0.10315,0.08755
3,2021-04-20,06:45:00,0.20629999999999998,0.28753333333333336,0.2313,0.27709999999999996,0.21876666666666666,0.25784999999999997,0.2687,0.20626666666666668,0.2344,0.2688,0.25939999999999996,0.2094,0.25005,0.2625,0.25626666666666664,0.2333333333333333,0.23749999999999996,0.29375,0.248425,0.185975,0.282825,0.25,0.21666666666666667,0.25833333333333336,0.22086666666666666,0.23126666666666665,0.2625,0.19166666666666665,0.25,0.2687333333333333,0.21046666666666666,0.18123333333333336,0.3375,0.28125,0.2125,0.24793333333333334,0.28755,0.2292,0.22505,0.2917,0.2687333333333333,0.24996666666666667,0.27190000000000003,0.23750000000000002,0.2188,0.29586666666666667,0.2521333333333333,0.3354333333333333,0.235925,0.23546666666666663,0.25,0.2417,0.275,0.3,0.21873333333333334,0.30626666666666663,0.23336666666666664,0.3208666666666667,0.27815,0.33594999999999997,0.19376666666666667,0.2791666666666666,0.3021,0.22086666666666668,0.30626666666666663,0.22293333333333332,0.24583333333333335,0.2542,0.24796666666666667,0.220325,0.29583333333333334,0.25,0.24166666666666667,0.1375,0.2625,0.24373333333333336,0.22083333333333333,0.195325,0.21253333333333332,0.2781,0.25416666666666665,0.29064999999999996,0.19535000000000002,0.23750000000000002,0.25625,0.16043333333333334,0.20210000000000003,0.315625,0.1625,0.2625,0.27296666666666664,0.26666666666666666,0.2437666666666667,0.3000333333333333,0.21253333333333332,0.20420000000000002,0.2854333333333333,0.2791666666666666,0.23539999999999997,0.2656,0.2521,0.28755,0.2583333333333333,0.19583333333333333,0.275,0.25833333333333336,0.2729333333333333,0.23125,0.22916666666666666,0.2625,0.21459999999999999,0.275,0.3,0.27815,0.17815,0.2625,0.2708333333333333,0.20420000000000002,0.2625,0.3406,0.1844,0.22504999999999997
4,2021-04-20,07:00:00,0.41043333333333337,0.4719,0.33960000000000007,0.5,0.4083333333333334,0.5687500000000001,0.46459999999999996,0.4969,0.4875,0.3979333333333333,0.4500333333333333,0.4250333333333334,0.3375,0.5146000000000001,0.41873333333333335,0.4969,0.4041666666666666,0.5094000000000001,0.5188,0.37185,0.5437666666666666,0.4156,0.36875,0.5375,0.39796666666666675,0.470325,0.4688,0.41875,0.4312333333333333,0.44372500000000004,0.3437666666666666,0.36669999999999997,0.4646333333333333,0.4969,0.37505,0.4145999999999999,0.4906750000000001,0.3844,0.4000333333333333,0.4896,0.4270666666666667,0.4208333333333334,0.4687666666666666,0.5125,0.3854333333333333,0.4719,0.3896,0.49375,0.46565,0.4312666666666667,0.4875,0.5344,0.3687333333333333,0.36875,0.3979333333333333,0.4458666666666667,0.47815,0.5312333333333333,0.4104666666666666,0.5062500000000001,0.395325,0.44166666666666665,0.5812999999999999,0.3625,0.4333,0.3854333333333333,0.42919999999999997,0.32815,0.47815,0.44999999999999996,0.49169999999999997,0.3937666666666666,0.30005,0.5187666666666667,0.3125,0.4937666666666667,0.40005,0.4063,0.44166666666666665,0.4250333333333333,0.44375,0.49372499999999997,0.4969,0.32189999999999996,0.47500000000000003,0.22815,0.4000333333333333,0.5604333333333333,0.2521,0.47815,0.3854,0.4083333333333334,0.4479,0.4771,0.4516,0.3125,0.4520666666666666,0.4666666666666666,0.39586666666666664,0.45315,0.3375,0.53125,0.4166666666666667,0.31670000000000004,0.38956666666666667,0.39376666666666665,0.4312666666666667,0.4521,0.4458333333333333,0.3625333333333334,0.35623333333333335,0.45004999999999995,0.49845,0.3750333333333334,0.3937666666666666,0.3812,0.4312333333333333,0.3542,0.425,0.4625000000000001,0.3625333333333333,0.4969
5,2021-04-20,07:15:00,0.71565,0.7906500000000001,0.7469,0.7791666666666667,0.7312666666666666,0.7875,0.7875,0.73755,0.74375,0.77815,0.7646000000000001,0.75315,0.7708333333333334,0.8094,0.7583666666666667,0.7437666666666667,0.74375,0.7938000000000001,0.7792,0.7281500000000001,0.8188,0.7958333333333334,0.7479333333333334,0.8313,0.7500333333333334,0.76875,0.7516,0.7104333333333334,0.7208666666666668,0.7625,0.6917,0.7125333333333334,0.8094,0.7937666666666666,0.7437666666666667,0.7208666666666668,0.85,0.7229666666666666,0.7688,0.8094,0.7771,0.8438,0.8104666666666667,0.7395999999999999,0.6875333333333334,0.8000499999999999,0.7771,0.8583666666666666,0.7792,0.74065,0.8625,0.75315,0.7521,0.7844,0.7437666666666667,0.7750333333333334,0.7396333333333334,0.8479666666666668,0.7646000000000001,0.8604333333333334,0.7594000000000001,0.7895666666666666,0.8229666666666667,0.7333666666666666,0.8020999999999999,0.7729333333333334,0.83755,0.7833666666666668,0.7708666666666666,0.7958666666666666,0.75315,0.7395999999999999,0.8,0.7625,0.7854333333333333,0.8229333333333333,0.754725,0.7562666666666668,0.7792,0.7625500000000001,0.7729333333333334,0.8094,0.6917,0.7333666666666666,0.8250500000000001,0.7270666666666666,0.7354333333333334,0.86255,0.6750333333333334,0.8083666666666667,0.84065,0.7854333333333333,0.77815,0.8375333333333334,0.7313000000000001,0.7188,0.8208666666666667,0.8187666666666668,0.7791666666666667,0.73755,0.73125,0.7729333333333334,0.78905,0.7229666666666668,0.82345,0.7687666666666667,0.8167,0.7646000000000001,0.7146333333333333,0.7333666666666666,0.7391000000000001,0.7292000000000001,0.7875333333333333,0.7187666666666667,0.7292,0.7844,0.7583666666666667,0.6708666666666666,0.7438000000000001,0.7937666666666666,0.7271000000000001,0.7229333333333333
6,2021-04-20,07:30:00,0.49793333333333334,0.66875,0.7125,0.6125,0.6656500000000001,0.7187666666666667,0.6313,0.5813,0.6125,0.6770999999999999,0.6979666666666667,0.6219,0.6875333333333332,0.7062666666666667,0.6188000000000001,0.5750500000000001,0.6083333333333333,0.687525,0.63435,0.6063000000000001,0.7031000000000001,0.6667,0.6250333333333334,0.7125333333333334,0.6188,0.6031500000000001,0.6344000000000001,0.50315,0.6437666666666667,0.5594,0.4979333333333333,0.54375,0.7395999999999999,0.6438,0.6219,0.6604333333333333,0.65315,0.6062666666666666,0.6667,0.7125333333333334,0.6749999999999999,0.6594,0.66875,0.63125,0.5375333333333333,0.7021000000000001,0.6812999999999999,0.73595,0.62815,0.6479333333333334,0.675,0.6812666666666667,0.6125,0.7000500000000001,0.62815,0.7312666666666666,0.6063000000000001,0.7333666666666666,0.6437666666666667,0.7469,0.6229333333333333,0.6718500000000001,0.77815,0.6291666666666668,0.7187666666666667,0.6375000000000001,0.6646000000000001,0.6667000000000001,0.6656,0.6188,0.6875333333333332,0.6167,0.6770999999999999,0.6437666666666667,0.6771333333333334,0.6125,0.6125,0.6344,0.65005,0.6438,0.6542,0.6604666666666666,0.6167,0.6875249999999999,0.6604333333333333,0.618775,0.6438,0.7062666666666667,0.5667,0.725,0.712525,0.6844,0.6708666666666666,0.7729333333333334,0.6604666666666668,0.6312333333333333,0.7333666666666666,0.6833666666666667,0.6812750000000001,0.5219,0.5922000000000001,0.6562666666666667,0.6125,0.6042000000000001,0.6594,0.6958333333333334,0.6917,0.679725,0.5812666666666667,0.6083666666666666,0.53755,0.6063000000000001,0.6344000000000001,0.6250333333333334,0.5833333333333334,0.6416666666666667,0.6354666666666667,0.5395666666666666,0.6229333333333334,0.65315,0.6042,0.6062666666666666
7,2021-04-20,07:45:00,1.4468999999999999,1.1854333333333333,1.4219,1.3063,1.3875000000000002,1.80625,1.5042,1.4042000000000001,1.3771000000000002,1.6688,1.6021333333333334,1.4875333333333334,1.4750000000000003,1.4292,1.36565,1.1812666666666667,1.0531,0.0,1.6438,1.0906500000000001,1.45315,1.4672250000000002,1.6229666666666667,1.8469000000000002,1.60625,1.2563,1.3667,1.317225,1.2291666666666667,1.312525,1.02505,1.5000333333333336,1.70315,1.5219,1.8155999999999999,1.5187666666666668,1.9375,1.5667,1.3562666666666667,1.5229333333333333,1.8354333333333333,1.6875,1.6688,1.2521000000000002,1.3458666666666668,1.628125,1.4125333333333334,1.8125,1.435975,1.3917000000000002,1.6854333333333333,1.3958666666666666,1.44535,1.5708333333333335,1.366666666666667,1.9188,1.44065,1.6292,1.3937666666666668,1.6354333333333333,1.4521,1.5984500000000001,1.5354333333333334,1.4896,1.6396333333333333,1.7875000000000003,1.5229333333333335,1.7646333333333333,1.4479333333333333,1.5917000000000001,1.625,1.4812666666666665,1.7812750000000002,1.8416666666666668,1.5374999999999999,1.459375,1.3875,1.7094,1.7896,1.6292,1.5125000000000002,1.5333333333333332,1.4896,1.7063000000000001,1.4166666666666667,1.8781499999999998,1.3708333333333333,1.4791999999999998,1.1771,1.6469,1.7313,1.8844,1.5958333333333334,1.6603999999999999,1.4359499999999998,1.4021000000000001,1.8208666666666666,1.57815,1.8062666666666665,1.1667,1.38125,1.3687666666666667,1.5250499999999998,1.4916999999999998,1.4041666666666668,1.3208666666666666,1.5208666666666666,1.63125,1.4937666666666667,1.3979333333333333,1.3021,1.4344,1.3125333333333333,1.3667,1.2187666666666666,1.412525,1.48285,1.3583333333333334,1.3021333333333334,1.3521,1.2979666666666667,1.3125
8,2021-04-20,08:00:00,1.5219,1.6229333333333333,1.6875333333333333,1.6844000000000001,1.651575,1.6833333333333333,1.6844000000000001,1.5854333333333333,1.5719,1.6646,1.6750333333333334,1.6354666666666666,1.6521333333333335,1.72505,1.64065,1.6104333333333336,1.5875,1.6687666666666667,1.6687666666666667,1.6229333333333333,1.7187333333333334,1.6969,1.64065,1.69375,1.5958666666666668,1.6421999999999999,1.6458666666666666,1.56875,1.5937999999999999,1.68125,1.57505,1.5937333333333334,1.74065,1.6729,1.6521,1.6688,1.64065,1.6312666666666669,1.6875,1.6979333333333333,1.7156500000000001,1.6625333333333334,1.7125333333333332,1.5125,1.5469,1.6375,1.6687666666666665,1.7187666666666666,1.64065,1.6333333333333335,1.68125,1.6771,1.66255,1.6625,1.6624999999999999,1.764075,1.6458666666666666,1.7771,1.6604333333333334,1.7729333333333333,1.5812333333333335,1.6875,1.7375333333333334,1.6333333333333335,1.7062333333333333,1.6479333333333333,1.6708666666666667,1.6687666666666665,1.6500333333333332,1.6500333333333332,1.73125,1.6292,1.6969,1.6541666666666668,1.6593499999999999,1.7156500000000001,1.6229666666666667,1.6104666666666665,1.7,1.6208666666666665,1.6812333333333334,1.70005,1.6291666666666667,1.6625333333333332,1.7062666666666668,1.6219000000000001,1.6437666666666668,1.776575,1.6000333333333334,1.7656,1.725025,1.6916666666666667,1.7041666666666666,1.7469000000000001,1.6562999999999999,1.6104333333333336,1.7437666666666667,1.7344,1.6875333333333333,1.5791666666666666,1.5719,1.6531500000000001,1.7271,1.6229666666666667,1.7083333333333333,1.7,1.6771,1.6719,1.5812666666666668,1.57815,1.55315,1.6688,1.6312666666666666,1.5812666666666668,1.5953249999999999,1.7094,1.6875,1.5416999999999998,1.6375333333333335,1.6500000000000001,1.6062666666666667,1.5562666666666667
9,2021-04-20,08:15:00,1.6344,1.8583333333333334,1.9344000000000001,1.9187666666666665,1.9625,1.9375,1.9458666666666666,1.825033333333333,1.9042000000000001,1.9771,1.8625500000000001,1.9813,1.915675,1.9417,1.8333333333333333,1.8062666666666667,1.7979333333333336,2.0562666666666667,1.9812500000000002,1.9375333333333333,1.9771,1.9390749999999999,1.9874999999999998,2.01875,1.8187666666666666,2.075,1.8843999999999999,1.7395666666666667,1.8396,1.8854333333333333,1.7291666666666667,1.8478999999999999,1.96875,1.9083666666666665,1.8979333333333335,1.9188,1.9729,1.904725,1.95625,1.9521333333333333,1.9562666666666668,1.9354333333333333,1.99065,1.8667,1.745866666666667,1.8750333333333333,2.025,2.0250000000000004,1.9344000000000001,1.9047,1.9542000000000002,2.00005,1.8729333333333333,1.9229666666666667,1.9270666666666667,2.0438,1.9021000000000001,2.0297,1.9083666666666668,2.06875,1.9208666666666667,2.0021333333333335,1.9708333333333334,1.887533333333333,1.95,1.933366666666667,2.0104333333333333,1.9166666666666667,1.91565,1.9297000000000002,1.9229666666666667,1.9896,1.9969,1.8812666666666666,1.9604666666666668,1.9375,1.9188,1.8417000000000001,1.9104333333333334,1.9145666666666667,1.9896,1.9563,1.8646,1.9229333333333336,2.0343999999999998,1.8333666666666666,1.9937999999999998,2.058333333333333,1.818775,1.9791666666666667,2.0063,1.9562666666666664,1.9854333333333336,2.0062666666666664,1.9656500000000001,1.9166666666666667,2.0125333333333333,1.9875,2.006266666666667,1.8145999999999998,1.8229333333333333,1.9422000000000001,2.0,1.8750333333333333,1.9687666666666666,1.8812666666666666,1.9271,1.95,1.875025,1.8312666666666668,1.8624999999999998,1.8271,1.91875,1.8333333333333333,1.81875,1.9417,1.8750333333333333,1.80005,1.8791666666666667,1.90625,1.84535,1.7708666666666666
