,Data,Hora,P3.1.1 P (W),P3.1.2 P (W),P3.1.3 P (W),P3.1.4 P (W),P3.1.5 P (W),P3.1.6 P (W),P3.1.7 P (W),P3.1.8 P (W),P3.1.9 P (W),P3.1.10 P (W),P3.1.11 P (W),P3.1.12 P (W),P3.1.13 P (W),P3.1.14 P (W),P3.1.15 P (W),P3.1.16 P (W),P3.2.1 P (W),P3.2.2 P (W),P3.2.3 P (W),P3.2.4 P (W),P3.2.5 P (W),P3.2.6 P (W),P3.2.7 P (W),P3.2.8 P (W),P3.2.9 P (W),P3.2.10 P (W),P3.2.11 P (W),P3.2.12 P (W),P3.2.13 P (W),P3.2.15 P (W),P3.2.16 P (W),P3.3.1 P (W),P3.3.2 P (W),P3.3.3 P (W),P3.3.4 P (W),P3.3.5 P (W),P3.3.6 P (W),P3.3.7 P (W),P3.3.8 P (W),P3.3.9 P (W),P3.3.10 P (W),P3.3.11 P (W),P3.3.12 P (W),P3.3.13 P (W),P3.3.14 P (W),P3.3.15 P (W),P3.3.16 P (W),P3.4.1 P (W),P3.4.2 P (W),P3.4.3 P (W),P3.4.4 P (W),P3.4.5 P (W),P3.4.6 P (W),P3.4.7 P (W),P3.4.8 P (W),P3.4.9 P (W),P3.4.10 P (W),P3.4.11 P (W),P3.4.12 P (W),P3.4.13 P (W),P3.4.14 P (W),P3.4.15 P (W),P3.4.16 P (W),P3.5.1 P (W),P3.5.2 P (W),P3.5.3 P (W),P3.5.4 P (W),P3.5.5 P (W),P3.5.6 P (W),P3.5.7 P (W),P3.5.8 P (W),P3.5.9 P (W),P3.5.10 P (W),P3.5.11 P (W),P3.5.12 P (W),P3.5.13 P (W),P3.5.14 P (W),P3.5.15 P (W),P3.5.16 P (W),P3.6.1 P (W),P3.6.2 P (W),P3.6.3 P (W),P3.6.4 P (W),P3.6.5 P (W),P3.6.6 P (W),P3.6.7 P (W),P3.6.8 P (W),P3.6.9 P (W),P3.6.10 P (W),P3.6.11 P (W),P3.6.12 P (W),P3.6.13 P (W),P3.6.14 P (W),P3.6.15 P (W),P3.6.16 P (W),P3.7.1 P (W),P3.7.2 P (W),P3.7.3 P (W),P3.7.4 P (W),P3.7.5 P (W),P3.7.6 P (W),P3.7.7 P (W),P3.7.8 P (W),P3.7.9 P (W),P3.7.10 P (W),P3.7.11 P (W),P3.7.12 P (W),P3.7.13 P (W),P3.7.14 P (W),P3.7.15 P (W),P3.7.16 P (W),P3.8.1 P (W),P3.8.2 P (W),P3.8.3 P (W),P3.8.4 P (W),P3.8.5 P (W),P3.8.6 P (W),P3.8.7 P (W),P3.8.8 P (W),P3.8.9 P (W),P3.8.10 P (W),P3.8.11 P (W),P3.8.12 P (W),P3.8.13 P (W),P3.8.14 P (W),P3.8.15 P (W)
0,2021-03-22,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-03-22,06:15:00,6.7516,11.932425,8.61485,14.288533333333334,16.001033333333336,12.5508,12.6914,14.283333333333333,19.729966666666666,23.92385,22.67343333333333,19.9625,15.84995,23.1232,10.5746,8.90625,11.6466,11.293233333333333,18.4598,16.988266666666664,19.82345,18.576800000000002,16.383066666666664,16.699233333333336,17.221333333333334,21.250766666666667,23.58566666666667,15.787700000000001,21.782533333333333,6.245333333333334,11.2318,11.68595,5.154725,14.934866666666666,22.1375,16.558066666666665,17.023433333333333,17.360666666666663,19.418733333333332,20.402866666666668,15.6293,21.898433333333333,15.558599999999998,20.7771,21.843766666666664,10.8422,9.267199999999999,18.76015,22.671366666666668,18.49763333333333,19.52396666666667,11.0237,12.774466666666667,10.764600000000002,11.2625,14.533066666666665,11.997933333333334,21.499266666666667,16.794925,28.4776,18.66605,20.410433333333334,20.35115,22.02423333333333,25.50623333333333,20.927833333333336,23.9378,23.3754,21.162499999999998,11.698466666666667,9.756533333333334,11.483333333333334,18.1336,16.5745,22.432,16.92866666666667,17.304166666666667,26.987499999999997,16.978099999999998,20.8875,18.271333333333335,17.432825,17.1495,24.12225,23.519000000000002,13.788266666666667,6.7508,10.57965,11.6242,14.8862,17.617150000000002,24.108599999999996,17.0016,27.4297,17.06586666666667,20.8172,17.705966666666665,24.266666666666666,18.49376666666667,21.928933333333333,23.30673333333333,14.661349999999999,12.411524999999997,7.1676,9.158425,19.450300000000002,19.487233333333332,18.107833333333335,19.209633333333333,20.362899999999996,17.12606666666667,12.599733333333333,8.867966666666666,9.129125,7.3883,7.6328,13.5,13.95275,9.733775000000001,6.6133,14.872933333333334,11.82735,6.985966666666666,10.697133333333333,13.630466666666669,7.211733333333334
2,2021-03-22,06:30:00,12.46875,16.541166666666665,14.622133333333332,40.42343333333333,0.0,19.343999999999998,33.20156666666667,35.15886666666667,39.3504,44.36716666666666,40.8078,48.354133333333344,43.61796666666667,46.23635,21.82603333333333,24.49636666666667,16.848933333333335,19.400533333333332,44.7172,42.02603333333333,38.32993333333334,46.17759999999999,48.054875,47.897933333333334,40.89845,45.52553333333333,46.82615,41.4152,48.996849999999995,21.957025,35.127700000000004,17.648425,10.026033333333332,44.13635,52.03555,45.92106666666666,42.3279,42.4297,46.86433333333334,48.73256666666666,40.704125,49.12449999999999,46.6762,43.62813333333333,46.3746,25.325000000000003,24.25195,49.707300000000004,45.54816666666667,24.88333333333333,46.45443333333333,46.68853333333334,19.392933333333332,15.136700000000001,21.428133333333335,38.3672,33.28463333333333,48.0734,50.05103333333333,54.1172,47.12786666666667,51.276574999999994,44.9617,45.7488,49.793,44.78463333333334,49.33153333333333,44.208333333333336,40.56055,30.566933333333335,26.601950000000002,34.6469,31.76015,43.713,49.7301,43.94766666666667,47.5875,49.0703,49.430433333333326,49.53176666666667,47.69480000000001,46.118500000000004,50.31536666666667,43.911699999999996,50.4434,32.4547,34.18486666666667,32.957049999999995,32.129933333333334,47.86405,44.12735,55.952866666666665,36.066425,50.32615,46.797075,48.2841,47.713300000000004,53.68620000000001,40.46365,45.7784,53.1557,28.8807,19.9801,14.504966666666666,16.03226666666667,46.55466666666666,47.42706666666667,41.273849999999996,41.755199999999995,48.823433333333334,27.4805,24.50625,19.888,23.0633,19.986433333333334,17.5615,20.1125,23.84065,21.651833333333332,17.543233333333333,25.875799999999998,22.505274999999997,17.3246,28.07735,26.788033333333335,20.2953
3,2021-03-22,06:45:00,14.3,21.456249999999997,18.77695,83.15313333333334,79.32083333333334,27.51353333333333,74.73566666666667,66.08205000000001,70.05676666666666,80.13879999999999,83.40645,85.5676,76.9242,76.8039,51.064049999999995,49.05859999999999,20.69373333333333,22.35705,81.6453,78.99716666666667,81.31356666666666,75.72136666666667,79.48435,83.3888,81.79326666666667,82.86899999999999,75.526975,86.20626666666665,77.125,43.280466666666676,49.04506666666666,20.7773,14.389050000000001,69.07735,82.98333333333333,86.66525,77.39686666666667,66.11365,77.90156666666667,82.5715,80.82263333333333,78.58125,72.4801,81.11536666666667,78.813475,46.58336666666667,42.85135,97.275,80.20966666666668,68.1578,81.82706666666667,79.4867,24.228099999999998,18.279966666666667,80.76135,80.4117,80.39295,79.72305,87.39089999999999,101.5234,82.7138,93.41356666666667,76.11680000000001,74.58985,81.181,83.57213333333334,85.9961,85.31796666666666,88.3396,87.80053333333332,74.31173333333334,87.1844,81.27482499999999,80.63253333333334,86.44793333333332,78.82029999999999,74.06035,84.4927,83.89920000000001,79.24063333333334,89.42653333333334,86.12553333333335,86.3039,75.50355,84.475,84.234375,76.75703333333333,89.04686666666667,74.4188,80.81196666666666,86.88203333333335,96.32263333333333,77.8698,88.67606666666666,82.9926,81.48253333333334,82.3469,87.45936666666667,69.97763333333333,78.9875,92.83983333333333,87.4453,76.15809999999999,18.61525,21.001033333333332,82.3266,80.7927,81.67006666666667,78.77133333333335,76.65705,62.542575,40.38463333333333,41.47603333333333,42.328133333333334,36.0531,43.203900000000004,41.902175,44.687233333333346,50.45665,32.6797,41.577349999999996,46.230500000000006,39.10665,47.14373333333333,46.90260000000001,42.18983333333333
4,2021-03-22,07:00:00,19.112524999999998,23.668733333333336,23.22305,0.0,115.57735,107.50975,116.96666666666665,110.46505,117.56645,118.83333333333333,119.30705,113.7633,105.54113333333333,121.97393333333332,68.6578,68.25233333333334,23.940633333333334,26.279966666666667,125.9839,122.8617,119.03436666666666,118.14323333333334,121.94946666666665,125.38256666666666,116.73865,123.68593333333332,121.32316666666667,123.90626666666667,128.71823333333333,64.6336,71.10703333333333,26.638075,18.59025,116.17190000000001,120.35235,123.71773333333333,122.72500000000001,101.8875,119.16303333333333,115.1719,114.78595,123.6461,122.179325,113.27655,123.78646666666667,66.07136666666666,66.67185,141.50745,125.14243333333332,133.64403333333334,122.62913333333334,120.07813333333333,30.452175000000004,22.61093333333333,125.99042499999999,127.03049999999999,130.07866666666666,130.3151,127.11486666666667,137.2713666666667,128.6737,132.40573333333333,109.78906666666667,117.04412500000001,123.6453,124.50466666666667,127.51016666666665,125.71876666666667,122.04713333333332,123.9648,119.69647499999999,128.21196666666665,127.6875,120.6832,134.533775,117.58595,125.79453333333333,126.06693333333334,125.449625,123.81796666666666,122.19686666666666,130.7659,119.03165,128.29896666666664,133.01406666666665,133.5285,124.90156666666667,128.94725,123.84962499999999,120.68673333333334,130.04113333333333,138.18880000000001,116.24636666666667,125.58359999999999,124.15100000000001,126.78153333333334,123.7586,134.35909999999998,115.4828,128.64243333333332,138.00705,132.417375,134.75393333333332,23.08985,27.685166666666664,114.37187499999999,112.70625,119.28825,117.95729999999999,111.64636666666667,97.16460000000001,71.64506666666666,78.2176,77.14663333333333,65.0203,78.58985,74.45195000000001,75.87893333333334,66.69025,64.58853333333333,74.57345000000001,80.7474,0.0,75.8969,77.86536666666667,77.14765
5,2021-03-22,07:15:00,59.2793,27.535349999999998,52.947649999999996,165.63593333333333,150.98746666666668,163.1406,158.9547,154.09063333333333,147.4055,165.21403333333333,158.70313333333334,153.80645,152.79415,159.38285,91.5455,85.2414,85.3672,91.15899999999999,166.6531,169.83865,155.081,161.36873333333335,169.07815,164.9297,151.09529999999998,163.50990000000002,166.1687333333333,158.8043,164.73595,103.48336666666667,107.44219999999999,79.30275,87.07266666666665,154.98333333333332,163.87526666666665,150.69375,163.7039,139.10940000000002,159.6016,154.58673333333334,148.53830000000002,154.97854999999998,160.36445,146.51175,160.96325000000002,89.71365,103.5357,169.93096666666668,167.09633333333332,175.53310000000002,163.29319999999998,158.6266,143.9448,26.30286666666667,173.86693333333332,174.43945000000002,169.4544,163.14455,168.69116666666665,177.46956666666665,162.54925,171.80355,152.03983333333335,171.5008,162.00546666666665,162.3622333333333,168.0172,167.20726666666667,169.4013,152.81405,170.14633333333336,170.29633333333334,170.42136666666667,159.87012499999997,183.2447666666667,164.21406666666667,161.93085000000002,166.0102,176.01093333333333,161.00504999999998,170.8148666666667,167.70416666666665,162.54765,174.9719,178.375,166.0109,159.43413333333334,170.436125,175.6617,164.64805,165.96485,171.5137,156.63023333333334,172.6934666666667,168.4565,168.93776666666668,170.55156666666667,176.92706666666666,167.5672,169.46089999999998,180.60313333333337,177.91043333333332,176.9573333333333,85.126,105.77056666666665,0.0,163.09885,145.80700000000002,158.7369666666667,153.30206666666666,133.12003333333334,106.12966666666667,113.19529999999999,112.93165,103.703325,108.6953,98.11484999999999,108.61015,106.359375,104.7045,111.4914,109.5582,95.99216666666666,97.02109999999999,106.9422,97.8195
6,2021-03-22,07:30:00,161.607,30.4276,181.59375,204.00523333333334,200.71146666666667,202.91406666666668,196.64660000000003,199.01146666666668,195.7237,196.20235,215.5219,194.7953,191.60155,196.491025,160.14965,145.37324999999998,180.50493333333335,185.8447666666667,205.76249999999996,197.6427,198.14065,188.9297,212.1625,201.15106666666665,196.7367,205.63073333333332,204.32056666666668,193.857225,195.57145,171.55665,147.2551,185.639275,198.1766,194.67473333333336,206.81796666666665,202.89893333333336,197.2051,174.10416666666666,202.03126666666665,196.13162499999999,194.86093333333335,195.48067500000002,200.81330000000003,198.47813333333332,199.04964999999999,187.97056666666666,156.51016666666666,211.74426666666668,205.99663333333334,205.52190000000002,201.34349999999998,197.79193333333333,205.63555,29.433225,212.3391,216.96303333333333,205.63400000000001,203.51093333333333,206.77913333333333,209.24295,194.7369666666667,214.556425,195.75725,199.9086,213.75585,205.44089999999997,203.81119999999999,206.5159,204.83906666666667,202.4332,206.42916666666667,206.8746,208.5258,204.43933333333334,215.7935,205.7289,195.0755333333333,196.45233333333337,206.59375,197.77460000000002,200.76995,207.45573333333334,206.32815,205.0987,213.038,206.88475,202.36486666666667,210.52265,194.65275,207.31096666666667,200.91196666666667,212.5463,203.17733333333334,208.4554666666667,216.0539,209.08493333333334,209.30313333333334,212.36143333333334,209.4203,198.9189666666667,219.73776666666666,219.45546666666667,212.06926666666666,207.9609,195.1197666666667,197.594725,195.78985,195.7961,200.08983333333333,198.99415,168.8348,152.3592,153.74805,151.40625,144.23239999999998,145.2703,145.316,144.078925,147.51353333333333,146.01405,142.11146666666664,142.13543333333334,137.38299999999998,141.68906666666666,140.40546666666668,144.6971
7,2021-03-22,07:45:00,227.2699,212.5496,231.506425,253.3828,244.74020000000002,246.50395,238.23436666666666,227.7539,238.87385,235.7516,224.3125,222.71923333333334,225.03027500000002,239.00963333333334,227.54999999999998,203.08306666666667,237.63856666666666,234.37207500000002,239.0794,233.27769999999998,226.5937,243.77617500000002,242.71875,235.4555,235.8133,243.225,238.44269999999997,231.7977,231.0578,221.12526666666668,219.4094,236.44476666666665,226.99113333333335,219.28595,246.2672,237.1046666666667,233.506,200.78490000000002,241.17786666666666,238.89840000000004,232.45195,239.00339999999997,252.03985,236.11173333333332,233.99609999999998,230.63333333333333,222.07966666666667,245.09036666666665,248.9047,248.97033333333334,243.0041666666667,232.90275,243.4787,74.6293,236.6591,243.64065,238.56380000000001,241.091,234.93475,240.1505,232.46793333333335,253.65030000000002,237.67523333333335,248.40393333333336,241.6091,241.33076666666668,230.5078,241.14763333333335,246.57083333333333,246.65156666666667,241.46353333333332,245.93410000000003,238.37109999999998,243.18669999999997,254.03050000000002,237.5953,232.759775,242.52500000000003,238.02710000000002,237.86935,246.0901,239.9023666666667,240.09765,240.7601666666667,245.1098,239.85626666666667,237.4922,242.58773333333332,239.86926666666668,233.39454999999998,239.03417499999998,244.32655,233.53646666666666,247.5119666666667,249.01823333333334,247.1435,239.7031,249.52526666666665,237.52655,240.203325,257.94335,254.4297,252.0276,228.29295000000002,227.89426666666668,230.2723,238.70936666666668,234.73825,247.1922,238.81096666666667,197.07266666666666,185.9313,192.11932500000003,185.6508,179.94490000000002,179.1527,186.08985,192.54976666666667,188.9297,170.66016666666667,185.840825,183.347275,178.35000000000002,188.1166,194.1047,187.1377666666667
8,2021-03-22,08:00:00,260.1820666666667,281.1114666666667,264.66565,265.75194999999997,273.3205666666667,266.2742,276.4756,263.736525,261.66915,278.241,286.14959999999996,269.855675,272.0489666666667,269.08205,265.58085,270.8,274.75,278.66276666666664,271.01135,266.4223,264.803325,278.07579999999996,272.34843333333333,264.04269999999997,273.9052,265.41276666666664,280.71819999999997,266.90722500000004,267.3789,255.61525,260.96953333333335,263.8168,264.4252666666667,261.476175,280.67603333333335,275.6586,275.6005333333333,230.8375,268.72265,264.7504,260.9388333333333,272.50625,277.1768333333334,268.23945000000003,266.10665,266.23435,264.50505,288.16769999999997,272.4422,286.1963333333333,274.0117333333333,268.08773333333335,290.4448,278.4667,284.77500000000003,274.5143333333333,279.4789,289.5697666666667,272.85155,278.5961,286.92814999999996,294.06445,263.35355,287.3047,296.4785,267.97855000000004,276.96659999999997,274.9023,279.4211,275.19885,275.9515666666667,280.7830666666666,273.8885333333333,275.92695000000003,282.95214999999996,269.93620000000004,260.3125,289.21405,278.4047,276.6969,279.40913333333333,281.5255333333334,272.2762,283.60585000000003,279.94825,281.70702500000004,271.58593333333334,284.05275,289.16876666666667,278.4896,279.88985,283.102175,269.6909,282.6562666666667,286.5117333333333,283.35936666666663,277.98356666666666,290.58099999999996,268.88073333333335,284.3383,293.0224,293.22929999999997,284.06640000000004,262.6140666666667,261.18440000000004,267.766625,279.91693333333336,267.5508,271.3471333333334,268.3832,220.36950000000002,220.56796666666665,228.94455,216.61249999999998,223.2247,216.352175,226.59583333333333,224.60940000000002,221.05545,216.97775,227.8518333333333,226.28306666666666,202.88543333333334,228.2182333333333,225.58383333333333,222.606
9,2021-03-22,08:15:00,295.75525,315.15156666666667,302.109375,305.5199,305.44689999999997,308.6685333333333,310.4387,290.136,302.229475,307.8711,311.47305,305.61460000000005,306.1786666666667,308.96223333333336,298.9836,305.4619666666667,304.45625,307.58675,303.6041666666667,307.0474,294.8711,304.5299333333333,306.1719,301.3541666666667,305.36199999999997,308.5474,316.64686666666665,296.3414,307.9539,295.8799666666667,305.34375,303.56875,289.7078,296.7794333333333,307.26445,305.95625,306.1971,252.56135,321.6797,304.027325,301.97970000000004,304.29036666666667,318.2625,307.1092,310.858,293.66915,288.17966666666666,321.40115000000003,313.7359333333333,324.9336,311.5719,305.8953,322.7286333333334,319.02305,312.0969,311.60363333333333,316.16949999999997,323.2398333333333,304.94896666666665,310.69376666666665,317.70313333333337,327.3026,301.06895,315.4883,321.41909999999996,307.580875,314.96325,311.3607,305.2844,306.05623333333335,313.2841,315.18126666666666,317.5922,304.71773333333334,317.82225,300.8799333333333,312.93489999999997,316.6789,315.0135333333333,312.7963666666667,317.7333333333333,318.5383,311.4346666666667,318.7246,308.77495,317.8063,300.2504,313.9293,311.20624999999995,307.83673333333337,318.2676,319.7742333333333,0.0,320.0877666666667,323.2299666666667,318.33436666666665,317.9031333333333,320.98123333333336,314.6203,322.793,325.2966333333333,315.2437333333333,319.824625,294.2573,291.54025,301.5716333333333,312.43046666666663,300.297275,306.8458333333333,297.47866666666664,252.32003333333333,257.1679666666667,263.4049333333333,263.5570333333333,251.60270000000003,251.26760000000002,262.7359333333333,264.13986666666665,250.8965,251.9013,265.1864666666667,256.10195,249.056,260.2297,263.59335,263.0645666666667
