,Data,Hora,OP3.1.1 I (A),OP3.1.2 I (A),OP3.1.3 I (A),OP3.1.4 I (A),OP3.1.5 I (A),OP3.1.6 I (A),OP3.1.7 I (A),OP3.1.8 I (A),OP3.1.9 I (A),OP3.1.10 I (A),OP3.1.11 I (A),OP3.1.12 I (A),OP3.1.13 I (A),OP3.1.14 I (A),OP3.1.15 I (A),OP3.1.16 I (A),OP3.2.1 I (A),OP3.2.2 I (A),OP3.2.3 I (A),OP3.2.4 I (A),OP3.2.5 I (A),OP3.2.7 I (A),OP3.2.8 I (A),OP3.2.9 I (A),OP3.2.10 I (A),OP3.2.12 I (A),OP3.2.13 I (A),OP3.2.14 I (A),OP3.2.15 I (A),OP3.2.16 I (A),OP3.3.1 I (A),OP3.3.2 I (A),OP3.3.3 I (A),OP3.3.4 I (A),OP3.3.5 I (A),OP3.3.6 I (A),OP3.3.7 I (A),OP3.3.8 I (A),OP3.3.9 I (A),OP3.3.10 I (A),OP3.3.11 I (A),OP3.3.12 I (A),OP3.3.13 I (A),OP3.3.14 I (A),OP3.3.15 I (A),OP3.3.16 I (A),OP3.4.1 I (A),OP3.4.2 I (A),OP3.4.3 I (A),OP3.4.4 I (A),OP3.4.5 I (A),OP3.4.6 I (A),OP3.4.7 I (A),OP3.4.8 I (A),OP3.4.9 I (A),OP3.4.10 I (A),OP3.4.11 I (A),OP3.4.12 I (A),OP3.4.13 I (A),OP3.4.14 I (A),OP3.4.15 I (A),OP3.4.16 I (A),OP3.5.1 I (A),OP3.5.2 I (A),OP3.5.3 I (A),OP3.5.4 I (A),OP3.5.5 I (A),OP3.5.6 I (A),OP3.5.7 I (A),OP3.5.8 I (A),OP3.5.9 I (A),OP3.5.10 I (A),OP3.5.11 I (A),OP3.5.12 I (A),OP3.5.14 I (A),OP3.5.15 I (A),OP3.6.1 I (A),OP3.6.2 I (A),OP3.6.3 I (A),OP3.6.4 I (A),OP3.6.5 I (A),OP3.6.6 I (A),OP3.6.7 I (A),OP3.6.8 I (A),OP3.6.9 I (A),OP3.6.10 I (A),OP3.6.11 I (A),OP3.6.12 I (A),OP3.6.13 I (A),OP3.6.14 I (A),OP3.6.15 I (A),OP3.6.16 I (A),OP3.7.1 I (A),OP3.7.2 I (A),OP3.7.3 I (A),OP3.7.4 I (A),OP3.7.5 I (A),OP3.7.6 I (A),OP3.7.7 I (A),OP3.7.8 I (A),OP3.7.9 I (A),OP3.7.10 I (A),OP3.7.11 I (A),OP3.7.12 I (A),OP3.7.13 I (A),OP3.7.14 I (A),OP3.7.15 I (A),OP3.7.16 I (A),OP3.8.1 I (A),OP3.8.3 I (A),OP3.8.4 I (A),OP3.8.5 I (A),OP3.8.6 I (A),OP3.8.7 I (A),OP3.8.8 I (A),OP3.8.9 I (A),OP3.8.10 I (A),OP3.8.11 I (A),OP3.8.12 I (A),OP3.8.13 I (A),OP3.8.14 I (A),OP3.8.15 I (A),OP3.8.16 I (A)
0,2021-04-19,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-04-19,06:15:00,0.06875,0.14685,0.12706666666666666,0.125,0.03125,0.1146,0.12086666666666668,0.1375,0.15833333333333333,0.16874999999999998,0.14065,0.13755,0.16043333333333334,0.20626666666666668,0.03125,0.09373333333333334,0.10000000000000002,0.13435,0.1344,0.1781,0.07293333333333334,0.18125,0.2438,0.25315,0.1375,0.065625,0.09793333333333333,0.12503333333333333,0.07505,0.11040000000000001,0.125,0.056249999999999994,0.0344,0.15315,0.23435,0.15833333333333333,0.056266666666666666,0.19376666666666664,0.22086666666666668,0.1812666666666667,0.2094,0.25,0.15416666666666667,0.10416666666666667,0.10626666666666668,0.0938,0.18546666666666667,0.15416666666666667,0.20005,0.056266666666666666,0.0781,0.1646,0.12190000000000001,0.075,0.15209999999999999,0.11565,0.2333333333333333,0.16456666666666667,0.3166666666666667,0.15213333333333334,0.23750000000000002,0.042175000000000004,0.14065,0.2521,0.1729333333333333,0.24793333333333334,0.0844,0.17500000000000002,0.0969,0.12290000000000001,0.07188333333333334,0.1854,0.08750000000000001,0.2344,0.15836666666666666,0.06717500000000001,0.11249999999999999,0.17500000000000002,0.1792,0.12190000000000001,0.12290000000000001,0.16666666666666666,0.15,0.06253333333333333,0.11666666666666665,0.14586666666666667,0.0292,0.14166666666666666,0.22190000000000001,0.1063,0.225,0.17815,0.1125,0.12502,0.21875,0.1542,0.01875,0.23753333333333335,0.06874,0.15315,0.08333333333333333,0.1063,0.14065,0.15,0.08376,0.1375,0.08124,0.11608571428571428,0.05252,0.1,0.07713333333333335,0.10833333333333334,0.12083333333333335,0.14170000000000002,0.09375,0.10833333333333334,0.1812666666666667,0.1344,0.0297,0.0021,0.11251666666666667,0.10000000000000002,0.10210000000000001
2,2021-04-19,06:30:00,0.11875,0.1896,0.2,0.31720000000000004,0.3375,0.22916666666666666,0.34380000000000005,0.4375,0.4604333333333333,0.49793333333333334,0.467175,0.3646,0.46565,0.525,0.19065,0.19586666666666666,0.1844,0.20315,0.3375,0.51875,0.425,0.5646,0.4062,0.5187666666666667,0.479675,0.47345000000000004,0.5344,0.4125,0.1469,0.1688,0.20315,0.11720000000000001,0.2969,0.3594,0.4833333333333334,0.4521,0.4375,0.4031,0.50315,0.4604333333333333,0.44065,0.43753333333333333,0.49375,0.5063,0.19065,0.154675,0.5021,0.5021,0.29845,0.44220000000000004,0.4094,0.22505,0.179725,0.21565,0.23435,0.17815,0.51875,0.42815000000000003,0.6344000000000001,0.4937666666666667,0.56565,0.3896,0.4312666666666667,0.5771333333333333,0.5167,0.5499999999999999,0.46565,0.52505,0.18543333333333334,0.20836666666666667,0.2167,0.27706666666666663,0.37185,0.6021000000000001,0.45626666666666665,0.4625,0.5437333333333333,0.45630000000000004,0.5291666666666667,0.3812,0.5021,0.5625,0.24170000000000003,0.17500000000000002,0.2094,0.2333333333333333,0.3520999999999999,0.4875,0.5625333333333333,0.426575,0.5708666666666667,0.48333333333333334,0.47502500000000003,0.45,0.5391,0.42815000000000003,0.451575,0.6083666666666666,0.2292,0.23126666666666665,0.16876666666666665,0.1896,0.47293333333333337,0.3719,0.4583333333333333,0.45627500000000004,0.43746666666666667,0.525,0.2688,0.1875,0.22185,0.2354333333333333,0.2406,0.2958,0.2094,0.1844,0.32706666666666667,0.2417,0.1594,0.20420000000000002,0.27815,0.24166666666666667,0.24170000000000003
3,2021-04-19,06:45:00,0.18127500000000002,0.25003333333333333,0.25005,0.8813,0.8125249999999999,0.3104,0.78755,0.675,0.83125,0.8813000000000001,0.9313,0.8469,0.7375,0.9583666666666666,0.28125,0.3208333333333333,0.2375333333333333,0.26456666666666667,0.84375,0.725,0.7594000000000001,0.9499999999999998,0.7281500000000001,0.85,0.8,0.8625,0.8188,0.7437666666666667,0.3729333333333334,0.3719,0.2583666666666667,0.17815,0.7938000000000001,0.832825,0.9000333333333334,0.8646333333333334,0.8729666666666667,0.8078500000000001,0.8188,0.92815,0.73125,0.8297000000000001,0.8979333333333334,0.8000333333333334,0.25,0.32815,0.8812666666666668,0.7625,0.71565,0.9500333333333334,0.8729333333333334,0.3333333333333333,0.25,0.278125,0.2812,0.2396,0.9312750000000001,0.8719,0.9625333333333334,0.8469,0.9531000000000001,0.8250000000000001,0.907825,1.1063,0.8812666666666668,0.9292000000000001,0.9020999999999999,0.9500500000000001,0.2750333333333333,0.2562,0.2854,0.34170000000000006,0.8417,0.8625,0.8771,0.8344,0.9417,0.9354333333333334,0.9270999999999999,0.8375,0.9499999999999998,0.9375,0.3354333333333333,0.23746666666666663,0.3,0.32503333333333334,0.8469,0.8813,1.0187333333333333,0.8250000000000001,0.9437666666666665,0.8375,0.9333333333333332,0.92035,1.0354333333333334,0.9021333333333333,0.7719,1.0708333333333335,0.32815,0.30005,0.23336666666666664,0.2667,0.9156,0.828125,0.8417,0.8521000000000001,0.8406750000000001,0.8469,0.5312666666666667,0.454725,0.41245,0.3812,0.4313,0.5417,0.4000000000000001,0.4208,0.5187333333333334,0.4521,0.36043333333333333,0.46719999999999995,0.46670000000000006,0.4906,0.44684999999999997
4,2021-04-19,07:00:00,0.2292,0.3,0.315625,1.2781500000000001,1.3396,0.9895999999999999,1.3312499999999998,0.0,1.2083666666666666,1.3125,1.32345,1.24375,1.289075,1.2469000000000001,0.7542,0.7896000000000001,0.3041333333333333,0.3438,1.3667,1.2583666666666666,1.28755,1.3719000000000001,1.2437666666666667,1.1125,1.3396000000000001,1.325,1.29065,1.23285,0.73755,0.7791666666666668,0.3094,0.2344,1.15005,1.3541999999999998,1.4062,1.3396,1.4667000000000001,1.3292,1.2249999999999999,1.20935,1.3479666666666665,1.3406500000000001,1.3188,1.2218499999999999,0.7422000000000001,0.7500333333333334,1.3646,1.3354666666666668,1.45315,1.3770999999999998,1.3843999999999999,0.37503333333333333,0.30625,1.1104333333333334,0.9578499999999999,0.775,1.3155999999999999,1.4813,1.3969,1.1958666666666666,1.425,1.4375333333333333,1.433366666666667,1.65005,1.4000333333333332,1.4166666666666667,1.3562500000000002,1.4687666666666666,0.3875,0.8344,1.1250333333333333,0.61255,1.2344,1.425,1.3521,1.3875000000000002,1.35625,1.4062666666666666,1.4583666666666666,1.351575,1.46255,1.4344000000000001,0.9125000000000001,0.42815000000000003,0.7458333333333332,0.375,1.3562500000000002,1.35315,1.49065,1.2688,1.4354333333333333,1.451575,1.4166999999999998,1.4833333333333334,1.4729333333333334,1.3792,1.25,1.5,0.3688,0.6542,0.2687,0.29375,1.3375333333333332,1.3458333333333332,1.2781500000000001,1.3708666666666665,1.32815,1.32815,0.8750333333333334,0.75315,0.77815,0.7187749999999999,0.7208666666666668,0.8666999999999999,0.7958666666666666,0.7271000000000001,0.8,0.7312666666666666,0.7344,0.81875,0.7729333333333334,0.8313,0.76565
5,2021-04-19,07:15:00,0.25416666666666665,0.3437666666666666,1.0781,1.8563,1.8687333333333331,1.7937666666666665,1.7313,1.7291999999999998,1.7958666666666667,1.825,1.9562666666666668,1.7844,1.7979333333333336,1.8771000000000002,1.0219,1.0542,0.30935,0.3562666666666667,1.8896,1.76255,1.7937500000000002,1.9125,1.818775,1.7875333333333334,1.9188,1.81875,1.78905,1.7594,0.9666666666666668,1.0562666666666667,0.3469,0.2437666666666667,1.670325,1.9417,1.932825,1.79065,1.9041666666666668,1.8479333333333334,1.8406500000000001,1.8229333333333333,1.8771000000000002,1.7541666666666667,1.8031,1.6958666666666666,1.07505,0.9625,1.82505,1.875,2.0146,1.9000000000000001,1.9750333333333334,1.4875,0.3438,1.9229333333333336,1.9562666666666668,1.8770666666666667,1.8729333333333333,1.7875,2.0109500000000002,1.7791666666666668,1.995866666666667,1.8719000000000001,1.8563,2.089633333333333,1.8875333333333335,1.9542000000000002,1.70315,1.7938,1.7874999999999999,1.7291666666666667,1.975,1.910975,1.9312333333333331,1.9479333333333333,1.81565,1.89065,1.9687666666666666,1.8937666666666668,1.9562333333333335,2.0563,2.0343999999999998,1.972933333333333,1.8208333333333335,1.8344,2.000033333333333,1.9000333333333332,1.8791666666666667,1.9521,1.8812666666666666,1.7469,1.8375,1.9791666666666667,1.9271333333333331,1.9687666666666666,2.02815,1.9250333333333334,1.823475,1.9000333333333332,1.92345,2.039633333333333,0.30625,0.35003333333333336,1.8406500000000001,1.8188,1.6895999999999998,1.8541999999999998,1.7333666666666667,1.8854333333333333,1.2937666666666667,1.1041999999999998,1.1875499999999999,1.13755,1.1542000000000001,1.2281499999999999,1.13125,1.1766,1.1645666666666665,1.1458666666666666,1.1968999999999999,1.217225,1.1562666666666666,1.16875,1.2156500000000001
6,2021-04-19,07:30:00,0.2656,0.3625,2.2375,2.25,2.3708666666666667,2.48435,2.309375,2.2250333333333336,2.3156499999999998,2.3708333333333336,2.3375,2.2843999999999998,2.3344,2.445866666666667,1.2797,1.2781500000000001,0.34793333333333337,0.375025,2.3468999999999998,2.3047,2.2,2.4547,2.4906,2.35,2.1281499999999998,2.29065,2.3969,2.1854333333333336,1.2396,1.325,0.4041333333333334,0.2531,2.2479333333333336,2.3125,2.5031499999999998,2.3625249999999998,0.0,2.28755,2.2792,2.32505,2.4021,2.3625249999999998,2.36405,2.2167,1.3063,1.242225,2.26565,2.4938,2.6771333333333334,2.4396333333333335,2.4812666666666665,2.2938,0.3781,2.4979333333333336,2.41875,2.3875,2.5875,2.4791333333333334,2.6396,2.481266666666667,2.6333333333333333,2.2958666666666665,2.382825,2.4188,2.4594,2.5146,2.4312750000000003,2.50625,2.3625333333333334,2.4281,2.3937666666666666,2.575,2.4396,2.543775,2.387525,2.4646,2.47815,2.5187666666666666,2.44375,2.4156500000000003,2.60935,2.5125,2.5250000000000004,2.2188,2.4938,2.44375,2.5021,2.543766666666667,2.6271,2.21565,2.410975,2.45,2.570866666666667,2.4906,2.5265750000000002,2.5438,2.525,2.4979,2.5937666666666668,2.5917,0.3187666666666667,0.35314999999999996,2.3688,2.3422,2.20005,2.31875,2.216666666666667,2.418766666666667,1.7563,1.6687666666666667,1.45005,1.6219000000000001,1.6458333333333333,1.8145999999999998,1.5291666666666668,1.63125,1.7896,1.66565,1.6031250000000001,1.8,1.6646,1.6375,1.62035
7,2021-04-19,07:45:00,0.29685,0.40419999999999995,2.8708333333333336,2.8546750000000003,2.80315,2.8312666666666666,2.8188,2.7854000000000005,2.8208333333333333,2.8719,2.922933333333333,2.710433333333333,2.7875,2.883366666666667,1.55315,1.5547,0.39065,0.4406,2.812525,2.8146,2.8000249999999998,3.014566666666667,2.929166666666667,2.9104333333333336,2.843775,2.9438,2.8937666666666666,2.7422250000000004,1.5229333333333335,1.5104666666666666,0.43435,0.2791666666666667,2.7979333333333334,2.8020666666666667,2.908366666666667,2.835433333333333,2.970325,2.91565,2.798475,2.7797,3.0375,2.966666666666667,2.866666666666667,2.8187499999999996,1.5281500000000001,0.0,2.8937666666666666,3.0271000000000003,3.0844,2.9875000000000003,2.8906,2.99845,1.4469,3.070866666666667,3.0125,2.926575,3.0406500000000003,2.9979333333333336,3.1958333333333333,3.0083333333333333,3.1291999999999995,2.779166666666667,3.0625,3.1031500000000003,2.9875000000000003,3.2,3.0104333333333333,2.9906,3.033333333333333,3.05315,3.0687750000000005,2.960433333333333,2.960433333333333,3.0656499999999998,2.9969,3.0208666666666666,3.0521,3.022933333333333,2.85005,3.070866666666667,2.9479,3.1271,3.2,2.9312333333333336,3.045833333333333,3.0062499999999996,3.1406,3.0833333333333335,3.0937666666666668,2.8312666666666666,3.0844,3.021875,3.0604333333333336,2.9250333333333334,3.0500499999999997,3.0229666666666666,2.9125,3.1531000000000002,3.2417000000000002,3.1021,0.35314999999999996,0.39166666666666666,2.829675,2.8562666666666665,2.6,2.9249666666666667,2.97505,2.85625,2.0594,2.2041999999999997,2.1047000000000002,1.9896,2.1625,2.1844,2.164633333333333,2.0749999999999997,2.2624999999999997,2.20625,2.0375,2.16255,2.1844,2.0797,2.23125
8,2021-04-19,08:00:00,0.5708333333333333,0.9146000000000001,3.35625,3.5625,3.2938,3.4187999999999996,3.329166666666667,3.272933333333333,3.3854333333333333,3.3770666666666664,3.45625,3.2833666666666663,3.3062500000000004,3.4791333333333334,1.80005,1.9563,0.8531500000000001,1.4104333333333334,3.4458333333333333,3.49065,3.4969,3.595866666666667,3.5187666666666666,3.47815,3.533366666666667,3.575,3.5041666666666664,3.31875,1.9594,2.1140749999999997,1.3167,0.9562666666666667,3.3166999999999995,3.341666666666667,3.4646000000000003,3.4729333333333336,3.4375,3.4979,3.5625,3.437533333333333,3.4188,3.5125333333333337,3.460433333333333,3.460433333333333,1.8229333333333333,1.8313,3.46565,3.5875,3.514566666666667,3.51875,3.5187666666666666,3.4969,3.5688,3.5750333333333337,3.6,3.4979666666666667,3.5343999999999998,3.4875499999999997,3.7104,3.506266666666667,3.6469,3.37345,3.4583666666666666,3.7146333333333335,3.506266666666667,3.5343999999999998,3.5979333333333336,3.45,3.58435,3.52815,3.6167000000000002,3.6916999999999995,3.533366666666667,3.610433333333333,3.437533333333333,3.51255,3.59065,3.6063,3.40315,3.654166666666667,3.4875000000000003,3.5500499999999997,3.6562666666666668,3.4708666666666663,3.6979,3.5844,3.5750333333333337,3.5750333333333333,3.7938,3.4042,3.6062333333333334,3.56875,3.5875,3.5922,3.522933333333333,3.5541666666666667,3.366666666666667,3.5812666666666666,3.66875,3.6333333333333333,0.9208333333333334,1.6229333333333333,3.4562666666666666,3.3719,3.3104333333333336,3.4416666666666664,3.3917,3.5083333333333333,2.664566666666667,2.8000000000000003,2.6375,2.6296999999999997,2.52815,2.8000000000000003,2.6979,2.61565,2.7896,2.685975,2.6203000000000003,2.6229333333333336,2.7625000000000006,2.73125,2.66255
9,2021-04-19,08:15:00,2.095325,2.4792,3.72815,3.9,3.67345,3.7042,3.9208666666666665,3.96875,3.79685,3.795833333333333,3.826575,3.829166666666667,3.65935,4.175,2.508366666666667,2.316666666666667,2.3437666666666668,2.60005,3.7719,3.56875,3.702066666666667,3.868766666666667,0.0,3.8874999999999997,3.9968500000000002,3.84375,3.712533333333333,3.6562666666666668,0.0,2.9031000000000002,3.38125,2.668775,3.7229333333333336,3.7094,3.8937999999999997,3.5594,3.904166666666667,3.825,3.73125,3.8458666666666663,3.9167,3.914566666666667,3.96255,3.8093500000000002,3.0083333333333333,2.5729333333333333,3.88755,3.9688,4.1655999999999995,3.975,3.8531,3.8271,4.037533333333333,3.9937333333333336,4.041666666666667,3.9542,4.020833333333333,3.977066666666667,4.1146,3.9416666666666664,4.115600000000001,3.9594,4.0687999999999995,4.008333333333333,3.90935,4.05,3.9874999999999994,3.8812666666666673,3.9396,3.772933333333333,4.07505,4.075,3.98755,3.9958333333333336,4.0375,3.8479333333333336,4.03125,3.8500333333333336,3.858333333333333,4.010433333333333,3.9895666666666667,3.95155,4.1625,3.5729333333333333,4.03125,3.8375,3.8166999999999995,3.9645666666666664,3.9219,3.88125,4.066666666666666,4.020833333333333,4.054166666666667,4.075,4.100033333333333,3.9479333333333333,3.9896,3.914633333333333,4.09375,4.1000000000000005,2.9297250000000004,2.9729333333333336,3.6562666666666668,3.8328500000000005,3.779166666666667,3.7375333333333334,3.8312500000000003,3.835433333333333,3.2516,3.1063,3.1125000000000003,3.095866666666667,3.1609499999999997,3.2,3.15315,3.110433333333333,3.28595,3.25,2.8625000000000003,3.1687666666666665,3.2479333333333336,3.1625,3.1520999999999995
