,Data,Hora,OP1.1.1 I (A),OP1.1.2 I (A),OP1.1.3 I (A),OP1.1.4 I (A),OP1.1.5 I (A),OP1.1.6 I (A),OP1.1.7 I (A),OP1.1.8 I (A),OP1.1.9 I (A),OP1.1.10 I (A),OP1.1.11 I (A),OP1.1.12 I (A),OP1.1.13 I (A),OP1.1.14 I (A),OP1.1.15 I (A),OP1.1.16 I (A),OP1.2.1 I (A),OP1.2.2 I (A),OP1.2.3 I (A),OP1.2.4 I (A),OP1.2.5 I (A),OP1.2.6 I (A),OP1.2.7 I (A),OP1.2.8 I (A),OP1.2.9 I (A),OP1.2.10 I (A),OP1.2.11 I (A),OP1.2.12 I (A),OP1.2.13 I (A),OP1.2.14 I (A),OP1.2.15 I (A),OP1.2.16 I (A),OP1.3.1 I (A),OP1.3.2 I (A),OP1.3.3 I (A),OP1.3.4 I (A),OP1.3.5 I (A),OP1.3.6 I (A),OP1.3.7 I (A),OP1.3.8 I (A),OP1.3.9 I (A),OP1.3.10 I (A),OP1.3.11 I (A),OP1.3.12 I (A),OP1.3.13 I (A),OP1.3.14 I (A),OP1.3.15 I (A),OP1.3.16 I (A)
0,2021-05-05,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-05-05,06:15:00,0.04376666666666667,0.11565,0.04065,0.1188,0.09065000000000001,0.03333333333333333,0.10626666666666666,0.025,0.13125,0.1063,0.08750000000000001,0.16876666666666665,0.13125,0.0594,0.0281,0.0844,0.06875,0.09065000000000001,0.0625,0.0025,0.040633333333333334,0.01,0.0075,0.0,0.017716666666666665,0.12502,0.11560000000000001,0.12916666666666668,0.0625,0.09065000000000001,0.01875,0.09793333333333333,0.020833333333333332,0.10416666666666667,0.0156,0.1063,0.0344,0.18336666666666668,0.02815,0.09793333333333333,0.0,0.09065000000000001,0.012500000000000002,0.16875,0.03333333333333333,0.0813,0.1469,0.1063
2,2021-05-05,06:30:00,0.2812,0.4187666666666667,0.24375,0.4083333333333334,0.34065,0.33125,0.3812666666666667,0.38126666666666664,0.23126666666666665,0.22296666666666667,0.2094,0.2708333333333333,0.259375,0.171875,0.143775,0.1521,0.15626666666666666,0.19690000000000002,0.14166666666666666,0.12503333333333333,0.19166666666666665,0.11875,0.13125,0.06043333333333334,0.15416666666666667,0.26666666666666666,0.18753333333333333,0.21876666666666666,0.17293333333333336,0.16043333333333334,0.06043333333333334,0.17504999999999998,0.14586666666666667,0.3166666666666667,0.22293333333333334,0.26095,0.142175,0.30315,0.17086666666666664,0.23126666666666665,0.12190000000000001,0.195325,0.143775,0.25625,0.1094,0.182825,0.22505,0.15206666666666666
3,2021-05-05,06:45:00,0.6719,0.8438,0.6687500000000001,0.8750333333333334,0.6125,0.86565,0.7000500000000001,0.7667,0.41880000000000006,0.40420000000000006,0.36715000000000003,0.47185,0.50315,0.3625,0.3094,0.32189999999999996,0.3646,0.41245,0.3062666666666667,0.2896,0.3437,0.28126666666666666,0.32184999999999997,0.19376666666666664,0.353125,0.3625,0.2437666666666667,0.3781,0.2791666666666666,0.2354333333333333,0.13956666666666667,0.267175,0.4875,0.7375,0.7646000000000001,0.7854333333333333,0.61255,0.7375333333333334,0.6708666666666666,0.775,0.6229333333333333,0.2844,0.2313,0.6708333333333334,0.46875,0.23125,0.26876666666666665,0.2292
4,2021-05-05,07:00:00,1.175,1.1562666666666666,1.1729333333333332,1.3406500000000001,1.1458333333333333,1.2396,1.0854333333333333,1.1562999999999999,0.6854666666666667,0.6708666666666666,0.59685,0.6406499999999999,0.75315,0.6219,0.6,0.50315,0.5792,0.6734500000000001,0.5792,0.5208333333333334,0.6604333333333333,0.5891000000000001,0.5541666666666667,0.5016,0.5813,0.425,0.3094,0.6354333333333333,0.70625,0.2604,0.16663333333333333,0.7000500000000001,1.0328249999999999,1.143775,1.20315,1.2813,1.07345,1.41565,1.0916666666666666,1.1354333333333333,1.0708666666666666,0.35314999999999996,0.28750000000000003,1.27345,1.193775,0.3083666666666667,0.3083333333333333,1.125
5,2021-05-05,07:15:00,1.5875,1.6062666666666667,1.5979333333333334,1.7458333333333333,1.6021,1.6844000000000001,1.6719000000000002,1.4969000000000001,1.0896,0.9875499999999999,1.025,1.0625333333333333,1.1125333333333334,0.9797,0.80005,1.0374999999999999,0.975,1.05625,0.9208333333333334,0.9125333333333333,1.01875,0.94685,1.0854333333333335,0.9094,1.0281500000000001,0.5000333333333333,0.3562666666666667,1.0312666666666666,1.0437666666666667,0.31720000000000004,0.2094,1.0906500000000001,1.5093999999999999,1.6219000000000001,1.61875,1.7396,1.6333666666666666,1.8125333333333333,1.6146,1.6792,1.5563,1.76565,0.3416666666666666,1.7125,1.7062666666666668,0.34170000000000006,0.3687666666666667,1.5250000000000001
6,2021-05-05,07:30:00,2.0646,2.0708333333333333,2.0416333333333334,2.2688,2.1797,2.0958333333333337,2.1844,2.0458333333333334,1.5521,1.51565,1.3292,1.587525,1.5124666666666666,1.5020999999999998,1.3437666666666666,1.4291666666666665,1.4687999999999999,1.4958666666666665,1.2063,1.495866666666667,1.3672,1.42815,1.3188,1.1979333333333333,1.4438,0.5344,0.40629999999999994,1.5625,1.4729666666666665,0.34065,0.23546666666666663,1.5969,1.9344000000000001,2.066666666666667,2.154166666666667,2.1958333333333333,1.9656500000000001,2.1906499999999998,2.0500333333333334,2.1791666666666667,2.15,2.1458333333333335,0.36043333333333333,2.24065,2.1646,0.37293333333333334,0.40935,2.0
7,2021-05-05,07:45:00,2.5125,2.5958666666666668,2.4375,2.6854333333333336,2.60005,2.5749999999999997,2.5875000000000004,2.6562,2.065625,2.0375,1.8333666666666666,2.0594,1.9833666666666667,1.9708666666666668,1.7291999999999998,1.8896,1.7874999999999999,2.0083333333333333,1.6313,1.7938,1.9791999999999998,1.8344,1.8021,1.6708666666666667,1.9344000000000001,1.092225,0.4041666666666666,1.918775,2.0187999999999997,0.3687666666666667,0.2625,1.8938000000000001,2.3208333333333333,2.54375,2.5542,2.5469,2.4979333333333336,2.633366666666667,2.4375,2.6104333333333334,2.5125,2.6125000000000003,0.3812,2.5031499999999998,2.6375,0.3979,0.40829999999999994,2.2843999999999998
8,2021-05-05,08:00:00,2.99845,3.0708333333333333,2.8791666666666664,3.2375,2.970866666666667,3.181266666666667,3.0469,2.975,2.5781,2.44375,2.364075,2.625,2.445866666666667,2.3875,2.2062666666666666,2.3104333333333336,2.39845,2.4125,2.3167,2.279166666666667,2.31875,2.316666666666667,2.3208333333333333,2.154166666666667,2.4625,2.033333333333333,0.43125,2.4406499999999998,2.4062666666666668,0.3594,0.2594,2.49065,2.8395999999999995,3.0438,3.0594,2.9729333333333336,2.9792,3.15625,3.0021,3.0750333333333337,3.00625,2.975,0.39166666666666666,3.126575,2.9812666666666665,0.40206666666666663,0.41250000000000003,2.9625000000000004
9,2021-05-05,08:15:00,3.491666666666667,3.5021,3.360466666666666,3.5688,3.4979,3.5594,3.4458333333333333,3.3771,3.0083333333333333,2.85935,2.79375,2.9859250000000004,2.9354333333333336,2.875,2.8031,2.8797,2.90315,2.7916666666666665,2.7250333333333336,2.7541666666666664,2.7271,2.8500333333333336,2.856275,2.591666666666667,2.85625,2.7,0.4083666666666667,2.9125,2.8312333333333335,0.3953,0.2625,2.8146,3.2718999999999996,3.539566666666667,3.3937666666666666,3.58125,3.4146,3.5844,3.4875,3.5437999999999996,3.4344,3.4641,0.8792,3.7292,3.475025,0.4375,0.4375,3.45625
