,Unnamed: 0,Data,Hora,OP2.1.1 I (A),OP2.1.2 I (A),OP2.1.3 I (A),OP2.1.4 I (A),OP2.1.5 I (A),OP2.1.6 I (A),OP2.1.7 I (A),OP2.1.8 I (A),OP2.1.9 I (A),OP2.1.10 I (A),OP2.1.11 I (A),OP2.1.12 I (A),OP2.1.13 I (A),OP2.1.14 I (A),OP2.1.15 I (A),OP2.1.16 I (A),OP2.2.1 I (A),OP2.2.2 I (A),OP2.2.3 I (A),OP2.2.4 I (A),OP2.2.5 I (A),OP2.2.6 I (A),OP2.2.7 I (A),OP2.2.8 I (A),OP2.2.9 I (A),OP2.2.10 I (A),OP2.2.11 I (A),OP2.2.12 I (A),OP2.2.13 I (A),OP2.2.14 I (A),OP2.2.15 I (A),OP2.2.16 I (A),OP2.3.1 I (A),OP2.3.2 I (A),OP2.3.3 I (A),OP2.3.4 I (A),OP2.3.5 I (A),OP2.3.6 I (A),OP2.3.7 I (A),OP2.3.8 I (A),OP2.3.9 I (A),OP2.3.10 I (A),OP2.3.11 I (A),OP2.3.12 I (A),OP2.3.13 I (A),OP2.3.14 I (A),OP2.3.15 I (A),OP2.3.16 I (A)
10,10,2021-01-03,08:30:00,4.5187333333333335,3.7291666666666665,4.070325,4.8042,4.793766666666667,5.353149999999999,5.5979,3.9,4.4094,4.943766666666667,4.058366666666667,5.7719000000000005,5.2,4.64065,4.4375333333333336,3.9437666666666655,5.875,6.077100000000001,4.4896,5.9625,5.393766666666667,4.509399999999999,4.7188,5.262533333333333,6.626575000000001,5.8375,4.0396,5.3156,5.383333333333333,4.635433333333333,5.177066666666668,5.039599999999999,5.6125,5.550033333333334,6.84375,4.958366666666667,6.4281500000000005,5.4313,5.25,5.4646,6.65,5.622933333333333,6.093766666666667,3.0625,5.291666666666667,5.6952750000000005,5.267200000000001,6.1000250000000005
11,11,2021-01-03,08:45:00,5.31565,5.262475,5.033366666666666,4.1438,4.868733333333334,5.0563,5.83435,4.841666666666666,3.69375,4.341666666666667,4.504133333333333,4.93125,4.993733333333333,5.29995,4.914075,5.1437333333333335,5.7344,5.9146,6.068733333333333,5.337533333333333,6.1094,6.452033333333333,6.387533333333333,5.2792,5.76565,4.881233333333333,5.718775,5.333333333333333,4.725,6.15625,6.2812,6.1781500000000005,5.87815,6.008333333333333,6.425,5.158333333333334,5.820833333333333,4.866700000000001,6.5896,6.058333333333334,5.746875,5.225033333333333,5.983366666666666,6.2156,6.0625,6.5188,6.09995,6.63435
12,12,2021-01-03,09:00:00,5.2875,6.0625,4.604166666666667,5.6417,5.981249999999999,4.826575,5.1953,4.756266666666666,5.114075,6.0625,6.1021,6.0969,5.964566666666667,4.6375,4.535433333333334,4.206250000000001,6.818733333333333,6.929199999999999,6.84685,6.579166666666667,6.8,6.85935,5.5792,6.281266666666667,5.893725,6.7438,6.5875,4.9062,4.75625,3.2438,4.7344,6.8292,6.0854333333333335,4.77815,5.3672,5.454166666666667,6.756266666666666,6.7292,5.708333333333333,5.847933333333333,4.91255,6.59995,6.791666666666667,5.1833,6.6062666666666665,6.931266666666666,4.931274999999999,5.7172
13,13,2021-01-03,09:15:00,6.400000000000001,4.3104000000000005,6.5,6.33435,6.1542,6.6667,6.014566666666667,4.7729333333333335,7.383333333333333,5.900025,5.308333333333333,7.03125,4.466666666666667,4.2896,4.1479,5.800033333333334,4.4375333333333336,6.687533333333334,7.397933333333334,8.418800000000001,5.696899999999999,5.112533333333333,4.4125,4.804200000000001,8.7594,6.359400000000001,7.3812,6.0125,5.68125,6.8375,7.670866666666666,7.632824999999999,7.416666666666667,7.604200000000001,6.858366666666666,7.8875,6.952066666666667,4.5417,5.822933333333334,7.95315,8.252066666666668,6.1896,7.225,7.535433333333334,8.35,6.3021,4.26565,8.2875
14,14,2021-01-03,09:30:00,6.9125,7.293749999999999,7.134399999999999,4.22815,7.509349999999999,7.05,6.45005,6.59685,7.375,7.475,7.429166666666667,7.507825,7.506266666666666,7.235433333333333,6.7469,4.9094,7.9104,7.970866666666666,6.7797,8.26565,7.3625,6.2292,8.204725,7.925033333333334,8.3422,7.992224999999999,8.035433333333332,5.6469000000000005,6.404133333333334,8.052133333333332,7.916666666666667,8.16565,7.637499999999999,8.122933333333334,5.21875,8.010433333333333,8.127066666666666,7.68125,7.266666666666666,7.796875,8.252133333333333,8.6219,5.991700000000001,8.0396,6.110433333333333,8.285433333333334,8.072966666666666,8.152099999999999
15,15,2021-01-03,09:45:00,7.690625,7.79375,7.707800000000001,5.824999999999999,8.14375,6.945833333333333,7.958333333333333,7.8844,7.69375,8.012500000000001,6.377133333333333,8.1125,7.6219,7.816666666666666,7.352066666666666,7.8125,8.66875,8.379166666666666,8.1,8.37815,8.5594,8.572933333333333,8.7563,8.458366666666667,8.52815,8.471900000000002,8.481300000000001,8.818766666666667,8.2417,8.4917,8.543766666666668,8.560433333333334,6.134399999999999,7.682849999999999,8.425033333333333,8.389633333333334,8.529200000000001,8.5646,8.472933333333334,7.85315,8.572933333333333,8.4062,8.393766666666668,8.325050000000001,8.510433333333333,8.62815,8.5604,8.543800000000001
16,16,2021-01-03,10:00:00,7.568766666666666,7.4875,7.25,5.7062,6.009399999999999,5.44375,6.864566666666666,7.547933333333333,5.2469,7.8333,7.741699999999999,6.478125,6.393766666666667,7.420833333333333,7.285433333333334,7.684375,7.36875,6.131266666666666,8.3719,8.300033333333333,8.2646,7.904133333333334,8.143766666666668,7.97185,6.333333333333333,7.981299999999999,8.3719,8.076600000000001,7.6422,8.081266666666666,8.0813,6.416666666666667,7.616699999999999,8.2125,8.0063,5.3,4.2875000000000005,8.303149999999999,8.315650000000002,8.266699999999998,6.554166666666667,7.06875,6.6042,4.3781,5.853149999999999,8.434375,7.845833333333334,7.554200000000001
17,17,2021-01-03,10:15:00,7.668749999999999,7.17185,7.225,5.670833333333333,7.8167,6.329166666666667,8.16565,6.054200000000001,8.068750000000001,5.76875,6.179200000000001,7.3969,5.325033333333333,3.847933333333333,7.297900000000001,5.7104,7.5344,8.316699999999999,7.897933333333334,7.75315,6.4547,6.585466666666666,6.517200000000001,7.695833333333333,6.3542,4.3562666666666665,6.559375000000001,5.6813,5.17815,8.22185,6.216666666666666,8.1813,5.3219,7.872933333333333,6.128125000000001,7.914566666666666,8.18125,8.1375,8.2021,8.0844,5.800000000000001,6.066700000000001,7.720866666666666,7.9896,5.843800000000001,6.235433333333333,3.9812666666666665,6.4417
18,18,2021-01-03,10:30:00,6.871875,5.84375,8.38125,6.468800000000001,5.9375,4.6375,8.575050000000001,8.283366666666668,5.67815,7.185433333333333,6.139600000000001,5.642225,8.5594,5.98435,8.031266666666667,5.5,8.3219,8.50625,7.895833333333333,6.2792,0.0,6.997933333333333,7.4312666666666685,6.224999999999999,7.716666666666668,7.285433333333334,7.8688,6.943766666666666,8.620833333333332,7.1646,6.160433333333334,6.01565,8.820866666666667,6.7146,7.127100000000001,5.5844000000000005,9.075,6.78435,6.1156500000000005,8.825050000000001,8.7563,8.9469,8.231300000000001,5.60005,5.5,6.2906,9.062533333333333,7.093766666666666
19,19,2021-01-03,10:45:00,8.925033333333333,8.722933333333334,8.816699999999999,8.674999999999999,9.034400000000002,9.247933333333334,9.191666666666666,7.9281,9.1771,9.133333333333333,9.500033333333333,9.4292,8.806266666666668,9.02815,8.883333333333335,9.175,6.86875,9.7063,8.67505,8.885433333333333,9.4292,8.595833333333333,8.883333333333335,9.254166666666665,8.981300000000001,9.3042,9.6646,9.420833333333333,9.42815,9.337533333333331,9.243766666666666,9.160433333333334,9.335433333333333,9.470833333333331,9.254166666666666,6.0875,9.3875,9.4781,8.4875,9.34065,9.279166666666669,8.281266666666667,9.108333333333333,9.493766666666666,9.25,9.233333333333334,9.8188,9.810433333333334
