,Unnamed: 0,Data,Hora,P1.1.1 P (W),P1.1.2 P (W),P1.1.3 P (W),P1.1.4 P (W),P1.1.5 P (W),P1.1.6 P (W),P1.1.7 P (W),P1.1.8 P (W),P1.1.9 P (W),P1.1.10 P (W),P1.1.11 P (W),P1.1.12 P (W),P1.1.13 P (W),P1.1.14 P (W),P1.1.15 P (W),P1.1.16 P (W),P1.2.1 P (W),P1.2.2 P (W),P1.2.3 P (W),P1.2.4 P (W),P1.2.5 P (W),P1.2.6 P (W),P1.2.7 P (W),P1.2.8 P (W),P1.2.9 P (W),P1.2.10 P (W),P1.2.11 P (W),P1.2.12 P (W),P1.2.13 P (W),P1.2.14 P (W),P1.2.15 P (W),P1.2.16 P (W),P1.3.1 P (W),P1.3.2 P (W),P1.3.3 P (W),P1.3.4 P (W),P1.3.5 P (W),P1.3.6 P (W),P1.3.7 P (W),P1.3.8 P (W),P1.3.9 P (W),P1.3.10 P (W),P1.3.11 P (W),P1.3.12 P (W),P1.3.13 P (W),P1.3.14 P (W),P1.3.15 P (W),P1.3.16 P (W)
0,0,2021-01-03,06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2021-01-03,06:15:00,14.548933333333332,29.834899999999998,12.79025,25.14885,18.04556666666667,13.38045,19.23825,11.125533333333331,18.1625,16.2526,15.870833333333332,19.01406666666667,17.4104,12.0599,11.833333333333334,12.013533333333331,11.71365,12.099233333333332,9.558333333333332,11.0802,12.210400000000002,15.118,16.407300000000003,6.044499999999999,14.028933333333333,20.055675,17.8021,16.9552,13.648433333333337,8.8859,7.057825,16.55,7.662,17.1027,8.31755,18.9547,10.410725,22.2832,13.619766666666663,16.8638,8.344766666666667,16.5883,15.3875,19.9643,14.364833333333332,17.287000000000003,21.109,17.185925
2,2,2021-01-03,06:30:00,40.969233333333335,66.39255,101.3797,95.1645,51.789566666666666,56.4426,65.9344,69.59870000000001,41.506,41.72083333333333,33.1948,41.4828,34.9193,45.9,38.9813,31.38803333333333,39.9021,40.40493333333333,29.004475,28.48515,27.4504,37.08436666666667,32.5763,26.281233333333336,29.068233333333332,57.8492,28.56693333333333,32.83865,38.1117,25.56855,13.60355,53.5992,48.86325,63.244925,45.93853333333334,57.7633,61.0539,66.466025,66.24506666666667,63.90605,44.10626666666667,88.17629999999998,22.86015,71.6607,62.46485,37.3031,47.6219,70.71445
3,3,2021-01-03,06:45:00,76.4914,85.83953333333334,70.6969,101.4375,89.4323,78.97345,92.65183333333334,83.22500000000001,53.61743333333334,50.738,46.6867,51.13569999999999,54.29976666666666,44.38543333333333,42.957,47.45573333333334,46.89816666666667,48.6703,45.01070000000001,42.51095,47.3594,34.5625,46.30913333333333,34.5,46.51070000000001,50.32305,35.7953,50.305075,45.24793333333334,29.49843333333333,21.9586,49.5258,74.39846666666666,74.35704999999999,84.85585,94.18723333333332,82.52850000000001,82.7586,91.3086,87.3406,83.01746666666666,93.24896666666666,79.7604,99.88516666666668,78.81405000000001,41.757825,39.69606666666667,56.407
4,4,2021-01-03,07:00:00,108.55523333333332,108.7109,110.468725,126.1125,126.35913333333332,124.30155,105.8625,109.19376666666666,78.5016,73.73945,73.52109999999999,65.375,81.4965,64.96823333333333,63.35756666666666,84.1426,67.55703333333334,60.83905,68.19686666666666,63.2112,76.57655,68.6637,72.48593333333334,68.9258,62.7457,71.2672,65.6578,73.84846666666668,56.3672,35.2828,25.6,67.990025,97.1961,135.3151,120.9918,110.11876666666666,111.8766,128.13830000000002,107.6203,114.37293333333332,98.6625,117.5125,108.691,126.05106666666669,99.43726666666667,64.96135,41.8891,106.08073333333331
5,5,2021-01-03,07:15:00,154.61796666666666,154.2664,112.9534,168.9322666666667,104.3354,155.92603333333332,130.57580000000002,119.07083333333333,103.4293,88.6719,90.8565,94.6396,97.31303333333334,72.87736666666667,98.49506666666666,102.3336,112.5891,91.67735,76.36926666666666,89.53386666666665,95.23516666666669,85.575575,125.21405,82.11926666666666,93.32056666666666,98.0112,78.67653333333332,66.13905,92.29065,52.3768,50.6078,86.975,126.81773333333336,110.17655,164.8793,126.528125,151.5034,160.51875,138.61365,175.7599,153.10975,117.1,118.8539,145.39839999999998,139.08906666666667,114.8203,46.46445,118.97916666666669
6,6,2021-01-03,07:30:00,83.48675,75.9336,70.7012,75.7625,119.21146666666664,130.69844999999998,112.28466666666668,68.29455,101.27553333333331,70.1755,73.47003333333333,73.48386666666666,102.78256666666664,73.42056666666667,59.2461,65.5078,103.60625,97.03826666666664,79.89816666666667,58.49686666666667,69.81693333333334,58.90315,101.77035,59.21095,96.85103333333332,131.08906666666667,92.90056666666668,93.0125,96.1709,64.2305,42.2812,92.324025,58.33803333333333,105.38185,60.2555,73.29736666666666,181.2141,134.4265333333333,123.04296666666666,79.51875,131.40825,134.07345,116.33256666666664,76.1781,117.96146666666668,108.44805,60.3659,108.71796666666668
7,7,2021-01-03,07:45:00,222.54685,240.99255,246.26055,264.06666666666666,237.5557333333333,197.7328,231.6601333333333,204.67163333333332,204.07396666666668,187.6008,147.12449999999998,159.32966666666667,156.2026,133.4707,185.2969,171.5557,150.93242500000002,172.77083333333334,175.71273333333332,167.87464999999997,204.62345,170.67656666666667,145.03165,176.39273333333335,158.86325,189.04645,153.16955000000002,191.5141,188.39296666666667,154.45133333333334,63.61875,194.6224,203.1369666666667,247.8922,240.44946666666667,235.8789,247.14025,247.4711,262.8367,192.60156666666668,234.5129,235.06563333333332,205.8555,203.15286666666668,202.43516666666665,169.01485,149.8336,212.7875
8,8,2021-01-03,08:00:00,297.1706,317.02305,305.8863,334.7461,311.9445333333333,306.03723333333335,309.1242,305.9927,245.31563333333332,247.32756666666668,236.6656333333333,254.05393333333333,249.39113333333333,240.4922,245.0963333333333,245.05156666666667,241.70443333333333,242.462,245.9651,229.16826666666668,253.26875,233.4692333333333,243.2809666666667,234.9859,245.2028666666667,239.78125,243.0176,252.14246666666668,254.2297,233.1653666666667,100.3037,240.9844,288.7513,308.3247666666667,292.84765,307.86926666666665,305.6442666666667,315.16795,309.10315,314.73566666666665,307.5881,316.7484,309.32890000000003,317.2536333333333,300.819,303.05806666666666,247.89455,313.8887
9,9,2021-01-03,08:15:00,338.4083,348.7086,336.61173333333335,363.8035,346.9521,358.56175,348.5984,348.14243333333326,308.57655,301.1974,277.4328,301.0672,300.4906333333334,282.4718666666667,284.4573,283.37786666666665,288.50416666666666,290.3594,286.78046666666665,272.7148333333334,294.1578,282.6234,291.74843333333337,275.15625,286.4551,287.4635666666666,277.71055,288.71976666666666,291.83124999999995,304.71565,195.2227,297.463475,334.15990000000005,349.67710000000005,350.51276666666666,340.6289333333333,348.4664,347.46930000000003,345.52760000000006,357.59113333333335,340.082,359.72074999999995,338.83475,348.5031,338.5513,328.52345,340.8489333333333,332.35
10,10,2021-01-03,08:30:00,412.4613,425.91015,413.33715,413.10103333333336,317.84175,420.2541666666666,439.1617,426.98333333333335,385.068,318.0210666666667,357.3192666666667,332.1453,321.5409,343.1015666666667,249.6377666666667,366.1822666666667,318.03675,365.3961,348.99335,348.85936666666674,356.9179666666667,301.024625,354.89455,347.2191,351.51365,336.74925,325.8633,366.98045,346.32136666666673,278.9179666666667,247.815425,373.2072666666666,331.6896,398.22035,398.20605,402.325,360.99065,393.7669333333333,392.5846333333333,401.4703333333334,386.103925,342.105275,428.4516,413.6763,390.71405,403.1132666666667,367.1872333333334,394.3486666666667
11,11,2021-01-03,08:45:00,391.50340000000006,419.4805,379.886325,441.9633,388.0677333333333,337.60729999999995,378.103325,389.25585,355.2508,359.44636666666673,336.72243333333336,348.3815333333334,338.09885,346.83395,305.54920000000004,266.4672,345.25315,345.05,321.04743333333334,340.3796666666667,346.63826666666665,363.4844,331.84323333333333,330.1002,342.559,328.19845,333.2573,358.31376666666665,371.134,372.05975,340.4469,366.6953,357.4807333333333,423.9114666666667,299.33723333333336,420.65235,375.2453,401.5573,361.1107,374.10115,378.6088666666666,383.4727,375.4789,378.775975,388.4828,378.80466666666666,409.5708333333334,369.6417
12,12,2021-01-03,09:00:00,431.4474,439.81835,444.1324,400.106475,347.0346333333334,326.6496,312.3168,424.2224,347.3739666666667,401.5234,333.83595,396.10545,396.9862,314.28593333333333,385.2476333333333,398.5989333333334,326.4377666666667,371.70313333333337,373.4,353.9948,306.7672,281.6289,404.8776,385.6469,307.081,293.03085,396.82863333333336,405.65465,392.916225,317.1156333333333,385.0297,343.9492333333333,381.0453333333333,403.882825,312.84685,360.1109333333334,377.5013,464.1729333333333,436.81016666666665,309.8047,434.9899,445.3875,376.4285,375.9941,440.0549333333333,375.94785,358.58020000000005,337.8911666666667
13,13,2021-01-03,09:15:00,428.4211,401.8244666666666,443.418325,430.29025,433.91255,426.7482,386.6117,440.102725,480.1492,452.89845,495.2977,369.56823333333335,330.35886666666664,370.319,385.00625,305.96223333333336,378.5010666666667,444.545125,360.705475,493.45545,398.51146666666665,469.3594,373.15,300.886725,495.5784,413.91055,444.6187,506.78383333333335,399.68635,272.51795,158.375,456.98566666666665,491.1823,559.67035,460.40975,419.58543333333336,363.6328,450.1766,505.2859333333333,402.4411333333333,290.9958,542.5879,290.0492,423.9154,457.9471333333333,450.04455,544.5039333333334,450.99415
14,14,2021-01-03,09:30:00,501.2716,400.6008,298.09925,348.08084999999994,500.68905,526.13555,518.4333666666666,517.81565,490.93413333333336,363.45290000000006,472.2349,481.56273333333337,483.45465,495.9375,467.1122333333333,461.2359,485.75975,361.7119666666667,468.15546666666665,471.936925,301.78945,482.1123,465.9582,493.2875,476.6874666666667,389.1706,466.8117333333333,501.2302333333334,459.902,281.6809,363.46075,506.8125,472.1447666666666,529.9125,528.3726666666668,530.8263333333333,515.2117333333334,521.7656333333333,513.1903666666667,525.6661666666668,527.3352,509.5708333333334,516.06605,552.7485,519.5614666666667,451.4276333333333,417.9331,382.3088666666667
15,15,2021-01-03,09:45:00,540.9309,434.41460000000006,538.0094,556.57345,530.25,538.5484333333334,423.1312333333333,527.47735,516.1099750000001,507.23983333333337,504.34946666666673,506.0653666666667,508.21690000000007,392.8588666666667,496.7901,445.8578333333333,498.9831,508.09415,380.7984333333334,486.1276,478.7354333333333,501.46445000000006,425.00665,384.0583666666666,505.3974333333333,481.1927333333333,505.702975,512.4744999999999,415.3974,502.6409,487.7633,509.07112500000005,522.712125,543.6179500000001,435.66095,529.69925,450.188275,520.9156333333334,524.7633000000001,551.6625,415.9625333333333,541.8417,461.849,546.5948,530.60235,507.49065,361.16135,556.2813000000001
16,16,2021-01-03,10:00:00,315.4375,532.2742666666667,513.7606999999999,176.2797,381.05,410.3005666666666,515.4849,395.1169333333333,347.11875,464.57813333333337,479.6396,379.4734333333333,491.7817666666666,312.8824,481.4390666666666,494.6263333333333,384.14166666666665,495.468925,467.9898666666667,488.6195333333333,492.58830000000006,467.45,493.3364333333334,485.1432333333334,502.4768333333333,504.7468666666667,479.87056666666666,388.2318,493.9963666666667,409.5248,359.7506,430.8242,360.8117,341.88646666666665,506.8297,458.93306666666666,413.76875,529.6531666666666,501.98205,362.8594,381.73673333333335,507.15,510.47946666666667,530.77225,505.61365,510.3640666666666,514.6083333333333,501.697075
17,17,2021-01-03,10:15:00,494.78205,401.43986666666666,311.53555,515.8630333333332,310.53125,504.76565,523.8463666666668,503.8953,394.1346333333333,414.0502666666666,500.9021,495.4409333333333,391.48960000000005,317.75625,477.96170000000006,486.4987,496.918,382.4638,497.29455,278.31715,372.3382666666666,256.5878,286.3457,504.6824,510.89166666666665,386.00183333333325,364.68126666666666,529.46915,507.7997666666667,362.2057,309.14025,500.68365,495.6575333333333,523.9518666666667,523.9468666666667,351.2117,508.3679666666667,391.0669333333333,492.7215,525.0563,346.7846666666667,496.5917,329.6211,543.5699500000001,166.9883,306.7867,393.17160000000007,509.6617
18,18,2021-01-03,10:30:00,456.4802,446.75130000000007,533.53285,479.191025,561.7706,551.825,546.4063,341.46450000000004,449.32603333333327,557.6263333333334,352.7125,573.20895,445.49216666666666,428.9455666666666,553.7336,391.43515,444.6961,565.55825,314.15505,568.3125333333334,576.5234499999999,550.05665,563.8495,340.51875,338.99415,572.9633,418.4002666666667,354.0344,571.4333666666666,369.3156,302.46226666666666,376.7961,536.9297,441.4624999999999,567.26605,453.21955,411.5789,508.1916666666668,535.6879,430.8747333333333,555.0497666666666,572.648675,418.2698333333333,592.3518666666668,429.7844,416.0078,449.5745,592.3541666666666
