,Unnamed: 0,Data,Hora,P2.1.1 P (W),P2.1.2 P (W),P2.1.3 P (W),P2.1.4 P (W),P2.1.5 P (W),P2.1.6 P (W),P2.1.7 P (W),P2.1.8 P (W),P2.1.9 P (W),P2.1.10 P (W),P2.1.11 P (W),P2.1.12 P (W),P2.1.13 P (W),P2.1.14 P (W),P2.1.15 P (W),P2.1.16 P (W),P2.2.1 P (W),P2.2.2 P (W),P2.2.3 P (W),P2.2.4 P (W),P2.2.5 P (W),P2.2.6 P (W),P2.2.7 P (W),P2.2.8 P (W),P2.2.9 P (W),P2.2.10 P (W),P2.2.11 P (W),P2.2.12 P (W),P2.2.13 P (W),P2.2.14 P (W),P2.2.15 P (W),P2.2.16 P (W),P2.3.1 P (W),P2.3.2 P (W),P2.3.3 P (W),P2.3.4 P (W),P2.3.5 P (W),P2.3.6 P (W),P2.3.7 P (W),P2.3.8 P (W),P2.3.9 P (W),P2.3.10 P (W),P2.3.11 P (W),P2.3.12 P (W),P2.3.13 P (W),P2.3.14 P (W),P2.3.15 P (W),P2.3.16 P (W)
10,10,2021-01-03,08:30:00,308.0987,253.3781333333333,276.786325,326.88776666666666,323.7044,361.9676,378.6221333333333,263.86875,294.2639,330.4492,274.3437666666667,392.7695,356.00936666666666,317.43985,302.51876666666664,267.7948,397.09375,403.9518,298.4039,403.25625,358.7883,300.91955,317.15160000000003,354.56666666666666,439.1006,387.2504,267.87943333333334,358.46565,297.0484333333333,305.43593333333337,346.6359333333333,336.1987,379.6285,376.1627666666666,468.35545,335.5679666666667,434.54025,365.8815,352.99530000000004,370.7177,448.0437500000001,375.8935,411.9648333333333,204.0391,354.02760000000006,380.34375,352.884,405.4287000000001
11,11,2021-01-03,08:45:00,356.2836,352.34745000000004,332.53253333333333,275.40496666666667,326.04816666666665,332.69335,389.9215,321.7245,241.7672,283.9073,300.01143333333334,328.36875,332.54946666666666,352.80115,331.4594,344.2164,379.62695,389.07706666666667,399.7404,349.15496666666667,402.86135,425.33616666666666,424.05676666666665,345.3227,377.2285,316.78413333333333,379.441625,347.0008,253.98595,405.4992,409.0664,402.3504,393.04805,402.0966333333333,424.8531,346.7359333333333,393.03983333333326,321.77810000000005,442.9768333333333,408.9406333333333,378.546875,343.3461,399.5482,420.3391,405.7552333333333,430.96645,405.29025,436.0336
12,12,2021-01-03,09:00:00,353.6016,403.1562,303.4807333333334,372.2510333333333,394.391,317.8824,344.58027500000003,316.2185,337.094125,407.2187,409.181,415.3176,394.4080666666667,308.8932333333333,299.05626666666666,277.4508,446.33723333333336,457.2565333333334,448.39885,430.9906333333333,443.2594,453.0723,366.0010333333333,407.4252666666667,379.16795,445.8622333333333,435.99375,314.52345,257.1563,206.7891,310.36915,444.4033666666666,411.1547000000001,316.83045000000004,353.73125000000005,362.6156333333333,456.3393333333333,445.4669333333333,378.8666666666666,391.9150666666667,323.52930000000003,439.5492,455.2416666666666,346.2703,434.5317666666666,459.7924666666666,325.760175,376.94745
13,13,2021-01-03,09:15:00,424.5291666666667,283.39166666666665,431.4546666666667,423.1664,412.7398666666666,429.9466333333333,396.49036666666666,315.3143333333333,488.2299666666667,393.5295,359.65259999999995,492.08985,295.7307666666666,277.8179666666667,267.9237,384.0695,289.612,445.0766,486.43516666666665,551.14065,369.94455,338.2,283.6078,312.4632666666667,569.8938,421.86835,472.4,387.3138,310.28515,455.37035,510.44686666666666,497.29885,503.2094,518.9778666666667,454.4971333333333,529.9708333333334,461.819,298.92580000000004,387.0807333333334,531.7414,546.5794333333333,408.9455666666666,480.5317666666666,504.77186666666665,550.0563,411.568,280.4512,533.5078
14,14,2021-01-03,09:30:00,451.05625,472.49295000000006,458.4594,275.18165,489.9666,450.3,417.71795,430.37925,478.5617333333333,489.4588333333333,492.5833333333333,497.44805,484.2859333333333,466.5146,439.3417500000001,316.5289,508.9825666666666,513.5742,431.624425,526.6631,470.99293333333327,400.5776,528.186325,505.1424666666667,522.1166000000001,513.331625,512.6935,355.04725,337.9073,515.7039333333333,508.1734333333334,512.6519499999999,502.6453,529.4755333333334,339.23595,525.6974,532.7163999999999,499.23205,490.71043333333336,509.118325,531.2518333333334,552.2737999999999,391.5966,524.9192666666667,390.4234333333334,532.4492333333333,520.0184666666667,525.8575666666666
15,15,2021-01-03,09:45:00,492.175575,493.98515,487.0707,376.26445,516.08285,440.1346,504.681,504.870125,485.668,513.1729333333333,411.3203333333333,522.2422,487.35585,498.2935,470.8216,503.4,542.925,533.2950666666666,509.2875,524.2672,531.80825,540.8489666666667,549.4547,525.8896,530.26175,529.57815,531.70355,543.4515333333333,427.5296666666666,532.8643000000001,543.2432333333334,534.3083333333333,392.3711,498.040275,542.0023666666667,514.9081,549.8289000000001,548.1877333333333,544.8953333333334,531.191,540.9263333333333,532.7461,534.3643333333333,540.0844,534.1029,540.69805,541.1224333333333,544.25585
16,16,2021-01-03,10:00:00,483.17266666666666,475.4563,458.52735,363.05585,378.65725,353.88985,426.3632666666667,483.0448,332.4258,497.0948,500.94430000000006,428.88635,407.7943,473.93696666666665,468.08206666666666,490.867575,467.5594,387.2468999999999,521.6918000000001,521.1747333333334,518.5406333333334,502.2809666666667,514.0729666666666,497.73165,390.0578333333333,498.8719,523.13085,508.76290000000006,398.76935,511.4567666666667,509.1015333333333,400.8422,489.5932666666666,534.7789,516.4031,328.7898,272.1554333333333,527.24845,531.6539,533.1883000000001,413.3146,446.0676,427.0072666666667,279.37615,368.24065,529.70825,504.4154,490.3422333333333
17,17,2021-01-03,10:15:00,487.24375,455.6426,450.6039333333333,354.0463666666667,503.8497333333334,400.1338333333333,525.4828,390.5255,510.8461,366.7031500000001,401.2078333333334,486.98595,337.71666666666664,244.6831,465.13723333333337,366.3724,479.78985,531.6219,502.3768333333334,464.7621,406.001575,412.7349,413.9744,483.07290000000006,396.1896,276.2643,416.51445,355.55585,269.4008,516.3879,400.2841666666666,519.8031000000001,348.084,522.775,393.19335,511.18306666666666,523.64605,519.74685,530.3812666666666,523.5449,369.0291666666666,379.46746666666667,493.2456,516.1187666666666,368.2320333333333,396.9026,251.99713333333327,413.9658666666666
18,18,2021-01-03,10:30:00,441.384175,380.0672,534.83435,415.8898333333333,387.8141,298.39063333333337,565.4168500000001,565.0167,370.724225,474.4357,404.2828333333334,374.061725,559.6305,394.19535,527.3851666666666,362.4203,578.9426000000001,571.722275,555.0338666666667,407.9086,0.0,454.8203333333334,478.9460666666666,401.6039,496.19793333333337,474.7234666666666,514.4196,441.3877666666667,479.7984333333333,464.7580666666666,405.6109333333333,394.8906,607.6206,456.71953333333335,474.35443333333336,369.3969,619.05005,453.0535,408.21055,606.26955,586.3714,588.70785,540.6949500000001,367.8586,358.57655,407.6352,587.1096666666666,472.3643333333334
19,19,2021-01-03,10:45:00,579.1643333333333,565.2719000000001,576.2552,558.1341333333334,606.9434,583.7198,613.6672,521.43635,593.6065333333333,603.7638000000001,611.1526333333333,616.0622333333334,578.0693,584.628125,574.3349,596.35625,437.56565,604.2141,574.3422,595.9575666666667,529.6762666666667,576.2359666666667,583.65,587.8856999999999,598.36645,601.7513,616.3690333333333,610.0299666666666,495.74375,604.3971333333333,607.8724333333333,597.6424666666667,626.6630333333333,633.4481999999999,623.3234333333334,393.925,625.18435,574.8969,596.7344,619.1156000000001,604.0883,553.6216333333333,595.7539,622.0614333333334,611.0781,588.1359666666666,618.5813,635.7281666666667
